Geographic Area,Householder living alone—65 years and over,Lvng alone
"Sebastian County, Arkansas",11.70%,11.7
"Sedgwick County, Colorado",16.60%,16.6
"Sedgwick County, Kansas",11.60%,11.6
"Seminole County, Florida",9.40%,9.4
"Seminole County, Georgia",13.50%,13.5
"Seminole County, Oklahoma",14%,14
"Seneca County, New York",16.10%,16.1
"Seneca County, Ohio",12.80%,12.8
"Sequatchie County, Tennessee",11.20%,11.2
"Sequoyah County, Oklahoma",14.40%,14.4
"Sevier County, Arkansas",10.60%,10.6
"Sevier County, Tennessee",10.50%,10.5
"Sevier County, Utah",9.60%,9.6
"Seward County, Kansas",10.50%,10.5
"Seward County, Nebraska",12.60%,12.6
"Shackelford County, Texas",13.80%,13.8
"Shannon County, Missouri",12.50%,12.5
"Sharkey County, Mississippi",10.60%,10.6
"Sharp County, Arkansas",15.50%,15.5
"Shasta County, California",13.80%,13.8
"Shawano County, Wisconsin",13.50%,13.5
"Shawnee County, Kansas",13.90%,13.9
"Sheboygan County, Wisconsin",14.20%,14.2
"Shelby County, Alabama",9.80%,9.8
"Shelby County, Illinois",13.50%,13.5
"Shelby County, Indiana",13.70%,13.7
"Shelby County, Iowa",15.70%,15.7
"Shelby County, Kentucky",10%,10
"Shelby County, Missouri",14.50%,14.5
"Shelby County, Ohio",11.60%,11.6
"Shelby County, Tennessee",11.40%,11.4
"Shelby County, Texas",12.70%,12.7
"Shenandoah County, Virginia",15%,15
"Sherburne County, Minnesota",8.70%,8.7
"Sheridan County, Kansas",15.40%,15.4
"Sheridan County, Montana",16.50%,16.5
"Sheridan County, Nebraska",17.80%,17.8
"Sheridan County, North Dakota",23.10%,23.1
"Sheridan County, Wyoming",14.50%,14.5
"Sherman County, Kansas",11.30%,11.3
"Sherman County, Nebraska",18.10%,18.1
"Sherman County, Oregon",13.80%,13.8
"Sherman County, Texas",12%,12
"Shiawassee County, Michigan",13%,13
"Shoshone County, Idaho",19.20%,19.2
"Sibley County, Minnesota",13.60%,13.6
"Sierra County, California",13.30%,13.3
"Sierra County, New Mexico",28.20%,28.2
"Silver Bow County, Montana",16.90%,16.9
"Simpson County, Kentucky",8.30%,8.3
"Simpson County, Mississippi",13.90%,13.9
"Sioux County, Iowa",12.20%,12.2
"Sioux County, Nebraska",13.10%,13.1
"Sioux County, North Dakota",4.50%,4.5
"Siskiyou County, California",18%,18
"Sitka City and Borough, Alaska",9.90%,9.9
"Skagit County, Washington",13%,13
"Skagway Municipality, Alaska",20.70%,20.7
"Skamania County, Washington",12.70%,12.7
"Slope County, North Dakota",12.80%,12.8
"Smith County, Kansas",20.10%,20.1
"Smith County, Mississippi",16.10%,16.1
"Smith County, Tennessee",11.60%,11.6
"Smith County, Texas",11.30%,11.3
"Smyth County, Virginia",16.50%,16.5
"Snohomish County, Washington",9.50%,9.5
"Snyder County, Pennsylvania",14.80%,14.8
"Socorro County, New Mexico",14.70%,14.7
"Solano County, California",10%,10
"Somerset County, Maine",15.40%,15.4
"Somerset County, Maryland",15.20%,15.2
"Somerset County, New Jersey",9.70%,9.7
"Somerset County, Pennsylvania",16.10%,16.1
"Somervell County, Texas",10.70%,10.7
"Sonoma County, California",14.30%,14.3
"South Central Connecticut Planning Region, Connecticut",12.60%,12.6
"Southampton County, Virginia",14.90%,14.9
"Southeast Fairbanks Census Area, Alaska",11.10%,11.1
"Southeastern Connecticut Planning Region, Connecticut",12.60%,12.6
"Spalding County, Georgia",12.10%,12.1
"Spartanburg County, South Carolina",11%,11
"Spencer County, Indiana",13.20%,13.2
"Spencer County, Kentucky",6.50%,6.5
"Spink County, South Dakota",15.80%,15.8
"Spokane County, Washington",12.40%,12.4
"Spotsylvania County, Virginia",7.50%,7.5
"St. Bernard Parish, Louisiana",9.90%,9.9
"St. Charles County, Missouri",10.50%,10.5
"St. Charles Parish, Louisiana",8.50%,8.5
"St. Clair County, Alabama",10.80%,10.8
"St. Clair County, Illinois",12.40%,12.4
"St. Clair County, Michigan",12.30%,12.3
"St. Clair County, Missouri",20.20%,20.2
"St. Croix County, Wisconsin",9%,9
"St. Francis County, Arkansas",14.20%,14.2
"St. Francois County, Missouri",12.30%,12.3
"St. Helena Parish, Louisiana",19.50%,19.5
"St. James Parish, Louisiana",10.40%,10.4
"St. John the Baptist Parish, Louisiana",9.90%,9.9
"St. Johns County, Florida",10.60%,10.6
"St. Joseph County, Indiana",14.60%,14.6
"St. Joseph County, Michigan",13.40%,13.4
"St. Landry Parish, Louisiana",12.70%,12.7
"St. Lawrence County, New York",15.10%,15.1
"St. Louis city, Missouri",12.30%,12.3
"St. Louis County, Minnesota",14.50%,14.5
"St. Louis County, Missouri",13.30%,13.3
"St. Lucie County, Florida",13.40%,13.4
"St. Martin Parish, Louisiana",11.20%,11.2
"St. Mary Parish, Louisiana",12.50%,12.5
"St. Mary's County, Maryland",8.30%,8.3
"St. Tammany Parish, Louisiana",11.60%,11.6
"Stafford County, Kansas",13.90%,13.9
"Stafford County, Virginia",6.90%,6.9
"Stanislaus County, California",9.10%,9.1
"Stanley County, South Dakota",12.50%,12.5
"Stanly County, North Carolina",13.70%,13.7
"Stanton County, Kansas",11.50%,11.5
"Stanton County, Nebraska",12.70%,12.7
"Stark County, Illinois",16.60%,16.6
"Stark County, North Dakota",10.50%,10.5
"Stark County, Ohio",13.60%,13.6
"Starke County, Indiana",13.60%,13.6
"Starr County, Texas",11.20%,11.2
"Staunton city, Virginia",19.40%,19.4
"Ste. Genevieve County, Missouri",12.50%,12.5
"Stearns County, Minnesota",11.10%,11.1
"Steele County, Minnesota",13.50%,13.5
"Steele County, North Dakota",17.70%,17.7
"Stephens County, Georgia",13.30%,13.3
"Stephens County, Oklahoma",14.70%,14.7
"Stephens County, Texas",15.50%,15.5
"Stephenson County, Illinois",15.50%,15.5
"Sterling County, Texas",5.90%,5.9
"Steuben County, Indiana",12.70%,12.7
"Steuben County, New York",14.10%,14.1
"Stevens County, Kansas",10%,10
"Stevens County, Minnesota",11.90%,11.9
"Stevens County, Washington",13.80%,13.8
"Stewart County, Georgia",11.60%,11.6
"Stewart County, Tennessee",18.10%,18.1
"Stillwater County, Montana",14%,14
"Stoddard County, Missouri",14.80%,14.8
"Stokes County, North Carolina",15.60%,15.6
"Stone County, Arkansas",20.20%,20.2
"Stone County, Mississippi",9.70%,9.7
"Stone County, Missouri",16.10%,16.1
"Stonewall County, Texas",18.70%,18.7
"Storey County, Nevada",29.70%,29.7
"Story County, Iowa",10.10%,10.1
"Strafford County, New Hampshire",11.80%,11.8
"Stutsman County, North Dakota",16%,16
"Sublette County, Wyoming",14.10%,14.1
"Suffolk city, Virginia",10%,10
"Suffolk County, Massachusetts",10.40%,10.4
"Suffolk County, New York",11.80%,11.8
"Sullivan County, Indiana",12.40%,12.4
"Sullivan County, Missouri",17.20%,17.2
"Sullivan County, New Hampshire",14.60%,14.6
"Sullivan County, New York",15.80%,15.8
"Sullivan County, Pennsylvania",17.30%,17.3
"Sullivan County, Tennessee",14.90%,14.9
"Sully County, South Dakota",20%,20
"Summers County, West Virginia",23.40%,23.4
"Summit County, Colorado",5.40%,5.4
"Summit County, Ohio",13.50%,13.5
"Summit County, Utah",7.20%,7.2
"Sumner County, Kansas",16.60%,16.6
"Sumner County, Tennessee",9.30%,9.3
"Sumter County, Alabama",14.20%,14.2
"Sumter County, Florida",24.30%,24.3
"Sumter County, Georgia",12.60%,12.6
"Sumter County, South Carolina",12.90%,12.9
"Sunflower County, Mississippi",14.20%,14.2
"Surry County, North Carolina",14.60%,14.6
"Surry County, Virginia",16.90%,16.9
"Susquehanna County, Pennsylvania",15.20%,15.2
"Sussex County, Delaware",15%,15
"Sussex County, New Jersey",10.30%,10.3
"Sussex County, Virginia",15.60%,15.6
"Sutter County, California",10.60%,10.6
"Sutton County, Texas",9.40%,9.4
"Suwannee County, Florida",12.10%,12.1
"Swain County, North Carolina",12.30%,12.3
"Sweet Grass County, Montana",15.60%,15.6
"Sweetwater County, Wyoming",11.30%,11.3
"Swift County, Minnesota",17.50%,17.5
"Swisher County, Texas",18.50%,18.5
"Switzerland County, Indiana",17.90%,17.9
"Talbot County, Georgia",19.80%,19.8
"Talbot County, Maryland",18.50%,18.5
"Taliaferro County, Georgia",13.40%,13.4
"Talladega County, Alabama",11.40%,11.4
"Tallahatchie County, Mississippi",12.30%,12.3
"Tallapoosa County, Alabama",16.10%,16.1
"Tama County, Iowa",12.30%,12.3
"Taney County, Missouri",14.20%,14.2
"Tangipahoa Parish, Louisiana",11.80%,11.8
"Taos County, New Mexico",21.70%,21.7
"Tarrant County, Texas",8%,8
"Tate County, Mississippi",9.10%,9.1
"Tattnall County, Georgia",14.20%,14.2
"Taylor County, Florida",14.90%,14.9
"Taylor County, Georgia",13.10%,13.1
"Taylor County, Iowa",16.50%,16.5
"Taylor County, Kentucky",13.40%,13.4
"Taylor County, Texas",9.90%,9.9
"Taylor County, West Virginia",13.30%,13.3
"Taylor County, Wisconsin",12.10%,12.1
"Tazewell County, Illinois",12.90%,12.9
"Tazewell County, Virginia",15.90%,15.9
"Tehama County, California",13.10%,13.1
"Telfair County, Georgia",17.90%,17.9
"Teller County, Colorado",13.20%,13.2
"Tensas Parish, Louisiana",21.70%,21.7
"Terrebonne Parish, Louisiana",10.40%,10.4
"Terrell County, Georgia",14.30%,14.3
"Terrell County, Texas",40.10%,40.1
"Terry County, Texas",10.40%,10.4
"Teton County, Idaho",9.80%,9.8
"Teton County, Montana",17.20%,17.2
"Teton County, Wyoming",6.30%,6.3
"Texas County, Missouri",13.90%,13.9
"Texas County, Oklahoma",8.50%,8.5
"Thayer County, Nebraska",16.80%,16.8
"Thomas County, Georgia",11%,11
"Thomas County, Kansas",12.40%,12.4
"Thomas County, Nebraska",9.20%,9.2
"Throckmorton County, Texas",21.30%,21.3
"Thurston County, Nebraska",10.60%,10.6
"Thurston County, Washington",11%,11
"Tift County, Georgia",13.40%,13.4
"Tillamook County, Oregon",17.60%,17.6
"Tillman County, Oklahoma",19.70%,19.7
"Tioga County, New York",13.80%,13.8
"Tioga County, Pennsylvania",13.90%,13.9
"Tippah County, Mississippi",12.10%,12.1
"Tippecanoe County, Indiana",8.90%,8.9
"Tipton County, Indiana",11.30%,11.3
"Tipton County, Tennessee",9.40%,9.4
"Tishomingo County, Mississippi",16%,16
"Titus County, Texas",8.50%,8.5
"Toa Alta Municipio, Puerto Rico",9.70%,9.7
"Toa Baja Municipio, Puerto Rico",13.90%,13.9
"Todd County, Kentucky",13.20%,13.2
"Todd County, Minnesota",12.60%,12.6
"Todd County, South Dakota",6.70%,6.7
"Tom Green County, Texas",11.50%,11.5
"Tompkins County, New York",10.10%,10.1
"Tooele County, Utah",6.90%,6.9
"Toole County, Montana",16.70%,16.7
"Toombs County, Georgia",17.40%,17.4
"Torrance County, New Mexico",12.30%,12.3
"Towner County, North Dakota",17.10%,17.1
"Towns County, Georgia",14.80%,14.8
"Traill County, North Dakota",13.60%,13.6
"Transylvania County, North Carolina",16.70%,16.7
"Traverse County, Minnesota",18.10%,18.1
"Travis County, Texas",6.30%,6.3
"Treasure County, Montana",16.80%,16.8
"Trego County, Kansas",9.70%,9.7
"Trempealeau County, Wisconsin",12.70%,12.7
"Treutlen County, Georgia",16%,16
"Trigg County, Kentucky",13.80%,13.8
"Trimble County, Kentucky",11.90%,11.9
"Trinity County, California",19.30%,19.3
"Trinity County, Texas",15.10%,15.1
"Tripp County, South Dakota",17.60%,17.6
"Troup County, Georgia",11%,11
"Trousdale County, Tennessee",10.50%,10.5
"Trujillo Alto Municipio, Puerto Rico",13.20%,13.2
"Trumbull County, Ohio",16.10%,16.1
"Tucker County, West Virginia",19.50%,19.5
"Tulare County, California",7.50%,7.5
"Tulsa County, Oklahoma",11.70%,11.7
"Tunica County, Mississippi",10.90%,10.9
"Tuolumne County, California",17.90%,17.9
"Turner County, Georgia",14.80%,14.8
"Turner County, South Dakota",14.60%,14.6
"Tuscaloosa County, Alabama",9.70%,9.7
"Tuscarawas County, Ohio",14.80%,14.8
"Tuscola County, Michigan",14.70%,14.7
"Twiggs County, Georgia",19.60%,19.6
"Twin Falls County, Idaho",11%,11
"Tyler County, Texas",12.70%,12.7
"Tyler County, West Virginia",18.50%,18.5
"Tyrrell County, North Carolina",14.40%,14.4
"Uinta County, Wyoming",11.50%,11.5
"Uintah County, Utah",8.60%,8.6
"Ulster County, New York",15.10%,15.1
"Umatilla County, Oregon",11.50%,11.5
"Unicoi County, Tennessee",16.80%,16.8
"Union County, Arkansas",12.50%,12.5
"Union County, Florida",9.10%,9.1
"Union County, Georgia",19.90%,19.9
"Union County, Illinois",21.40%,21.4
"Union County, Indiana",10.30%,10.3
"Union County, Iowa",15.60%,15.6
"Union County, Kentucky",13.60%,13.6
"Union County, Mississippi",12.60%,12.6
"Union County, New Jersey",10.70%,10.7
"Union County, New Mexico",23.50%,23.5
"Union County, North Carolina",6.90%,6.9
"Union County, Ohio",6.30%,6.3
"Union County, Oregon",14.80%,14.8
"Union County, Pennsylvania",16.10%,16.1
"Union County, South Carolina",12.60%,12.6
"Union County, South Dakota",10.20%,10.2
"Union County, Tennessee",9.60%,9.6
"Union Parish, Louisiana",14.60%,14.6
"Upshur County, Texas",12.30%,12.3
"Upshur County, West Virginia",13.30%,13.3
"Upson County, Georgia",14.90%,14.9
"Upton County, Texas",12.50%,12.5
"Utah County, Utah",4.90%,4.9
"Utuado Municipio, Puerto Rico",18.20%,18.2
"Uvalde County, Texas",10.80%,10.8
"Val Verde County, Texas",12%,12
"Valencia County, New Mexico",13.10%,13.1
"Valley County, Idaho",16%,16
"Valley County, Montana",19.30%,19.3
"Valley County, Nebraska",15%,15
"Van Buren County, Arkansas",19.30%,19.3
"Van Buren County, Iowa",15.80%,15.8
"Van Buren County, Michigan",12.20%,12.2
"Van Buren County, Tennessee",15.70%,15.7
"Van Wert County, Ohio",13.70%,13.7
"Van Zandt County, Texas",14%,14
"Vance County, North Carolina",13.60%,13.6
"Vanderburgh County, Indiana",12.70%,12.7
"Vega Alta Municipio, Puerto Rico",11.40%,11.4
"Vega Baja Municipio, Puerto Rico",15.60%,15.6
"Venango County, Pennsylvania",14%,14
"Ventura County, California",10.70%,10.7
"Vermilion County, Illinois",16.70%,16.7
"Vermilion Parish, Louisiana",10.20%,10.2
"Vermillion County, Indiana",10.90%,10.9
"Vernon County, Missouri",17.10%,17.1
"Vernon County, Wisconsin",14.40%,14.4
"Vernon Parish, Louisiana",9.30%,9.3
"Victoria County, Texas",11.40%,11.4
"Vieques Municipio, Puerto Rico",16.30%,16.3
"Vigo County, Indiana",12.80%,12.8
"Vilas County, Wisconsin",17.80%,17.8
"Villalba Municipio, Puerto Rico",10.50%,10.5
"Vinton County, Ohio",11.20%,11.2
"Virginia Beach city, Virginia",9.70%,9.7
"Volusia County, Florida",15.50%,15.5
"Wabash County, Illinois",15.70%,15.7
"Wabash County, Indiana",12%,12
"Wabasha County, Minnesota",12.90%,12.9
"Wabaunsee County, Kansas",17.70%,17.7
"Wadena County, Minnesota",13.30%,13.3
"Wagoner County, Oklahoma",10.80%,10.8
"Wahkiakum County, Washington",14.40%,14.4
"Wake County, North Carolina",7.80%,7.8
"Wakulla County, Florida",11.50%,11.5
"Waldo County, Maine",14.20%,14.2
"Walker County, Alabama",14.80%,14.8
"Walker County, Georgia",13.70%,13.7
"Walker County, Texas",12.60%,12.6
"Walla Walla County, Washington",14.30%,14.3
"Wallace County, Kansas",17.30%,17.3
"Waller County, Texas",4.70%,4.7
"Wallowa County, Oregon",13.80%,13.8
"Walsh County, North Dakota",15.80%,15.8
"Walthall County, Mississippi",13.70%,13.7
"Walton County, Florida",10.50%,10.5
"Walton County, Georgia",10.10%,10.1
"Walworth County, South Dakota",10%,10
"Walworth County, Wisconsin",12.40%,12.4
"Wapello County, Iowa",14%,14
"Ward County, North Dakota",10.40%,10.4
"Ward County, Texas",8.10%,8.1
"Ware County, Georgia",12.80%,12.8
"Warren County, Georgia",14.90%,14.9
"Warren County, Illinois",13.90%,13.9
"Warren County, Indiana",11.80%,11.8
"Warren County, Iowa",12.60%,12.6
"Warren County, Kentucky",9.40%,9.4
"Warren County, Mississippi",14%,14
"Warren County, Missouri",8.60%,8.6
"Warren County, New Jersey",12.90%,12.9
"Warren County, New York",15.10%,15.1
"Warren County, North Carolina",18.10%,18.1
"Warren County, Ohio",8.60%,8.6
"Warren County, Pennsylvania",14.40%,14.4
"Warren County, Tennessee",13.90%,13.9
"Warren County, Virginia",10%,10
"Warrick County, Indiana",9.60%,9.6
"Wasatch County, Utah",6.40%,6.4
"Wasco County, Oregon",15%,15
"Waseca County, Minnesota",12.70%,12.7
"Washakie County, Wyoming",12.80%,12.8
"Washburn County, Wisconsin",15.10%,15.1
"Washington County, Alabama",11.70%,11.7
"Washington County, Arkansas",8.70%,8.7
"Washington County, Colorado",13.30%,13.3
"Washington County, Florida",13.90%,13.9
"Washington County, Georgia",14.90%,14.9
"Washington County, Idaho",16%,16
"Washington County, Illinois",15.40%,15.4
"Washington County, Indiana",13%,13
"Washington County, Iowa",13.90%,13.9
"Washington County, Kansas",18.30%,18.3
"Washington County, Kentucky",14.60%,14.6
"Washington County, Maine",17.70%,17.7
"Washington County, Maryland",11.70%,11.7
"Washington County, Minnesota",10.50%,10.5
"Washington County, Mississippi",15.10%,15.1
"Washington County, Missouri",13.40%,13.4
"Washington County, Nebraska",12.20%,12.2
"Washington County, New York",14.40%,14.4
"Washington County, North Carolina",20.10%,20.1
"Washington County, Ohio",15.20%,15.2
"Washington County, Oklahoma",15.70%,15.7
"Washington County, Oregon",9.90%,9.9
"Washington County, Pennsylvania",14.50%,14.5
"Washington County, Rhode Island",12.30%,12.3
"Washington County, Tennessee",12%,12
"Washington County, Texas",14.60%,14.6
"Washington County, Utah",12%,12
"Washington County, Vermont",14%,14
"Washington County, Virginia",15.40%,15.4
"Washington County, Wisconsin",11.30%,11.3
"Washington Parish, Louisiana",14.40%,14.4
"Washita County, Oklahoma",14.40%,14.4
"Washoe County, Nevada",11.20%,11.2
"Washtenaw County, Michigan",9.70%,9.7
"Watauga County, North Carolina",11.30%,11.3
"Watonwan County, Minnesota",17.70%,17.7
"Waukesha County, Wisconsin",12.50%,12.5
"Waupaca County, Wisconsin",13.10%,13.1
"Waushara County, Wisconsin",15.90%,15.9
"Wayne County, Georgia",11.30%,11.3
"Wayne County, Illinois",17%,17
"Wayne County, Indiana",13.50%,13.5
"Wayne County, Iowa",17.60%,17.6
"Wayne County, Kentucky",18.50%,18.5
"Wayne County, Michigan",13.20%,13.2
"Wayne County, Mississippi",19.40%,19.4
"Wayne County, Missouri",18.60%,18.6
"Wayne County, Nebraska",17.60%,17.6
"Wayne County, New York",12.80%,12.8
"Wayne County, North Carolina",12.50%,12.5
"Wayne County, Ohio",12.90%,12.9
"Wayne County, Pennsylvania",16.30%,16.3
"Wayne County, Tennessee",15.90%,15.9
"Wayne County, Utah",10.40%,10.4
"Wayne County, West Virginia",13.90%,13.9
"Waynesboro city, Virginia",16%,16
"Weakley County, Tennessee",12.70%,12.7
"Webb County, Texas",7.10%,7.1
"Weber County, Utah",8.30%,8.3
"Webster County, Georgia",19.40%,19.4
"Webster County, Iowa",16.90%,16.9
"Webster County, Kentucky",13.20%,13.2
"Webster County, Mississippi",14.60%,14.6
"Webster County, Missouri",8.80%,8.8
"Webster County, Nebraska",12.90%,12.9
"Webster County, West Virginia",15.50%,15.5
"Webster Parish, Louisiana",14.70%,14.7
"Weld County, Colorado",8.60%,8.6
"Wells County, Indiana",13.30%,13.3
"Wells County, North Dakota",23.30%,23.3
"West Baton Rouge Parish, Louisiana",7.50%,7.5
"West Carroll Parish, Louisiana",15.40%,15.4
"West Feliciana Parish, Louisiana",11.60%,11.6
"Westchester County, New York",13%,13
"Western Connecticut Planning Region, Connecticut",11.20%,11.2
"Westmoreland County, Pennsylvania",15.30%,15.3
"Westmoreland County, Virginia",16.60%,16.6
"Weston County, Wyoming",9.70%,9.7
"Wetzel County, West Virginia",17%,17
"Wexford County, Michigan",13.60%,13.6
"Wharton County, Texas",13.50%,13.5
"Whatcom County, Washington",12%,12
"Wheatland County, Montana",25.40%,25.4
"Wheeler County, Georgia",19.30%,19.3
"Wheeler County, Nebraska",20.50%,20.5
"Wheeler County, Oregon",21.80%,21.8
"Wheeler County, Texas",11.90%,11.9
"White County, Arkansas",11.70%,11.7
"White County, Georgia",11.40%,11.4
"White County, Illinois",17.10%,17.1
"White County, Indiana",13.40%,13.4
"White County, Tennessee",13.50%,13.5
"White Pine County, Nevada",14.70%,14.7
"Whiteside County, Illinois",15.70%,15.7
"Whitfield County, Georgia",11.50%,11.5
"Whitley County, Indiana",10.60%,10.6
"Whitley County, Kentucky",11.50%,11.5
"Whitman County, Washington",8.90%,8.9
"Wibaux County, Montana",22.50%,22.5
"Wichita County, Kansas",7.50%,7.5
"Wichita County, Texas",11.90%,11.9
"Wicomico County, Maryland",11.80%,11.8
"Wilbarger County, Texas",15.80%,15.8
"Wilcox County, Alabama",15.20%,15.2
"Wilcox County, Georgia",14.80%,14.8
"Wilkes County, Georgia",20.10%,20.1
"Wilkes County, North Carolina",14.90%,14.9
"Wilkin County, Minnesota",14.50%,14.5
"Wilkinson County, Georgia",14.80%,14.8
"Wilkinson County, Mississippi",14.60%,14.6
"Will County, Illinois",8.80%,8.8
"Willacy County, Texas",10.80%,10.8
"Williams County, North Dakota",8.90%,8.9
"Williams County, Ohio",14.20%,14.2
"Williamsburg city, Virginia",16.60%,16.6
"Williamsburg County, South Carolina",18.90%,18.9
"Williamson County, Illinois",14.90%,14.9
"Williamson County, Tennessee",8.40%,8.4
"Williamson County, Texas",7.70%,7.7
"Wilson County, Kansas",15.80%,15.8
"Wilson County, North Carolina",14.50%,14.5
"Wilson County, Tennessee",9%,9
"Wilson County, Texas",8.20%,8.2
"Winchester city, Virginia",12.80%,12.8
"Windham County, Vermont",19.10%,19.1
"Windsor County, Vermont",16.70%,16.7
"Winkler County, Texas",9.10%,9.1
"Winn Parish, Louisiana",15.90%,15.9
"Winnebago County, Illinois",13.20%,13.2
"Winnebago County, Iowa",15.80%,15.8
"Winnebago County, Wisconsin",12.60%,12.6
"Winneshiek County, Iowa",14.80%,14.8
"Winona County, Minnesota",12.10%,12.1
"Winston County, Alabama",11.90%,11.9
"Winston County, Mississippi",15.90%,15.9
"Wirt County, West Virginia",10.90%,10.9
"Wise County, Texas",8.60%,8.6
"Wise County, Virginia",14.70%,14.7
"Wolfe County, Kentucky",16.80%,16.8
"Wood County, Ohio",11.70%,11.7
"Wood County, Texas",16.70%,16.7
"Wood County, West Virginia",17.50%,17.5
"Wood County, Wisconsin",14.60%,14.6
"Woodbury County, Iowa",12.20%,12.2
"Woodford County, Illinois",11.60%,11.6
"Woodford County, Kentucky",10.80%,10.8
"Woodruff County, Arkansas",15.40%,15.4
"Woods County, Oklahoma",13.70%,13.7
"Woodson County, Kansas",15.90%,15.9
"Woodward County, Oklahoma",12.70%,12.7
"Worcester County, Maryland",15.80%,15.8
"Worcester County, Massachusetts",11.30%,11.3
"Worth County, Georgia",15.80%,15.8
"Worth County, Iowa",15.20%,15.2
"Worth County, Missouri",20.10%,20.1
"Wrangell City and Borough, Alaska",16.40%,16.4
"Wright County, Iowa",13.90%,13.9
"Wright County, Minnesota",9.60%,9.6
"Wright County, Missouri",15.30%,15.3
"Wyandot County, Ohio",14.90%,14.9
"Wyandotte County, Kansas",11.50%,11.5
"Wyoming County, New York",13%,13
"Wyoming County, Pennsylvania",13.30%,13.3
"Wyoming County, West Virginia",11.90%,11.9
"Wythe County, Virginia",14.20%,14.2
"Yabucoa Municipio, Puerto Rico",13.10%,13.1
"Yadkin County, North Carolina",15.60%,15.6
"Yakima County, Washington",10.90%,10.9
"Yakutat City and Borough, Alaska",12.60%,12.6
"Yalobusha County, Mississippi",15.70%,15.7
"Yamhill County, Oregon",11.90%,11.9
"Yancey County, North Carolina",16.40%,16.4
"Yankton County, South Dakota",14.10%,14.1
"Yates County, New York",16%,16
"Yauco Municipio, Puerto Rico",19.10%,19.1
"Yavapai County, Arizona",19%,19
"Yazoo County, Mississippi",13.60%,13.6
"Yell County, Arkansas",12.10%,12.1
"Yellow Medicine County, Minnesota",14%,14
"Yellowstone County, Montana",12.30%,12.3
"Yoakum County, Texas",4.60%,4.6
"Yolo County, California",9.20%,9.2
"York County, Maine",13.80%,13.8
"York County, Nebraska",13%,13
"York County, Pennsylvania",12.40%,12.4
"York County, South Carolina",9.20%,9.2
"York County, Virginia",11.30%,11.3
"Young County, Texas",14.30%,14.3
"Yuba County, California",9.80%,9.8
"Yukon-Koyukuk Census Area, Alaska",14.50%,14.5
"Yuma County, Arizona",12.30%,12.3
"Yuma County, Colorado",13.10%,13.1
"Zapata County, Texas",14.80%,14.8
"Zavala County, Texas",8.50%,8.5
"Ziebach County, South Dakota",7.30%,7.3
