Geographic Area,Percentage Children under 6 years,Child under 6 yrs
"Scotts Bluff County, Nebraska",23.40%,23.4
"Screven County, Georgia",30.60%,30.6
"Scurry County, Texas",20.10%,20.1
"Searcy County, Arkansas",21.40%,21.4
"Sebastian County, Arkansas",24.40%,24.4
"Sedgwick County, Colorado",24.90%,24.9
"Sedgwick County, Kansas",19.50%,19.5
"Seminole County, Florida",20.50%,20.5
"Seminole County, Georgia",8.50%,8.5
"Seminole County, Oklahoma",18.90%,18.9
"Seneca County, New York",21.30%,21.3
"Seneca County, Ohio",17.50%,17.5
"Sequatchie County, Tennessee",14.10%,14.1
"Sequoyah County, Oklahoma",20.50%,20.5
"Sevier County, Arkansas",14.20%,14.2
"Sevier County, Tennessee",16.20%,16.2
"Sevier County, Utah",24.30%,24.3
"Seward County, Kansas",21.30%,21.3
"Seward County, Nebraska",17.90%,17.9
"Shackelford County, Texas",21.70%,21.7
"Shannon County, Missouri",15.20%,15.2
"Sharkey County, Mississippi",22.20%,22.2
"Sharp County, Arkansas",16.20%,16.2
"Shasta County, California",17.90%,17.9
"Shawano County, Wisconsin",17.40%,17.4
"Shawnee County, Kansas",19.90%,19.9
"Sheboygan County, Wisconsin",18.60%,18.6
"Shelby County, Alabama",19%,19
"Shelby County, Illinois",17.30%,17.3
"Shelby County, Indiana",18.70%,18.7
"Shelby County, Iowa",20.90%,20.9
"Shelby County, Kentucky",21.80%,21.8
"Shelby County, Missouri",21.70%,21.7
"Shelby County, Ohio",21.20%,21.2
"Shelby County, Tennessee",20.70%,20.7
"Shelby County, Texas",19%,19
"Shenandoah County, Virginia",21.50%,21.5
"Sherburne County, Minnesota",17.20%,17.2
"Sheridan County, Kansas",17.70%,17.7
"Sheridan County, Montana",20.50%,20.5
"Sheridan County, Nebraska",19.50%,19.5
"Sheridan County, North Dakota",29.90%,29.9
"Sheridan County, Wyoming",25.70%,25.7
"Sherman County, Kansas",14.80%,14.8
"Sherman County, Nebraska",24%,24
"Sherman County, Oregon",10.90%,10.9
"Sherman County, Texas",12.70%,12.7
"Shiawassee County, Michigan",20.30%,20.3
"Shoshone County, Idaho",25.20%,25.2
"Sibley County, Minnesota",19.50%,19.5
"Sierra County, California",0%,0
"Sierra County, New Mexico",24.90%,24.9
"Silver Bow County, Montana",18.50%,18.5
"Simpson County, Kentucky",20.90%,20.9
"Simpson County, Mississippi",22.80%,22.8
"Sioux County, Iowa",23.40%,23.4
"Sioux County, Nebraska",27.60%,27.6
"Sioux County, North Dakota",17.40%,17.4
"Siskiyou County, California",14.70%,14.7
"Sitka City and Borough, Alaska",25%,25
"Skagit County, Washington",23.20%,23.2
"Skagway Municipality, Alaska",27.30%,27.3
"Skamania County, Washington",28.60%,28.6
"Slope County, North Dakota",4.80%,4.8
"Smith County, Kansas",20.10%,20.1
"Smith County, Mississippi",22.10%,22.1
"Smith County, Tennessee",27.40%,27.4
"Smith County, Texas",19.10%,19.1
"Smyth County, Virginia",14.90%,14.9
"Snohomish County, Washington",23.20%,23.2
"Snyder County, Pennsylvania",24.10%,24.1
"Socorro County, New Mexico",18.60%,18.6
"Solano County, California",20.30%,20.3
"Somerset County, Maine",23.30%,23.3
"Somerset County, Maryland",18.50%,18.5
"Somerset County, New Jersey",19.20%,19.2
"Somerset County, Pennsylvania",23.30%,23.3
"Somervell County, Texas",20%,20
"Sonoma County, California",19.70%,19.7
"South Central Connecticut Planning Region, Connecticut",19.90%,19.9
"Southampton County, Virginia",17.30%,17.3
"Southeast Fairbanks Census Area, Alaska",22.10%,22.1
"Southeastern Connecticut Planning Region, Connecticut",22.90%,22.9
"Spalding County, Georgia",22.40%,22.4
"Spartanburg County, South Carolina",23.50%,23.5
"Spencer County, Indiana",14.70%,14.7
"Spencer County, Kentucky",22.40%,22.4
"Spink County, South Dakota",20.50%,20.5
"Spokane County, Washington",21.80%,21.8
"Spotsylvania County, Virginia",20.80%,20.8
"St. Bernard Parish, Louisiana",16.10%,16.1
"St. Charles County, Missouri",19.40%,19.4
"St. Charles Parish, Louisiana",19.10%,19.1
"St. Clair County, Alabama",21.60%,21.6
"St. Clair County, Illinois",19.30%,19.3
"St. Clair County, Michigan",16.90%,16.9
"St. Clair County, Missouri",25.30%,25.3
"St. Croix County, Wisconsin",22.30%,22.3
"St. Francis County, Arkansas",13.20%,13.2
"St. Francois County, Missouri",22%,22
"St. Helena Parish, Louisiana",18.30%,18.3
"St. James Parish, Louisiana",18.40%,18.4
"St. John the Baptist Parish, Louisiana",18.40%,18.4
"St. Johns County, Florida",18.40%,18.4
"St. Joseph County, Indiana",23.30%,23.3
"St. Joseph County, Michigan",21.10%,21.1
"St. Landry Parish, Louisiana",20.70%,20.7
"St. Lawrence County, New York",20.80%,20.8
"St. Louis city, Missouri",27.40%,27.4
"St. Louis County, Minnesota",22.50%,22.5
"St. Louis County, Missouri",23.30%,23.3
"St. Lucie County, Florida",20.80%,20.8
"St. Martin Parish, Louisiana",16.20%,16.2
"St. Mary Parish, Louisiana",19.40%,19.4
"St. Mary's County, Maryland",19.60%,19.6
"St. Tammany Parish, Louisiana",16.90%,16.9
"Stafford County, Kansas",23.70%,23.7
"Stafford County, Virginia",18.70%,18.7
"Stanislaus County, California",18.50%,18.5
"Stanley County, South Dakota",12.80%,12.8
"Stanly County, North Carolina",26.10%,26.1
"Stanton County, Kansas",18.20%,18.2
"Stanton County, Nebraska",25.20%,25.2
"Stark County, Illinois",17.10%,17.1
"Stark County, North Dakota",23.70%,23.7
"Stark County, Ohio",20.60%,20.6
"Starke County, Indiana",24.60%,24.6
"Starr County, Texas",14.20%,14.2
"Staunton city, Virginia",23.50%,23.5
"Ste. Genevieve County, Missouri",16.60%,16.6
"Stearns County, Minnesota",22.50%,22.5
"Steele County, Minnesota",15.70%,15.7
"Steele County, North Dakota",17.80%,17.8
"Stephens County, Georgia",24.10%,24.1
"Stephens County, Oklahoma",21.50%,21.5
"Stephens County, Texas",26.20%,26.2
"Stephenson County, Illinois",22.10%,22.1
"Sterling County, Texas",26.90%,26.9
"Steuben County, Indiana",19.30%,19.3
"Steuben County, New York",20.70%,20.7
"Stevens County, Kansas",13.30%,13.3
"Stevens County, Minnesota",30.80%,30.8
"Stevens County, Washington",15.90%,15.9
"Stewart County, Georgia",4.70%,4.7
"Stewart County, Tennessee",22.40%,22.4
"Stillwater County, Montana",13.20%,13.2
"Stoddard County, Missouri",26.90%,26.9
"Stokes County, North Carolina",18%,18
"Stone County, Arkansas",26.10%,26.1
"Stone County, Mississippi",23%,23
"Stone County, Missouri",19.40%,19.4
"Stonewall County, Texas",26.80%,26.8
"Storey County, Nevada",17.10%,17.1
"Story County, Iowa",21.80%,21.8
"Strafford County, New Hampshire",28.90%,28.9
"Stutsman County, North Dakota",23.70%,23.7
"Sublette County, Wyoming",40.60%,40.6
"Suffolk city, Virginia",18.70%,18.7
"Suffolk County, Massachusetts",27.50%,27.5
"Suffolk County, New York",19.40%,19.4
"Sullivan County, Indiana",20.70%,20.7
"Sullivan County, Missouri",13%,13
"Sullivan County, New Hampshire",24.40%,24.4
"Sullivan County, New York",23.50%,23.5
"Sullivan County, Pennsylvania",17.10%,17.1
"Sullivan County, Tennessee",22.30%,22.3
"Sully County, South Dakota",7.60%,7.6
"Summers County, West Virginia",6.80%,6.8
"Summit County, Colorado",20.10%,20.1
"Summit County, Ohio",23.30%,23.3
"Summit County, Utah",13.30%,13.3
"Sumner County, Kansas",18.50%,18.5
"Sumner County, Tennessee",20.80%,20.8
"Sumter County, Alabama",11.60%,11.6
"Sumter County, Florida",18.10%,18.1
"Sumter County, Georgia",26.80%,26.8
"Sumter County, South Carolina",30.50%,30.5
"Sunflower County, Mississippi",15.10%,15.1
"Surry County, North Carolina",22.20%,22.2
"Surry County, Virginia",31.20%,31.2
"Susquehanna County, Pennsylvania",18.70%,18.7
"Sussex County, Delaware",17.70%,17.7
"Sussex County, New Jersey",20.70%,20.7
"Sussex County, Virginia",15.10%,15.1
"Sutter County, California",24.50%,24.5
"Sutton County, Texas",13.40%,13.4
"Suwannee County, Florida",10.90%,10.9
"Swain County, North Carolina",15.10%,15.1
"Sweet Grass County, Montana",14.70%,14.7
"Sweetwater County, Wyoming",17.20%,17.2
"Swift County, Minnesota",23.40%,23.4
"Swisher County, Texas",14.10%,14.1
"Switzerland County, Indiana",16.10%,16.1
"Talbot County, Georgia",30.20%,30.2
"Talbot County, Maryland",18%,18
"Taliaferro County, Georgia",31.70%,31.7
"Talladega County, Alabama",24.80%,24.8
"Tallahatchie County, Mississippi",13.20%,13.2
"Tallapoosa County, Alabama",20.80%,20.8
"Tama County, Iowa",19.40%,19.4
"Taney County, Missouri",18.70%,18.7
"Tangipahoa Parish, Louisiana",17%,17
"Taos County, New Mexico",15.90%,15.9
"Tarrant County, Texas",21%,21
"Tate County, Mississippi",17.90%,17.9
"Tattnall County, Georgia",16.80%,16.8
"Taylor County, Florida",23.80%,23.8
"Taylor County, Georgia",18%,18
"Taylor County, Iowa",23.30%,23.3
"Taylor County, Kentucky",24%,24
"Taylor County, Texas",23.10%,23.1
"Taylor County, West Virginia",13.60%,13.6
"Taylor County, Wisconsin",17.60%,17.6
"Tazewell County, Illinois",19.40%,19.4
"Tazewell County, Virginia",21.60%,21.6
"Tehama County, California",17.30%,17.3
"Telfair County, Georgia",18.10%,18.1
"Teller County, Colorado",25.50%,25.5
"Tensas Parish, Louisiana",10%,10
"Terrebonne Parish, Louisiana",23.60%,23.6
"Terrell County, Georgia",19%,19
"Terrell County, Texas",25.90%,25.9
"Terry County, Texas",28%,28
"Teton County, Idaho",35.10%,35.1
"Teton County, Montana",19.10%,19.1
"Teton County, Wyoming",26.90%,26.9
"Texas County, Missouri",20.50%,20.5
"Texas County, Oklahoma",14%,14
"Thayer County, Nebraska",19.10%,19.1
"Thomas County, Georgia",20.10%,20.1
"Thomas County, Kansas",20.40%,20.4
"Thomas County, Nebraska",35.30%,35.3
"Throckmorton County, Texas",37.40%,37.4
"Thurston County, Nebraska",15.40%,15.4
"Thurston County, Washington",22.50%,22.5
"Tift County, Georgia",22.30%,22.3
"Tillamook County, Oregon",21.10%,21.1
"Tillman County, Oklahoma",15.50%,15.5
"Tioga County, New York",23.30%,23.3
"Tioga County, Pennsylvania",15.50%,15.5
"Tippah County, Mississippi",17.30%,17.3
"Tippecanoe County, Indiana",23.10%,23.1
"Tipton County, Indiana",30.50%,30.5
"Tipton County, Tennessee",20.60%,20.6
"Tishomingo County, Mississippi",27.10%,27.1
"Titus County, Texas",15.60%,15.6
"Toa Alta Municipio, Puerto Rico",15.80%,15.8
"Toa Baja Municipio, Puerto Rico",16%,16
"Todd County, Kentucky",24.40%,24.4
"Todd County, Minnesota",21.50%,21.5
"Todd County, South Dakota",12.10%,12.1
"Tom Green County, Texas",18.80%,18.8
"Tompkins County, New York",22.60%,22.6
"Tooele County, Utah",18.90%,18.9
"Toole County, Montana",29.80%,29.8
"Toombs County, Georgia",13.50%,13.5
"Torrance County, New Mexico",23.30%,23.3
"Towner County, North Dakota",18%,18
"Towns County, Georgia",20.30%,20.3
"Traill County, North Dakota",22.10%,22.1
"Transylvania County, North Carolina",16.20%,16.2
"Traverse County, Minnesota",24.20%,24.2
"Travis County, Texas",25.90%,25.9
"Treasure County, Montana",35.70%,35.7
"Trego County, Kansas",33.90%,33.9
"Trempealeau County, Wisconsin",20.70%,20.7
"Treutlen County, Georgia",7.80%,7.8
"Trigg County, Kentucky",17.60%,17.6
"Trimble County, Kentucky",17.10%,17.1
"Trinity County, California",16.20%,16.2
"Trinity County, Texas",16.20%,16.2
"Tripp County, South Dakota",18.70%,18.7
"Troup County, Georgia",22.70%,22.7
"Trousdale County, Tennessee",22.70%,22.7
"Trujillo Alto Municipio, Puerto Rico",16.50%,16.5
"Trumbull County, Ohio",21.80%,21.8
"Tucker County, West Virginia",19.90%,19.9
"Tulare County, California",18.60%,18.6
"Tulsa County, Oklahoma",22.40%,22.4
"Tunica County, Mississippi",25.70%,25.7
"Tuolumne County, California",30.70%,30.7
"Turner County, Georgia",18.40%,18.4
"Turner County, South Dakota",18.60%,18.6
"Tuscaloosa County, Alabama",22.50%,22.5
"Tuscarawas County, Ohio",23.20%,23.2
"Tuscola County, Michigan",20.10%,20.1
"Twiggs County, Georgia",18%,18
"Twin Falls County, Idaho",21.60%,21.6
"Tyler County, Texas",13.50%,13.5
"Tyler County, West Virginia",22.70%,22.7
"Tyrrell County, North Carolina",30%,30
"Uinta County, Wyoming",23.40%,23.4
"Uintah County, Utah",22%,22
"Ulster County, New York",23.40%,23.4
"Umatilla County, Oregon",21.40%,21.4
"Unicoi County, Tennessee",17.60%,17.6
"Union County, Arkansas",24.50%,24.5
"Union County, Florida",27.80%,27.8
"Union County, Georgia",15.60%,15.6
"Union County, Illinois",24.90%,24.9
"Union County, Indiana",18.50%,18.5
"Union County, Iowa",20.20%,20.2
"Union County, Kentucky",14.80%,14.8
"Union County, Mississippi",18.10%,18.1
"Union County, New Jersey",19.70%,19.7
"Union County, New Mexico",24.10%,24.1
"Union County, North Carolina",15.70%,15.7
"Union County, Ohio",21%,21
"Union County, Oregon",21.50%,21.5
"Union County, Pennsylvania",32.10%,32.1
"Union County, South Carolina",17.40%,17.4
"Union County, South Dakota",16.10%,16.1
"Union County, Tennessee",21.60%,21.6
"Union Parish, Louisiana",23.70%,23.7
"Upshur County, Texas",21.80%,21.8
"Upshur County, West Virginia",24.20%,24.2
"Upson County, Georgia",19%,19
"Upton County, Texas",6.10%,6.1
"Utah County, Utah",23.80%,23.8
"Utuado Municipio, Puerto Rico",14%,14
"Uvalde County, Texas",13.80%,13.8
"Val Verde County, Texas",22.60%,22.6
"Valencia County, New Mexico",19.30%,19.3
"Valley County, Idaho",14.80%,14.8
"Valley County, Montana",23%,23
"Valley County, Nebraska",12.60%,12.6
"Van Buren County, Arkansas",19%,19
"Van Buren County, Iowa",16.90%,16.9
"Van Buren County, Michigan",20.20%,20.2
"Van Buren County, Tennessee",29.30%,29.3
"Van Wert County, Ohio",24.60%,24.6
"Van Zandt County, Texas",18%,18
"Vance County, North Carolina",21.10%,21.1
"Vanderburgh County, Indiana",22%,22
"Vega Alta Municipio, Puerto Rico",19.80%,19.8
"Vega Baja Municipio, Puerto Rico",17.20%,17.2
"Venango County, Pennsylvania",21%,21
"Ventura County, California",18.30%,18.3
"Vermilion County, Illinois",18.30%,18.3
"Vermilion Parish, Louisiana",20.10%,20.1
"Vermillion County, Indiana",15.30%,15.3
"Vernon County, Missouri",16.20%,16.2
"Vernon County, Wisconsin",19.10%,19.1
"Vernon Parish, Louisiana",28.10%,28.1
"Victoria County, Texas",21%,21
"Vieques Municipio, Puerto Rico",19%,19
"Vigo County, Indiana",23.90%,23.9
"Vilas County, Wisconsin",25.30%,25.3
"Villalba Municipio, Puerto Rico",9.80%,9.8
"Vinton County, Ohio",18%,18
"Virginia Beach city, Virginia",24.20%,24.2
"Volusia County, Florida",21.50%,21.5
"Wabash County, Illinois",27.10%,27.1
"Wabash County, Indiana",24%,24
"Wabasha County, Minnesota",20.80%,20.8
"Wabaunsee County, Kansas",24.20%,24.2
"Wadena County, Minnesota",26%,26
"Wagoner County, Oklahoma",19.70%,19.7
"Wahkiakum County, Washington",18.40%,18.4
"Wake County, North Carolina",21%,21
"Wakulla County, Florida",22.10%,22.1
"Waldo County, Maine",21.10%,21.1
"Walker County, Alabama",17.20%,17.2
"Walker County, Georgia",22.70%,22.7
"Walker County, Texas",22%,22
"Walla Walla County, Washington",18.10%,18.1
"Wallace County, Kansas",40.40%,40.4
"Waller County, Texas",23.90%,23.9
"Wallowa County, Oregon",22.60%,22.6
"Walsh County, North Dakota",20.40%,20.4
"Walthall County, Mississippi",12.60%,12.6
"Walton County, Florida",25.70%,25.7
"Walton County, Georgia",18.30%,18.3
"Walworth County, South Dakota",21.20%,21.2
"Walworth County, Wisconsin",19.50%,19.5
"Wapello County, Iowa",24%,24
"Ward County, North Dakota",23.60%,23.6
"Ward County, Texas",13.50%,13.5
"Ware County, Georgia",24.80%,24.8
"Warren County, Georgia",19.30%,19.3
"Warren County, Illinois",22.50%,22.5
"Warren County, Indiana",17.80%,17.8
"Warren County, Iowa",21.40%,21.4
"Warren County, Kentucky",25.30%,25.3
"Warren County, Mississippi",21.10%,21.1
"Warren County, Missouri",15.80%,15.8
"Warren County, New Jersey",17.80%,17.8
"Warren County, New York",26.40%,26.4
"Warren County, North Carolina",12.40%,12.4
"Warren County, Ohio",18.60%,18.6
"Warren County, Pennsylvania",23.10%,23.1
"Warren County, Tennessee",18%,18
"Warren County, Virginia",23.30%,23.3
"Warrick County, Indiana",15.80%,15.8
"Wasatch County, Utah",18.60%,18.6
"Wasco County, Oregon",18.60%,18.6
"Waseca County, Minnesota",21.60%,21.6
"Washakie County, Wyoming",19.90%,19.9
"Washburn County, Wisconsin",16.10%,16.1
"Washington County, Alabama",32.40%,32.4
"Washington County, Arkansas",27.50%,27.5
"Washington County, Colorado",21.50%,21.5
"Washington County, Florida",12.40%,12.4
"Washington County, Georgia",19.20%,19.2
"Washington County, Idaho",13.80%,13.8
"Washington County, Illinois",19.10%,19.1
"Washington County, Indiana",12.90%,12.9
"Washington County, Iowa",23.20%,23.2
"Washington County, Kansas",22.10%,22.1
"Washington County, Kentucky",20.40%,20.4
"Washington County, Maine",27%,27
"Washington County, Maryland",22.50%,22.5
"Washington County, Minnesota",20%,20
"Washington County, Mississippi",15.50%,15.5
"Washington County, Missouri",17.50%,17.5
"Washington County, Nebraska",21.80%,21.8
"Washington County, New York",22.90%,22.9
"Washington County, North Carolina",21%,21
"Washington County, Ohio",26.90%,26.9
"Washington County, Oklahoma",20.90%,20.9
"Washington County, Oregon",22.80%,22.8
"Washington County, Pennsylvania",22.80%,22.8
"Washington County, Rhode Island",19.40%,19.4
"Washington County, Tennessee",23%,23
"Washington County, Texas",17.60%,17.6
"Washington County, Utah",22.10%,22.1
"Washington County, Vermont",21.50%,21.5
"Washington County, Virginia",24.30%,24.3
"Washington County, Wisconsin",22.30%,22.3
"Washington Parish, Louisiana",20.80%,20.8
"Washita County, Oklahoma",26.40%,26.4
"Washoe County, Nevada",21.50%,21.5
"Washtenaw County, Michigan",24.70%,24.7
"Watauga County, North Carolina",22%,22
"Watonwan County, Minnesota",15.50%,15.5
"Waukesha County, Wisconsin",20.50%,20.5
"Waupaca County, Wisconsin",17.60%,17.6
"Waushara County, Wisconsin",19.60%,19.6
"Wayne County, Georgia",15.30%,15.3
"Wayne County, Illinois",24.70%,24.7
"Wayne County, Indiana",21.80%,21.8
"Wayne County, Iowa",15.90%,15.9
"Wayne County, Kentucky",20.40%,20.4
"Wayne County, Michigan",20.40%,20.4
"Wayne County, Mississippi",13.90%,13.9
"Wayne County, Missouri",8.30%,8.3
"Wayne County, Nebraska",33.10%,33.1
"Wayne County, New York",19.70%,19.7
"Wayne County, North Carolina",24.10%,24.1
"Wayne County, Ohio",23.90%,23.9
"Wayne County, Pennsylvania",20.30%,20.3
"Wayne County, Tennessee",29%,29
"Wayne County, Utah",26.40%,26.4
"Wayne County, West Virginia",23%,23
"Waynesboro city, Virginia",30.80%,30.8
"Weakley County, Tennessee",18.50%,18.5
"Webb County, Texas",15.10%,15.1
"Weber County, Utah",22.50%,22.5
"Webster County, Georgia",20.30%,20.3
"Webster County, Iowa",24.80%,24.8
"Webster County, Kentucky",21.50%,21.5
"Webster County, Mississippi",23.70%,23.7
"Webster County, Missouri",19.90%,19.9
"Webster County, Nebraska",26.10%,26.1
"Webster County, West Virginia",23.20%,23.2
"Webster Parish, Louisiana",16.90%,16.9
"Weld County, Colorado",20%,20
"Wells County, Indiana",21.20%,21.2
"Wells County, North Dakota",17.60%,17.6
"West Baton Rouge Parish, Louisiana",19%,19
"West Carroll Parish, Louisiana",9.50%,9.5
"West Feliciana Parish, Louisiana",30.90%,30.9
"Westchester County, New York",21.90%,21.9
"Western Connecticut Planning Region, Connecticut",20.90%,20.9
"Westmoreland County, Pennsylvania",21.30%,21.3
"Westmoreland County, Virginia",13.20%,13.2
"Weston County, Wyoming",17.60%,17.6
"Wetzel County, West Virginia",26.20%,26.2
"Wexford County, Michigan",19.40%,19.4
"Wharton County, Texas",16.80%,16.8
"Whatcom County, Washington",25.70%,25.7
"Wheatland County, Montana",13.50%,13.5
"Wheeler County, Georgia",18.50%,18.5
"Wheeler County, Nebraska",19.50%,19.5
"Wheeler County, Oregon",39.10%,39.1
"Wheeler County, Texas",15.20%,15.2
"White County, Arkansas",19.70%,19.7
"White County, Georgia",23.40%,23.4
"White County, Illinois",14.80%,14.8
"White County, Indiana",19.80%,19.8
"White County, Tennessee",23.90%,23.9
"White Pine County, Nevada",6.20%,6.2
"Whiteside County, Illinois",17.30%,17.3
"Whitfield County, Georgia",18.20%,18.2
"Whitley County, Indiana",21.40%,21.4
"Whitley County, Kentucky",25.70%,25.7
"Whitman County, Washington",29.90%,29.9
"Wibaux County, Montana",37.70%,37.7
"Wichita County, Kansas",33.60%,33.6
"Wichita County, Texas",24.20%,24.2
"Wicomico County, Maryland",21.10%,21.1
"Wilbarger County, Texas",23.20%,23.2
"Wilcox County, Alabama",6%,6
"Wilcox County, Georgia",20.20%,20.2
"Wilkes County, Georgia",17.20%,17.2
"Wilkes County, North Carolina",21.40%,21.4
"Wilkin County, Minnesota",20.90%,20.9
"Wilkinson County, Georgia",20.80%,20.8
"Wilkinson County, Mississippi",14.10%,14.1
"Will County, Illinois",19.10%,19.1
"Willacy County, Texas",7.20%,7.2
"Williams County, North Dakota",21.20%,21.2
"Williams County, Ohio",22.40%,22.4
"Williamsburg city, Virginia",10.60%,10.6
"Williamsburg County, South Carolina",14.70%,14.7
"Williamson County, Illinois",22.30%,22.3
"Williamson County, Tennessee",17.10%,17.1
"Williamson County, Texas",21.60%,21.6
"Wilson County, Kansas",16.60%,16.6
"Wilson County, North Carolina",19.70%,19.7
"Wilson County, Tennessee",21.20%,21.2
"Wilson County, Texas",18.30%,18.3
"Winchester city, Virginia",24.30%,24.3
"Windham County, Vermont",25.10%,25.1
"Windsor County, Vermont",22.90%,22.9
"Winkler County, Texas",12.40%,12.4
"Winn Parish, Louisiana",21%,21
"Winnebago County, Illinois",19.50%,19.5
"Winnebago County, Iowa",31%,31
"Winnebago County, Wisconsin",24.30%,24.3
"Winneshiek County, Iowa",22%,22
"Winona County, Minnesota",24.70%,24.7
"Winston County, Alabama",16.20%,16.2
"Winston County, Mississippi",15.40%,15.4
"Wirt County, West Virginia",12.30%,12.3
"Wise County, Texas",17.80%,17.8
"Wise County, Virginia",30.20%,30.2
"Wolfe County, Kentucky",20%,20
"Wood County, Ohio",22.90%,22.9
"Wood County, Texas",19.40%,19.4
"Wood County, West Virginia",22%,22
"Wood County, Wisconsin",21.30%,21.3
"Woodbury County, Iowa",22.60%,22.6
"Woodford County, Illinois",24.80%,24.8
"Woodford County, Kentucky",21%,21
"Woodruff County, Arkansas",13.60%,13.6
"Woods County, Oklahoma",22.20%,22.2
"Woodson County, Kansas",29.60%,29.6
"Woodward County, Oklahoma",22.50%,22.5
"Worcester County, Maryland",25.70%,25.7
"Worcester County, Massachusetts",21%,21
"Worth County, Georgia",16.20%,16.2
"Worth County, Iowa",21.50%,21.5
"Worth County, Missouri",14.80%,14.8
"Wrangell City and Borough, Alaska",18.10%,18.1
"Wright County, Iowa",22.30%,22.3
"Wright County, Minnesota",22.50%,22.5
"Wright County, Missouri",22.10%,22.1
"Wyandot County, Ohio",19.70%,19.7
"Wyandotte County, Kansas",21.90%,21.9
"Wyoming County, New York",17.50%,17.5
"Wyoming County, Pennsylvania",24.80%,24.8
"Wyoming County, West Virginia",29.50%,29.5
"Wythe County, Virginia",21%,21
"Yabucoa Municipio, Puerto Rico",15.70%,15.7
"Yadkin County, North Carolina",22.90%,22.9
"Yakima County, Washington",17%,17
"Yakutat City and Borough, Alaska",46.90%,46.9
"Yalobusha County, Mississippi",16.50%,16.5
"Yamhill County, Oregon",22.10%,22.1
"Yancey County, North Carolina",17.50%,17.5
"Yankton County, South Dakota",16.60%,16.6
"Yates County, New York",20.10%,20.1
"Yauco Municipio, Puerto Rico",19.40%,19.4
"Yavapai County, Arizona",19.10%,19.1
"Yazoo County, Mississippi",22.90%,22.9
"Yell County, Arkansas",26.80%,26.8
"Yellow Medicine County, Minnesota",20.20%,20.2
"Yellowstone County, Montana",21.70%,21.7
"Yoakum County, Texas",12.30%,12.3
"Yolo County, California",21.30%,21.3
"York County, Maine",23%,23
"York County, Nebraska",26.50%,26.5
"York County, Pennsylvania",21.60%,21.6
"York County, South Carolina",19.60%,19.6
"York County, Virginia",20.50%,20.5
"Young County, Texas",28.90%,28.9
"Yuba County, California",25.30%,25.3
"Yukon-Koyukuk Census Area, Alaska",24.70%,24.7
"Yuma County, Arizona",20.90%,20.9
"Yuma County, Colorado",22.90%,22.9
"Zapata County, Texas",21.40%,21.4
"Zavala County, Texas",46.70%,46.7
"Ziebach County, South Dakota",36.20%,36.2
