Geographic Area,Percent below poverty level,Povrty lvl
"Searcy County, Arkansas",26.60%,26.6
"Sebastian County, Arkansas",16.50%,16.5
"Sedgwick County, Colorado",16.10%,16.1
"Sedgwick County, Kansas",13.70%,13.7
"Seminole County, Florida",9.60%,9.6
"Seminole County, Georgia",21%,21
"Seminole County, Oklahoma",22.60%,22.6
"Seneca County, New York",13.10%,13.1
"Seneca County, Ohio",11.60%,11.6
"Sequatchie County, Tennessee",22.30%,22.3
"Sequoyah County, Oklahoma",19.50%,19.5
"Sevier County, Arkansas",20.10%,20.1
"Sevier County, Tennessee",13.30%,13.3
"Sevier County, Utah",11.70%,11.7
"Seward County, Kansas",13.60%,13.6
"Seward County, Nebraska",6.80%,6.8
"Shackelford County, Texas",11.30%,11.3
"Shannon County, Missouri",14.70%,14.7
"Sharkey County, Mississippi",26.90%,26.9
"Sharp County, Arkansas",15.90%,15.9
"Shasta County, California",13.30%,13.3
"Shawano County, Wisconsin",10.10%,10.1
"Shawnee County, Kansas",12.90%,12.9
"Sheboygan County, Wisconsin",7.70%,7.7
"Shelby County, Alabama",6.90%,6.9
"Shelby County, Illinois",10.30%,10.3
"Shelby County, Indiana",12.90%,12.9
"Shelby County, Iowa",8.80%,8.8
"Shelby County, Kentucky",7.90%,7.9
"Shelby County, Missouri",14.90%,14.9
"Shelby County, Ohio",10.90%,10.9
"Shelby County, Tennessee",18.10%,18.1
"Shelby County, Texas",23.30%,23.3
"Shenandoah County, Virginia",12.60%,12.6
"Sherburne County, Minnesota",5.80%,5.8
"Sheridan County, Kansas",7.70%,7.7
"Sheridan County, Montana",9.80%,9.8
"Sheridan County, Nebraska",10.80%,10.8
"Sheridan County, North Dakota",6.90%,6.9
"Sheridan County, Wyoming",8.70%,8.7
"Sherman County, Kansas",10.50%,10.5
"Sherman County, Nebraska",10.90%,10.9
"Sherman County, Oregon",15.50%,15.5
"Sherman County, Texas",8.30%,8.3
"Shiawassee County, Michigan",11%,11
"Shoshone County, Idaho",16%,16
"Sibley County, Minnesota",8.60%,8.6
"Sierra County, California",12.60%,12.6
"Sierra County, New Mexico",25.20%,25.2
"Silver Bow County, Montana",15.90%,15.9
"Simpson County, Kentucky",14.20%,14.2
"Simpson County, Mississippi",17.10%,17.1
"Sioux County, Iowa",6.10%,6.1
"Sioux County, Nebraska",17.40%,17.4
"Sioux County, North Dakota",39.70%,39.7
"Siskiyou County, California",16.70%,16.7
"Sitka City and Borough, Alaska",6.90%,6.9
"Skagit County, Washington",12%,12
"Skagway Municipality, Alaska",6.20%,6.2
"Skamania County, Washington",8.60%,8.6
"Slope County, North Dakota",4.70%,4.7
"Smith County, Kansas",7.30%,7.3
"Smith County, Mississippi",18.20%,18.2
"Smith County, Tennessee",14.90%,14.9
"Smith County, Texas",12.60%,12.6
"Smyth County, Virginia",18.80%,18.8
"Snohomish County, Washington",7.60%,7.6
"Snyder County, Pennsylvania",8.40%,8.4
"Socorro County, New Mexico",30.50%,30.5
"Solano County, California",9%,9
"Somerset County, Maine",16.80%,16.8
"Somerset County, Maryland",19.80%,19.8
"Somerset County, New Jersey",5.30%,5.3
"Somerset County, Pennsylvania",10.80%,10.8
"Somervell County, Texas",7.30%,7.3
"Sonoma County, California",8.90%,8.9
"South Central Connecticut Planning Region, Connecticut",11.80%,11.8
"Southampton County, Virginia",8.40%,8.4
"Southeast Fairbanks Census Area, Alaska",13.20%,13.2
"Southeastern Connecticut Planning Region, Connecticut",9.90%,9.9
"Spalding County, Georgia",18.80%,18.8
"Spartanburg County, South Carolina",14.40%,14.4
"Spencer County, Indiana",7.20%,7.2
"Spencer County, Kentucky",8.30%,8.3
"Spink County, South Dakota",10.60%,10.6
"Spokane County, Washington",12.30%,12.3
"Spotsylvania County, Virginia",7.40%,7.4
"St. Bernard Parish, Louisiana",22.50%,22.5
"St. Charles County, Missouri",4.50%,4.5
"St. Charles Parish, Louisiana",10.20%,10.2
"St. Clair County, Alabama",10.90%,10.9
"St. Clair County, Illinois",13.80%,13.8
"St. Clair County, Michigan",11.90%,11.9
"St. Clair County, Missouri",15.70%,15.7
"St. Croix County, Wisconsin",5.90%,5.9
"St. Francis County, Arkansas",28.10%,28.1
"St. Francois County, Missouri",17.60%,17.6
"St. Helena Parish, Louisiana",27.50%,27.5
"St. James Parish, Louisiana",11.50%,11.5
"St. John the Baptist Parish, Louisiana",14.10%,14.1
"St. Johns County, Florida",6.80%,6.8
"St. Joseph County, Indiana",14.40%,14.4
"St. Joseph County, Michigan",12.90%,12.9
"St. Landry Parish, Louisiana",27.50%,27.5
"St. Lawrence County, New York",17%,17
"St. Louis city, Missouri",20.20%,20.2
"St. Louis County, Minnesota",13.70%,13.7
"St. Louis County, Missouri",9.60%,9.6
"St. Lucie County, Florida",12.50%,12.5
"St. Martin Parish, Louisiana",17.60%,17.6
"St. Mary Parish, Louisiana",21.90%,21.9
"St. Mary's County, Maryland",7.60%,7.6
"St. Tammany Parish, Louisiana",11.70%,11.7
"Stafford County, Kansas",11.10%,11.1
"Stafford County, Virginia",5.40%,5.4
"Stanislaus County, California",13.70%,13.7
"Stanley County, South Dakota",3.20%,3.2
"Stanly County, North Carolina",13.80%,13.8
"Stanton County, Kansas",13.20%,13.2
"Stanton County, Nebraska",7%,7
"Stark County, Illinois",12.50%,12.5
"Stark County, North Dakota",10.10%,10.1
"Stark County, Ohio",13.20%,13.2
"Starke County, Indiana",13.60%,13.6
"Starr County, Texas",33.50%,33.5
"Staunton city, Virginia",11.40%,11.4
"Ste. Genevieve County, Missouri",9.20%,9.2
"Stearns County, Minnesota",12.70%,12.7
"Steele County, Minnesota",8.50%,8.5
"Steele County, North Dakota",13%,13
"Stephens County, Georgia",12.80%,12.8
"Stephens County, Oklahoma",16.90%,16.9
"Stephens County, Texas",16.70%,16.7
"Stephenson County, Illinois",13.30%,13.3
"Sterling County, Texas",1.80%,1.8
"Steuben County, Indiana",9.30%,9.3
"Steuben County, New York",13.40%,13.4
"Stevens County, Kansas",15.80%,15.8
"Stevens County, Minnesota",11.70%,11.7
"Stevens County, Washington",13.30%,13.3
"Stewart County, Georgia",21.90%,21.9
"Stewart County, Tennessee",11.50%,11.5
"Stillwater County, Montana",8%,8
"Stoddard County, Missouri",16.50%,16.5
"Stokes County, North Carolina",12%,12
"Stone County, Arkansas",21.20%,21.2
"Stone County, Mississippi",20.80%,20.8
"Stone County, Missouri",14.10%,14.1
"Stonewall County, Texas",7.10%,7.1
"Storey County, Nevada",9.10%,9.1
"Story County, Iowa",19.60%,19.6
"Strafford County, New Hampshire",9.10%,9.1
"Stutsman County, North Dakota",13.10%,13.1
"Sublette County, Wyoming",8.10%,8.1
"Suffolk city, Virginia",9.40%,9.4
"Suffolk County, Massachusetts",17%,17
"Suffolk County, New York",6.50%,6.5
"Sullivan County, Indiana",12.20%,12.2
"Sullivan County, Missouri",15.10%,15.1
"Sullivan County, New Hampshire",11.70%,11.7
"Sullivan County, New York",14.80%,14.8
"Sullivan County, Pennsylvania",12.20%,12.2
"Sullivan County, Tennessee",15.20%,15.2
"Sully County, South Dakota",8.50%,8.5
"Summers County, West Virginia",21.20%,21.2
"Summit County, Colorado",7.40%,7.4
"Summit County, Ohio",12.40%,12.4
"Summit County, Utah",5.20%,5.2
"Sumner County, Kansas",11.60%,11.6
"Sumner County, Tennessee",9.40%,9.4
"Sumter County, Alabama",30.40%,30.4
"Sumter County, Florida",9.30%,9.3
"Sumter County, Georgia",24.20%,24.2
"Sumter County, South Carolina",16.40%,16.4
"Sunflower County, Mississippi",28.70%,28.7
"Surry County, North Carolina",17.90%,17.9
"Surry County, Virginia",13.30%,13.3
"Susquehanna County, Pennsylvania",11.20%,11.2
"Sussex County, Delaware",11.60%,11.6
"Sussex County, New Jersey",5.50%,5.5
"Sussex County, Virginia",12.70%,12.7
"Sutter County, California",13.30%,13.3
"Sutton County, Texas",16.60%,16.6
"Suwannee County, Florida",14.40%,14.4
"Swain County, North Carolina",19.80%,19.8
"Sweet Grass County, Montana",6%,6
"Sweetwater County, Wyoming",11.70%,11.7
"Swift County, Minnesota",10.70%,10.7
"Swisher County, Texas",29.50%,29.5
"Switzerland County, Indiana",16.60%,16.6
"Talbot County, Georgia",18.40%,18.4
"Talbot County, Maryland",9.30%,9.3
"Taliaferro County, Georgia",18.90%,18.9
"Talladega County, Alabama",18.70%,18.7
"Tallahatchie County, Mississippi",25.70%,25.7
"Tallapoosa County, Alabama",16.80%,16.8
"Tama County, Iowa",15.20%,15.2
"Taney County, Missouri",16.40%,16.4
"Tangipahoa Parish, Louisiana",19.20%,19.2
"Taos County, New Mexico",14.90%,14.9
"Tarrant County, Texas",11%,11
"Tate County, Mississippi",16.70%,16.7
"Tattnall County, Georgia",20.10%,20.1
"Taylor County, Florida",15.10%,15.1
"Taylor County, Georgia",29%,29
"Taylor County, Iowa",8.50%,8.5
"Taylor County, Kentucky",14.30%,14.3
"Taylor County, Texas",14.60%,14.6
"Taylor County, West Virginia",16.90%,16.9
"Taylor County, Wisconsin",8.80%,8.8
"Tazewell County, Illinois",8.70%,8.7
"Tazewell County, Virginia",18.10%,18.1
"Tehama County, California",16.20%,16.2
"Telfair County, Georgia",31.30%,31.3
"Teller County, Colorado",7%,7
"Tensas Parish, Louisiana",35.10%,35.1
"Terrebonne Parish, Louisiana",16.40%,16.4
"Terrell County, Georgia",29.80%,29.8
"Terrell County, Texas",6.40%,6.4
"Terry County, Texas",22.40%,22.4
"Teton County, Idaho",10%,10
"Teton County, Montana",14.40%,14.4
"Teton County, Wyoming",6.90%,6.9
"Texas County, Missouri",20%,20
"Texas County, Oklahoma",20.50%,20.5
"Thayer County, Nebraska",9.70%,9.7
"Thomas County, Georgia",18.70%,18.7
"Thomas County, Kansas",6.60%,6.6
"Thomas County, Nebraska",6.60%,6.6
"Throckmorton County, Texas",14%,14
"Thurston County, Nebraska",19%,19
"Thurston County, Washington",9.30%,9.3
"Tift County, Georgia",21%,21
"Tillamook County, Oregon",12.50%,12.5
"Tillman County, Oklahoma",16.90%,16.9
"Tioga County, New York",10.20%,10.2
"Tioga County, Pennsylvania",12.20%,12.2
"Tippah County, Mississippi",18.90%,18.9
"Tippecanoe County, Indiana",19.10%,19.1
"Tipton County, Indiana",12.10%,12.1
"Tipton County, Tennessee",10.80%,10.8
"Tishomingo County, Mississippi",19.20%,19.2
"Titus County, Texas",18.30%,18.3
"Toa Alta Municipio, Puerto Rico",32.30%,32.3
"Toa Baja Municipio, Puerto Rico",35.40%,35.4
"Todd County, Kentucky",21.10%,21.1
"Todd County, Minnesota",12%,12
"Todd County, South Dakota",52.20%,52.2
"Tom Green County, Texas",11.70%,11.7
"Tompkins County, New York",16%,16
"Tooele County, Utah",4.50%,4.5
"Toole County, Montana",10.60%,10.6
"Toombs County, Georgia",21.70%,21.7
"Torrance County, New Mexico",21.30%,21.3
"Towner County, North Dakota",13.70%,13.7
"Towns County, Georgia",15.30%,15.3
"Traill County, North Dakota",6.60%,6.6
"Transylvania County, North Carolina",13.40%,13.4
"Traverse County, Minnesota",8.40%,8.4
"Travis County, Texas",11.30%,11.3
"Treasure County, Montana",9.90%,9.9
"Trego County, Kansas",7.30%,7.3
"Trempealeau County, Wisconsin",7.40%,7.4
"Treutlen County, Georgia",28.10%,28.1
"Trigg County, Kentucky",18.20%,18.2
"Trimble County, Kentucky",13.70%,13.7
"Trinity County, California",22%,22
"Trinity County, Texas",14.20%,14.2
"Tripp County, South Dakota",21.90%,21.9
"Troup County, Georgia",19.20%,19.2
"Trousdale County, Tennessee",11.50%,11.5
"Trujillo Alto Municipio, Puerto Rico",29.20%,29.2
"Trumbull County, Ohio",17.10%,17.1
"Tucker County, West Virginia",9.80%,9.8
"Tulare County, California",18.50%,18.5
"Tulsa County, Oklahoma",14.40%,14.4
"Tunica County, Mississippi",31.40%,31.4
"Tuolumne County, California",11.40%,11.4
"Turner County, Georgia",22.40%,22.4
"Turner County, South Dakota",9.20%,9.2
"Tuscaloosa County, Alabama",16.70%,16.7
"Tuscarawas County, Ohio",12.50%,12.5
"Tuscola County, Michigan",12.30%,12.3
"Twiggs County, Georgia",15.70%,15.7
"Twin Falls County, Idaho",12.50%,12.5
"Tyler County, Texas",18%,18
"Tyler County, West Virginia",12%,12
"Tyrrell County, North Carolina",16%,16
"Uinta County, Wyoming",6.50%,6.5
"Uintah County, Utah",11.60%,11.6
"Ulster County, New York",14.70%,14.7
"Umatilla County, Oregon",11.70%,11.7
"Unicoi County, Tennessee",16.70%,16.7
"Union County, Arkansas",18.60%,18.6
"Union County, Florida",15.90%,15.9
"Union County, Georgia",11.70%,11.7
"Union County, Illinois",20.10%,20.1
"Union County, Indiana",6%,6
"Union County, Iowa",11.90%,11.9
"Union County, Kentucky",18.80%,18.8
"Union County, Mississippi",12.30%,12.3
"Union County, New Jersey",8.90%,8.9
"Union County, New Mexico",17.80%,17.8
"Union County, North Carolina",6.80%,6.8
"Union County, Ohio",5.20%,5.2
"Union County, Oregon",15.20%,15.2
"Union County, Pennsylvania",10.80%,10.8
"Union County, South Carolina",21%,21
"Union County, South Dakota",8.20%,8.2
"Union County, Tennessee",15.90%,15.9
"Union Parish, Louisiana",26.80%,26.8
"Upshur County, Texas",14.60%,14.6
"Upshur County, West Virginia",17.80%,17.8
"Upson County, Georgia",22.40%,22.4
"Upton County, Texas",20.30%,20.3
"Utah County, Utah",8.90%,8.9
"Utuado Municipio, Puerto Rico",53.70%,53.7
"Uvalde County, Texas",24.10%,24.1
"Val Verde County, Texas",16.20%,16.2
"Valencia County, New Mexico",17.80%,17.8
"Valley County, Idaho",14%,14
"Valley County, Montana",12.30%,12.3
"Valley County, Nebraska",8.80%,8.8
"Van Buren County, Arkansas",18.90%,18.9
"Van Buren County, Iowa",11.10%,11.1
"Van Buren County, Michigan",14.20%,14.2
"Van Buren County, Tennessee",17%,17
"Van Wert County, Ohio",8.40%,8.4
"Van Zandt County, Texas",13.10%,13.1
"Vance County, North Carolina",18.70%,18.7
"Vanderburgh County, Indiana",14.30%,14.3
"Vega Alta Municipio, Puerto Rico",42.30%,42.3
"Vega Baja Municipio, Puerto Rico",43.20%,43.2
"Venango County, Pennsylvania",13.40%,13.4
"Ventura County, California",9%,9
"Vermilion County, Illinois",17.50%,17.5
"Vermilion Parish, Louisiana",19.30%,19.3
"Vermillion County, Indiana",14.90%,14.9
"Vernon County, Missouri",18.10%,18.1
"Vernon County, Wisconsin",14.60%,14.6
"Vernon Parish, Louisiana",18%,18
"Victoria County, Texas",16.60%,16.6
"Vieques Municipio, Puerto Rico",54.10%,54.1
"Vigo County, Indiana",20%,20
"Vilas County, Wisconsin",9.80%,9.8
"Villalba Municipio, Puerto Rico",42.70%,42.7
"Vinton County, Ohio",19.10%,19.1
"Virginia Beach city, Virginia",8%,8
"Volusia County, Florida",12.20%,12.2
"Wabash County, Illinois",13.30%,13.3
"Wabash County, Indiana",11%,11
"Wabasha County, Minnesota",7.60%,7.6
"Wabaunsee County, Kansas",5.90%,5.9
"Wadena County, Minnesota",11.90%,11.9
"Wagoner County, Oklahoma",9.20%,9.2
"Wahkiakum County, Washington",13.70%,13.7
"Wake County, North Carolina",8.20%,8.2
"Wakulla County, Florida",6.10%,6.1
"Waldo County, Maine",12.90%,12.9
"Walker County, Alabama",16.40%,16.4
"Walker County, Georgia",13.70%,13.7
"Walker County, Texas",19.50%,19.5
"Walla Walla County, Washington",11.10%,11.1
"Wallace County, Kansas",15.60%,15.6
"Waller County, Texas",13%,13
"Wallowa County, Oregon",9.20%,9.2
"Walsh County, North Dakota",9.70%,9.7
"Walthall County, Mississippi",20.30%,20.3
"Walton County, Florida",10.50%,10.5
"Walton County, Georgia",13.10%,13.1
"Walworth County, South Dakota",13.20%,13.2
"Walworth County, Wisconsin",9.60%,9.6
"Wapello County, Iowa",17.40%,17.4
"Ward County, North Dakota",9%,9
"Ward County, Texas",13.60%,13.6
"Ware County, Georgia",23.70%,23.7
"Warren County, Georgia",22.90%,22.9
"Warren County, Illinois",14.90%,14.9
"Warren County, Indiana",12.50%,12.5
"Warren County, Iowa",6.20%,6.2
"Warren County, Kentucky",17.20%,17.2
"Warren County, Mississippi",18.10%,18.1
"Warren County, Missouri",10.20%,10.2
"Warren County, New Jersey",7.70%,7.7
"Warren County, New York",8.60%,8.6
"Warren County, North Carolina",21.20%,21.2
"Warren County, Ohio",5.10%,5.1
"Warren County, Pennsylvania",11.60%,11.6
"Warren County, Tennessee",16.80%,16.8
"Warren County, Virginia",12%,12
"Warrick County, Indiana",6.10%,6.1
"Wasatch County, Utah",5.40%,5.4
"Wasco County, Oregon",11.70%,11.7
"Waseca County, Minnesota",6.60%,6.6
"Washakie County, Wyoming",6.70%,6.7
"Washburn County, Wisconsin",12.40%,12.4
"Washington County, Alabama",15.80%,15.8
"Washington County, Arkansas",15.20%,15.2
"Washington County, Colorado",9.70%,9.7
"Washington County, Florida",22.70%,22.7
"Washington County, Georgia",16.80%,16.8
"Washington County, Idaho",18.10%,18.1
"Washington County, Illinois",8%,8
"Washington County, Indiana",13.10%,13.1
"Washington County, Iowa",7.50%,7.5
"Washington County, Kansas",9.90%,9.9
"Washington County, Kentucky",14.10%,14.1
"Washington County, Maine",17.50%,17.5
"Washington County, Maryland",12.30%,12.3
"Washington County, Minnesota",4.70%,4.7
"Washington County, Mississippi",29.30%,29.3
"Washington County, Missouri",18.60%,18.6
"Washington County, Nebraska",8%,8
"Washington County, New York",11.40%,11.4
"Washington County, North Carolina",21.60%,21.6
"Washington County, Ohio",14.10%,14.1
"Washington County, Oklahoma",13.90%,13.9
"Washington County, Oregon",8.20%,8.2
"Washington County, Pennsylvania",9.50%,9.5
"Washington County, Rhode Island",7.90%,7.9
"Washington County, Tennessee",15.70%,15.7
"Washington County, Texas",11.90%,11.9
"Washington County, Utah",8.80%,8.8
"Washington County, Vermont",9.90%,9.9
"Washington County, Virginia",12%,12
"Washington County, Wisconsin",4.70%,4.7
"Washington Parish, Louisiana",23.50%,23.5
"Washita County, Oklahoma",12.50%,12.5
"Washoe County, Nevada",10.90%,10.9
"Washtenaw County, Michigan",13.80%,13.8
"Watauga County, North Carolina",24.90%,24.9
"Watonwan County, Minnesota",13.30%,13.3
"Waukesha County, Wisconsin",4.90%,4.9
"Waupaca County, Wisconsin",8.80%,8.8
"Waushara County, Wisconsin",11.50%,11.5
"Wayne County, Georgia",18.20%,18.2
"Wayne County, Illinois",13.90%,13.9
"Wayne County, Indiana",16%,16
"Wayne County, Iowa",13.30%,13.3
"Wayne County, Kentucky",25.40%,25.4
"Wayne County, Michigan",20.20%,20.2
"Wayne County, Mississippi",22.10%,22.1
"Wayne County, Missouri",25.10%,25.1
"Wayne County, Nebraska",16.60%,16.6
"Wayne County, New York",11%,11
"Wayne County, North Carolina",17.90%,17.9
"Wayne County, Ohio",8.80%,8.8
"Wayne County, Pennsylvania",11%,11
"Wayne County, Tennessee",19.60%,19.6
"Wayne County, Utah",8.50%,8.5
"Wayne County, West Virginia",16.70%,16.7
"Waynesboro city, Virginia",16.10%,16.1
"Weakley County, Tennessee",18.90%,18.9
"Webb County, Texas",21.40%,21.4
"Weber County, Utah",7.60%,7.6
"Webster County, Georgia",27.90%,27.9
"Webster County, Iowa",12.20%,12.2
"Webster County, Kentucky",16.10%,16.1
"Webster County, Mississippi",15.80%,15.8
"Webster County, Missouri",15.70%,15.7
"Webster County, Nebraska",7.90%,7.9
"Webster County, West Virginia",17.80%,17.8
"Webster Parish, Louisiana",27.60%,27.6
"Weld County, Colorado",9.70%,9.7
"Wells County, Indiana",6.40%,6.4
"Wells County, North Dakota",10.80%,10.8
"West Baton Rouge Parish, Louisiana",14.70%,14.7
"West Carroll Parish, Louisiana",19.20%,19.2
"West Feliciana Parish, Louisiana",14.20%,14.2
"Westchester County, New York",8.50%,8.5
"Western Connecticut Planning Region, Connecticut",7.40%,7.4
"Westmoreland County, Pennsylvania",9.70%,9.7
"Westmoreland County, Virginia",16%,16
"Weston County, Wyoming",12.90%,12.9
"Wetzel County, West Virginia",17%,17
"Wexford County, Michigan",13.30%,13.3
"Wharton County, Texas",14.60%,14.6
"Whatcom County, Washington",12.90%,12.9
"Wheatland County, Montana",22.70%,22.7
"Wheeler County, Georgia",26.70%,26.7
"Wheeler County, Nebraska",10.20%,10.2
"Wheeler County, Oregon",9.90%,9.9
"Wheeler County, Texas",18.30%,18.3
"White County, Arkansas",16.10%,16.1
"White County, Georgia",13%,13
"White County, Illinois",15.30%,15.3
"White County, Indiana",8.70%,8.7
"White County, Tennessee",17.10%,17.1
"White Pine County, Nevada",9.20%,9.2
"Whiteside County, Illinois",11.60%,11.6
"Whitfield County, Georgia",13.50%,13.5
"Whitley County, Indiana",9.10%,9.1
"Whitley County, Kentucky",23.50%,23.5
"Whitman County, Washington",23.90%,23.9
"Wibaux County, Montana",17.80%,17.8
"Wichita County, Kansas",14.90%,14.9
"Wichita County, Texas",15.80%,15.8
"Wicomico County, Maryland",13.80%,13.8
"Wilbarger County, Texas",18.40%,18.4
"Wilcox County, Alabama",26.80%,26.8
"Wilcox County, Georgia",23%,23
"Wilkes County, Georgia",17.80%,17.8
"Wilkes County, North Carolina",17.10%,17.1
"Wilkin County, Minnesota",13.50%,13.5
"Wilkinson County, Georgia",21.80%,21.8
"Wilkinson County, Mississippi",21.50%,21.5
"Will County, Illinois",6.70%,6.7
"Willacy County, Texas",26.60%,26.6
"Williams County, North Dakota",7.40%,7.4
"Williams County, Ohio",11.20%,11.2
"Williamsburg city, Virginia",13.70%,13.7
"Williamsburg County, South Carolina",23.50%,23.5
"Williamson County, Illinois",13.20%,13.2
"Williamson County, Tennessee",4.20%,4.2
"Williamson County, Texas",6.30%,6.3
"Wilson County, Kansas",16.30%,16.3
"Wilson County, North Carolina",20.40%,20.4
"Wilson County, Tennessee",8.30%,8.3
"Wilson County, Texas",10.30%,10.3
"Winchester city, Virginia",16.80%,16.8
"Windham County, Vermont",12.60%,12.6
"Windsor County, Vermont",8.70%,8.7
"Winkler County, Texas",12.60%,12.6
"Winn Parish, Louisiana",19.60%,19.6
"Winnebago County, Illinois",16.10%,16.1
"Winnebago County, Iowa",7.80%,7.8
"Winnebago County, Wisconsin",10.80%,10.8
"Winneshiek County, Iowa",8.90%,8.9
"Winona County, Minnesota",14%,14
"Winston County, Alabama",18.20%,18.2
"Winston County, Mississippi",26%,26
"Wirt County, West Virginia",20.30%,20.3
"Wise County, Texas",9.10%,9.1
"Wise County, Virginia",19.90%,19.9
"Wolfe County, Kentucky",36.80%,36.8
"Wood County, Ohio",12.90%,12.9
"Wood County, Texas",12.60%,12.6
"Wood County, West Virginia",14.80%,14.8
"Wood County, Wisconsin",10.50%,10.5
"Woodbury County, Iowa",13.50%,13.5
"Woodford County, Illinois",7.50%,7.5
"Woodford County, Kentucky",8.40%,8.4
"Woodruff County, Arkansas",19%,19
"Woods County, Oklahoma",18.50%,18.5
"Woodson County, Kansas",13.30%,13.3
"Woodward County, Oklahoma",15%,15
"Worcester County, Maryland",8.20%,8.2
"Worcester County, Massachusetts",10%,10
"Worth County, Georgia",19.60%,19.6
"Worth County, Iowa",7.40%,7.4
"Worth County, Missouri",16.60%,16.6
"Wrangell City and Borough, Alaska",10.10%,10.1
"Wright County, Iowa",14.30%,14.3
"Wright County, Minnesota",4.80%,4.8
"Wright County, Missouri",20.40%,20.4
"Wyandot County, Ohio",6.90%,6.9
"Wyandotte County, Kansas",16.80%,16.8
"Wyoming County, New York",10.70%,10.7
"Wyoming County, Pennsylvania",11.20%,11.2
"Wyoming County, West Virginia",24.40%,24.4
"Wythe County, Virginia",17.20%,17.2
"Yabucoa Municipio, Puerto Rico",49.70%,49.7
"Yadkin County, North Carolina",13.80%,13.8
"Yakima County, Washington",15.50%,15.5
"Yakutat City and Borough, Alaska",10%,10
"Yalobusha County, Mississippi",20.50%,20.5
"Yamhill County, Oregon",11.30%,11.3
"Yancey County, North Carolina",15.30%,15.3
"Yankton County, South Dakota",8%,8
"Yates County, New York",14.20%,14.2
"Yauco Municipio, Puerto Rico",43.70%,43.7
"Yavapai County, Arizona",12.30%,12.3
"Yazoo County, Mississippi",29.10%,29.1
"Yell County, Arkansas",12.40%,12.4
"Yellow Medicine County, Minnesota",10%,10
"Yellowstone County, Montana",10.70%,10.7
"Yoakum County, Texas",13.60%,13.6
"Yolo County, California",17.40%,17.4
"York County, Maine",8%,8
"York County, Nebraska",9.30%,9.3
"York County, Pennsylvania",8.60%,8.6
"York County, South Carolina",8.40%,8.4
"York County, Virginia",4.70%,4.7
"Young County, Texas",15.70%,15.7
"Yuba County, California",15.40%,15.4
"Yukon-Koyukuk Census Area, Alaska",22.90%,22.9
"Yuma County, Arizona",17.50%,17.5
"Yuma County, Colorado",14%,14
"Zapata County, Texas",37.20%,37.2
"Zavala County, Texas",31%,31
"Ziebach County, South Dakota",41.30%,41.3
