Geographic Area,VEHICLES AVAILABLE—No vehicle available—Estimate,No vhcl
"Searcy County, Arkansas",7.70%,7.7
"Sebastian County, Arkansas",6.30%,6.3
"Sedgwick County, Colorado",6.50%,6.5
"Sedgwick County, Kansas",6%,6
"Seminole County, Florida",3.90%,3.9
"Seminole County, Georgia",10.70%,10.7
"Seminole County, Oklahoma",7%,7
"Seneca County, New York",8.70%,8.7
"Seneca County, Ohio",5.70%,5.7
"Sequatchie County, Tennessee",3.70%,3.7
"Sequoyah County, Oklahoma",4.70%,4.7
"Sevier County, Arkansas",4.70%,4.7
"Sevier County, Tennessee",3.60%,3.6
"Sevier County, Utah",4.10%,4.1
"Seward County, Kansas",6.80%,6.8
"Seward County, Nebraska",4.60%,4.6
"Shackelford County, Texas",5.60%,5.6
"Shannon County, Missouri",5.50%,5.5
"Sharkey County, Mississippi",15.10%,15.1
"Sharp County, Arkansas",4.80%,4.8
"Shasta County, California",6.10%,6.1
"Shawano County, Wisconsin",5%,5
"Shawnee County, Kansas",7%,7
"Sheboygan County, Wisconsin",4.90%,4.9
"Shelby County, Alabama",2.60%,2.6
"Shelby County, Illinois",5.10%,5.1
"Shelby County, Indiana",5.40%,5.4
"Shelby County, Iowa",2.70%,2.7
"Shelby County, Kentucky",2.30%,2.3
"Shelby County, Missouri",5.60%,5.6
"Shelby County, Ohio",4%,4
"Shelby County, Tennessee",8.40%,8.4
"Shelby County, Texas",6.30%,6.3
"Shenandoah County, Virginia",5%,5
"Sherburne County, Minnesota",4.10%,4.1
"Sheridan County, Kansas",5.80%,5.8
"Sheridan County, Montana",3.10%,3.1
"Sheridan County, Nebraska",4.50%,4.5
"Sheridan County, North Dakota",2.20%,2.2
"Sheridan County, Wyoming",4%,4
"Sherman County, Kansas",3.30%,3.3
"Sherman County, Nebraska",5%,5
"Sherman County, Oregon",7.40%,7.4
"Sherman County, Texas",1.10%,1.1
"Shiawassee County, Michigan",5.80%,5.8
"Shoshone County, Idaho",4.70%,4.7
"Sibley County, Minnesota",5%,5
"Sierra County, California",3%,3
"Sierra County, New Mexico",7.40%,7.4
"Silver Bow County, Montana",6.80%,6.8
"Simpson County, Kentucky",3%,3
"Simpson County, Mississippi",4.40%,4.4
"Sioux County, Iowa",3.80%,3.8
"Sioux County, Nebraska",5.30%,5.3
"Sioux County, North Dakota",13.40%,13.4
"Siskiyou County, California",5.60%,5.6
"Sitka City and Borough, Alaska",10.50%,10.5
"Skagit County, Washington",3.90%,3.9
"Skagway Municipality, Alaska",6.30%,6.3
"Skamania County, Washington",4.60%,4.6
"Slope County, North Dakota",1.10%,1.1
"Smith County, Kansas",2.70%,2.7
"Smith County, Mississippi",6.80%,6.8
"Smith County, Tennessee",5.30%,5.3
"Smith County, Texas",4.30%,4.3
"Smyth County, Virginia",8%,8
"Snohomish County, Washington",4.60%,4.6
"Snyder County, Pennsylvania",6.50%,6.5
"Socorro County, New Mexico",4.90%,4.9
"Solano County, California",4.60%,4.6
"Somerset County, Maine",6.20%,6.2
"Somerset County, Maryland",7.50%,7.5
"Somerset County, New Jersey",4.50%,4.5
"Somerset County, Pennsylvania",6.80%,6.8
"Somervell County, Texas",2.90%,2.9
"Sonoma County, California",4.80%,4.8
"South Central Connecticut Planning Region, Connecticut",11.10%,11.1
"Southampton County, Virginia",5%,5
"Southeast Fairbanks Census Area, Alaska",5.70%,5.7
"Southeastern Connecticut Planning Region, Connecticut",7.30%,7.3
"Spalding County, Georgia",7.30%,7.3
"Spartanburg County, South Carolina",4.50%,4.5
"Spencer County, Indiana",3.80%,3.8
"Spencer County, Kentucky",2.70%,2.7
"Spink County, South Dakota",4.20%,4.2
"Spokane County, Washington",7.30%,7.3
"Spotsylvania County, Virginia",3.10%,3.1
"St. Bernard Parish, Louisiana",7.20%,7.2
"St. Charles County, Missouri",3.30%,3.3
"St. Charles Parish, Louisiana",3.30%,3.3
"St. Clair County, Alabama",3.30%,3.3
"St. Clair County, Illinois",7.30%,7.3
"St. Clair County, Michigan",5.60%,5.6
"St. Clair County, Missouri",5.10%,5.1
"St. Croix County, Wisconsin",2.90%,2.9
"St. Francis County, Arkansas",12.90%,12.9
"St. Francois County, Missouri",6.80%,6.8
"St. Helena Parish, Louisiana",10.80%,10.8
"St. James Parish, Louisiana",8.40%,8.4
"St. John the Baptist Parish, Louisiana",4.10%,4.1
"St. Johns County, Florida",2.40%,2.4
"St. Joseph County, Indiana",6.80%,6.8
"St. Joseph County, Michigan",8.20%,8.2
"St. Landry Parish, Louisiana",9.70%,9.7
"St. Lawrence County, New York",10.40%,10.4
"St. Louis city, Missouri",18.50%,18.5
"St. Louis County, Minnesota",8.50%,8.5
"St. Louis County, Missouri",6.40%,6.4
"St. Lucie County, Florida",4.50%,4.5
"St. Martin Parish, Louisiana",7.90%,7.9
"St. Mary Parish, Louisiana",11.10%,11.1
"St. Mary's County, Maryland",4.50%,4.5
"St. Tammany Parish, Louisiana",3.80%,3.8
"Stafford County, Kansas",2.40%,2.4
"Stafford County, Virginia",1.90%,1.9
"Stanislaus County, California",5.40%,5.4
"Stanley County, South Dakota",2.90%,2.9
"Stanly County, North Carolina",5.40%,5.4
"Stanton County, Kansas",1.60%,1.6
"Stanton County, Nebraska",2%,2
"Stark County, Illinois",4.40%,4.4
"Stark County, North Dakota",5.20%,5.2
"Stark County, Ohio",6.80%,6.8
"Starke County, Indiana",5.40%,5.4
"Starr County, Texas",10.70%,10.7
"Staunton city, Virginia",8.80%,8.8
"Ste. Genevieve County, Missouri",3.20%,3.2
"Stearns County, Minnesota",5.60%,5.6
"Steele County, Minnesota",7.40%,7.4
"Steele County, North Dakota",0.70%,0.7
"Stephens County, Georgia",4.80%,4.8
"Stephens County, Oklahoma",6.70%,6.7
"Stephens County, Texas",9.30%,9.3
"Stephenson County, Illinois",8.60%,8.6
"Sterling County, Texas",0%,0
"Steuben County, Indiana",5.10%,5.1
"Steuben County, New York",9.40%,9.4
"Stevens County, Kansas",5.50%,5.5
"Stevens County, Minnesota",4.30%,4.3
"Stevens County, Washington",3.80%,3.8
"Stewart County, Georgia",12.40%,12.4
"Stewart County, Tennessee",5.60%,5.6
"Stillwater County, Montana",3.30%,3.3
"Stoddard County, Missouri",4.70%,4.7
"Stokes County, North Carolina",2.80%,2.8
"Stone County, Arkansas",7.60%,7.6
"Stone County, Mississippi",6.90%,6.9
"Stone County, Missouri",3.10%,3.1
"Stonewall County, Texas",2.40%,2.4
"Storey County, Nevada",2.10%,2.1
"Story County, Iowa",6.60%,6.6
"Strafford County, New Hampshire",5.10%,5.1
"Stutsman County, North Dakota",5.20%,5.2
"Sublette County, Wyoming",0.80%,0.8
"Suffolk city, Virginia",6%,6
"Suffolk County, Massachusetts",31.80%,31.8
"Suffolk County, New York",5.20%,5.2
"Sullivan County, Indiana",4.70%,4.7
"Sullivan County, Missouri",5.80%,5.8
"Sullivan County, New Hampshire",5.30%,5.3
"Sullivan County, New York",9.90%,9.9
"Sullivan County, Pennsylvania",5.30%,5.3
"Sullivan County, Tennessee",4.90%,4.9
"Sully County, South Dakota",0.80%,0.8
"Summers County, West Virginia",8.90%,8.9
"Summit County, Colorado",3%,3
"Summit County, Ohio",7.80%,7.8
"Summit County, Utah",1.80%,1.8
"Sumner County, Kansas",4.90%,4.9
"Sumner County, Tennessee",3.30%,3.3
"Sumter County, Alabama",7.70%,7.7
"Sumter County, Florida",3.50%,3.5
"Sumter County, Georgia",10.60%,10.6
"Sumter County, South Carolina",8%,8
"Sunflower County, Mississippi",9.30%,9.3
"Surry County, North Carolina",5.10%,5.1
"Surry County, Virginia",5.20%,5.2
"Susquehanna County, Pennsylvania",5.20%,5.2
"Sussex County, Delaware",3.60%,3.6
"Sussex County, New Jersey",3.20%,3.2
"Sussex County, Virginia",10.30%,10.3
"Sutter County, California",5.40%,5.4
"Sutton County, Texas",2.50%,2.5
"Suwannee County, Florida",5.90%,5.9
"Swain County, North Carolina",8.90%,8.9
"Sweet Grass County, Montana",3.50%,3.5
"Sweetwater County, Wyoming",2%,2
"Swift County, Minnesota",4.60%,4.6
"Swisher County, Texas",8.10%,8.1
"Switzerland County, Indiana",6.90%,6.9
"Talbot County, Georgia",11.60%,11.6
"Talbot County, Maryland",7.20%,7.2
"Taliaferro County, Georgia",8.60%,8.6
"Talladega County, Alabama",7.70%,7.7
"Tallahatchie County, Mississippi",10.80%,10.8
"Tallapoosa County, Alabama",6.90%,6.9
"Tama County, Iowa",3.10%,3.1
"Taney County, Missouri",4.90%,4.9
"Tangipahoa Parish, Louisiana",5.90%,5.9
"Taos County, New Mexico",4.50%,4.5
"Tarrant County, Texas",4.40%,4.4
"Tate County, Mississippi",4%,4
"Tattnall County, Georgia",6.20%,6.2
"Taylor County, Florida",5.50%,5.5
"Taylor County, Georgia",10.10%,10.1
"Taylor County, Iowa",4.20%,4.2
"Taylor County, Kentucky",6.70%,6.7
"Taylor County, Texas",4.60%,4.6
"Taylor County, West Virginia",7.10%,7.1
"Taylor County, Wisconsin",5.30%,5.3
"Tazewell County, Illinois",5.80%,5.8
"Tazewell County, Virginia",7.60%,7.6
"Tehama County, California",6.20%,6.2
"Telfair County, Georgia",11.10%,11.1
"Teller County, Colorado",1.10%,1.1
"Tensas Parish, Louisiana",8.70%,8.7
"Terrebonne Parish, Louisiana",7.90%,7.9
"Terrell County, Georgia",11.80%,11.8
"Terrell County, Texas",3.20%,3.2
"Terry County, Texas",7.90%,7.9
"Teton County, Idaho",1.30%,1.3
"Teton County, Montana",6.40%,6.4
"Teton County, Wyoming",1.90%,1.9
"Texas County, Missouri",8.20%,8.2
"Texas County, Oklahoma",3.70%,3.7
"Thayer County, Nebraska",4.10%,4.1
"Thomas County, Georgia",4.40%,4.4
"Thomas County, Kansas",3.20%,3.2
"Thomas County, Nebraska",2.60%,2.6
"Throckmorton County, Texas",2.50%,2.5
"Thurston County, Nebraska",8.60%,8.6
"Thurston County, Washington",4.60%,4.6
"Tift County, Georgia",8.20%,8.2
"Tillamook County, Oregon",4.90%,4.9
"Tillman County, Oklahoma",7.90%,7.9
"Tioga County, New York",6.50%,6.5
"Tioga County, Pennsylvania",6.20%,6.2
"Tippah County, Mississippi",3.70%,3.7
"Tippecanoe County, Indiana",8.60%,8.6
"Tipton County, Indiana",1.20%,1.2
"Tipton County, Tennessee",4.30%,4.3
"Tishomingo County, Mississippi",5%,5
"Titus County, Texas",4.70%,4.7
"Toa Alta Municipio, Puerto Rico",6.40%,6.4
"Toa Baja Municipio, Puerto Rico",9.10%,9.1
"Todd County, Kentucky",9.30%,9.3
"Todd County, Minnesota",6.10%,6.1
"Todd County, South Dakota",16.90%,16.9
"Tom Green County, Texas",4.70%,4.7
"Tompkins County, New York",13.30%,13.3
"Tooele County, Utah",3.80%,3.8
"Toole County, Montana",6.80%,6.8
"Toombs County, Georgia",10.30%,10.3
"Torrance County, New Mexico",5%,5
"Towner County, North Dakota",3.30%,3.3
"Towns County, Georgia",3.40%,3.4
"Traill County, North Dakota",5.80%,5.8
"Transylvania County, North Carolina",4.60%,4.6
"Traverse County, Minnesota",5.20%,5.2
"Travis County, Texas",5.50%,5.5
"Treasure County, Montana",5.10%,5.1
"Trego County, Kansas",2.80%,2.8
"Trempealeau County, Wisconsin",4.80%,4.8
"Treutlen County, Georgia",9.90%,9.9
"Trigg County, Kentucky",7%,7
"Trimble County, Kentucky",5.30%,5.3
"Trinity County, California",4.40%,4.4
"Trinity County, Texas",9.70%,9.7
"Tripp County, South Dakota",5.60%,5.6
"Troup County, Georgia",9.20%,9.2
"Trousdale County, Tennessee",2.30%,2.3
"Trujillo Alto Municipio, Puerto Rico",10.40%,10.4
"Trumbull County, Ohio",8%,8
"Tucker County, West Virginia",9.80%,9.8
"Tulare County, California",4.70%,4.7
"Tulsa County, Oklahoma",6.20%,6.2
"Tunica County, Mississippi",9.50%,9.5
"Tuolumne County, California",5.50%,5.5
"Turner County, Georgia",9.50%,9.5
"Turner County, South Dakota",2.40%,2.4
"Tuscaloosa County, Alabama",5.70%,5.7
"Tuscarawas County, Ohio",7.10%,7.1
"Tuscola County, Michigan",5.20%,5.2
"Twiggs County, Georgia",7.80%,7.8
"Twin Falls County, Idaho",3.50%,3.5
"Tyler County, Texas",7%,7
"Tyler County, West Virginia",7.30%,7.3
"Tyrrell County, North Carolina",7.60%,7.6
"Uinta County, Wyoming",3.70%,3.7
"Uintah County, Utah",3.10%,3.1
"Ulster County, New York",7.20%,7.2
"Umatilla County, Oregon",5.50%,5.5
"Unicoi County, Tennessee",5.50%,5.5
"Union County, Arkansas",5.20%,5.2
"Union County, Florida",3.70%,3.7
"Union County, Georgia",5%,5
"Union County, Illinois",9.90%,9.9
"Union County, Indiana",4.10%,4.1
"Union County, Iowa",6.30%,6.3
"Union County, Kentucky",5.10%,5.1
"Union County, Mississippi",4.10%,4.1
"Union County, New Jersey",10.60%,10.6
"Union County, New Mexico",7.90%,7.9
"Union County, North Carolina",2.70%,2.7
"Union County, Ohio",2.90%,2.9
"Union County, Oregon",7.40%,7.4
"Union County, Pennsylvania",9.20%,9.2
"Union County, South Carolina",9%,9
"Union County, South Dakota",2.50%,2.5
"Union County, Tennessee",3.20%,3.2
"Union Parish, Louisiana",6.40%,6.4
"Upshur County, Texas",3.90%,3.9
"Upshur County, West Virginia",9.30%,9.3
"Upson County, Georgia",11.90%,11.9
"Upton County, Texas",6%,6
"Utah County, Utah",2.50%,2.5
"Utuado Municipio, Puerto Rico",16%,16
"Uvalde County, Texas",7.20%,7.2
"Val Verde County, Texas",4.80%,4.8
"Valencia County, New Mexico",2.70%,2.7
"Valley County, Idaho",3.90%,3.9
"Valley County, Montana",4.60%,4.6
"Valley County, Nebraska",4.20%,4.2
"Van Buren County, Arkansas",6.40%,6.4
"Van Buren County, Iowa",7.60%,7.6
"Van Buren County, Michigan",5.50%,5.5
"Van Buren County, Tennessee",11.30%,11.3
"Van Wert County, Ohio",4.20%,4.2
"Van Zandt County, Texas",2.90%,2.9
"Vance County, North Carolina",7.80%,7.8
"Vanderburgh County, Indiana",8%,8
"Vega Alta Municipio, Puerto Rico",13.50%,13.5
"Vega Baja Municipio, Puerto Rico",13.10%,13.1
"Venango County, Pennsylvania",7.30%,7.3
"Ventura County, California",4.20%,4.2
"Vermilion County, Illinois",8.90%,8.9
"Vermilion Parish, Louisiana",9.10%,9.1
"Vermillion County, Indiana",4%,4
"Vernon County, Missouri",8.40%,8.4
"Vernon County, Wisconsin",8.40%,8.4
"Vernon Parish, Louisiana",8%,8
"Victoria County, Texas",7.20%,7.2
"Vieques Municipio, Puerto Rico",14.40%,14.4
"Vigo County, Indiana",7.10%,7.1
"Vilas County, Wisconsin",4.40%,4.4
"Villalba Municipio, Puerto Rico",12.30%,12.3
"Vinton County, Ohio",4.50%,4.5
"Virginia Beach city, Virginia",4.30%,4.3
"Volusia County, Florida",5.60%,5.6
"Wabash County, Illinois",10.50%,10.5
"Wabash County, Indiana",4.40%,4.4
"Wabasha County, Minnesota",4.70%,4.7
"Wabaunsee County, Kansas",2.30%,2.3
"Wadena County, Minnesota",9.10%,9.1
"Wagoner County, Oklahoma",2.60%,2.6
"Wahkiakum County, Washington",3.40%,3.4
"Wake County, North Carolina",4%,4
"Wakulla County, Florida",3.40%,3.4
"Waldo County, Maine",5.80%,5.8
"Walker County, Alabama",4.70%,4.7
"Walker County, Georgia",5.30%,5.3
"Walker County, Texas",6.70%,6.7
"Walla Walla County, Washington",6.20%,6.2
"Wallace County, Kansas",4.10%,4.1
"Waller County, Texas",3.60%,3.6
"Wallowa County, Oregon",5%,5
"Walsh County, North Dakota",4.80%,4.8
"Walthall County, Mississippi",5.50%,5.5
"Walton County, Florida",3.90%,3.9
"Walton County, Georgia",2.60%,2.6
"Walworth County, South Dakota",2.90%,2.9
"Walworth County, Wisconsin",3.60%,3.6
"Wapello County, Iowa",7.40%,7.4
"Ward County, North Dakota",4.30%,4.3
"Ward County, Texas",3.90%,3.9
"Ware County, Georgia",10.90%,10.9
"Warren County, Georgia",7.10%,7.1
"Warren County, Illinois",5.60%,5.6
"Warren County, Indiana",2.90%,2.9
"Warren County, Iowa",2.40%,2.4
"Warren County, Kentucky",6.70%,6.7
"Warren County, Mississippi",6.50%,6.5
"Warren County, Missouri",2.50%,2.5
"Warren County, New Jersey",6.30%,6.3
"Warren County, New York",8.50%,8.5
"Warren County, North Carolina",10.40%,10.4
"Warren County, Ohio",2.60%,2.6
"Warren County, Pennsylvania",6.70%,6.7
"Warren County, Tennessee",5.10%,5.1
"Warren County, Virginia",5.50%,5.5
"Warrick County, Indiana",1.90%,1.9
"Wasatch County, Utah",2.40%,2.4
"Wasco County, Oregon",6.60%,6.6
"Waseca County, Minnesota",3.30%,3.3
"Washakie County, Wyoming",4.70%,4.7
"Washburn County, Wisconsin",3.60%,3.6
"Washington County, Alabama",4.10%,4.1
"Washington County, Arkansas",4.60%,4.6
"Washington County, Colorado",3.80%,3.8
"Washington County, Florida",2.90%,2.9
"Washington County, Georgia",8.50%,8.5
"Washington County, Idaho",5.90%,5.9
"Washington County, Illinois",3.10%,3.1
"Washington County, Indiana",6.10%,6.1
"Washington County, Iowa",4.60%,4.6
"Washington County, Kansas",3%,3
"Washington County, Kentucky",6.80%,6.8
"Washington County, Maine",7.40%,7.4
"Washington County, Maryland",7.90%,7.9
"Washington County, Minnesota",4.10%,4.1
"Washington County, Mississippi",12.40%,12.4
"Washington County, Missouri",9.40%,9.4
"Washington County, Nebraska",2.70%,2.7
"Washington County, New York",8.80%,8.8
"Washington County, North Carolina",18.20%,18.2
"Washington County, Ohio",5.20%,5.2
"Washington County, Oklahoma",4.70%,4.7
"Washington County, Oregon",5.60%,5.6
"Washington County, Pennsylvania",7.40%,7.4
"Washington County, Rhode Island",4.40%,4.4
"Washington County, Tennessee",5.50%,5.5
"Washington County, Texas",6%,6
"Washington County, Utah",3%,3
"Washington County, Vermont",7.70%,7.7
"Washington County, Virginia",4.40%,4.4
"Washington County, Wisconsin",3.50%,3.5
"Washington Parish, Louisiana",10.10%,10.1
"Washita County, Oklahoma",3.50%,3.5
"Washoe County, Nevada",6.50%,6.5
"Washtenaw County, Michigan",8.10%,8.1
"Watauga County, North Carolina",3.40%,3.4
"Watonwan County, Minnesota",6.50%,6.5
"Waukesha County, Wisconsin",3.30%,3.3
"Waupaca County, Wisconsin",4.50%,4.5
"Waushara County, Wisconsin",4.90%,4.9
"Wayne County, Georgia",6.80%,6.8
"Wayne County, Illinois",8%,8
"Wayne County, Indiana",8.10%,8.1
"Wayne County, Iowa",7.50%,7.5
"Wayne County, Kentucky",6%,6
"Wayne County, Michigan",12.10%,12.1
"Wayne County, Mississippi",6.50%,6.5
"Wayne County, Missouri",5.50%,5.5
"Wayne County, Nebraska",4.90%,4.9
"Wayne County, New York",7.30%,7.3
"Wayne County, North Carolina",7%,7
"Wayne County, Ohio",10%,10
"Wayne County, Pennsylvania",6.40%,6.4
"Wayne County, Tennessee",6.60%,6.6
"Wayne County, Utah",1.70%,1.7
"Wayne County, West Virginia",8.60%,8.6
"Waynesboro city, Virginia",7.80%,7.8
"Weakley County, Tennessee",6.70%,6.7
"Webb County, Texas",6.20%,6.2
"Weber County, Utah",4.50%,4.5
"Webster County, Georgia",4.90%,4.9
"Webster County, Iowa",6.80%,6.8
"Webster County, Kentucky",5.30%,5.3
"Webster County, Mississippi",6.90%,6.9
"Webster County, Missouri",5.50%,5.5
"Webster County, Nebraska",2.80%,2.8
"Webster County, West Virginia",13.10%,13.1
"Webster Parish, Louisiana",8.70%,8.7
"Weld County, Colorado",3.50%,3.5
"Wells County, Indiana",3.20%,3.2
"Wells County, North Dakota",6.20%,6.2
"West Baton Rouge Parish, Louisiana",5.40%,5.4
"West Carroll Parish, Louisiana",3.60%,3.6
"West Feliciana Parish, Louisiana",3.90%,3.9
"Westchester County, New York",14.20%,14.2
"Western Connecticut Planning Region, Connecticut",5.80%,5.8
"Westmoreland County, Pennsylvania",7%,7
"Westmoreland County, Virginia",6.10%,6.1
"Weston County, Wyoming",3.40%,3.4
"Wetzel County, West Virginia",6.20%,6.2
"Wexford County, Michigan",5.40%,5.4
"Wharton County, Texas",6.40%,6.4
"Whatcom County, Washington",6.10%,6.1
"Wheatland County, Montana",2.50%,2.5
"Wheeler County, Georgia",7.10%,7.1
"Wheeler County, Nebraska",1.70%,1.7
"Wheeler County, Oregon",3.20%,3.2
"Wheeler County, Texas",7%,7
"White County, Arkansas",6.30%,6.3
"White County, Georgia",4.30%,4.3
"White County, Illinois",7.30%,7.3
"White County, Indiana",2.50%,2.5
"White County, Tennessee",4.10%,4.1
"White Pine County, Nevada",1.90%,1.9
"Whiteside County, Illinois",5.20%,5.2
"Whitfield County, Georgia",5.10%,5.1
"Whitley County, Indiana",3.70%,3.7
"Whitley County, Kentucky",8.60%,8.6
"Whitman County, Washington",9%,9
"Wibaux County, Montana",2.60%,2.6
"Wichita County, Kansas",1.50%,1.5
"Wichita County, Texas",6.60%,6.6
"Wicomico County, Maryland",7.40%,7.4
"Wilbarger County, Texas",5.50%,5.5
"Wilcox County, Alabama",13.60%,13.6
"Wilcox County, Georgia",6.50%,6.5
"Wilkes County, Georgia",4.60%,4.6
"Wilkes County, North Carolina",5.70%,5.7
"Wilkin County, Minnesota",5.20%,5.2
"Wilkinson County, Georgia",5%,5
"Wilkinson County, Mississippi",6.80%,6.8
"Will County, Illinois",3.50%,3.5
"Willacy County, Texas",5.60%,5.6
"Williams County, North Dakota",6.50%,6.5
"Williams County, Ohio",4.50%,4.5
"Williamsburg city, Virginia",7.10%,7.1
"Williamsburg County, South Carolina",14.20%,14.2
"Williamson County, Illinois",7.10%,7.1
"Williamson County, Tennessee",2.20%,2.2
"Williamson County, Texas",2.60%,2.6
"Wilson County, Kansas",5.40%,5.4
"Wilson County, North Carolina",9.20%,9.2
"Wilson County, Tennessee",2.40%,2.4
"Wilson County, Texas",2.20%,2.2
"Winchester city, Virginia",10%,10
"Windham County, Vermont",6.10%,6.1
"Windsor County, Vermont",5.10%,5.1
"Winkler County, Texas",5.60%,5.6
"Winn Parish, Louisiana",9.40%,9.4
"Winnebago County, Illinois",8.70%,8.7
"Winnebago County, Iowa",4.60%,4.6
"Winnebago County, Wisconsin",5.20%,5.2
"Winneshiek County, Iowa",4.40%,4.4
"Winona County, Minnesota",7.30%,7.3
"Winston County, Alabama",5.30%,5.3
"Winston County, Mississippi",7%,7
"Wirt County, West Virginia",9.10%,9.1
"Wise County, Texas",1.60%,1.6
"Wise County, Virginia",9.70%,9.7
"Wolfe County, Kentucky",16.30%,16.3
"Wood County, Ohio",4.30%,4.3
"Wood County, Texas",5.50%,5.5
"Wood County, West Virginia",8.40%,8.4
"Wood County, Wisconsin",4.80%,4.8
"Woodbury County, Iowa",6.20%,6.2
"Woodford County, Illinois",3.40%,3.4
"Woodford County, Kentucky",3.70%,3.7
"Woodruff County, Arkansas",10.90%,10.9
"Woods County, Oklahoma",9.70%,9.7
"Woodson County, Kansas",5%,5
"Woodward County, Oklahoma",3.80%,3.8
"Worcester County, Maryland",5.60%,5.6
"Worcester County, Massachusetts",8.70%,8.7
"Worth County, Georgia",7.80%,7.8
"Worth County, Iowa",4.80%,4.8
"Worth County, Missouri",8.50%,8.5
"Wrangell City and Borough, Alaska",6.30%,6.3
"Wright County, Iowa",8%,8
"Wright County, Minnesota",2.80%,2.8
"Wright County, Missouri",6.50%,6.5
"Wyandot County, Ohio",4.60%,4.6
"Wyandotte County, Kansas",8%,8
"Wyoming County, New York",7.70%,7.7
"Wyoming County, Pennsylvania",5.40%,5.4
"Wyoming County, West Virginia",10.40%,10.4
"Wythe County, Virginia",8.40%,8.4
"Yabucoa Municipio, Puerto Rico",14.50%,14.5
"Yadkin County, North Carolina",4.60%,4.6
"Yakima County, Washington",5.30%,5.3
"Yakutat City and Borough, Alaska",12.60%,12.6
"Yalobusha County, Mississippi",6.10%,6.1
"Yamhill County, Oregon",5.50%,5.5
"Yancey County, North Carolina",4.20%,4.2
"Yankton County, South Dakota",5%,5
"Yates County, New York",13%,13
"Yauco Municipio, Puerto Rico",11.30%,11.3
"Yavapai County, Arizona",3.90%,3.9
"Yazoo County, Mississippi",11.10%,11.1
"Yell County, Arkansas",5.80%,5.8
"Yellow Medicine County, Minnesota",5.40%,5.4
"Yellowstone County, Montana",4.60%,4.6
"Yoakum County, Texas",2.40%,2.4
"Yolo County, California",7.80%,7.8
"York County, Maine",5.20%,5.2
"York County, Nebraska",2.80%,2.8
"York County, Pennsylvania",5.60%,5.6
"York County, South Carolina",3.70%,3.7
"York County, Virginia",3.90%,3.9
"Young County, Texas",5.10%,5.1
"Yuba County, California",6.40%,6.4
"Yukon-Koyukuk Census Area, Alaska",46.90%,46.9
"Yuma County, Arizona",5.30%,5.3
"Yuma County, Colorado",2.70%,2.7
"Zapata County, Texas",9.70%,9.7
"Zavala County, Texas",4.90%,4.9
"Ziebach County, South Dakota",11.40%,11.4
