Geographic Area,With an ambulatory difficulty—Estimate,Amblry diffclty
"Scott County, Virginia",14.50%,14.5
"Scotts Bluff County, Nebraska",8.10%,8.1
"Screven County, Georgia",8.80%,8.8
"Scurry County, Texas",7%,7
"Searcy County, Arkansas",15.20%,15.2
"Sebastian County, Arkansas",11.60%,11.6
"Sedgwick County, Colorado",10.40%,10.4
"Sedgwick County, Kansas",7.10%,7.1
"Seminole County, Florida",5.90%,5.9
"Seminole County, Georgia",11.60%,11.6
"Seminole County, Oklahoma",14%,14
"Seneca County, New York",8.80%,8.8
"Seneca County, Ohio",7.20%,7.2
"Sequatchie County, Tennessee",11.20%,11.2
"Sequoyah County, Oklahoma",14.50%,14.5
"Sevier County, Arkansas",8.10%,8.1
"Sevier County, Tennessee",9.50%,9.5
"Sevier County, Utah",6.30%,6.3
"Seward County, Kansas",5.90%,5.9
"Seward County, Nebraska",5.60%,5.6
"Shackelford County, Texas",7.10%,7.1
"Shannon County, Missouri",10.30%,10.3
"Sharkey County, Mississippi",12.10%,12.1
"Sharp County, Arkansas",15.10%,15.1
"Shasta County, California",9.60%,9.6
"Shawano County, Wisconsin",8.50%,8.5
"Shawnee County, Kansas",6.50%,6.5
"Sheboygan County, Wisconsin",4.50%,4.5
"Shelby County, Alabama",6%,6
"Shelby County, Illinois",8.10%,8.1
"Shelby County, Indiana",8.30%,8.3
"Shelby County, Iowa",3.60%,3.6
"Shelby County, Kentucky",6.50%,6.5
"Shelby County, Missouri",7.90%,7.9
"Shelby County, Ohio",8.10%,8.1
"Shelby County, Tennessee",7.10%,7.1
"Shelby County, Texas",9.30%,9.3
"Shenandoah County, Virginia",9.20%,9.2
"Sherburne County, Minnesota",3.70%,3.7
"Sheridan County, Kansas",7.10%,7.1
"Sheridan County, Montana",10.30%,10.3
"Sheridan County, Nebraska",11.10%,11.1
"Sheridan County, North Dakota",4.70%,4.7
"Sheridan County, Wyoming",5.20%,5.2
"Sherman County, Kansas",8.70%,8.7
"Sherman County, Nebraska",9.70%,9.7
"Sherman County, Oregon",14%,14
"Sherman County, Texas",10.80%,10.8
"Shiawassee County, Michigan",7.40%,7.4
"Shoshone County, Idaho",15.30%,15.3
"Sibley County, Minnesota",6.60%,6.6
"Sierra County, California",9.80%,9.8
"Sierra County, New Mexico",17.50%,17.5
"Silver Bow County, Montana",8.20%,8.2
"Simpson County, Kentucky",8.40%,8.4
"Simpson County, Mississippi",12%,12
"Sioux County, Iowa",4.10%,4.1
"Sioux County, Nebraska",9.10%,9.1
"Sioux County, North Dakota",10.20%,10.2
"Siskiyou County, California",9%,9
"Sitka City and Borough, Alaska",5.30%,5.3
"Skagit County, Washington",6.70%,6.7
"Skagway Municipality, Alaska",3.80%,3.8
"Skamania County, Washington",6.20%,6.2
"Slope County, North Dakota",8.10%,8.1
"Smith County, Kansas",11%,11
"Smith County, Mississippi",14.10%,14.1
"Smith County, Tennessee",9.60%,9.6
"Smith County, Texas",6.40%,6.4
"Smyth County, Virginia",12.10%,12.1
"Snohomish County, Washington",5.90%,5.9
"Snyder County, Pennsylvania",7.30%,7.3
"Socorro County, New Mexico",15.70%,15.7
"Solano County, California",6.50%,6.5
"Somerset County, Maine",8.20%,8.2
"Somerset County, Maryland",7.90%,7.9
"Somerset County, New Jersey",4.20%,4.2
"Somerset County, Pennsylvania",8.40%,8.4
"Somervell County, Texas",5.70%,5.7
"Sonoma County, California",5.60%,5.6
"South Central Connecticut Planning Region, Connecticut",5.70%,5.7
"Southampton County, Virginia",10.10%,10.1
"Southeast Fairbanks Census Area, Alaska",10.20%,10.2
"Southeastern Connecticut Planning Region, Connecticut",6.50%,6.5
"Spalding County, Georgia",8.90%,8.9
"Spartanburg County, South Carolina",8%,8
"Spencer County, Indiana",7.10%,7.1
"Spencer County, Kentucky",7.20%,7.2
"Spink County, South Dakota",5.90%,5.9
"Spokane County, Washington",7.40%,7.4
"Spotsylvania County, Virginia",5.10%,5.1
"St. Bernard Parish, Louisiana",9.80%,9.8
"St. Charles County, Missouri",5.20%,5.2
"St. Charles Parish, Louisiana",6.80%,6.8
"St. Clair County, Alabama",7.80%,7.8
"St. Clair County, Illinois",8.40%,8.4
"St. Clair County, Michigan",7.80%,7.8
"St. Clair County, Missouri",12.80%,12.8
"St. Croix County, Wisconsin",3.80%,3.8
"St. Francis County, Arkansas",13.80%,13.8
"St. Francois County, Missouri",11.30%,11.3
"St. Helena Parish, Louisiana",13.90%,13.9
"St. James Parish, Louisiana",8.10%,8.1
"St. John the Baptist Parish, Louisiana",8.40%,8.4
"St. Johns County, Florida",4.90%,4.9
"St. Joseph County, Indiana",7%,7
"St. Joseph County, Michigan",9%,9
"St. Landry Parish, Louisiana",8.50%,8.5
"St. Lawrence County, New York",9.10%,9.1
"St. Louis city, Missouri",9.20%,9.2
"St. Louis County, Minnesota",6.40%,6.4
"St. Louis County, Missouri",6.30%,6.3
"St. Lucie County, Florida",8.90%,8.9
"St. Martin Parish, Louisiana",9.60%,9.6
"St. Mary Parish, Louisiana",8.40%,8.4
"St. Mary's County, Maryland",5.60%,5.6
"St. Tammany Parish, Louisiana",8.10%,8.1
"Stafford County, Kansas",7.50%,7.5
"Stafford County, Virginia",4.20%,4.2
"Stanislaus County, California",6.70%,6.7
"Stanley County, South Dakota",4.70%,4.7
"Stanly County, North Carolina",10.40%,10.4
"Stanton County, Kansas",6.60%,6.6
"Stanton County, Nebraska",5.90%,5.9
"Stark County, Illinois",7.60%,7.6
"Stark County, North Dakota",4.20%,4.2
"Stark County, Ohio",7.10%,7.1
"Starke County, Indiana",10.60%,10.6
"Starr County, Texas",7.80%,7.8
"Staunton city, Virginia",8%,8
"Ste. Genevieve County, Missouri",9.10%,9.1
"Stearns County, Minnesota",4.70%,4.7
"Steele County, Minnesota",4.50%,4.5
"Steele County, North Dakota",3%,3
"Stephens County, Georgia",10.10%,10.1
"Stephens County, Oklahoma",13%,13
"Stephens County, Texas",9.90%,9.9
"Stephenson County, Illinois",8.60%,8.6
"Sterling County, Texas",4.90%,4.9
"Steuben County, Indiana",6.40%,6.4
"Steuben County, New York",7.50%,7.5
"Stevens County, Kansas",7.20%,7.2
"Stevens County, Minnesota",5.40%,5.4
"Stevens County, Washington",10.30%,10.3
"Stewart County, Georgia",11.10%,11.1
"Stewart County, Tennessee",11.80%,11.8
"Stillwater County, Montana",6.80%,6.8
"Stoddard County, Missouri",12.30%,12.3
"Stokes County, North Carolina",12.50%,12.5
"Stone County, Arkansas",18.20%,18.2
"Stone County, Mississippi",12.90%,12.9
"Stone County, Missouri",9.40%,9.4
"Stonewall County, Texas",9.50%,9.5
"Storey County, Nevada",12.20%,12.2
"Story County, Iowa",3.30%,3.3
"Strafford County, New Hampshire",6.20%,6.2
"Stutsman County, North Dakota",7.70%,7.7
"Sublette County, Wyoming",7.80%,7.8
"Suffolk city, Virginia",6.30%,6.3
"Suffolk County, Massachusetts",6.70%,6.7
"Suffolk County, New York",5.10%,5.1
"Sullivan County, Indiana",9.50%,9.5
"Sullivan County, Missouri",7.70%,7.7
"Sullivan County, New Hampshire",7%,7
"Sullivan County, New York",9.40%,9.4
"Sullivan County, Pennsylvania",8.60%,8.6
"Sullivan County, Tennessee",10.10%,10.1
"Sully County, South Dakota",4%,4
"Summers County, West Virginia",19.60%,19.6
"Summit County, Colorado",1.90%,1.9
"Summit County, Ohio",7.10%,7.1
"Summit County, Utah",2.40%,2.4
"Sumner County, Kansas",7.60%,7.6
"Sumner County, Tennessee",7%,7
"Sumter County, Alabama",15.40%,15.4
"Sumter County, Florida",9.80%,9.8
"Sumter County, Georgia",7.30%,7.3
"Sumter County, South Carolina",8.50%,8.5
"Sunflower County, Mississippi",9.50%,9.5
"Surry County, North Carolina",11.10%,11.1
"Surry County, Virginia",8.50%,8.5
"Susquehanna County, Pennsylvania",7.40%,7.4
"Sussex County, Delaware",7.90%,7.9
"Sussex County, New Jersey",5.60%,5.6
"Sussex County, Virginia",9.90%,9.9
"Sutter County, California",7.40%,7.4
"Sutton County, Texas",2%,2
"Suwannee County, Florida",12.90%,12.9
"Swain County, North Carolina",8.20%,8.2
"Sweet Grass County, Montana",9.10%,9.1
"Sweetwater County, Wyoming",6.90%,6.9
"Swift County, Minnesota",9%,9
"Swisher County, Texas",9.60%,9.6
"Switzerland County, Indiana",10.40%,10.4
"Talbot County, Georgia",14.20%,14.2
"Talbot County, Maryland",7.90%,7.9
"Taliaferro County, Georgia",16.10%,16.1
"Talladega County, Alabama",12.60%,12.6
"Tallahatchie County, Mississippi",11.10%,11.1
"Tallapoosa County, Alabama",13.10%,13.1
"Tama County, Iowa",4.70%,4.7
"Taney County, Missouri",8.60%,8.6
"Tangipahoa Parish, Louisiana",10.10%,10.1
"Taos County, New Mexico",9.80%,9.8
"Tarrant County, Texas",5%,5
"Tate County, Mississippi",8.50%,8.5
"Tattnall County, Georgia",10.80%,10.8
"Taylor County, Florida",12.90%,12.9
"Taylor County, Georgia",8.70%,8.7
"Taylor County, Iowa",6.10%,6.1
"Taylor County, Kentucky",11.90%,11.9
"Taylor County, Texas",7.60%,7.6
"Taylor County, West Virginia",12.70%,12.7
"Taylor County, Wisconsin",5.50%,5.5
"Tazewell County, Illinois",6.40%,6.4
"Tazewell County, Virginia",12.30%,12.3
"Tehama County, California",9%,9
"Telfair County, Georgia",7.10%,7.1
"Teller County, Colorado",6.20%,6.2
"Tensas Parish, Louisiana",10.70%,10.7
"Terrebonne Parish, Louisiana",9.10%,9.1
"Terrell County, Georgia",9.20%,9.2
"Terrell County, Texas",10.50%,10.5
"Terry County, Texas",8.70%,8.7
"Teton County, Idaho",2%,2
"Teton County, Montana",4.80%,4.8
"Teton County, Wyoming",1.90%,1.9
"Texas County, Missouri",12.30%,12.3
"Texas County, Oklahoma",6.40%,6.4
"Thayer County, Nebraska",7%,7
"Thomas County, Georgia",9.90%,9.9
"Thomas County, Kansas",7.80%,7.8
"Thomas County, Nebraska",4.20%,4.2
"Throckmorton County, Texas",8.30%,8.3
"Thurston County, Nebraska",6.30%,6.3
"Thurston County, Washington",7.10%,7.1
"Tift County, Georgia",5.10%,5.1
"Tillamook County, Oregon",9.90%,9.9
"Tillman County, Oklahoma",17.10%,17.1
"Tioga County, New York",7%,7
"Tioga County, Pennsylvania",9.70%,9.7
"Tippah County, Mississippi",12.30%,12.3
"Tippecanoe County, Indiana",4%,4
"Tipton County, Indiana",6.40%,6.4
"Tipton County, Tennessee",9.80%,9.8
"Tishomingo County, Mississippi",13.50%,13.5
"Titus County, Texas",7.70%,7.7
"Toa Alta Municipio, Puerto Rico",8.20%,8.2
"Toa Baja Municipio, Puerto Rico",14.80%,14.8
"Todd County, Kentucky",8.60%,8.6
"Todd County, Minnesota",6.70%,6.7
"Todd County, South Dakota",5.40%,5.4
"Tom Green County, Texas",7.50%,7.5
"Tompkins County, New York",3.90%,3.9
"Tooele County, Utah",4.60%,4.6
"Toole County, Montana",9.60%,9.6
"Toombs County, Georgia",11.30%,11.3
"Torrance County, New Mexico",12.30%,12.3
"Towner County, North Dakota",11.70%,11.7
"Towns County, Georgia",9.80%,9.8
"Traill County, North Dakota",6%,6
"Transylvania County, North Carolina",7.10%,7.1
"Traverse County, Minnesota",4.90%,4.9
"Travis County, Texas",3.90%,3.9
"Treasure County, Montana",6.50%,6.5
"Trego County, Kansas",7.10%,7.1
"Trempealeau County, Wisconsin",5%,5
"Treutlen County, Georgia",15.40%,15.4
"Trigg County, Kentucky",13.30%,13.3
"Trimble County, Kentucky",12.30%,12.3
"Trinity County, California",9.80%,9.8
"Trinity County, Texas",13.90%,13.9
"Tripp County, South Dakota",5%,5
"Troup County, Georgia",9.80%,9.8
"Trousdale County, Tennessee",5.60%,5.6
"Trujillo Alto Municipio, Puerto Rico",11.20%,11.2
"Trumbull County, Ohio",9.40%,9.4
"Tucker County, West Virginia",10.70%,10.7
"Tulare County, California",6.10%,6.1
"Tulsa County, Oklahoma",7%,7
"Tunica County, Mississippi",7%,7
"Tuolumne County, California",10.30%,10.3
"Turner County, Georgia",11.90%,11.9
"Turner County, South Dakota",5.60%,5.6
"Tuscaloosa County, Alabama",6.60%,6.6
"Tuscarawas County, Ohio",8.50%,8.5
"Tuscola County, Michigan",10.80%,10.8
"Twiggs County, Georgia",12.90%,12.9
"Twin Falls County, Idaho",6.90%,6.9
"Tyler County, Texas",14%,14
"Tyler County, West Virginia",13.40%,13.4
"Tyrrell County, North Carolina",14.50%,14.5
"Uinta County, Wyoming",7.40%,7.4
"Uintah County, Utah",5.10%,5.1
"Ulster County, New York",7.40%,7.4
"Umatilla County, Oregon",8.90%,8.9
"Unicoi County, Tennessee",13.30%,13.3
"Union County, Arkansas",9.80%,9.8
"Union County, Florida",8.40%,8.4
"Union County, Georgia",11.20%,11.2
"Union County, Illinois",13.70%,13.7
"Union County, Indiana",7.50%,7.5
"Union County, Iowa",7.30%,7.3
"Union County, Kentucky",12.90%,12.9
"Union County, Mississippi",10.80%,10.8
"Union County, New Jersey",4.70%,4.7
"Union County, New Mexico",14.80%,14.8
"Union County, North Carolina",4.60%,4.6
"Union County, Ohio",5.10%,5.1
"Union County, Oregon",8.10%,8.1
"Union County, Pennsylvania",6.80%,6.8
"Union County, South Carolina",12.70%,12.7
"Union County, South Dakota",4.40%,4.4
"Union County, Tennessee",12.20%,12.2
"Union Parish, Louisiana",10.50%,10.5
"Upshur County, Texas",10.90%,10.9
"Upshur County, West Virginia",9.60%,9.6
"Upson County, Georgia",10.30%,10.3
"Upton County, Texas",5.20%,5.2
"Utah County, Utah",3.20%,3.2
"Utuado Municipio, Puerto Rico",12.40%,12.4
"Uvalde County, Texas",9.20%,9.2
"Val Verde County, Texas",7.50%,7.5
"Valencia County, New Mexico",11.30%,11.3
"Valley County, Idaho",5.90%,5.9
"Valley County, Montana",8%,8
"Valley County, Nebraska",9.50%,9.5
"Van Buren County, Arkansas",16.20%,16.2
"Van Buren County, Iowa",9.20%,9.2
"Van Buren County, Michigan",7%,7
"Van Buren County, Tennessee",14.80%,14.8
"Van Wert County, Ohio",7%,7
"Van Zandt County, Texas",8.40%,8.4
"Vance County, North Carolina",10.90%,10.9
"Vanderburgh County, Indiana",8.40%,8.4
"Vega Alta Municipio, Puerto Rico",15.50%,15.5
"Vega Baja Municipio, Puerto Rico",13.60%,13.6
"Venango County, Pennsylvania",9.50%,9.5
"Ventura County, California",5.80%,5.8
"Vermilion County, Illinois",8.40%,8.4
"Vermilion Parish, Louisiana",8.60%,8.6
"Vermillion County, Indiana",12.40%,12.4
"Vernon County, Missouri",11.70%,11.7
"Vernon County, Wisconsin",5%,5
"Vernon Parish, Louisiana",10.70%,10.7
"Victoria County, Texas",7.60%,7.6
"Vieques Municipio, Puerto Rico",8%,8
"Vigo County, Indiana",9.10%,9.1
"Vilas County, Wisconsin",7.50%,7.5
"Villalba Municipio, Puerto Rico",14.80%,14.8
"Vinton County, Ohio",13.70%,13.7
"Virginia Beach city, Virginia",5.90%,5.9
"Volusia County, Florida",9.70%,9.7
"Wabash County, Illinois",12.60%,12.6
"Wabash County, Indiana",7.50%,7.5
"Wabasha County, Minnesota",5.90%,5.9
"Wabaunsee County, Kansas",7.40%,7.4
"Wadena County, Minnesota",7.70%,7.7
"Wagoner County, Oklahoma",9.20%,9.2
"Wahkiakum County, Washington",7.10%,7.1
"Wake County, North Carolina",4.10%,4.1
"Wakulla County, Florida",5.90%,5.9
"Waldo County, Maine",8.60%,8.6
"Walker County, Alabama",14.10%,14.1
"Walker County, Georgia",10%,10
"Walker County, Texas",6.40%,6.4
"Walla Walla County, Washington",7.60%,7.6
"Wallace County, Kansas",13.40%,13.4
"Waller County, Texas",5.40%,5.4
"Wallowa County, Oregon",6.70%,6.7
"Walsh County, North Dakota",5.50%,5.5
"Walthall County, Mississippi",11.50%,11.5
"Walton County, Florida",8.60%,8.6
"Walton County, Georgia",7.50%,7.5
"Walworth County, South Dakota",5.80%,5.8
"Walworth County, Wisconsin",5.50%,5.5
"Wapello County, Iowa",8.60%,8.6
"Ward County, North Dakota",5.50%,5.5
"Ward County, Texas",7.70%,7.7
"Ware County, Georgia",6.90%,6.9
"Warren County, Georgia",10.80%,10.8
"Warren County, Illinois",7.60%,7.6
"Warren County, Indiana",9.70%,9.7
"Warren County, Iowa",4.20%,4.2
"Warren County, Kentucky",6.50%,6.5
"Warren County, Mississippi",11.40%,11.4
"Warren County, Missouri",6.80%,6.8
"Warren County, New Jersey",5.80%,5.8
"Warren County, New York",7.20%,7.2
"Warren County, North Carolina",13.60%,13.6
"Warren County, Ohio",5.40%,5.4
"Warren County, Pennsylvania",8.20%,8.2
"Warren County, Tennessee",9.40%,9.4
"Warren County, Virginia",6.80%,6.8
"Warrick County, Indiana",7.40%,7.4
"Wasatch County, Utah",2.30%,2.3
"Wasco County, Oregon",10.30%,10.3
"Waseca County, Minnesota",5.80%,5.8
"Washakie County, Wyoming",4.30%,4.3
"Washburn County, Wisconsin",7.90%,7.9
"Washington County, Alabama",7.90%,7.9
"Washington County, Arkansas",5.70%,5.7
"Washington County, Colorado",6.50%,6.5
"Washington County, Florida",12.40%,12.4
"Washington County, Georgia",11.10%,11.1
"Washington County, Idaho",11%,11
"Washington County, Illinois",7.60%,7.6
"Washington County, Indiana",7.30%,7.3
"Washington County, Iowa",6%,6
"Washington County, Kansas",7.40%,7.4
"Washington County, Kentucky",12.50%,12.5
"Washington County, Maine",11.60%,11.6
"Washington County, Maryland",8%,8
"Washington County, Minnesota",3.70%,3.7
"Washington County, Mississippi",12%,12
"Washington County, Missouri",13%,13
"Washington County, Nebraska",5.60%,5.6
"Washington County, New York",8.10%,8.1
"Washington County, North Carolina",13.80%,13.8
"Washington County, Ohio",9.10%,9.1
"Washington County, Oklahoma",8.80%,8.8
"Washington County, Oregon",4.60%,4.6
"Washington County, Pennsylvania",7.50%,7.5
"Washington County, Rhode Island",4.10%,4.1
"Washington County, Tennessee",8.60%,8.6
"Washington County, Texas",7.70%,7.7
"Washington County, Utah",5.90%,5.9
"Washington County, Vermont",6%,6
"Washington County, Virginia",11.20%,11.2
"Washington County, Wisconsin",5.10%,5.1
"Washington Parish, Louisiana",14.10%,14.1
"Washita County, Oklahoma",10.80%,10.8
"Washoe County, Nevada",6.30%,6.3
"Washtenaw County, Michigan",4.50%,4.5
"Watauga County, North Carolina",4.50%,4.5
"Watonwan County, Minnesota",6.40%,6.4
"Waukesha County, Wisconsin",4.50%,4.5
"Waupaca County, Wisconsin",7%,7
"Waushara County, Wisconsin",8.10%,8.1
"Wayne County, Georgia",10.60%,10.6
"Wayne County, Illinois",11%,11
"Wayne County, Indiana",9.30%,9.3
"Wayne County, Iowa",9.10%,9.1
"Wayne County, Kentucky",17.20%,17.2
"Wayne County, Michigan",8.70%,8.7
"Wayne County, Mississippi",10.10%,10.1
"Wayne County, Missouri",16%,16
"Wayne County, Nebraska",7.10%,7.1
"Wayne County, New York",7.60%,7.6
"Wayne County, North Carolina",9.60%,9.6
"Wayne County, Ohio",6%,6
"Wayne County, Pennsylvania",9.50%,9.5
"Wayne County, Tennessee",10.50%,10.5
"Wayne County, Utah",2.80%,2.8
"Wayne County, West Virginia",13.60%,13.6
"Waynesboro city, Virginia",7.90%,7.9
"Weakley County, Tennessee",12.20%,12.2
"Webb County, Texas",7.30%,7.3
"Weber County, Utah",4.70%,4.7
"Webster County, Georgia",10.20%,10.2
"Webster County, Iowa",8.40%,8.4
"Webster County, Kentucky",13%,13
"Webster County, Mississippi",12.50%,12.5
"Webster County, Missouri",8%,8
"Webster County, Nebraska",7%,7
"Webster County, West Virginia",13.50%,13.5
"Webster Parish, Louisiana",10%,10
"Weld County, Colorado",5.10%,5.1
"Wells County, Indiana",5.90%,5.9
"Wells County, North Dakota",7.90%,7.9
"West Baton Rouge Parish, Louisiana",6.60%,6.6
"West Carroll Parish, Louisiana",9.50%,9.5
"West Feliciana Parish, Louisiana",6.90%,6.9
"Westchester County, New York",5.50%,5.5
"Western Connecticut Planning Region, Connecticut",4.20%,4.2
"Westmoreland County, Pennsylvania",7.70%,7.7
"Westmoreland County, Virginia",9.80%,9.8
"Weston County, Wyoming",6.10%,6.1
"Wetzel County, West Virginia",12.40%,12.4
"Wexford County, Michigan",9.40%,9.4
"Wharton County, Texas",8.60%,8.6
"Whatcom County, Washington",5.50%,5.5
"Wheatland County, Montana",5.10%,5.1
"Wheeler County, Georgia",5.10%,5.1
"Wheeler County, Nebraska",12.70%,12.7
"Wheeler County, Oregon",11.60%,11.6
"Wheeler County, Texas",10.30%,10.3
"White County, Arkansas",11%,11
"White County, Georgia",8.70%,8.7
"White County, Illinois",10.20%,10.2
"White County, Indiana",7.60%,7.6
"White County, Tennessee",9.90%,9.9
"White Pine County, Nevada",6.60%,6.6
"Whiteside County, Illinois",7.30%,7.3
"Whitfield County, Georgia",6.20%,6.2
"Whitley County, Indiana",7%,7
"Whitley County, Kentucky",13%,13
"Whitman County, Washington",4.80%,4.8
"Wibaux County, Montana",7.10%,7.1
"Wichita County, Kansas",12.10%,12.1
"Wichita County, Texas",8.90%,8.9
"Wicomico County, Maryland",6.60%,6.6
"Wilbarger County, Texas",13.40%,13.4
"Wilcox County, Alabama",14.30%,14.3
"Wilcox County, Georgia",7.20%,7.2
"Wilkes County, Georgia",8.20%,8.2
"Wilkes County, North Carolina",11.50%,11.5
"Wilkin County, Minnesota",5.80%,5.8
"Wilkinson County, Georgia",9.20%,9.2
"Wilkinson County, Mississippi",15.70%,15.7
"Will County, Illinois",4.70%,4.7
"Willacy County, Texas",9.10%,9.1
"Williams County, North Dakota",4.40%,4.4
"Williams County, Ohio",9.80%,9.8
"Williamsburg city, Virginia",3.70%,3.7
"Williamsburg County, South Carolina",12.10%,12.1
"Williamson County, Illinois",9.40%,9.4
"Williamson County, Tennessee",3.10%,3.1
"Williamson County, Texas",4.50%,4.5
"Wilson County, Kansas",9.90%,9.9
"Wilson County, North Carolina",8.80%,8.8
"Wilson County, Tennessee",5.90%,5.9
"Wilson County, Texas",5.80%,5.8
"Winchester city, Virginia",6.20%,6.2
"Windham County, Vermont",7.30%,7.3
"Windsor County, Vermont",6.30%,6.3
"Winkler County, Texas",6.90%,6.9
"Winn Parish, Louisiana",11.80%,11.8
"Winnebago County, Illinois",8.10%,8.1
"Winnebago County, Iowa",5%,5
"Winnebago County, Wisconsin",6%,6
"Winneshiek County, Iowa",5.10%,5.1
"Winona County, Minnesota",5.40%,5.4
"Winston County, Alabama",11.80%,11.8
"Winston County, Mississippi",15.40%,15.4
"Wirt County, West Virginia",13.20%,13.2
"Wise County, Texas",8.10%,8.1
"Wise County, Virginia",16.40%,16.4
"Wolfe County, Kentucky",19.60%,19.6
"Wood County, Ohio",5.70%,5.7
"Wood County, Texas",10.20%,10.2
"Wood County, West Virginia",9.80%,9.8
"Wood County, Wisconsin",7.40%,7.4
"Woodbury County, Iowa",6.70%,6.7
"Woodford County, Illinois",4.90%,4.9
"Woodford County, Kentucky",6.40%,6.4
"Woodruff County, Arkansas",11.20%,11.2
"Woods County, Oklahoma",8.30%,8.3
"Woodson County, Kansas",11%,11
"Woodward County, Oklahoma",8.70%,8.7
"Worcester County, Maryland",7.40%,7.4
"Worcester County, Massachusetts",6%,6
"Worth County, Georgia",10.10%,10.1
"Worth County, Iowa",7.10%,7.1
"Worth County, Missouri",8.70%,8.7
"Wrangell City and Borough, Alaska",10.90%,10.9
"Wright County, Iowa",5.60%,5.6
"Wright County, Minnesota",4.40%,4.4
"Wright County, Missouri",11.20%,11.2
"Wyandot County, Ohio",6.70%,6.7
"Wyandotte County, Kansas",7.70%,7.7
"Wyoming County, New York",7.50%,7.5
"Wyoming County, Pennsylvania",6.30%,6.3
"Wyoming County, West Virginia",21%,21
"Wythe County, Virginia",12.20%,12.2
"Yabucoa Municipio, Puerto Rico",4.80%,4.8
"Yadkin County, North Carolina",9%,9
"Yakima County, Washington",7.10%,7.1
"Yakutat City and Borough, Alaska",5.80%,5.8
"Yalobusha County, Mississippi",14.40%,14.4
"Yamhill County, Oregon",8.30%,8.3
"Yancey County, North Carolina",8.50%,8.5
"Yankton County, South Dakota",7%,7
"Yates County, New York",5.20%,5.2
"Yauco Municipio, Puerto Rico",15.80%,15.8
"Yavapai County, Arizona",8.80%,8.8
"Yazoo County, Mississippi",13.20%,13.2
"Yell County, Arkansas",9.90%,9.9
"Yellow Medicine County, Minnesota",5%,5
"Yellowstone County, Montana",6.50%,6.5
"Yoakum County, Texas",5.80%,5.8
"Yolo County, California",4.80%,4.8
"York County, Maine",6.40%,6.4
"York County, Nebraska",7.30%,7.3
"York County, Pennsylvania",6.40%,6.4
"York County, South Carolina",5.30%,5.3
"York County, Virginia",5.40%,5.4
"Young County, Texas",9.20%,9.2
"Yuba County, California",8.10%,8.1
"Yukon-Koyukuk Census Area, Alaska",9.10%,9.1
"Yuma County, Arizona",7.50%,7.5
"Yuma County, Colorado",2.90%,2.9
"Zapata County, Texas",8.70%,8.7
"Zavala County, Texas",9.70%,9.7
"Ziebach County, South Dakota",5.60%,5.6
