Geographic Area,Unemployment rate—Population 16 years and over—Estimate,Unemploymt
"Scott County, Mississippi",6%,6
"Scott County, Missouri",2.90%,2.9
"Scott County, Tennessee",9.60%,9.6
"Scott County, Virginia",3.40%,3.4
"Scotts Bluff County, Nebraska",3.50%,3.5
"Screven County, Georgia",7.20%,7.2
"Scurry County, Texas",2.20%,2.2
"Searcy County, Arkansas",5.20%,5.2
"Sebastian County, Arkansas",5.20%,5.2
"Sedgwick County, Colorado",3.30%,3.3
"Sedgwick County, Kansas",5.30%,5.3
"Seminole County, Florida",4.30%,4.3
"Seminole County, Georgia",5.80%,5.8
"Seminole County, Oklahoma",7.20%,7.2
"Seneca County, New York",4.50%,4.5
"Seneca County, Ohio",4.20%,4.2
"Sequatchie County, Tennessee",3.30%,3.3
"Sequoyah County, Oklahoma",5.20%,5.2
"Sevier County, Arkansas",4.60%,4.6
"Sevier County, Tennessee",3.50%,3.5
"Sevier County, Utah",4.90%,4.9
"Seward County, Kansas",2.70%,2.7
"Seward County, Nebraska",2.20%,2.2
"Shackelford County, Texas",7.20%,7.2
"Shannon County, Missouri",2.70%,2.7
"Sharkey County, Mississippi",12.80%,12.8
"Sharp County, Arkansas",6.20%,6.2
"Shasta County, California",6.60%,6.6
"Shawano County, Wisconsin",2.90%,2.9
"Shawnee County, Kansas",4.20%,4.2
"Sheboygan County, Wisconsin",2.80%,2.8
"Shelby County, Alabama",3.10%,3.1
"Shelby County, Illinois",4%,4
"Shelby County, Indiana",3.30%,3.3
"Shelby County, Iowa",2.50%,2.5
"Shelby County, Kentucky",3.30%,3.3
"Shelby County, Missouri",1.10%,1.1
"Shelby County, Ohio",4.90%,4.9
"Shelby County, Tennessee",7.30%,7.3
"Shelby County, Texas",4%,4
"Shenandoah County, Virginia",4.20%,4.2
"Sherburne County, Minnesota",3%,3
"Sheridan County, Kansas",0.40%,0.4
"Sheridan County, Montana",1.50%,1.5
"Sheridan County, Nebraska",2.20%,2.2
"Sheridan County, North Dakota",0.80%,0.8
"Sheridan County, Wyoming",3%,3
"Sherman County, Kansas",2.40%,2.4
"Sherman County, Nebraska",4.20%,4.2
"Sherman County, Oregon",2.20%,2.2
"Sherman County, Texas",1.50%,1.5
"Shiawassee County, Michigan",4.10%,4.1
"Shoshone County, Idaho",5%,5
"Sibley County, Minnesota",3.20%,3.2
"Sierra County, California",5.60%,5.6
"Sierra County, New Mexico",4.70%,4.7
"Silver Bow County, Montana",4.60%,4.6
"Simpson County, Kentucky",3.50%,3.5
"Simpson County, Mississippi",6%,6
"Sioux County, Iowa",2.30%,2.3
"Sioux County, Nebraska",3.90%,3.9
"Sioux County, North Dakota",20.70%,20.7
"Siskiyou County, California",7.40%,7.4
"Sitka City and Borough, Alaska",5%,5
"Skagit County, Washington",5.10%,5.1
"Skagway Municipality, Alaska",11%,11
"Skamania County, Washington",5.20%,5.2
"Slope County, North Dakota",4.50%,4.5
"Smith County, Kansas",2.10%,2.1
"Smith County, Mississippi",3.50%,3.5
"Smith County, Tennessee",3.50%,3.5
"Smith County, Texas",4.70%,4.7
"Smyth County, Virginia",3.30%,3.3
"Snohomish County, Washington",4.40%,4.4
"Snyder County, Pennsylvania",2.20%,2.2
"Socorro County, New Mexico",4.40%,4.4
"Solano County, California",5.90%,5.9
"Somerset County, Maine",4.20%,4.2
"Somerset County, Maryland",7%,7
"Somerset County, New Jersey",5%,5
"Somerset County, Pennsylvania",5.20%,5.2
"Somervell County, Texas",3.90%,3.9
"Sonoma County, California",5.20%,5.2
"South Central Connecticut Planning Region, Connecticut",6.10%,6.1
"Southampton County, Virginia",5.50%,5.5
"Southeast Fairbanks Census Area, Alaska",6.60%,6.6
"Southeastern Connecticut Planning Region, Connecticut",5.30%,5.3
"Spalding County, Georgia",5.60%,5.6
"Spartanburg County, South Carolina",4.70%,4.7
"Spencer County, Indiana",3.30%,3.3
"Spencer County, Kentucky",6.20%,6.2
"Spink County, South Dakota",1.60%,1.6
"Spokane County, Washington",5.80%,5.8
"Spotsylvania County, Virginia",5.60%,5.6
"St. Bernard Parish, Louisiana",8%,8
"St. Charles County, Missouri",3.10%,3.1
"St. Charles Parish, Louisiana",6.70%,6.7
"St. Clair County, Alabama",4.30%,4.3
"St. Clair County, Illinois",5.70%,5.7
"St. Clair County, Michigan",6.70%,6.7
"St. Clair County, Missouri",2.50%,2.5
"St. Croix County, Wisconsin",2.20%,2.2
"St. Francis County, Arkansas",6.60%,6.6
"St. Francois County, Missouri",4.80%,4.8
"St. Helena Parish, Louisiana",21.50%,21.5
"St. James Parish, Louisiana",3.60%,3.6
"St. John the Baptist Parish, Louisiana",9.30%,9.3
"St. Johns County, Florida",4.40%,4.4
"St. Joseph County, Indiana",4.80%,4.8
"St. Joseph County, Michigan",5.30%,5.3
"St. Landry Parish, Louisiana",6.90%,6.9
"St. Lawrence County, New York",6.30%,6.3
"St. Louis city, Missouri",5.40%,5.4
"St. Louis County, Minnesota",4.60%,4.6
"St. Louis County, Missouri",4.30%,4.3
"St. Lucie County, Florida",6%,6
"St. Martin Parish, Louisiana",6.20%,6.2
"St. Mary Parish, Louisiana",5.90%,5.9
"St. Mary's County, Maryland",3.70%,3.7
"St. Tammany Parish, Louisiana",5.20%,5.2
"Stafford County, Kansas",3.50%,3.5
"Stafford County, Virginia",3.90%,3.9
"Stanislaus County, California",8.20%,8.2
"Stanley County, South Dakota",0.20%,0.2
"Stanly County, North Carolina",4.30%,4.3
"Stanton County, Kansas",3%,3
"Stanton County, Nebraska",0.70%,0.7
"Stark County, Illinois",3.30%,3.3
"Stark County, North Dakota",2.90%,2.9
"Stark County, Ohio",4.30%,4.3
"Starke County, Indiana",4%,4
"Starr County, Texas",11.50%,11.5
"Staunton city, Virginia",5.10%,5.1
"Ste. Genevieve County, Missouri",4.80%,4.8
"Stearns County, Minnesota",4.40%,4.4
"Steele County, Minnesota",3.40%,3.4
"Steele County, North Dakota",2.20%,2.2
"Stephens County, Georgia",5.80%,5.8
"Stephens County, Oklahoma",4.90%,4.9
"Stephens County, Texas",8.60%,8.6
"Stephenson County, Illinois",5.30%,5.3
"Sterling County, Texas",0%,0
"Steuben County, Indiana",7.10%,7.1
"Steuben County, New York",6.30%,6.3
"Stevens County, Kansas",1.90%,1.9
"Stevens County, Minnesota",1.40%,1.4
"Stevens County, Washington",5.30%,5.3
"Stewart County, Georgia",5.10%,5.1
"Stewart County, Tennessee",3.80%,3.8
"Stillwater County, Montana",2.60%,2.6
"Stoddard County, Missouri",4.30%,4.3
"Stokes County, North Carolina",5.30%,5.3
"Stone County, Arkansas",5.40%,5.4
"Stone County, Mississippi",8.10%,8.1
"Stone County, Missouri",8.40%,8.4
"Stonewall County, Texas",1.80%,1.8
"Storey County, Nevada",7%,7
"Story County, Iowa",5.60%,5.6
"Strafford County, New Hampshire",3.70%,3.7
"Stutsman County, North Dakota",4.70%,4.7
"Sublette County, Wyoming",3.90%,3.9
"Suffolk city, Virginia",6.30%,6.3
"Suffolk County, Massachusetts",6.70%,6.7
"Suffolk County, New York",4.80%,4.8
"Sullivan County, Indiana",5%,5
"Sullivan County, Missouri",2.40%,2.4
"Sullivan County, New Hampshire",2.90%,2.9
"Sullivan County, New York",7.20%,7.2
"Sullivan County, Pennsylvania",5.50%,5.5
"Sullivan County, Tennessee",6.20%,6.2
"Sully County, South Dakota",0%,0
"Summers County, West Virginia",7.60%,7.6
"Summit County, Colorado",3.70%,3.7
"Summit County, Ohio",5.30%,5.3
"Summit County, Utah",2.30%,2.3
"Sumner County, Kansas",5.20%,5.2
"Sumner County, Tennessee",3.50%,3.5
"Sumter County, Alabama",8.20%,8.2
"Sumter County, Florida",5.10%,5.1
"Sumter County, Georgia",6.50%,6.5
"Sumter County, South Carolina",7.20%,7.2
"Sunflower County, Mississippi",11.10%,11.1
"Surry County, North Carolina",4.90%,4.9
"Surry County, Virginia",6%,6
"Susquehanna County, Pennsylvania",5.80%,5.8
"Sussex County, Delaware",5%,5
"Sussex County, New Jersey",5.50%,5.5
"Sussex County, Virginia",5%,5
"Sutter County, California",7.60%,7.6
"Sutton County, Texas",4.70%,4.7
"Suwannee County, Florida",5.50%,5.5
"Swain County, North Carolina",7.50%,7.5
"Sweet Grass County, Montana",2.10%,2.1
"Sweetwater County, Wyoming",5.70%,5.7
"Swift County, Minnesota",3.70%,3.7
"Swisher County, Texas",5.20%,5.2
"Switzerland County, Indiana",4.40%,4.4
"Talbot County, Georgia",4.30%,4.3
"Talbot County, Maryland",3.20%,3.2
"Taliaferro County, Georgia",4%,4
"Talladega County, Alabama",8.40%,8.4
"Tallahatchie County, Mississippi",11%,11
"Tallapoosa County, Alabama",10.40%,10.4
"Tama County, Iowa",4.50%,4.5
"Taney County, Missouri",5.10%,5.1
"Tangipahoa Parish, Louisiana",5.60%,5.6
"Taos County, New Mexico",5.90%,5.9
"Tarrant County, Texas",4.90%,4.9
"Tate County, Mississippi",7.20%,7.2
"Tattnall County, Georgia",8%,8
"Taylor County, Florida",5.80%,5.8
"Taylor County, Georgia",6.60%,6.6
"Taylor County, Iowa",3.20%,3.2
"Taylor County, Kentucky",4.90%,4.9
"Taylor County, Texas",2.40%,2.4
"Taylor County, West Virginia",9.30%,9.3
"Taylor County, Wisconsin",3.20%,3.2
"Tazewell County, Illinois",3.90%,3.9
"Tazewell County, Virginia",5.70%,5.7
"Tehama County, California",7.40%,7.4
"Telfair County, Georgia",2.10%,2.1
"Teller County, Colorado",3.80%,3.8
"Tensas Parish, Louisiana",12.40%,12.4
"Terrebonne Parish, Louisiana",5.90%,5.9
"Terrell County, Georgia",8.70%,8.7
"Terrell County, Texas",0%,0
"Terry County, Texas",4.80%,4.8
"Teton County, Idaho",1.60%,1.6
"Teton County, Montana",2.10%,2.1
"Teton County, Wyoming",2.10%,2.1
"Texas County, Missouri",6%,6
"Texas County, Oklahoma",2.70%,2.7
"Thayer County, Nebraska",3.20%,3.2
"Thomas County, Georgia",6.20%,6.2
"Thomas County, Kansas",0.60%,0.6
"Thomas County, Nebraska",0.80%,0.8
"Throckmorton County, Texas",2.50%,2.5
"Thurston County, Nebraska",10%,10
"Thurston County, Washington",5.50%,5.5
"Tift County, Georgia",2.90%,2.9
"Tillamook County, Oregon",5.20%,5.2
"Tillman County, Oklahoma",5.90%,5.9
"Tioga County, New York",5.60%,5.6
"Tioga County, Pennsylvania",4.50%,4.5
"Tippah County, Mississippi",6%,6
"Tippecanoe County, Indiana",3.60%,3.6
"Tipton County, Indiana",3.80%,3.8
"Tipton County, Tennessee",5.40%,5.4
"Tishomingo County, Mississippi",3.50%,3.5
"Titus County, Texas",4%,4
"Toa Alta Municipio, Puerto Rico",8.60%,8.6
"Toa Baja Municipio, Puerto Rico",11.30%,11.3
"Todd County, Kentucky",4.30%,4.3
"Todd County, Minnesota",4.10%,4.1
"Todd County, South Dakota",15.10%,15.1
"Tom Green County, Texas",3.20%,3.2
"Tompkins County, New York",4.70%,4.7
"Tooele County, Utah",3.90%,3.9
"Toole County, Montana",3.90%,3.9
"Toombs County, Georgia",6.20%,6.2
"Torrance County, New Mexico",10.80%,10.8
"Towner County, North Dakota",1.60%,1.6
"Towns County, Georgia",5.50%,5.5
"Traill County, North Dakota",2%,2
"Transylvania County, North Carolina",4%,4
"Traverse County, Minnesota",4%,4
"Travis County, Texas",4.20%,4.2
"Treasure County, Montana",1.10%,1.1
"Trego County, Kansas",2.60%,2.6
"Trempealeau County, Wisconsin",2.60%,2.6
"Treutlen County, Georgia",10.90%,10.9
"Trigg County, Kentucky",4%,4
"Trimble County, Kentucky",8.40%,8.4
"Trinity County, California",7.40%,7.4
"Trinity County, Texas",7%,7
"Tripp County, South Dakota",4.90%,4.9
"Troup County, Georgia",4.80%,4.8
"Trousdale County, Tennessee",0.80%,0.8
"Trujillo Alto Municipio, Puerto Rico",6.50%,6.5
"Trumbull County, Ohio",4.80%,4.8
"Tucker County, West Virginia",6.60%,6.6
"Tulare County, California",9%,9
"Tulsa County, Oklahoma",5.30%,5.3
"Tunica County, Mississippi",12.20%,12.2
"Tuolumne County, California",8.30%,8.3
"Turner County, Georgia",7%,7
"Turner County, South Dakota",2.30%,2.3
"Tuscaloosa County, Alabama",5.50%,5.5
"Tuscarawas County, Ohio",5.50%,5.5
"Tuscola County, Michigan",6.10%,6.1
"Twiggs County, Georgia",3.40%,3.4
"Twin Falls County, Idaho",3.10%,3.1
"Tyler County, Texas",12.60%,12.6
"Tyler County, West Virginia",4.90%,4.9
"Tyrrell County, North Carolina",3.90%,3.9
"Uinta County, Wyoming",3.40%,3.4
"Uintah County, Utah",6.30%,6.3
"Ulster County, New York",5.10%,5.1
"Umatilla County, Oregon",6.70%,6.7
"Unicoi County, Tennessee",5.40%,5.4
"Union County, Arkansas",3.70%,3.7
"Union County, Florida",3.60%,3.6
"Union County, Georgia",2.70%,2.7
"Union County, Illinois",6.30%,6.3
"Union County, Indiana",5.10%,5.1
"Union County, Iowa",5.70%,5.7
"Union County, Kentucky",3.70%,3.7
"Union County, Mississippi",4.10%,4.1
"Union County, New Jersey",6.20%,6.2
"Union County, New Mexico",5.80%,5.8
"Union County, North Carolina",4.30%,4.3
"Union County, Ohio",2.90%,2.9
"Union County, Oregon",6.30%,6.3
"Union County, Pennsylvania",3.50%,3.5
"Union County, South Carolina",10.20%,10.2
"Union County, South Dakota",3%,3
"Union County, Tennessee",5.70%,5.7
"Union Parish, Louisiana",5.40%,5.4
"Upshur County, Texas",4.30%,4.3
"Upshur County, West Virginia",5.80%,5.8
"Upson County, Georgia",3.10%,3.1
"Upton County, Texas",4.70%,4.7
"Utah County, Utah",3.40%,3.4
"Utuado Municipio, Puerto Rico",30.50%,30.5
"Uvalde County, Texas",3.20%,3.2
"Val Verde County, Texas",3.40%,3.4
"Valencia County, New Mexico",7.50%,7.5
"Valley County, Idaho",1.50%,1.5
"Valley County, Montana",4%,4
"Valley County, Nebraska",0.60%,0.6
"Van Buren County, Arkansas",4.70%,4.7
"Van Buren County, Iowa",4.90%,4.9
"Van Buren County, Michigan",4.70%,4.7
"Van Buren County, Tennessee",4.10%,4.1
"Van Wert County, Ohio",3.80%,3.8
"Van Zandt County, Texas",3.10%,3.1
"Vance County, North Carolina",7%,7
"Vanderburgh County, Indiana",4.70%,4.7
"Vega Alta Municipio, Puerto Rico",21.60%,21.6
"Vega Baja Municipio, Puerto Rico",16.30%,16.3
"Venango County, Pennsylvania",6.70%,6.7
"Ventura County, California",5.30%,5.3
"Vermilion County, Illinois",6.70%,6.7
"Vermilion Parish, Louisiana",6.20%,6.2
"Vermillion County, Indiana",7.50%,7.5
"Vernon County, Missouri",4%,4
"Vernon County, Wisconsin",2.50%,2.5
"Vernon Parish, Louisiana",6.10%,6.1
"Victoria County, Texas",5.20%,5.2
"Vieques Municipio, Puerto Rico",13.10%,13.1
"Vigo County, Indiana",6.10%,6.1
"Vilas County, Wisconsin",4.60%,4.6
"Villalba Municipio, Puerto Rico",13.90%,13.9
"Vinton County, Ohio",3.60%,3.6
"Virginia Beach city, Virginia",4.30%,4.3
"Volusia County, Florida",4.20%,4.2
"Wabash County, Illinois",4.40%,4.4
"Wabash County, Indiana",3.50%,3.5
"Wabasha County, Minnesota",2.20%,2.2
"Wabaunsee County, Kansas",3%,3
"Wadena County, Minnesota",6.10%,6.1
"Wagoner County, Oklahoma",4.90%,4.9
"Wahkiakum County, Washington",3.20%,3.2
"Wake County, North Carolina",4.20%,4.2
"Wakulla County, Florida",3.60%,3.6
"Waldo County, Maine",4.60%,4.6
"Walker County, Alabama",5.70%,5.7
"Walker County, Georgia",5.50%,5.5
"Walker County, Texas",7%,7
"Walla Walla County, Washington",5.80%,5.8
"Wallace County, Kansas",2.20%,2.2
"Waller County, Texas",6.10%,6.1
"Wallowa County, Oregon",6%,6
"Walsh County, North Dakota",2.30%,2.3
"Walthall County, Mississippi",6.50%,6.5
"Walton County, Florida",5.30%,5.3
"Walton County, Georgia",5.20%,5.2
"Walworth County, South Dakota",3.60%,3.6
"Walworth County, Wisconsin",3.10%,3.1
"Wapello County, Iowa",4.40%,4.4
"Ward County, North Dakota",3.70%,3.7
"Ward County, Texas",5.50%,5.5
"Ware County, Georgia",4.30%,4.3
"Warren County, Georgia",9%,9
"Warren County, Illinois",7.30%,7.3
"Warren County, Indiana",3.10%,3.1
"Warren County, Iowa",3.20%,3.2
"Warren County, Kentucky",4.70%,4.7
"Warren County, Mississippi",4.70%,4.7
"Warren County, Missouri",4.80%,4.8
"Warren County, New Jersey",6%,6
"Warren County, New York",4.20%,4.2
"Warren County, North Carolina",9.90%,9.9
"Warren County, Ohio",3%,3
"Warren County, Pennsylvania",4.30%,4.3
"Warren County, Tennessee",3.90%,3.9
"Warren County, Virginia",5.60%,5.6
"Warrick County, Indiana",3.30%,3.3
"Wasatch County, Utah",2.40%,2.4
"Wasco County, Oregon",7.10%,7.1
"Waseca County, Minnesota",3.30%,3.3
"Washakie County, Wyoming",1.80%,1.8
"Washburn County, Wisconsin",4.10%,4.1
"Washington County, Alabama",6.30%,6.3
"Washington County, Arkansas",4.30%,4.3
"Washington County, Colorado",3.50%,3.5
"Washington County, Florida",4.80%,4.8
"Washington County, Georgia",4.50%,4.5
"Washington County, Idaho",4.50%,4.5
"Washington County, Illinois",4.70%,4.7
"Washington County, Indiana",4.20%,4.2
"Washington County, Iowa",2.60%,2.6
"Washington County, Kansas",1.80%,1.8
"Washington County, Kentucky",2.30%,2.3
"Washington County, Maine",7%,7
"Washington County, Maryland",5%,5
"Washington County, Minnesota",3%,3
"Washington County, Mississippi",9.50%,9.5
"Washington County, Missouri",4.40%,4.4
"Washington County, Nebraska",2%,2
"Washington County, New York",5.10%,5.1
"Washington County, North Carolina",12.70%,12.7
"Washington County, Ohio",5.20%,5.2
"Washington County, Oklahoma",3.80%,3.8
"Washington County, Oregon",4.60%,4.6
"Washington County, Pennsylvania",5%,5
"Washington County, Rhode Island",5.90%,5.9
"Washington County, Tennessee",5%,5
"Washington County, Texas",2.70%,2.7
"Washington County, Utah",3.10%,3.1
"Washington County, Vermont",3%,3
"Washington County, Virginia",4.20%,4.2
"Washington County, Wisconsin",3.10%,3.1
"Washington Parish, Louisiana",10.50%,10.5
"Washita County, Oklahoma",5.80%,5.8
"Washoe County, Nevada",5%,5
"Washtenaw County, Michigan",4.70%,4.7
"Watauga County, North Carolina",9.30%,9.3
"Watonwan County, Minnesota",6.10%,6.1
"Waukesha County, Wisconsin",2.60%,2.6
"Waupaca County, Wisconsin",2.70%,2.7
"Waushara County, Wisconsin",4.10%,4.1
"Wayne County, Georgia",6.20%,6.2
"Wayne County, Illinois",3.60%,3.6
"Wayne County, Indiana",4.50%,4.5
"Wayne County, Iowa",1.60%,1.6
"Wayne County, Kentucky",5.20%,5.2
"Wayne County, Michigan",9%,9
"Wayne County, Mississippi",8.70%,8.7
"Wayne County, Missouri",8.30%,8.3
"Wayne County, Nebraska",3.40%,3.4
"Wayne County, New York",4.30%,4.3
"Wayne County, North Carolina",5%,5
"Wayne County, Ohio",3.30%,3.3
"Wayne County, Pennsylvania",5.90%,5.9
"Wayne County, Tennessee",4.60%,4.6
"Wayne County, Utah",0.60%,0.6
"Wayne County, West Virginia",5%,5
"Waynesboro city, Virginia",4.70%,4.7
"Weakley County, Tennessee",4%,4
"Webb County, Texas",5.90%,5.9
"Weber County, Utah",3.10%,3.1
"Webster County, Georgia",8.90%,8.9
"Webster County, Iowa",3.20%,3.2
"Webster County, Kentucky",5.90%,5.9
"Webster County, Mississippi",6.40%,6.4
"Webster County, Missouri",4.80%,4.8
"Webster County, Nebraska",1.80%,1.8
"Webster County, West Virginia",11.10%,11.1
"Webster Parish, Louisiana",5.30%,5.3
"Weld County, Colorado",4.90%,4.9
"Wells County, Indiana",2.40%,2.4
"Wells County, North Dakota",1.80%,1.8
"West Baton Rouge Parish, Louisiana",7.60%,7.6
"West Carroll Parish, Louisiana",4.60%,4.6
"West Feliciana Parish, Louisiana",8.90%,8.9
"Westchester County, New York",6%,6
"Western Connecticut Planning Region, Connecticut",5.60%,5.6
"Westmoreland County, Pennsylvania",5%,5
"Westmoreland County, Virginia",9.10%,9.1
"Weston County, Wyoming",3.60%,3.6
"Wetzel County, West Virginia",6.10%,6.1
"Wexford County, Michigan",6.30%,6.3
"Wharton County, Texas",5.70%,5.7
"Whatcom County, Washington",4.90%,4.9
"Wheatland County, Montana",0.20%,0.2
"Wheeler County, Georgia",6.40%,6.4
"Wheeler County, Nebraska",1.40%,1.4
"Wheeler County, Oregon",5.40%,5.4
"Wheeler County, Texas",6.60%,6.6
"White County, Arkansas",5.20%,5.2
"White County, Georgia",3.50%,3.5
"White County, Illinois",3.50%,3.5
"White County, Indiana",4.40%,4.4
"White County, Tennessee",5.40%,5.4
"White Pine County, Nevada",4.10%,4.1
"Whiteside County, Illinois",4.40%,4.4
"Whitfield County, Georgia",5.70%,5.7
"Whitley County, Indiana",4%,4
"Whitley County, Kentucky",6.40%,6.4
"Whitman County, Washington",6.70%,6.7
"Wibaux County, Montana",0%,0
"Wichita County, Kansas",2.30%,2.3
"Wichita County, Texas",4.20%,4.2
"Wicomico County, Maryland",6.90%,6.9
"Wilbarger County, Texas",9.30%,9.3
"Wilcox County, Alabama",10.70%,10.7
"Wilcox County, Georgia",5.30%,5.3
"Wilkes County, Georgia",2.90%,2.9
"Wilkes County, North Carolina",6%,6
"Wilkin County, Minnesota",5%,5
"Wilkinson County, Georgia",5.80%,5.8
"Wilkinson County, Mississippi",6.30%,6.3
"Will County, Illinois",5%,5
"Willacy County, Texas",8.70%,8.7
"Williams County, North Dakota",2.50%,2.5
"Williams County, Ohio",3.50%,3.5
"Williamsburg city, Virginia",6%,6
"Williamsburg County, South Carolina",4.50%,4.5
"Williamson County, Illinois",4.40%,4.4
"Williamson County, Tennessee",2.10%,2.1
"Williamson County, Texas",4.40%,4.4
"Wilson County, Kansas",3.70%,3.7
"Wilson County, North Carolina",6.60%,6.6
"Wilson County, Tennessee",3.70%,3.7
"Wilson County, Texas",3.40%,3.4
"Winchester city, Virginia",5.20%,5.2
"Windham County, Vermont",4.40%,4.4
"Windsor County, Vermont",3.70%,3.7
"Winkler County, Texas",2.30%,2.3
"Winn Parish, Louisiana",4%,4
"Winnebago County, Illinois",7.50%,7.5
"Winnebago County, Iowa",2.50%,2.5
"Winnebago County, Wisconsin",2.40%,2.4
"Winneshiek County, Iowa",2.10%,2.1
"Winona County, Minnesota",2.80%,2.8
"Winston County, Alabama",4.40%,4.4
"Winston County, Mississippi",6.90%,6.9
"Wirt County, West Virginia",2.60%,2.6
"Wise County, Texas",4.30%,4.3
"Wise County, Virginia",9.10%,9.1
"Wolfe County, Kentucky",20.30%,20.3
"Wood County, Ohio",4.90%,4.9
"Wood County, Texas",5.30%,5.3
"Wood County, West Virginia",5.30%,5.3
"Wood County, Wisconsin",4.20%,4.2
"Woodbury County, Iowa",4.50%,4.5
"Woodford County, Illinois",3.30%,3.3
"Woodford County, Kentucky",2.50%,2.5
"Woodruff County, Arkansas",6.70%,6.7
"Woods County, Oklahoma",5%,5
"Woodson County, Kansas",6.20%,6.2
"Woodward County, Oklahoma",5.30%,5.3
"Worcester County, Maryland",6.50%,6.5
"Worcester County, Massachusetts",5.60%,5.6
"Worth County, Georgia",7%,7
"Worth County, Iowa",3.30%,3.3
"Worth County, Missouri",0.90%,0.9
"Wrangell City and Borough, Alaska",3.40%,3.4
"Wright County, Iowa",2.20%,2.2
"Wright County, Minnesota",2.20%,2.2
"Wright County, Missouri",4.80%,4.8
"Wyandot County, Ohio",2.80%,2.8
"Wyandotte County, Kansas",5.70%,5.7
"Wyoming County, New York",4.10%,4.1
"Wyoming County, Pennsylvania",4.50%,4.5
"Wyoming County, West Virginia",6.40%,6.4
"Wythe County, Virginia",5.20%,5.2
"Yabucoa Municipio, Puerto Rico",11.10%,11.1
"Yadkin County, North Carolina",5.20%,5.2
"Yakima County, Washington",7.20%,7.2
"Yakutat City and Borough, Alaska",1.80%,1.8
"Yalobusha County, Mississippi",5%,5
"Yamhill County, Oregon",4.10%,4.1
"Yancey County, North Carolina",7.60%,7.6
"Yankton County, South Dakota",1.60%,1.6
"Yates County, New York",3.20%,3.2
"Yauco Municipio, Puerto Rico",13.50%,13.5
"Yavapai County, Arizona",4.90%,4.9
"Yazoo County, Mississippi",10.40%,10.4
"Yell County, Arkansas",3.90%,3.9
"Yellow Medicine County, Minnesota",3.20%,3.2
"Yellowstone County, Montana",3.50%,3.5
"Yoakum County, Texas",3.90%,3.9
"Yolo County, California",5.30%,5.3
"York County, Maine",3.40%,3.4
"York County, Nebraska",2.80%,2.8
"York County, Pennsylvania",4.60%,4.6
"York County, South Carolina",4.70%,4.7
"York County, Virginia",4.20%,4.2
"Young County, Texas",2.60%,2.6
"Yuba County, California",7.40%,7.4
"Yukon-Koyukuk Census Area, Alaska",11.10%,11.1
"Yuma County, Arizona",8.30%,8.3
"Yuma County, Colorado",5.70%,5.7
"Zapata County, Texas",8.10%,8.1
"Zavala County, Texas",5.80%,5.8
"Ziebach County, South Dakota",32%,32
