Geographic Area,"Natural resources, construction, and maintenance occupations",Natural rescs
"Scott County, Missouri",10.40%,10.4
"Scott County, Tennessee",9.80%,9.8
"Scott County, Virginia",14.80%,14.8
"Scotts Bluff County, Nebraska",11.90%,11.9
"Screven County, Georgia",13.70%,13.7
"Scurry County, Texas",18.50%,18.5
"Searcy County, Arkansas",9.60%,9.6
"Sebastian County, Arkansas",7.90%,7.9
"Sedgwick County, Colorado",15.90%,15.9
"Sedgwick County, Kansas",10%,10
"Seminole County, Florida",7%,7
"Seminole County, Georgia",15%,15
"Seminole County, Oklahoma",14.60%,14.6
"Seneca County, New York",14.40%,14.4
"Seneca County, Ohio",9.70%,9.7
"Sequatchie County, Tennessee",15.60%,15.6
"Sequoyah County, Oklahoma",11.70%,11.7
"Sevier County, Arkansas",18.60%,18.6
"Sevier County, Tennessee",10.30%,10.3
"Sevier County, Utah",13.60%,13.6
"Seward County, Kansas",18.40%,18.4
"Seward County, Nebraska",12.90%,12.9
"Shackelford County, Texas",14.70%,14.7
"Shannon County, Missouri",22.20%,22.2
"Sharkey County, Mississippi",14.40%,14.4
"Sharp County, Arkansas",13.10%,13.1
"Shasta County, California",9.90%,9.9
"Shawano County, Wisconsin",14.70%,14.7
"Shawnee County, Kansas",9.10%,9.1
"Sheboygan County, Wisconsin",8.90%,8.9
"Shelby County, Alabama",7.80%,7.8
"Shelby County, Illinois",10.70%,10.7
"Shelby County, Indiana",9.70%,9.7
"Shelby County, Iowa",10.20%,10.2
"Shelby County, Kentucky",9.20%,9.2
"Shelby County, Missouri",15.20%,15.2
"Shelby County, Ohio",9.60%,9.6
"Shelby County, Tennessee",6%,6
"Shelby County, Texas",13.60%,13.6
"Shenandoah County, Virginia",12%,12
"Sherburne County, Minnesota",11.80%,11.8
"Sheridan County, Kansas",15.20%,15.2
"Sheridan County, Montana",17.40%,17.4
"Sheridan County, Nebraska",15%,15
"Sheridan County, North Dakota",18.90%,18.9
"Sheridan County, Wyoming",14.40%,14.4
"Sherman County, Kansas",13.10%,13.1
"Sherman County, Nebraska",14.60%,14.6
"Sherman County, Oregon",18.90%,18.9
"Sherman County, Texas",22.90%,22.9
"Shiawassee County, Michigan",11.60%,11.6
"Shoshone County, Idaho",17.40%,17.4
"Sibley County, Minnesota",15.30%,15.3
"Sierra County, California",10.50%,10.5
"Sierra County, New Mexico",10.80%,10.8
"Silver Bow County, Montana",11.20%,11.2
"Simpson County, Kentucky",9.50%,9.5
"Simpson County, Mississippi",14.20%,14.2
"Sioux County, Iowa",12.70%,12.7
"Sioux County, Nebraska",18.10%,18.1
"Sioux County, North Dakota",11.20%,11.2
"Siskiyou County, California",12.70%,12.7
"Sitka City and Borough, Alaska",11%,11
"Skagit County, Washington",13.60%,13.6
"Skagway Municipality, Alaska",8.10%,8.1
"Skamania County, Washington",11.80%,11.8
"Slope County, North Dakota",17.10%,17.1
"Smith County, Kansas",12.10%,12.1
"Smith County, Mississippi",9.90%,9.9
"Smith County, Tennessee",13%,13
"Smith County, Texas",9.60%,9.6
"Smyth County, Virginia",8.70%,8.7
"Snohomish County, Washington",10.50%,10.5
"Snyder County, Pennsylvania",11.90%,11.9
"Socorro County, New Mexico",10.40%,10.4
"Solano County, California",10.50%,10.5
"Somerset County, Maine",14.60%,14.6
"Somerset County, Maryland",12.90%,12.9
"Somerset County, New Jersey",5.20%,5.2
"Somerset County, Pennsylvania",13.30%,13.3
"Somervell County, Texas",15.30%,15.3
"Sonoma County, California",10.20%,10.2
"South Central Connecticut Planning Region, Connecticut",7.10%,7.1
"Southampton County, Virginia",9.80%,9.8
"Southeast Fairbanks Census Area, Alaska",18.90%,18.9
"Southeastern Connecticut Planning Region, Connecticut",7.50%,7.5
"Spalding County, Georgia",12.60%,12.6
"Spartanburg County, South Carolina",9.60%,9.6
"Spencer County, Indiana",12.70%,12.7
"Spencer County, Kentucky",12.50%,12.5
"Spink County, South Dakota",14.60%,14.6
"Spokane County, Washington",8.20%,8.2
"Spotsylvania County, Virginia",9.10%,9.1
"St. Bernard Parish, Louisiana",12.70%,12.7
"St. Charles County, Missouri",7.70%,7.7
"St. Charles Parish, Louisiana",11.50%,11.5
"St. Clair County, Alabama",11.90%,11.9
"St. Clair County, Illinois",7.60%,7.6
"St. Clair County, Michigan",12.30%,12.3
"St. Clair County, Missouri",12.90%,12.9
"St. Croix County, Wisconsin",9%,9
"St. Francis County, Arkansas",14.30%,14.3
"St. Francois County, Missouri",10.80%,10.8
"St. Helena Parish, Louisiana",19%,19
"St. James Parish, Louisiana",10.60%,10.6
"St. John the Baptist Parish, Louisiana",12.40%,12.4
"St. Johns County, Florida",6.50%,6.5
"St. Joseph County, Indiana",7.30%,7.3
"St. Joseph County, Michigan",10.70%,10.7
"St. Landry Parish, Louisiana",15.10%,15.1
"St. Lawrence County, New York",9.50%,9.5
"St. Louis city, Missouri",4.80%,4.8
"St. Louis County, Minnesota",10.50%,10.5
"St. Louis County, Missouri",5%,5
"St. Lucie County, Florida",10.70%,10.7
"St. Martin Parish, Louisiana",15.80%,15.8
"St. Mary Parish, Louisiana",12.50%,12.5
"St. Mary's County, Maryland",10.30%,10.3
"St. Tammany Parish, Louisiana",9.60%,9.6
"Stafford County, Kansas",13.70%,13.7
"Stafford County, Virginia",8.30%,8.3
"Stanislaus County, California",14%,14
"Stanley County, South Dakota",11.40%,11.4
"Stanly County, North Carolina",14.30%,14.3
"Stanton County, Kansas",30.40%,30.4
"Stanton County, Nebraska",13%,13
"Stark County, Illinois",16.30%,16.3
"Stark County, North Dakota",15.90%,15.9
"Stark County, Ohio",7.80%,7.8
"Starke County, Indiana",12.20%,12.2
"Starr County, Texas",15.90%,15.9
"Staunton city, Virginia",7%,7
"Ste. Genevieve County, Missouri",16.10%,16.1
"Stearns County, Minnesota",9.30%,9.3
"Steele County, Minnesota",10.20%,10.2
"Steele County, North Dakota",12.80%,12.8
"Stephens County, Georgia",7.90%,7.9
"Stephens County, Oklahoma",13.60%,13.6
"Stephens County, Texas",10.90%,10.9
"Stephenson County, Illinois",9.40%,9.4
"Sterling County, Texas",11.30%,11.3
"Steuben County, Indiana",9.10%,9.1
"Steuben County, New York",11%,11
"Stevens County, Kansas",26.10%,26.1
"Stevens County, Minnesota",13.70%,13.7
"Stevens County, Washington",14%,14
"Stewart County, Georgia",9.50%,9.5
"Stewart County, Tennessee",14.20%,14.2
"Stillwater County, Montana",25.20%,25.2
"Stoddard County, Missouri",14.30%,14.3
"Stokes County, North Carolina",12.80%,12.8
"Stone County, Arkansas",19.50%,19.5
"Stone County, Mississippi",13.30%,13.3
"Stone County, Missouri",11.90%,11.9
"Stonewall County, Texas",14.10%,14.1
"Storey County, Nevada",9.60%,9.6
"Story County, Iowa",6.70%,6.7
"Strafford County, New Hampshire",7.50%,7.5
"Stutsman County, North Dakota",8.70%,8.7
"Sublette County, Wyoming",15.80%,15.8
"Suffolk city, Virginia",8.20%,8.2
"Suffolk County, Massachusetts",4.40%,4.4
"Suffolk County, New York",8.80%,8.8
"Sullivan County, Indiana",11.20%,11.2
"Sullivan County, Missouri",11.70%,11.7
"Sullivan County, New Hampshire",8.30%,8.3
"Sullivan County, New York",9.50%,9.5
"Sullivan County, Pennsylvania",18.70%,18.7
"Sullivan County, Tennessee",9%,9
"Sully County, South Dakota",16.80%,16.8
"Summers County, West Virginia",12.60%,12.6
"Summit County, Colorado",11.80%,11.8
"Summit County, Ohio",6.60%,6.6
"Summit County, Utah",6.30%,6.3
"Sumner County, Kansas",10.90%,10.9
"Sumner County, Tennessee",8.30%,8.3
"Sumter County, Alabama",11.60%,11.6
"Sumter County, Florida",11.40%,11.4
"Sumter County, Georgia",8.20%,8.2
"Sumter County, South Carolina",9.90%,9.9
"Sunflower County, Mississippi",9.90%,9.9
"Surry County, North Carolina",11.60%,11.6
"Surry County, Virginia",12.80%,12.8
"Susquehanna County, Pennsylvania",13.70%,13.7
"Sussex County, Delaware",11.30%,11.3
"Sussex County, New Jersey",10.30%,10.3
"Sussex County, Virginia",13.80%,13.8
"Sutter County, California",15.90%,15.9
"Sutton County, Texas",15.70%,15.7
"Suwannee County, Florida",12.90%,12.9
"Swain County, North Carolina",14%,14
"Sweet Grass County, Montana",26.10%,26.1
"Sweetwater County, Wyoming",20.30%,20.3
"Swift County, Minnesota",12.40%,12.4
"Swisher County, Texas",15.10%,15.1
"Switzerland County, Indiana",13.10%,13.1
"Talbot County, Georgia",9.50%,9.5
"Talbot County, Maryland",10.40%,10.4
"Taliaferro County, Georgia",6.90%,6.9
"Talladega County, Alabama",11.40%,11.4
"Tallahatchie County, Mississippi",11%,11
"Tallapoosa County, Alabama",12.60%,12.6
"Tama County, Iowa",12.70%,12.7
"Taney County, Missouri",8.10%,8.1
"Tangipahoa Parish, Louisiana",9.90%,9.9
"Taos County, New Mexico",14.90%,14.9
"Tarrant County, Texas",8.80%,8.8
"Tate County, Mississippi",12.70%,12.7
"Tattnall County, Georgia",15.20%,15.2
"Taylor County, Florida",11.80%,11.8
"Taylor County, Georgia",16.20%,16.2
"Taylor County, Iowa",15.20%,15.2
"Taylor County, Kentucky",10.60%,10.6
"Taylor County, Texas",10.60%,10.6
"Taylor County, West Virginia",15.60%,15.6
"Taylor County, Wisconsin",12%,12
"Tazewell County, Illinois",8.90%,8.9
"Tazewell County, Virginia",9.70%,9.7
"Tehama County, California",15.40%,15.4
"Telfair County, Georgia",15.80%,15.8
"Teller County, Colorado",8.90%,8.9
"Tensas Parish, Louisiana",14.50%,14.5
"Terrebonne Parish, Louisiana",12.30%,12.3
"Terrell County, Georgia",12%,12
"Terrell County, Texas",14.60%,14.6
"Terry County, Texas",19.90%,19.9
"Teton County, Idaho",14.10%,14.1
"Teton County, Montana",16.40%,16.4
"Teton County, Wyoming",5.80%,5.8
"Texas County, Missouri",12.60%,12.6
"Texas County, Oklahoma",21.90%,21.9
"Thayer County, Nebraska",19.80%,19.8
"Thomas County, Georgia",12.10%,12.1
"Thomas County, Kansas",10.60%,10.6
"Thomas County, Nebraska",20.70%,20.7
"Throckmorton County, Texas",14.70%,14.7
"Thurston County, Nebraska",7.70%,7.7
"Thurston County, Washington",8.40%,8.4
"Tift County, Georgia",11.80%,11.8
"Tillamook County, Oregon",12.20%,12.2
"Tillman County, Oklahoma",14.70%,14.7
"Tioga County, New York",11.20%,11.2
"Tioga County, Pennsylvania",11.50%,11.5
"Tippah County, Mississippi",11.50%,11.5
"Tippecanoe County, Indiana",6.20%,6.2
"Tipton County, Indiana",10.50%,10.5
"Tipton County, Tennessee",14.60%,14.6
"Tishomingo County, Mississippi",12%,12
"Titus County, Texas",10.10%,10.1
"Toa Alta Municipio, Puerto Rico",7.40%,7.4
"Toa Baja Municipio, Puerto Rico",8.20%,8.2
"Todd County, Kentucky",14.30%,14.3
"Todd County, Minnesota",13.80%,13.8
"Todd County, South Dakota",9.10%,9.1
"Tom Green County, Texas",12.20%,12.2
"Tompkins County, New York",4.60%,4.6
"Tooele County, Utah",11.20%,11.2
"Toole County, Montana",12.70%,12.7
"Toombs County, Georgia",17.30%,17.3
"Torrance County, New Mexico",12.70%,12.7
"Towner County, North Dakota",13.80%,13.8
"Towns County, Georgia",10.80%,10.8
"Traill County, North Dakota",11.30%,11.3
"Transylvania County, North Carolina",10.70%,10.7
"Traverse County, Minnesota",11.70%,11.7
"Travis County, Texas",6.30%,6.3
"Treasure County, Montana",21.20%,21.2
"Trego County, Kansas",21.90%,21.9
"Trempealeau County, Wisconsin",10.60%,10.6
"Treutlen County, Georgia",11.40%,11.4
"Trigg County, Kentucky",13.40%,13.4
"Trimble County, Kentucky",17.60%,17.6
"Trinity County, California",17.30%,17.3
"Trinity County, Texas",12.40%,12.4
"Tripp County, South Dakota",13.90%,13.9
"Troup County, Georgia",7.40%,7.4
"Trousdale County, Tennessee",10.50%,10.5
"Trujillo Alto Municipio, Puerto Rico",7.10%,7.1
"Trumbull County, Ohio",9.50%,9.5
"Tucker County, West Virginia",14.60%,14.6
"Tulare County, California",20.30%,20.3
"Tulsa County, Oklahoma",8.60%,8.6
"Tunica County, Mississippi",6.30%,6.3
"Tuolumne County, California",9.60%,9.6
"Turner County, Georgia",18.80%,18.8
"Turner County, South Dakota",14.10%,14.1
"Tuscaloosa County, Alabama",8.90%,8.9
"Tuscarawas County, Ohio",10%,10
"Tuscola County, Michigan",14.30%,14.3
"Twiggs County, Georgia",11.20%,11.2
"Twin Falls County, Idaho",12.80%,12.8
"Tyler County, Texas",16.40%,16.4
"Tyler County, West Virginia",16.20%,16.2
"Tyrrell County, North Carolina",20.40%,20.4
"Uinta County, Wyoming",17.40%,17.4
"Uintah County, Utah",13.50%,13.5
"Ulster County, New York",9.70%,9.7
"Umatilla County, Oregon",14.50%,14.5
"Unicoi County, Tennessee",11.30%,11.3
"Union County, Arkansas",10.30%,10.3
"Union County, Florida",8.30%,8.3
"Union County, Georgia",13.50%,13.5
"Union County, Illinois",10.70%,10.7
"Union County, Indiana",8.20%,8.2
"Union County, Iowa",11.20%,11.2
"Union County, Kentucky",18.20%,18.2
"Union County, Mississippi",11.20%,11.2
"Union County, New Jersey",8.40%,8.4
"Union County, New Mexico",9.90%,9.9
"Union County, North Carolina",9.40%,9.4
"Union County, Ohio",6.90%,6.9
"Union County, Oregon",10.90%,10.9
"Union County, Pennsylvania",9.10%,9.1
"Union County, South Carolina",9.80%,9.8
"Union County, South Dakota",10.30%,10.3
"Union County, Tennessee",16.50%,16.5
"Union Parish, Louisiana",17%,17
"Upshur County, Texas",15.60%,15.6
"Upshur County, West Virginia",11.20%,11.2
"Upson County, Georgia",9.80%,9.8
"Upton County, Texas",22.20%,22.2
"Utah County, Utah",7.90%,7.9
"Utuado Municipio, Puerto Rico",9.20%,9.2
"Uvalde County, Texas",17%,17
"Val Verde County, Texas",11.70%,11.7
"Valencia County, New Mexico",10.80%,10.8
"Valley County, Idaho",12.60%,12.6
"Valley County, Montana",16.70%,16.7
"Valley County, Nebraska",14.20%,14.2
"Van Buren County, Arkansas",12.20%,12.2
"Van Buren County, Iowa",17.50%,17.5
"Van Buren County, Michigan",12%,12
"Van Buren County, Tennessee",10%,10
"Van Wert County, Ohio",9.50%,9.5
"Van Zandt County, Texas",16.10%,16.1
"Vance County, North Carolina",8.50%,8.5
"Vanderburgh County, Indiana",7.10%,7.1
"Vega Alta Municipio, Puerto Rico",7.50%,7.5
"Vega Baja Municipio, Puerto Rico",9.70%,9.7
"Venango County, Pennsylvania",9.70%,9.7
"Ventura County, California",11.80%,11.8
"Vermilion County, Illinois",10.30%,10.3
"Vermilion Parish, Louisiana",14.60%,14.6
"Vermillion County, Indiana",11.30%,11.3
"Vernon County, Missouri",10.20%,10.2
"Vernon County, Wisconsin",13.60%,13.6
"Vernon Parish, Louisiana",14.40%,14.4
"Victoria County, Texas",12.80%,12.8
"Vieques Municipio, Puerto Rico",25.80%,25.8
"Vigo County, Indiana",7.40%,7.4
"Vilas County, Wisconsin",11.90%,11.9
"Villalba Municipio, Puerto Rico",13.90%,13.9
"Vinton County, Ohio",17.30%,17.3
"Virginia Beach city, Virginia",7.60%,7.6
"Volusia County, Florida",9.90%,9.9
"Wabash County, Illinois",11.80%,11.8
"Wabash County, Indiana",9.90%,9.9
"Wabasha County, Minnesota",10.60%,10.6
"Wabaunsee County, Kansas",17.20%,17.2
"Wadena County, Minnesota",15.10%,15.1
"Wagoner County, Oklahoma",11.30%,11.3
"Wahkiakum County, Washington",17.40%,17.4
"Wake County, North Carolina",5.30%,5.3
"Wakulla County, Florida",13%,13
"Waldo County, Maine",11.10%,11.1
"Walker County, Alabama",12.80%,12.8
"Walker County, Georgia",13.10%,13.1
"Walker County, Texas",10.40%,10.4
"Walla Walla County, Washington",9%,9
"Wallace County, Kansas",12.60%,12.6
"Waller County, Texas",11.80%,11.8
"Wallowa County, Oregon",13.60%,13.6
"Walsh County, North Dakota",15.90%,15.9
"Walthall County, Mississippi",19.50%,19.5
"Walton County, Florida",11.80%,11.8
"Walton County, Georgia",10.90%,10.9
"Walworth County, South Dakota",11.10%,11.1
"Walworth County, Wisconsin",10.30%,10.3
"Wapello County, Iowa",9.90%,9.9
"Ward County, North Dakota",13.90%,13.9
"Ward County, Texas",15.70%,15.7
"Ware County, Georgia",14%,14
"Warren County, Georgia",12.60%,12.6
"Warren County, Illinois",8.10%,8.1
"Warren County, Indiana",14.90%,14.9
"Warren County, Iowa",11.90%,11.9
"Warren County, Kentucky",7.40%,7.4
"Warren County, Mississippi",9.90%,9.9
"Warren County, Missouri",16.50%,16.5
"Warren County, New Jersey",8.70%,8.7
"Warren County, New York",7.70%,7.7
"Warren County, North Carolina",10.10%,10.1
"Warren County, Ohio",6.10%,6.1
"Warren County, Pennsylvania",9.70%,9.7
"Warren County, Tennessee",14.20%,14.2
"Warren County, Virginia",11.70%,11.7
"Warrick County, Indiana",8.10%,8.1
"Wasatch County, Utah",10%,10
"Wasco County, Oregon",15.30%,15.3
"Waseca County, Minnesota",11.10%,11.1
"Washakie County, Wyoming",14.80%,14.8
"Washburn County, Wisconsin",12.80%,12.8
"Washington County, Alabama",13.50%,13.5
"Washington County, Arkansas",9.10%,9.1
"Washington County, Colorado",16.40%,16.4
"Washington County, Florida",16.10%,16.1
"Washington County, Georgia",12.40%,12.4
"Washington County, Idaho",12.90%,12.9
"Washington County, Illinois",15.20%,15.2
"Washington County, Indiana",12.70%,12.7
"Washington County, Iowa",14.50%,14.5
"Washington County, Kansas",11.90%,11.9
"Washington County, Kentucky",10.40%,10.4
"Washington County, Maine",17.70%,17.7
"Washington County, Maryland",10.70%,10.7
"Washington County, Minnesota",6.10%,6.1
"Washington County, Mississippi",8.90%,8.9
"Washington County, Missouri",16.40%,16.4
"Washington County, Nebraska",12.20%,12.2
"Washington County, New York",12%,12
"Washington County, North Carolina",18.40%,18.4
"Washington County, Ohio",11.30%,11.3
"Washington County, Oklahoma",8.80%,8.8
"Washington County, Oregon",6.60%,6.6
"Washington County, Pennsylvania",10.30%,10.3
"Washington County, Rhode Island",8%,8
"Washington County, Tennessee",7.60%,7.6
"Washington County, Texas",12.50%,12.5
"Washington County, Utah",8.80%,8.8
"Washington County, Vermont",10.60%,10.6
"Washington County, Virginia",9%,9
"Washington County, Wisconsin",8.70%,8.7
"Washington Parish, Louisiana",13.90%,13.9
"Washita County, Oklahoma",18.10%,18.1
"Washoe County, Nevada",9.40%,9.4
"Washtenaw County, Michigan",4%,4
"Watauga County, North Carolina",7.80%,7.8
"Watonwan County, Minnesota",17.40%,17.4
"Waukesha County, Wisconsin",6.30%,6.3
"Waupaca County, Wisconsin",11%,11
"Waushara County, Wisconsin",12.80%,12.8
"Wayne County, Georgia",16.40%,16.4
"Wayne County, Illinois",13.80%,13.8
"Wayne County, Indiana",9.90%,9.9
"Wayne County, Iowa",17.70%,17.7
"Wayne County, Kentucky",9.20%,9.2
"Wayne County, Michigan",6.60%,6.6
"Wayne County, Mississippi",11.80%,11.8
"Wayne County, Missouri",9.60%,9.6
"Wayne County, Nebraska",7.60%,7.6
"Wayne County, New York",11.30%,11.3
"Wayne County, North Carolina",12%,12
"Wayne County, Ohio",11.30%,11.3
"Wayne County, Pennsylvania",13.60%,13.6
"Wayne County, Tennessee",13.60%,13.6
"Wayne County, Utah",16.10%,16.1
"Wayne County, West Virginia",8%,8
"Waynesboro city, Virginia",7.50%,7.5
"Weakley County, Tennessee",11.90%,11.9
"Webb County, Texas",10.70%,10.7
"Weber County, Utah",10.40%,10.4
"Webster County, Georgia",13.20%,13.2
"Webster County, Iowa",12.90%,12.9
"Webster County, Kentucky",13.80%,13.8
"Webster County, Mississippi",13.50%,13.5
"Webster County, Missouri",14.20%,14.2
"Webster County, Nebraska",15.60%,15.6
"Webster County, West Virginia",20.40%,20.4
"Webster Parish, Louisiana",13.70%,13.7
"Weld County, Colorado",12.40%,12.4
"Wells County, Indiana",9.90%,9.9
"Wells County, North Dakota",14.30%,14.3
"West Baton Rouge Parish, Louisiana",9.70%,9.7
"West Carroll Parish, Louisiana",18.20%,18.2
"West Feliciana Parish, Louisiana",10.90%,10.9
"Westchester County, New York",6.70%,6.7
"Western Connecticut Planning Region, Connecticut",7.10%,7.1
"Westmoreland County, Pennsylvania",9.10%,9.1
"Westmoreland County, Virginia",14.50%,14.5
"Weston County, Wyoming",20.40%,20.4
"Wetzel County, West Virginia",14.30%,14.3
"Wexford County, Michigan",9.10%,9.1
"Wharton County, Texas",16%,16
"Whatcom County, Washington",9.70%,9.7
"Wheatland County, Montana",19.80%,19.8
"Wheeler County, Georgia",20.40%,20.4
"Wheeler County, Nebraska",25.10%,25.1
"Wheeler County, Oregon",13.80%,13.8
"Wheeler County, Texas",21.10%,21.1
"White County, Arkansas",11.20%,11.2
"White County, Georgia",11.90%,11.9
"White County, Illinois",13.80%,13.8
"White County, Indiana",9.30%,9.3
"White County, Tennessee",10.50%,10.5
"White Pine County, Nevada",18.30%,18.3
"Whiteside County, Illinois",8.80%,8.8
"Whitfield County, Georgia",10.30%,10.3
"Whitley County, Indiana",12.30%,12.3
"Whitley County, Kentucky",7.30%,7.3
"Whitman County, Washington",6.90%,6.9
"Wibaux County, Montana",21.90%,21.9
"Wichita County, Kansas",14.60%,14.6
"Wichita County, Texas",9.70%,9.7
"Wicomico County, Maryland",8.90%,8.9
"Wilbarger County, Texas",9.50%,9.5
"Wilcox County, Alabama",16.60%,16.6
"Wilcox County, Georgia",21.40%,21.4
"Wilkes County, Georgia",12.50%,12.5
"Wilkes County, North Carolina",10.40%,10.4
"Wilkin County, Minnesota",16.90%,16.9
"Wilkinson County, Georgia",13.30%,13.3
"Wilkinson County, Mississippi",17.50%,17.5
"Will County, Illinois",8.40%,8.4
"Willacy County, Texas",19.40%,19.4
"Williams County, North Dakota",19.30%,19.3
"Williams County, Ohio",8.60%,8.6
"Williamsburg city, Virginia",2%,2
"Williamsburg County, South Carolina",11.70%,11.7
"Williamson County, Illinois",9.50%,9.5
"Williamson County, Tennessee",3.40%,3.4
"Williamson County, Texas",6.50%,6.5
"Wilson County, Kansas",10.70%,10.7
"Wilson County, North Carolina",9.80%,9.8
"Wilson County, Tennessee",7.70%,7.7
"Wilson County, Texas",12.50%,12.5
"Winchester city, Virginia",10.10%,10.1
"Windham County, Vermont",11.60%,11.6
"Windsor County, Vermont",10%,10
"Winkler County, Texas",19.60%,19.6
"Winn Parish, Louisiana",14.80%,14.8
"Winnebago County, Illinois",8.20%,8.2
"Winnebago County, Iowa",10.60%,10.6
"Winnebago County, Wisconsin",7%,7
"Winneshiek County, Iowa",12%,12
"Winona County, Minnesota",8.70%,8.7
"Winston County, Alabama",13.70%,13.7
"Winston County, Mississippi",11.80%,11.8
"Wirt County, West Virginia",13.10%,13.1
"Wise County, Texas",12.10%,12.1
"Wise County, Virginia",11.60%,11.6
"Wolfe County, Kentucky",7%,7
"Wood County, Ohio",7.10%,7.1
"Wood County, Texas",17.70%,17.7
"Wood County, West Virginia",9.40%,9.4
"Wood County, Wisconsin",12%,12
"Woodbury County, Iowa",10.20%,10.2
"Woodford County, Illinois",8.70%,8.7
"Woodford County, Kentucky",8.80%,8.8
"Woodruff County, Arkansas",8.10%,8.1
"Woods County, Oklahoma",12.90%,12.9
"Woodson County, Kansas",15%,15
"Woodward County, Oklahoma",12.50%,12.5
"Worcester County, Maryland",10.40%,10.4
"Worcester County, Massachusetts",7.70%,7.7
"Worth County, Georgia",16%,16
"Worth County, Iowa",11%,11
"Worth County, Missouri",21.50%,21.5
"Wrangell City and Borough, Alaska",15.50%,15.5
"Wright County, Iowa",13.90%,13.9
"Wright County, Minnesota",12.10%,12.1
"Wright County, Missouri",13.20%,13.2
"Wyandot County, Ohio",10.40%,10.4
"Wyandotte County, Kansas",12.60%,12.6
"Wyoming County, New York",15%,15
"Wyoming County, Pennsylvania",13.40%,13.4
"Wyoming County, West Virginia",19.10%,19.1
"Wythe County, Virginia",9.70%,9.7
"Yabucoa Municipio, Puerto Rico",11.20%,11.2
"Yadkin County, North Carolina",12.30%,12.3
"Yakima County, Washington",19.70%,19.7
"Yakutat City and Borough, Alaska",8.40%,8.4
"Yalobusha County, Mississippi",12.90%,12.9
"Yamhill County, Oregon",11.30%,11.3
"Yancey County, North Carolina",11.70%,11.7
"Yankton County, South Dakota",7.50%,7.5
"Yates County, New York",14.30%,14.3
"Yauco Municipio, Puerto Rico",5.80%,5.8
"Yavapai County, Arizona",11.80%,11.8
"Yazoo County, Mississippi",16.20%,16.2
"Yell County, Arkansas",11.50%,11.5
"Yellow Medicine County, Minnesota",14.70%,14.7
"Yellowstone County, Montana",10.20%,10.2
"Yoakum County, Texas",31.40%,31.4
"Yolo County, California",9%,9
"York County, Maine",10.90%,10.9
"York County, Nebraska",12.80%,12.8
"York County, Pennsylvania",9.20%,9.2
"York County, South Carolina",7.90%,7.9
"York County, Virginia",7.40%,7.4
"Young County, Texas",16.90%,16.9
"Yuba County, California",15.20%,15.2
"Yukon-Koyukuk Census Area, Alaska",13.20%,13.2
"Yuma County, Arizona",15.60%,15.6
"Yuma County, Colorado",17%,17
"Zapata County, Texas",21.60%,21.6
"Zavala County, Texas",21.40%,21.4
"Ziebach County, South Dakota",4.50%,4.5
