Geographic Area,Percent—Total population—SELECTED AGE CATEGORIES—65 years and over—Estimate,Over 65 yrs
"Scott County, Mississippi",16.10%,16.1
"Scott County, Missouri",18.30%,18.3
"Scott County, Tennessee",16.90%,16.9
"Scott County, Virginia",24.80%,24.8
"Scotts Bluff County, Nebraska",19.90%,19.9
"Screven County, Georgia",19.80%,19.8
"Scurry County, Texas",15%,15
"Searcy County, Arkansas",25.30%,25.3
"Sebastian County, Arkansas",16.50%,16.5
"Sedgwick County, Colorado",25.10%,25.1
"Sedgwick County, Kansas",15.20%,15.2
"Seminole County, Florida",16%,16
"Seminole County, Georgia",23.80%,23.8
"Seminole County, Oklahoma",18.10%,18.1
"Seneca County, New York",20.20%,20.2
"Seneca County, Ohio",18.30%,18.3
"Sequatchie County, Tennessee",20.60%,20.6
"Sequoyah County, Oklahoma",18.40%,18.4
"Sevier County, Arkansas",13.70%,13.7
"Sevier County, Tennessee",20%,20
"Sevier County, Utah",16.50%,16.5
"Seward County, Kansas",10.10%,10.1
"Seward County, Nebraska",17.50%,17.5
"Shackelford County, Texas",19.70%,19.7
"Shannon County, Missouri",22.60%,22.6
"Sharkey County, Mississippi",17.60%,17.6
"Sharp County, Arkansas",25.30%,25.3
"Shasta County, California",21.10%,21.1
"Shawano County, Wisconsin",21.50%,21.5
"Shawnee County, Kansas",18.60%,18.6
"Sheboygan County, Wisconsin",18.70%,18.7
"Shelby County, Alabama",16.20%,16.2
"Shelby County, Illinois",22.90%,22.9
"Shelby County, Indiana",17.60%,17.6
"Shelby County, Iowa",23%,23
"Shelby County, Kentucky",16.30%,16.3
"Shelby County, Missouri",21.50%,21.5
"Shelby County, Ohio",17.20%,17.2
"Shelby County, Tennessee",14.20%,14.2
"Shelby County, Texas",17.80%,17.8
"Shenandoah County, Virginia",21.90%,21.9
"Sherburne County, Minnesota",11.70%,11.7
"Sheridan County, Kansas",23.20%,23.2
"Sheridan County, Montana",22.50%,22.5
"Sheridan County, Nebraska",26%,26
"Sheridan County, North Dakota",33.50%,33.5
"Sheridan County, Wyoming",21.70%,21.7
"Sherman County, Kansas",20.60%,20.6
"Sherman County, Nebraska",27.60%,27.6
"Sherman County, Oregon",23.20%,23.2
"Sherman County, Texas",16.30%,16.3
"Shiawassee County, Michigan",19.10%,19.1
"Shoshone County, Idaho",23%,23
"Sibley County, Minnesota",18.70%,18.7
"Sierra County, California",31.20%,31.2
"Sierra County, New Mexico",35.90%,35.9
"Silver Bow County, Montana",19.50%,19.5
"Simpson County, Kentucky",15.70%,15.7
"Simpson County, Mississippi",18.20%,18.2
"Sioux County, Iowa",16.10%,16.1
"Sioux County, Nebraska",22.80%,22.8
"Sioux County, North Dakota",8.10%,8.1
"Siskiyou County, California",26.40%,26.4
"Sitka City and Borough, Alaska",16.20%,16.2
"Skagit County, Washington",21.50%,21.5
"Skagway Municipality, Alaska",13.80%,13.8
"Skamania County, Washington",21.60%,21.6
"Slope County, North Dakota",27%,27
"Smith County, Kansas",28.60%,28.6
"Smith County, Mississippi",20.30%,20.3
"Smith County, Tennessee",16.40%,16.4
"Smith County, Texas",17%,17
"Smyth County, Virginia",22.40%,22.4
"Snohomish County, Washington",14.10%,14.1
"Snyder County, Pennsylvania",19.80%,19.8
"Socorro County, New Mexico",20%,20
"Solano County, California",16.50%,16.5
"Somerset County, Maine",22.20%,22.2
"Somerset County, Maryland",17.20%,17.2
"Somerset County, New Jersey",16.30%,16.3
"Somerset County, Pennsylvania",23.10%,23.1
"Somervell County, Texas",18.40%,18.4
"Sonoma County, California",20.60%,20.6
"South Central Connecticut Planning Region, Connecticut",17.50%,17.5
"Southampton County, Virginia",20.80%,20.8
"Southeast Fairbanks Census Area, Alaska",14.20%,14.2
"Southeastern Connecticut Planning Region, Connecticut",18.90%,18.9
"Spalding County, Georgia",18.40%,18.4
"Spartanburg County, South Carolina",16.30%,16.3
"Spencer County, Indiana",20.10%,20.1
"Spencer County, Kentucky",14.40%,14.4
"Spink County, South Dakota",22.90%,22.9
"Spokane County, Washington",16.80%,16.8
"Spotsylvania County, Virginia",14.60%,14.6
"St. Bernard Parish, Louisiana",12.30%,12.3
"St. Charles County, Missouri",16%,16
"St. Charles Parish, Louisiana",14.40%,14.4
"St. Clair County, Alabama",17.40%,17.4
"St. Clair County, Illinois",16.40%,16.4
"St. Clair County, Michigan",19.40%,19.4
"St. Clair County, Missouri",26.10%,26.1
"St. Croix County, Wisconsin",14.90%,14.9
"St. Francis County, Arkansas",17.40%,17.4
"St. Francois County, Missouri",16.90%,16.9
"St. Helena Parish, Louisiana",20.40%,20.4
"St. James Parish, Louisiana",18.40%,18.4
"St. John the Baptist Parish, Louisiana",14.70%,14.7
"St. Johns County, Florida",20.70%,20.7
"St. Joseph County, Indiana",16.30%,16.3
"St. Joseph County, Michigan",18.20%,18.2
"St. Landry Parish, Louisiana",16.30%,16.3
"St. Lawrence County, New York",18%,18
"St. Louis city, Missouri",14.50%,14.5
"St. Louis County, Minnesota",20.30%,20.3
"St. Louis County, Missouri",18.40%,18.4
"St. Lucie County, Florida",24.40%,24.4
"St. Martin Parish, Louisiana",16.20%,16.2
"St. Mary Parish, Louisiana",17.60%,17.6
"St. Mary's County, Maryland",13.30%,13.3
"St. Tammany Parish, Louisiana",17.70%,17.7
"Stafford County, Kansas",21.60%,21.6
"Stafford County, Virginia",11%,11
"Stanislaus County, California",13.30%,13.3
"Stanley County, South Dakota",22%,22
"Stanly County, North Carolina",18.90%,18.9
"Stanton County, Kansas",15.90%,15.9
"Stanton County, Nebraska",19.80%,19.8
"Stark County, Illinois",22.70%,22.7
"Stark County, North Dakota",13.30%,13.3
"Stark County, Ohio",19.90%,19.9
"Starke County, Indiana",18.80%,18.8
"Starr County, Texas",11.50%,11.5
"Staunton city, Virginia",21.10%,21.1
"Ste. Genevieve County, Missouri",20.60%,20.6
"Stearns County, Minnesota",15.50%,15.5
"Steele County, Minnesota",18.40%,18.4
"Steele County, North Dakota",26.40%,26.4
"Stephens County, Georgia",20.90%,20.9
"Stephens County, Oklahoma",20.40%,20.4
"Stephens County, Texas",19.60%,19.6
"Stephenson County, Illinois",23.70%,23.7
"Sterling County, Texas",13.10%,13.1
"Steuben County, Indiana",21%,21
"Steuben County, New York",20%,20
"Stevens County, Kansas",17%,17
"Stevens County, Minnesota",17.30%,17.3
"Stevens County, Washington",24.30%,24.3
"Stewart County, Georgia",14.50%,14.5
"Stewart County, Tennessee",20.50%,20.5
"Stillwater County, Montana",24.40%,24.4
"Stoddard County, Missouri",20.10%,20.1
"Stokes County, North Carolina",21.90%,21.9
"Stone County, Arkansas",27.30%,27.3
"Stone County, Mississippi",17.90%,17.9
"Stone County, Missouri",31.20%,31.2
"Stonewall County, Texas",20.30%,20.3
"Storey County, Nevada",37.30%,37.3
"Story County, Iowa",12.60%,12.6
"Strafford County, New Hampshire",16%,16
"Stutsman County, North Dakota",19.90%,19.9
"Sublette County, Wyoming",22.30%,22.3
"Suffolk city, Virginia",14.80%,14.8
"Suffolk County, Massachusetts",12.60%,12.6
"Suffolk County, New York",17.30%,17.3
"Sullivan County, Indiana",18.20%,18.2
"Sullivan County, Missouri",20.10%,20.1
"Sullivan County, New Hampshire",22.70%,22.7
"Sullivan County, New York",18.90%,18.9
"Sullivan County, Pennsylvania",29.30%,29.3
"Sullivan County, Tennessee",22%,22
"Sully County, South Dakota",25%,25
"Summers County, West Virginia",26.30%,26.3
"Summit County, Colorado",14.90%,14.9
"Summit County, Ohio",18.60%,18.6
"Summit County, Utah",13.80%,13.8
"Sumner County, Kansas",19.30%,19.3
"Sumner County, Tennessee",16.30%,16.3
"Sumter County, Alabama",18.60%,18.6
"Sumter County, Florida",57.90%,57.9
"Sumter County, Georgia",16.90%,16.9
"Sumter County, South Carolina",17%,17
"Sunflower County, Mississippi",14.40%,14.4
"Surry County, North Carolina",20.60%,20.6
"Surry County, Virginia",24%,24
"Susquehanna County, Pennsylvania",24.20%,24.2
"Sussex County, Delaware",29.20%,29.2
"Sussex County, New Jersey",18.10%,18.1
"Sussex County, Virginia",18.40%,18.4
"Sutter County, California",15.70%,15.7
"Sutton County, Texas",13.20%,13.2
"Suwannee County, Florida",21.20%,21.2
"Swain County, North Carolina",19.20%,19.2
"Sweet Grass County, Montana",24.60%,24.6
"Sweetwater County, Wyoming",13.60%,13.6
"Swift County, Minnesota",23.10%,23.1
"Swisher County, Texas",17.30%,17.3
"Switzerland County, Indiana",18%,18
"Talbot County, Georgia",25.90%,25.9
"Talbot County, Maryland",29.70%,29.7
"Taliaferro County, Georgia",28%,28
"Talladega County, Alabama",18.60%,18.6
"Tallahatchie County, Mississippi",16.50%,16.5
"Tallapoosa County, Alabama",22.30%,22.3
"Tama County, Iowa",19.80%,19.8
"Taney County, Missouri",22.30%,22.3
"Tangipahoa Parish, Louisiana",14.90%,14.9
"Taos County, New Mexico",27.80%,27.8
"Tarrant County, Texas",11.70%,11.7
"Tate County, Mississippi",16.40%,16.4
"Tattnall County, Georgia",14.30%,14.3
"Taylor County, Florida",20.40%,20.4
"Taylor County, Georgia",20.90%,20.9
"Taylor County, Iowa",22.50%,22.5
"Taylor County, Kentucky",18.20%,18.2
"Taylor County, Texas",14.60%,14.6
"Taylor County, West Virginia",20.50%,20.5
"Taylor County, Wisconsin",20.10%,20.1
"Tazewell County, Illinois",19.30%,19.3
"Tazewell County, Virginia",22.90%,22.9
"Tehama County, California",19.90%,19.9
"Telfair County, Georgia",17.60%,17.6
"Teller County, Colorado",23.70%,23.7
"Tensas Parish, Louisiana",26.10%,26.1
"Terrebonne Parish, Louisiana",15.10%,15.1
"Terrell County, Georgia",19.80%,19.8
"Terrell County, Texas",34.20%,34.2
"Terry County, Texas",14.80%,14.8
"Teton County, Idaho",12.80%,12.8
"Teton County, Montana",22.90%,22.9
"Teton County, Wyoming",16.60%,16.6
"Texas County, Missouri",20.90%,20.9
"Texas County, Oklahoma",11.80%,11.8
"Thayer County, Nebraska",25.30%,25.3
"Thomas County, Georgia",18.30%,18.3
"Thomas County, Kansas",17.50%,17.5
"Thomas County, Nebraska",34.50%,34.5
"Throckmorton County, Texas",25.50%,25.5
"Thurston County, Nebraska",12.30%,12.3
"Thurston County, Washington",17.90%,17.9
"Tift County, Georgia",15.30%,15.3
"Tillamook County, Oregon",26.80%,26.8
"Tillman County, Oklahoma",20.20%,20.2
"Tioga County, New York",20.90%,20.9
"Tioga County, Pennsylvania",22.60%,22.6
"Tippah County, Mississippi",16.80%,16.8
"Tippecanoe County, Indiana",11.80%,11.8
"Tipton County, Indiana",21.40%,21.4
"Tipton County, Tennessee",15%,15
"Tishomingo County, Mississippi",20.90%,20.9
"Titus County, Texas",14.50%,14.5
"Toa Alta Municipio, Puerto Rico",16%,16
"Toa Baja Municipio, Puerto Rico",21%,21
"Todd County, Kentucky",16.60%,16.6
"Todd County, Minnesota",22.10%,22.1
"Todd County, South Dakota",7.30%,7.3
"Tom Green County, Texas",15.90%,15.9
"Tompkins County, New York",15.70%,15.7
"Tooele County, Utah",9%,9
"Toole County, Montana",17.70%,17.7
"Toombs County, Georgia",17%,17
"Torrance County, New Mexico",21.50%,21.5
"Towner County, North Dakota",22.50%,22.5
"Towns County, Georgia",35.50%,35.5
"Traill County, North Dakota",19.60%,19.6
"Transylvania County, North Carolina",31%,31
"Traverse County, Minnesota",24.60%,24.6
"Travis County, Texas",10.40%,10.4
"Treasure County, Montana",22.40%,22.4
"Trego County, Kansas",27.60%,27.6
"Trempealeau County, Wisconsin",18.70%,18.7
"Treutlen County, Georgia",20.40%,20.4
"Trigg County, Kentucky",22.70%,22.7
"Trimble County, Kentucky",17.60%,17.6
"Trinity County, California",27.70%,27.7
"Trinity County, Texas",26.40%,26.4
"Tripp County, South Dakota",23%,23
"Troup County, Georgia",15.40%,15.4
"Trousdale County, Tennessee",12.80%,12.8
"Trujillo Alto Municipio, Puerto Rico",20.70%,20.7
"Trumbull County, Ohio",21.90%,21.9
"Tucker County, West Virginia",27%,27
"Tulare County, California",11.50%,11.5
"Tulsa County, Oklahoma",14.80%,14.8
"Tunica County, Mississippi",12.90%,12.9
"Tuolumne County, California",27.30%,27.3
"Turner County, Georgia",18.60%,18.6
"Turner County, South Dakota",21.60%,21.6
"Tuscaloosa County, Alabama",13.60%,13.6
"Tuscarawas County, Ohio",19.80%,19.8
"Tuscola County, Michigan",21%,21
"Twiggs County, Georgia",23.40%,23.4
"Twin Falls County, Idaho",16.10%,16.1
"Tyler County, Texas",22.10%,22.1
"Tyler County, West Virginia",23.40%,23.4
"Tyrrell County, North Carolina",22.40%,22.4
"Uinta County, Wyoming",15.60%,15.6
"Uintah County, Utah",11.30%,11.3
"Ulster County, New York",20.50%,20.5
"Umatilla County, Oregon",16%,16
"Unicoi County, Tennessee",23.40%,23.4
"Union County, Arkansas",18.40%,18.4
"Union County, Florida",17%,17
"Union County, Georgia",33.70%,33.7
"Union County, Illinois",22.80%,22.8
"Union County, Indiana",20.20%,20.2
"Union County, Iowa",20.50%,20.5
"Union County, Kentucky",18.80%,18.8
"Union County, Mississippi",16.60%,16.6
"Union County, New Jersey",14.60%,14.6
"Union County, New Mexico",22%,22
"Union County, North Carolina",13.10%,13.1
"Union County, Ohio",13%,13
"Union County, Oregon",20.90%,20.9
"Union County, Pennsylvania",19%,19
"Union County, South Carolina",20.50%,20.5
"Union County, South Dakota",18.40%,18.4
"Union County, Tennessee",18.20%,18.2
"Union Parish, Louisiana",21.40%,21.4
"Upshur County, Texas",18.30%,18.3
"Upshur County, West Virginia",21%,21
"Upson County, Georgia",18.20%,18.2
"Upton County, Texas",16.40%,16.4
"Utah County, Utah",7.70%,7.7
"Utuado Municipio, Puerto Rico",23.70%,23.7
"Uvalde County, Texas",16.30%,16.3
"Val Verde County, Texas",13.90%,13.9
"Valencia County, New Mexico",18.40%,18.4
"Valley County, Idaho",26.20%,26.2
"Valley County, Montana",23.50%,23.5
"Valley County, Nebraska",25.20%,25.2
"Van Buren County, Arkansas",26.80%,26.8
"Van Buren County, Iowa",23.60%,23.6
"Van Buren County, Michigan",18.90%,18.9
"Van Buren County, Tennessee",24%,24
"Van Wert County, Ohio",19.20%,19.2
"Van Zandt County, Texas",20.10%,20.1
"Vance County, North Carolina",18.70%,18.7
"Vanderburgh County, Indiana",17.60%,17.6
"Vega Alta Municipio, Puerto Rico",19.70%,19.7
"Vega Baja Municipio, Puerto Rico",21.80%,21.8
"Venango County, Pennsylvania",23.70%,23.7
"Ventura County, California",16.30%,16.3
"Vermilion County, Illinois",19.80%,19.8
"Vermilion Parish, Louisiana",15.90%,15.9
"Vermillion County, Indiana",19.90%,19.9
"Vernon County, Missouri",20.10%,20.1
"Vernon County, Wisconsin",20.30%,20.3
"Vernon Parish, Louisiana",13%,13
"Victoria County, Texas",16.40%,16.4
"Vieques Municipio, Puerto Rico",23.70%,23.7
"Vigo County, Indiana",16.80%,16.8
"Vilas County, Wisconsin",30.90%,30.9
"Villalba Municipio, Puerto Rico",19.70%,19.7
"Vinton County, Ohio",18.60%,18.6
"Virginia Beach city, Virginia",15%,15
"Volusia County, Florida",24.80%,24.8
"Wabash County, Illinois",21.90%,21.9
"Wabash County, Indiana",21.20%,21.2
"Wabasha County, Minnesota",22.40%,22.4
"Wabaunsee County, Kansas",21%,21
"Wadena County, Minnesota",20.10%,20.1
"Wagoner County, Oklahoma",16.80%,16.8
"Wahkiakum County, Washington",33.10%,33.1
"Wake County, North Carolina",12.20%,12.2
"Wakulla County, Florida",15.70%,15.7
"Waldo County, Maine",23.90%,23.9
"Walker County, Alabama",19.60%,19.6
"Walker County, Georgia",18.80%,18.8
"Walker County, Texas",13.50%,13.5
"Walla Walla County, Washington",19.30%,19.3
"Wallace County, Kansas",24.80%,24.8
"Waller County, Texas",11.50%,11.5
"Wallowa County, Oregon",28.90%,28.9
"Walsh County, North Dakota",21.60%,21.6
"Walthall County, Mississippi",19.90%,19.9
"Walton County, Florida",20%,20
"Walton County, Georgia",15.90%,15.9
"Walworth County, South Dakota",23%,23
"Walworth County, Wisconsin",18.70%,18.7
"Wapello County, Iowa",17.80%,17.8
"Ward County, North Dakota",13.30%,13.3
"Ward County, Texas",13.40%,13.4
"Ware County, Georgia",17.10%,17.1
"Warren County, Georgia",22.70%,22.7
"Warren County, Illinois",19.40%,19.4
"Warren County, Indiana",20.80%,20.8
"Warren County, Iowa",16.40%,16.4
"Warren County, Kentucky",13.20%,13.2
"Warren County, Mississippi",17.60%,17.6
"Warren County, Missouri",17.60%,17.6
"Warren County, New Jersey",18.70%,18.7
"Warren County, New York",23%,23
"Warren County, North Carolina",26.30%,26.3
"Warren County, Ohio",14.90%,14.9
"Warren County, Pennsylvania",23.80%,23.8
"Warren County, Tennessee",17.80%,17.8
"Warren County, Virginia",16.60%,16.6
"Warrick County, Indiana",18.20%,18.2
"Wasatch County, Utah",12.70%,12.7
"Wasco County, Oregon",20.70%,20.7
"Waseca County, Minnesota",18.10%,18.1
"Washakie County, Wyoming",23.30%,23.3
"Washburn County, Wisconsin",27.30%,27.3
"Washington County, Alabama",19.80%,19.8
"Washington County, Arkansas",12%,12
"Washington County, Colorado",21.30%,21.3
"Washington County, Florida",17.40%,17.4
"Washington County, Georgia",18.20%,18.2
"Washington County, Idaho",25.80%,25.8
"Washington County, Illinois",20.80%,20.8
"Washington County, Indiana",17.80%,17.8
"Washington County, Iowa",19.60%,19.6
"Washington County, Kansas",23.80%,23.8
"Washington County, Kentucky",18.90%,18.9
"Washington County, Maine",25.30%,25.3
"Washington County, Maryland",17.70%,17.7
"Washington County, Minnesota",15.80%,15.8
"Washington County, Mississippi",17.10%,17.1
"Washington County, Missouri",16.80%,16.8
"Washington County, Nebraska",18.40%,18.4
"Washington County, New York",20.40%,20.4
"Washington County, North Carolina",26%,26
"Washington County, Ohio",21.30%,21.3
"Washington County, Oklahoma",19.70%,19.7
"Washington County, Oregon",14%,14
"Washington County, Pennsylvania",21.20%,21.2
"Washington County, Rhode Island",21.90%,21.9
"Washington County, Tennessee",18.50%,18.5
"Washington County, Texas",21.70%,21.7
"Washington County, Utah",21.90%,21.9
"Washington County, Vermont",20.50%,20.5
"Washington County, Virginia",24%,24
"Washington County, Wisconsin",18.70%,18.7
"Washington Parish, Louisiana",18.50%,18.5
"Washita County, Oklahoma",18.50%,18.5
"Washoe County, Nevada",16.90%,16.9
"Washtenaw County, Michigan",14.80%,14.8
"Watauga County, North Carolina",16.20%,16.2
"Watonwan County, Minnesota",20.30%,20.3
"Waukesha County, Wisconsin",19.50%,19.5
"Waupaca County, Wisconsin",20.70%,20.7
"Waushara County, Wisconsin",25.10%,25.1
"Wayne County, Georgia",16.20%,16.2
"Wayne County, Illinois",21.80%,21.8
"Wayne County, Indiana",19.10%,19.1
"Wayne County, Iowa",21.70%,21.7
"Wayne County, Kentucky",21%,21
"Wayne County, Michigan",15.80%,15.8
"Wayne County, Mississippi",17.30%,17.3
"Wayne County, Missouri",24.60%,24.6
"Wayne County, Nebraska",16.60%,16.6
"Wayne County, New York",19.70%,19.7
"Wayne County, North Carolina",16.60%,16.6
"Wayne County, Ohio",18.20%,18.2
"Wayne County, Pennsylvania",24.60%,24.6
"Wayne County, Tennessee",19%,19
"Wayne County, Utah",22.40%,22.4
"Wayne County, West Virginia",21.50%,21.5
"Waynesboro city, Virginia",17.40%,17.4
"Weakley County, Tennessee",18.40%,18.4
"Webb County, Texas",9.70%,9.7
"Weber County, Utah",11.90%,11.9
"Webster County, Georgia",17.80%,17.8
"Webster County, Iowa",19.60%,19.6
"Webster County, Kentucky",17.70%,17.7
"Webster County, Mississippi",18.90%,18.9
"Webster County, Missouri",15.60%,15.6
"Webster County, Nebraska",22.60%,22.6
"Webster County, West Virginia",24%,24
"Webster Parish, Louisiana",20.20%,20.2
"Weld County, Colorado",12.50%,12.5
"Wells County, Indiana",18.20%,18.2
"Wells County, North Dakota",25.10%,25.1
"West Baton Rouge Parish, Louisiana",14.20%,14.2
"West Carroll Parish, Louisiana",19.60%,19.6
"West Feliciana Parish, Louisiana",16%,16
"Westchester County, New York",17.50%,17.5
"Western Connecticut Planning Region, Connecticut",16.20%,16.2
"Westmoreland County, Pennsylvania",23.40%,23.4
"Westmoreland County, Virginia",25.70%,25.7
"Weston County, Wyoming",20.80%,20.8
"Wetzel County, West Virginia",22.80%,22.8
"Wexford County, Michigan",20%,20
"Wharton County, Texas",17.20%,17.2
"Whatcom County, Washington",18.10%,18.1
"Wheatland County, Montana",28.80%,28.8
"Wheeler County, Georgia",15.20%,15.2
"Wheeler County, Nebraska",33.10%,33.1
"Wheeler County, Oregon",35.30%,35.3
"Wheeler County, Texas",20%,20
"White County, Arkansas",16.50%,16.5
"White County, Georgia",22.90%,22.9
"White County, Illinois",23.30%,23.3
"White County, Indiana",20.30%,20.3
"White County, Tennessee",20.40%,20.4
"White Pine County, Nevada",19.20%,19.2
"Whiteside County, Illinois",21%,21
"Whitfield County, Georgia",14.20%,14.2
"Whitley County, Indiana",18.20%,18.2
"Whitley County, Kentucky",15.70%,15.7
"Whitman County, Washington",11.50%,11.5
"Wibaux County, Montana",22.30%,22.3
"Wichita County, Kansas",23.20%,23.2
"Wichita County, Texas",14.90%,14.9
"Wicomico County, Maryland",16.20%,16.2
"Wilbarger County, Texas",17.80%,17.8
"Wilcox County, Alabama",20.80%,20.8
"Wilcox County, Georgia",19.20%,19.2
"Wilkes County, Georgia",23.40%,23.4
"Wilkes County, North Carolina",22.30%,22.3
"Wilkin County, Minnesota",18.90%,18.9
"Wilkinson County, Georgia",19.90%,19.9
"Wilkinson County, Mississippi",18.10%,18.1
"Will County, Illinois",13.70%,13.7
"Willacy County, Texas",14.60%,14.6
"Williams County, North Dakota",9.60%,9.6
"Williams County, Ohio",19.20%,19.2
"Williamsburg city, Virginia",16.80%,16.8
"Williamsburg County, South Carolina",21.40%,21.4
"Williamson County, Illinois",19.20%,19.2
"Williamson County, Tennessee",13.90%,13.9
"Williamson County, Texas",12.60%,12.6
"Wilson County, Kansas",22.30%,22.3
"Wilson County, North Carolina",18.90%,18.9
"Wilson County, Tennessee",15.80%,15.8
"Wilson County, Texas",16.20%,16.2
"Winchester city, Virginia",16.40%,16.4
"Windham County, Vermont",24%,24
"Windsor County, Vermont",24.30%,24.3
"Winkler County, Texas",13.60%,13.6
"Winn Parish, Louisiana",18.60%,18.6
"Winnebago County, Illinois",18%,18
"Winnebago County, Iowa",21.30%,21.3
"Winnebago County, Wisconsin",16.70%,16.7
"Winneshiek County, Iowa",22.30%,22.3
"Winona County, Minnesota",17.80%,17.8
"Winston County, Alabama",21.70%,21.7
"Winston County, Mississippi",21.30%,21.3
"Wirt County, West Virginia",21.20%,21.2
"Wise County, Texas",15.20%,15.2
"Wise County, Virginia",19.10%,19.1
"Wolfe County, Kentucky",19.70%,19.7
"Wood County, Ohio",15.90%,15.9
"Wood County, Texas",26.90%,26.9
"Wood County, West Virginia",21%,21
"Wood County, Wisconsin",21.10%,21.1
"Woodbury County, Iowa",15.40%,15.4
"Woodford County, Illinois",18.40%,18.4
"Woodford County, Kentucky",19.70%,19.7
"Woodruff County, Arkansas",24%,24
"Woods County, Oklahoma",17.10%,17.1
"Woodson County, Kansas",25%,25
"Woodward County, Oklahoma",16%,16
"Worcester County, Maryland",28%,28
"Worcester County, Massachusetts",16.20%,16.2
"Worth County, Georgia",19.50%,19.5
"Worth County, Iowa",21.60%,21.6
"Worth County, Missouri",25.30%,25.3
"Wrangell City and Borough, Alaska",27%,27
"Wright County, Iowa",22.40%,22.4
"Wright County, Minnesota",13%,13
"Wright County, Missouri",19.90%,19.9
"Wyandot County, Ohio",19.90%,19.9
"Wyandotte County, Kansas",13%,13
"Wyoming County, New York",19.10%,19.1
"Wyoming County, Pennsylvania",21.90%,21.9
"Wyoming County, West Virginia",22.60%,22.6
"Wythe County, Virginia",21.60%,21.6
"Yabucoa Municipio, Puerto Rico",23.10%,23.1
"Yadkin County, North Carolina",20.60%,20.6
"Yakima County, Washington",14%,14
"Yakutat City and Borough, Alaska",24.60%,24.6
"Yalobusha County, Mississippi",20.90%,20.9
"Yamhill County, Oregon",18%,18
"Yancey County, North Carolina",26.20%,26.2
"Yankton County, South Dakota",19.90%,19.9
"Yates County, New York",21.50%,21.5
"Yauco Municipio, Puerto Rico",23.90%,23.9
"Yavapai County, Arizona",32.70%,32.7
"Yazoo County, Mississippi",13.20%,13.2
"Yell County, Arkansas",17.50%,17.5
"Yellow Medicine County, Minnesota",20.50%,20.5
"Yellowstone County, Montana",17.50%,17.5
"Yoakum County, Texas",10%,10
"Yolo County, California",13%,13
"York County, Maine",21.20%,21.2
"York County, Nebraska",20.30%,20.3
"York County, Pennsylvania",18.20%,18.2
"York County, South Carolina",14.70%,14.7
"York County, Virginia",17%,17
"Young County, Texas",20.90%,20.9
"Yuba County, California",12.90%,12.9
"Yukon-Koyukuk Census Area, Alaska",16.20%,16.2
"Yuma County, Arizona",19.70%,19.7
"Yuma County, Colorado",18.10%,18.1
"Zapata County, Texas",13.70%,13.7
"Zavala County, Texas",16.10%,16.1
"Ziebach County, South Dakota",10.20%,10.2
