Geographic Area,"9th to 12th grade, no diploma—Estimate",No diploma
"Screven County, Georgia",12.60%,12.6
"Scurry County, Texas",7.70%,7.7
"Searcy County, Arkansas",10.60%,10.6
"Sebastian County, Arkansas",8.50%,8.5
"Sedgwick County, Colorado",6.70%,6.7
"Sedgwick County, Kansas",6.10%,6.1
"Seminole County, Florida",4%,4
"Seminole County, Georgia",9.10%,9.1
"Seminole County, Oklahoma",10.90%,10.9
"Seneca County, New York",10.50%,10.5
"Seneca County, Ohio",5.30%,5.3
"Sequatchie County, Tennessee",11.10%,11.1
"Sequoyah County, Oklahoma",11.50%,11.5
"Sevier County, Arkansas",12.20%,12.2
"Sevier County, Tennessee",8.10%,8.1
"Sevier County, Utah",5.30%,5.3
"Seward County, Kansas",11.60%,11.6
"Seward County, Nebraska",4.30%,4.3
"Shackelford County, Texas",6%,6
"Shannon County, Missouri",11.70%,11.7
"Sharkey County, Mississippi",10.20%,10.2
"Sharp County, Arkansas",11.40%,11.4
"Shasta County, California",6.10%,6.1
"Shawano County, Wisconsin",5.50%,5.5
"Shawnee County, Kansas",4.50%,4.5
"Sheboygan County, Wisconsin",4.20%,4.2
"Shelby County, Alabama",4.20%,4.2
"Shelby County, Illinois",4.50%,4.5
"Shelby County, Indiana",7.50%,7.5
"Shelby County, Iowa",4%,4
"Shelby County, Kentucky",7.50%,7.5
"Shelby County, Missouri",8.70%,8.7
"Shelby County, Ohio",7.10%,7.1
"Shelby County, Tennessee",6.90%,6.9
"Shelby County, Texas",10.10%,10.1
"Shenandoah County, Virginia",7.50%,7.5
"Sherburne County, Minnesota",4%,4
"Sheridan County, Kansas",2.10%,2.1
"Sheridan County, Montana",6.60%,6.6
"Sheridan County, Nebraska",8.40%,8.4
"Sheridan County, North Dakota",6.60%,6.6
"Sheridan County, Wyoming",2.60%,2.6
"Sherman County, Kansas",6.40%,6.4
"Sherman County, Nebraska",6.50%,6.5
"Sherman County, Oregon",8.60%,8.6
"Sherman County, Texas",14.20%,14.2
"Shiawassee County, Michigan",6.10%,6.1
"Shoshone County, Idaho",9.30%,9.3
"Sibley County, Minnesota",3.90%,3.9
"Sierra County, California",3.60%,3.6
"Sierra County, New Mexico",6.60%,6.6
"Silver Bow County, Montana",4.10%,4.1
"Simpson County, Kentucky",7.40%,7.4
"Simpson County, Mississippi",14.10%,14.1
"Sioux County, Iowa",3.90%,3.9
"Sioux County, Nebraska",3.80%,3.8
"Sioux County, North Dakota",10.70%,10.7
"Siskiyou County, California",5.80%,5.8
"Sitka City and Borough, Alaska",2.80%,2.8
"Skagit County, Washington",5.60%,5.6
"Skagway Municipality, Alaska",2.10%,2.1
"Skamania County, Washington",5.20%,5.2
"Slope County, North Dakota",6.70%,6.7
"Smith County, Kansas",2.70%,2.7
"Smith County, Mississippi",10.40%,10.4
"Smith County, Tennessee",9.40%,9.4
"Smith County, Texas",6.90%,6.9
"Smyth County, Virginia",10.30%,10.3
"Snohomish County, Washington",4.50%,4.5
"Snyder County, Pennsylvania",8.80%,8.8
"Socorro County, New Mexico",7.10%,7.1
"Solano County, California",5.60%,5.6
"Somerset County, Maine",5.70%,5.7
"Somerset County, Maryland",12.10%,12.1
"Somerset County, New Jersey",3%,3
"Somerset County, Pennsylvania",6.50%,6.5
"Somervell County, Texas",4.90%,4.9
"Sonoma County, California",4.90%,4.9
"South Central Connecticut Planning Region, Connecticut",4.70%,4.7
"Southampton County, Virginia",8.90%,8.9
"Southeast Fairbanks Census Area, Alaska",4.20%,4.2
"Southeastern Connecticut Planning Region, Connecticut",4.80%,4.8
"Spalding County, Georgia",12.80%,12.8
"Spartanburg County, South Carolina",7.70%,7.7
"Spencer County, Indiana",5.50%,5.5
"Spencer County, Kentucky",5.20%,5.2
"Spink County, South Dakota",3.90%,3.9
"Spokane County, Washington",3.90%,3.9
"Spotsylvania County, Virginia",5.70%,5.7
"St. Bernard Parish, Louisiana",13.60%,13.6
"St. Charles County, Missouri",3.30%,3.3
"St. Charles Parish, Louisiana",6.40%,6.4
"St. Clair County, Alabama",8.70%,8.7
"St. Clair County, Illinois",5.40%,5.4
"St. Clair County, Michigan",6.30%,6.3
"St. Clair County, Missouri",8.40%,8.4
"St. Croix County, Wisconsin",2.90%,2.9
"St. Francis County, Arkansas",10.70%,10.7
"St. Francois County, Missouri",9.20%,9.2
"St. Helena Parish, Louisiana",14%,14
"St. James Parish, Louisiana",8.80%,8.8
"St. John the Baptist Parish, Louisiana",10.50%,10.5
"St. Johns County, Florida",3.20%,3.2
"St. Joseph County, Indiana",6.70%,6.7
"St. Joseph County, Michigan",6.70%,6.7
"St. Landry Parish, Louisiana",13.30%,13.3
"St. Lawrence County, New York",6.70%,6.7
"St. Louis city, Missouri",6.90%,6.9
"St. Louis County, Minnesota",3.70%,3.7
"St. Louis County, Missouri",4%,4
"St. Lucie County, Florida",7.10%,7.1
"St. Martin Parish, Louisiana",11.10%,11.1
"St. Mary Parish, Louisiana",13.40%,13.4
"St. Mary's County, Maryland",5.60%,5.6
"St. Tammany Parish, Louisiana",5.70%,5.7
"Stafford County, Kansas",4.60%,4.6
"Stafford County, Virginia",4%,4
"Stanislaus County, California",8.80%,8.8
"Stanley County, South Dakota",3.90%,3.9
"Stanly County, North Carolina",9.60%,9.6
"Stanton County, Kansas",7.10%,7.1
"Stanton County, Nebraska",2.90%,2.9
"Stark County, Illinois",5.90%,5.9
"Stark County, North Dakota",5.10%,5.1
"Stark County, Ohio",5.20%,5.2
"Starke County, Indiana",9.20%,9.2
"Starr County, Texas",13.10%,13.1
"Staunton city, Virginia",5.30%,5.3
"Ste. Genevieve County, Missouri",5.90%,5.9
"Stearns County, Minnesota",3.60%,3.6
"Steele County, Minnesota",5.10%,5.1
"Steele County, North Dakota",2.80%,2.8
"Stephens County, Georgia",10.90%,10.9
"Stephens County, Oklahoma",8.20%,8.2
"Stephens County, Texas",10.10%,10.1
"Stephenson County, Illinois",5.70%,5.7
"Sterling County, Texas",7.60%,7.6
"Steuben County, Indiana",5.40%,5.4
"Steuben County, New York",5.50%,5.5
"Stevens County, Kansas",15.80%,15.8
"Stevens County, Minnesota",2.90%,2.9
"Stevens County, Washington",6.20%,6.2
"Stewart County, Georgia",18.70%,18.7
"Stewart County, Tennessee",7.20%,7.2
"Stillwater County, Montana",4.80%,4.8
"Stoddard County, Missouri",12.50%,12.5
"Stokes County, North Carolina",8.40%,8.4
"Stone County, Arkansas",9.90%,9.9
"Stone County, Mississippi",10.20%,10.2
"Stone County, Missouri",7.30%,7.3
"Stonewall County, Texas",10.10%,10.1
"Storey County, Nevada",7%,7
"Story County, Iowa",2.10%,2.1
"Strafford County, New Hampshire",3.50%,3.5
"Stutsman County, North Dakota",5%,5
"Sublette County, Wyoming",3.70%,3.7
"Suffolk city, Virginia",5.50%,5.5
"Suffolk County, Massachusetts",5.30%,5.3
"Suffolk County, New York",4.50%,4.5
"Sullivan County, Indiana",7.90%,7.9
"Sullivan County, Missouri",8.40%,8.4
"Sullivan County, New Hampshire",6.40%,6.4
"Sullivan County, New York",7.90%,7.9
"Sullivan County, Pennsylvania",8.10%,8.1
"Sullivan County, Tennessee",6.90%,6.9
"Sully County, South Dakota",3.40%,3.4
"Summers County, West Virginia",9.20%,9.2
"Summit County, Colorado",3.50%,3.5
"Summit County, Ohio",5.10%,5.1
"Summit County, Utah",2.30%,2.3
"Sumner County, Kansas",4.80%,4.8
"Sumner County, Tennessee",5.60%,5.6
"Sumter County, Alabama",8.60%,8.6
"Sumter County, Florida",5.90%,5.9
"Sumter County, Georgia",9.50%,9.5
"Sumter County, South Carolina",7.90%,7.9
"Sunflower County, Mississippi",16.20%,16.2
"Surry County, North Carolina",11%,11
"Surry County, Virginia",9.20%,9.2
"Susquehanna County, Pennsylvania",6.80%,6.8
"Sussex County, Delaware",6.60%,6.6
"Sussex County, New Jersey",3.30%,3.3
"Sussex County, Virginia",14.70%,14.7
"Sutter County, California",10%,10
"Sutton County, Texas",9.80%,9.8
"Suwannee County, Florida",9.10%,9.1
"Swain County, North Carolina",10.40%,10.4
"Sweet Grass County, Montana",3.60%,3.6
"Sweetwater County, Wyoming",4.60%,4.6
"Swift County, Minnesota",3.60%,3.6
"Swisher County, Texas",8.50%,8.5
"Switzerland County, Indiana",11.10%,11.1
"Talbot County, Georgia",12.30%,12.3
"Talbot County, Maryland",5.50%,5.5
"Taliaferro County, Georgia",7.20%,7.2
"Talladega County, Alabama",12.30%,12.3
"Tallahatchie County, Mississippi",14.70%,14.7
"Tallapoosa County, Alabama",13%,13
"Tama County, Iowa",5.50%,5.5
"Taney County, Missouri",7.60%,7.6
"Tangipahoa Parish, Louisiana",10.50%,10.5
"Taos County, New Mexico",5%,5
"Tarrant County, Texas",6.80%,6.8
"Tate County, Mississippi",10.10%,10.1
"Tattnall County, Georgia",12.90%,12.9
"Taylor County, Florida",13.30%,13.3
"Taylor County, Georgia",18.10%,18.1
"Taylor County, Iowa",5.20%,5.2
"Taylor County, Kentucky",7.60%,7.6
"Taylor County, Texas",6.10%,6.1
"Taylor County, West Virginia",10.10%,10.1
"Taylor County, Wisconsin",6.90%,6.9
"Tazewell County, Illinois",4.40%,4.4
"Tazewell County, Virginia",7.80%,7.8
"Tehama County, California",7.50%,7.5
"Telfair County, Georgia",13.80%,13.8
"Teller County, Colorado",2.60%,2.6
"Tensas Parish, Louisiana",16.60%,16.6
"Terrebonne Parish, Louisiana",10.30%,10.3
"Terrell County, Georgia",11.40%,11.4
"Terrell County, Texas",4%,4
"Terry County, Texas",9.30%,9.3
"Teton County, Idaho",2.80%,2.8
"Teton County, Montana",4.80%,4.8
"Teton County, Wyoming",1.70%,1.7
"Texas County, Missouri",10.90%,10.9
"Texas County, Oklahoma",8.40%,8.4
"Thayer County, Nebraska",4.40%,4.4
"Thomas County, Georgia",9.80%,9.8
"Thomas County, Kansas",3.70%,3.7
"Thomas County, Nebraska",5.80%,5.8
"Throckmorton County, Texas",3.60%,3.6
"Thurston County, Nebraska",7%,7
"Thurston County, Washington",3.90%,3.9
"Tift County, Georgia",10.70%,10.7
"Tillamook County, Oregon",6.40%,6.4
"Tillman County, Oklahoma",10.90%,10.9
"Tioga County, New York",5.80%,5.8
"Tioga County, Pennsylvania",6.50%,6.5
"Tippah County, Mississippi",13.90%,13.9
"Tippecanoe County, Indiana",5%,5
"Tipton County, Indiana",6.60%,6.6
"Tipton County, Tennessee",7.40%,7.4
"Tishomingo County, Mississippi",9.70%,9.7
"Titus County, Texas",9.80%,9.8
"Toa Alta Municipio, Puerto Rico",5.10%,5.1
"Toa Baja Municipio, Puerto Rico",6.20%,6.2
"Todd County, Kentucky",9.40%,9.4
"Todd County, Minnesota",5.50%,5.5
"Todd County, South Dakota",14.90%,14.9
"Tom Green County, Texas",7.20%,7.2
"Tompkins County, New York",2.60%,2.6
"Tooele County, Utah",5.30%,5.3
"Toole County, Montana",7.20%,7.2
"Toombs County, Georgia",9.80%,9.8
"Torrance County, New Mexico",9%,9
"Towner County, North Dakota",8.10%,8.1
"Towns County, Georgia",5.90%,5.9
"Traill County, North Dakota",3.10%,3.1
"Transylvania County, North Carolina",4.40%,4.4
"Traverse County, Minnesota",3.70%,3.7
"Travis County, Texas",3.80%,3.8
"Treasure County, Montana",5.20%,5.2
"Trego County, Kansas",5.20%,5.2
"Trempealeau County, Wisconsin",4.90%,4.9
"Treutlen County, Georgia",20.20%,20.2
"Trigg County, Kentucky",7.30%,7.3
"Trimble County, Kentucky",12.30%,12.3
"Trinity County, California",3.30%,3.3
"Trinity County, Texas",8.30%,8.3
"Tripp County, South Dakota",7.60%,7.6
"Troup County, Georgia",8.30%,8.3
"Trousdale County, Tennessee",10.10%,10.1
"Trujillo Alto Municipio, Puerto Rico",4.80%,4.8
"Trumbull County, Ohio",7.10%,7.1
"Tucker County, West Virginia",7.20%,7.2
"Tulare County, California",9.90%,9.9
"Tulsa County, Oklahoma",6.20%,6.2
"Tunica County, Mississippi",12.70%,12.7
"Tuolumne County, California",5.90%,5.9
"Turner County, Georgia",11.60%,11.6
"Turner County, South Dakota",5.40%,5.4
"Tuscaloosa County, Alabama",6.80%,6.8
"Tuscarawas County, Ohio",6.40%,6.4
"Tuscola County, Michigan",6.60%,6.6
"Twiggs County, Georgia",16.40%,16.4
"Twin Falls County, Idaho",7.10%,7.1
"Tyler County, Texas",11.60%,11.6
"Tyler County, West Virginia",4.50%,4.5
"Tyrrell County, North Carolina",18.30%,18.3
"Uinta County, Wyoming",3.50%,3.5
"Uintah County, Utah",10%,10
"Ulster County, New York",6%,6
"Umatilla County, Oregon",8.50%,8.5
"Unicoi County, Tennessee",7.90%,7.9
"Union County, Arkansas",9.80%,9.8
"Union County, Florida",17.70%,17.7
"Union County, Georgia",8.30%,8.3
"Union County, Illinois",7.10%,7.1
"Union County, Indiana",9.40%,9.4
"Union County, Iowa",5.70%,5.7
"Union County, Kentucky",6.60%,6.6
"Union County, Mississippi",15.70%,15.7
"Union County, New Jersey",5.50%,5.5
"Union County, New Mexico",9.30%,9.3
"Union County, North Carolina",5.60%,5.6
"Union County, Ohio",4.10%,4.1
"Union County, Oregon",5.30%,5.3
"Union County, Pennsylvania",9.50%,9.5
"Union County, South Carolina",12.90%,12.9
"Union County, South Dakota",3.40%,3.4
"Union County, Tennessee",11.60%,11.6
"Union Parish, Louisiana",10.60%,10.6
"Upshur County, Texas",9.20%,9.2
"Upshur County, West Virginia",7.90%,7.9
"Upson County, Georgia",10.90%,10.9
"Upton County, Texas",9.50%,9.5
"Utah County, Utah",3%,3
"Utuado Municipio, Puerto Rico",7.90%,7.9
"Uvalde County, Texas",11.50%,11.5
"Val Verde County, Texas",10.40%,10.4
"Valencia County, New Mexico",9.80%,9.8
"Valley County, Idaho",5.40%,5.4
"Valley County, Montana",5.70%,5.7
"Valley County, Nebraska",4.10%,4.1
"Van Buren County, Arkansas",10%,10
"Van Buren County, Iowa",3.10%,3.1
"Van Buren County, Michigan",7.10%,7.1
"Van Buren County, Tennessee",10%,10
"Van Wert County, Ohio",5.80%,5.8
"Van Zandt County, Texas",9.80%,9.8
"Vance County, North Carolina",10.30%,10.3
"Vanderburgh County, Indiana",6.50%,6.5
"Vega Alta Municipio, Puerto Rico",8.10%,8.1
"Vega Baja Municipio, Puerto Rico",8.50%,8.5
"Venango County, Pennsylvania",6.30%,6.3
"Ventura County, California",5.90%,5.9
"Vermilion County, Illinois",6.90%,6.9
"Vermilion Parish, Louisiana",10.10%,10.1
"Vermillion County, Indiana",6%,6
"Vernon County, Missouri",7.70%,7.7
"Vernon County, Wisconsin",4%,4
"Vernon Parish, Louisiana",8.60%,8.6
"Victoria County, Texas",9.50%,9.5
"Vieques Municipio, Puerto Rico",14.50%,14.5
"Vigo County, Indiana",7.20%,7.2
"Vilas County, Wisconsin",3.60%,3.6
"Villalba Municipio, Puerto Rico",6%,6
"Vinton County, Ohio",15.90%,15.9
"Virginia Beach city, Virginia",3.60%,3.6
"Volusia County, Florida",5.60%,5.6
"Wabash County, Illinois",5%,5
"Wabash County, Indiana",6.20%,6.2
"Wabasha County, Minnesota",3.20%,3.2
"Wabaunsee County, Kansas",2.40%,2.4
"Wadena County, Minnesota",4.90%,4.9
"Wagoner County, Oklahoma",5.60%,5.6
"Wahkiakum County, Washington",4%,4
"Wake County, North Carolina",3.30%,3.3
"Wakulla County, Florida",8.40%,8.4
"Waldo County, Maine",5.10%,5.1
"Walker County, Alabama",12.10%,12.1
"Walker County, Georgia",9.60%,9.6
"Walker County, Texas",8.80%,8.8
"Walla Walla County, Washington",6.50%,6.5
"Wallace County, Kansas",3.40%,3.4
"Waller County, Texas",6.60%,6.6
"Wallowa County, Oregon",5.10%,5.1
"Walsh County, North Dakota",6.20%,6.2
"Walthall County, Mississippi",11.80%,11.8
"Walton County, Florida",5.60%,5.6
"Walton County, Georgia",9.50%,9.5
"Walworth County, South Dakota",5.10%,5.1
"Walworth County, Wisconsin",5.30%,5.3
"Wapello County, Iowa",7.30%,7.3
"Ward County, North Dakota",3.10%,3.1
"Ward County, Texas",9.60%,9.6
"Ware County, Georgia",12.50%,12.5
"Warren County, Georgia",17.60%,17.6
"Warren County, Illinois",7.70%,7.7
"Warren County, Indiana",5.90%,5.9
"Warren County, Iowa",2.60%,2.6
"Warren County, Kentucky",5.90%,5.9
"Warren County, Mississippi",8.50%,8.5
"Warren County, Missouri",8.20%,8.2
"Warren County, New Jersey",4.20%,4.2
"Warren County, New York",5.90%,5.9
"Warren County, North Carolina",10.70%,10.7
"Warren County, Ohio",3.60%,3.6
"Warren County, Pennsylvania",4.50%,4.5
"Warren County, Tennessee",10.50%,10.5
"Warren County, Virginia",7.20%,7.2
"Warrick County, Indiana",3.60%,3.6
"Wasatch County, Utah",1.90%,1.9
"Wasco County, Oregon",7.60%,7.6
"Waseca County, Minnesota",5.10%,5.1
"Washakie County, Wyoming",3.90%,3.9
"Washburn County, Wisconsin",4.70%,4.7
"Washington County, Alabama",8.90%,8.9
"Washington County, Arkansas",5.90%,5.9
"Washington County, Colorado",6.50%,6.5
"Washington County, Florida",12.10%,12.1
"Washington County, Georgia",10.10%,10.1
"Washington County, Idaho",4.30%,4.3
"Washington County, Illinois",4.50%,4.5
"Washington County, Indiana",7.70%,7.7
"Washington County, Iowa",4.30%,4.3
"Washington County, Kansas",3.80%,3.8
"Washington County, Kentucky",5.70%,5.7
"Washington County, Maine",5.90%,5.9
"Washington County, Maryland",8.50%,8.5
"Washington County, Minnesota",2.40%,2.4
"Washington County, Mississippi",11.80%,11.8
"Washington County, Missouri",14.30%,14.3
"Washington County, Nebraska",3.10%,3.1
"Washington County, New York",6.90%,6.9
"Washington County, North Carolina",6.90%,6.9
"Washington County, Ohio",6.60%,6.6
"Washington County, Oklahoma",6.40%,6.4
"Washington County, Oregon",3.40%,3.4
"Washington County, Pennsylvania",4.20%,4.2
"Washington County, Rhode Island",3.90%,3.9
"Washington County, Tennessee",5.90%,5.9
"Washington County, Texas",6.20%,6.2
"Washington County, Utah",3.90%,3.9
"Washington County, Vermont",3.20%,3.2
"Washington County, Virginia",6.60%,6.6
"Washington County, Wisconsin",3.80%,3.8
"Washington Parish, Louisiana",11.50%,11.5
"Washita County, Oklahoma",8.70%,8.7
"Washoe County, Nevada",6.50%,6.5
"Washtenaw County, Michigan",2.90%,2.9
"Watauga County, North Carolina",4.70%,4.7
"Watonwan County, Minnesota",5%,5
"Waukesha County, Wisconsin",2.20%,2.2
"Waupaca County, Wisconsin",5.30%,5.3
"Waushara County, Wisconsin",7.20%,7.2
"Wayne County, Georgia",9.60%,9.6
"Wayne County, Illinois",6.10%,6.1
"Wayne County, Indiana",7.70%,7.7
"Wayne County, Iowa",3.80%,3.8
"Wayne County, Kentucky",11.10%,11.1
"Wayne County, Michigan",8.30%,8.3
"Wayne County, Mississippi",9.90%,9.9
"Wayne County, Missouri",13.50%,13.5
"Wayne County, Nebraska",2%,2
"Wayne County, New York",5.80%,5.8
"Wayne County, North Carolina",8.20%,8.2
"Wayne County, Ohio",5.30%,5.3
"Wayne County, Pennsylvania",6.60%,6.6
"Wayne County, Tennessee",11.40%,11.4
"Wayne County, Utah",6.30%,6.3
"Wayne County, West Virginia",11.70%,11.7
"Waynesboro city, Virginia",7.20%,7.2
"Weakley County, Tennessee",7.60%,7.6
"Webb County, Texas",15%,15
"Weber County, Utah",5.10%,5.1
"Webster County, Georgia",8.10%,8.1
"Webster County, Iowa",6.30%,6.3
"Webster County, Kentucky",9.20%,9.2
"Webster County, Mississippi",11.30%,11.3
"Webster County, Missouri",7.40%,7.4
"Webster County, Nebraska",3.80%,3.8
"Webster County, West Virginia",9.80%,9.8
"Webster Parish, Louisiana",8.90%,8.9
"Weld County, Colorado",5.80%,5.8
"Wells County, Indiana",5.20%,5.2
"Wells County, North Dakota",4.10%,4.1
"West Baton Rouge Parish, Louisiana",8.40%,8.4
"West Carroll Parish, Louisiana",11.30%,11.3
"West Feliciana Parish, Louisiana",11.70%,11.7
"Westchester County, New York",5.20%,5.2
"Western Connecticut Planning Region, Connecticut",3.70%,3.7
"Westmoreland County, Pennsylvania",3.40%,3.4
"Westmoreland County, Virginia",11.10%,11.1
"Weston County, Wyoming",6.90%,6.9
"Wetzel County, West Virginia",7.20%,7.2
"Wexford County, Michigan",7.40%,7.4
"Wharton County, Texas",10.30%,10.3
"Whatcom County, Washington",4.60%,4.6
"Wheatland County, Montana",3.70%,3.7
"Wheeler County, Georgia",20.10%,20.1
"Wheeler County, Nebraska",1.60%,1.6
"Wheeler County, Oregon",7.20%,7.2
"Wheeler County, Texas",7.30%,7.3
"White County, Arkansas",9.40%,9.4
"White County, Georgia",9.50%,9.5
"White County, Illinois",7.40%,7.4
"White County, Indiana",6.80%,6.8
"White County, Tennessee",11.20%,11.2
"White Pine County, Nevada",7.80%,7.8
"Whiteside County, Illinois",5.90%,5.9
"Whitfield County, Georgia",12.40%,12.4
"Whitley County, Indiana",5.50%,5.5
"Whitley County, Kentucky",11.60%,11.6
"Whitman County, Washington",3%,3
"Wibaux County, Montana",3.60%,3.6
"Wichita County, Kansas",8.10%,8.1
"Wichita County, Texas",7%,7
"Wicomico County, Maryland",7.70%,7.7
"Wilbarger County, Texas",12.90%,12.9
"Wilcox County, Alabama",16.60%,16.6
"Wilcox County, Georgia",15.40%,15.4
"Wilkes County, Georgia",12.10%,12.1
"Wilkes County, North Carolina",12.60%,12.6
"Wilkin County, Minnesota",4.70%,4.7
"Wilkinson County, Georgia",6.70%,6.7
"Wilkinson County, Mississippi",11.60%,11.6
"Will County, Illinois",4.50%,4.5
"Willacy County, Texas",15.50%,15.5
"Williams County, North Dakota",6.90%,6.9
"Williams County, Ohio",7.50%,7.5
"Williamsburg city, Virginia",4.30%,4.3
"Williamsburg County, South Carolina",12.40%,12.4
"Williamson County, Illinois",5.10%,5.1
"Williamson County, Tennessee",2.20%,2.2
"Williamson County, Texas",3.10%,3.1
"Wilson County, Kansas",5.80%,5.8
"Wilson County, North Carolina",9.80%,9.8
"Wilson County, Tennessee",4.30%,4.3
"Wilson County, Texas",4.50%,4.5
"Winchester city, Virginia",7.50%,7.5
"Windham County, Vermont",4.70%,4.7
"Windsor County, Vermont",3.60%,3.6
"Winkler County, Texas",15.10%,15.1
"Winn Parish, Louisiana",10.20%,10.2
"Winnebago County, Illinois",7.90%,7.9
"Winnebago County, Iowa",3.80%,3.8
"Winnebago County, Wisconsin",4.10%,4.1
"Winneshiek County, Iowa",2.60%,2.6
"Winona County, Minnesota",4.70%,4.7
"Winston County, Alabama",14%,14
"Winston County, Mississippi",9.60%,9.6
"Wirt County, West Virginia",9.20%,9.2
"Wise County, Texas",7.30%,7.3
"Wise County, Virginia",12.70%,12.7
"Wolfe County, Kentucky",22%,22
"Wood County, Ohio",3.60%,3.6
"Wood County, Texas",8.60%,8.6
"Wood County, West Virginia",6.70%,6.7
"Wood County, Wisconsin",4.80%,4.8
"Woodbury County, Iowa",6.30%,6.3
"Woodford County, Illinois",4.40%,4.4
"Woodford County, Kentucky",5.90%,5.9
"Woodruff County, Arkansas",11.40%,11.4
"Woods County, Oklahoma",7.10%,7.1
"Woodson County, Kansas",6.90%,6.9
"Woodward County, Oklahoma",8.50%,8.5
"Worcester County, Maryland",4.90%,4.9
"Worcester County, Massachusetts",5.20%,5.2
"Worth County, Georgia",10.70%,10.7
"Worth County, Iowa",4.50%,4.5
"Worth County, Missouri",3.60%,3.6
"Wrangell City and Borough, Alaska",11.20%,11.2
"Wright County, Iowa",5.20%,5.2
"Wright County, Minnesota",3.70%,3.7
"Wright County, Missouri",10.90%,10.9
"Wyandot County, Ohio",4.20%,4.2
"Wyandotte County, Kansas",9.10%,9.1
"Wyoming County, New York",9.20%,9.2
"Wyoming County, Pennsylvania",5.90%,5.9
"Wyoming County, West Virginia",15.80%,15.8
"Wythe County, Virginia",7%,7
"Yabucoa Municipio, Puerto Rico",9.60%,9.6
"Yadkin County, North Carolina",8.70%,8.7
"Yakima County, Washington",10.40%,10.4
"Yakutat City and Borough, Alaska",5%,5
"Yalobusha County, Mississippi",9.80%,9.8
"Yamhill County, Oregon",6.20%,6.2
"Yancey County, North Carolina",7.30%,7.3
"Yankton County, South Dakota",4.50%,4.5
"Yates County, New York",4.20%,4.2
"Yauco Municipio, Puerto Rico",7.30%,7.3
"Yavapai County, Arizona",5.70%,5.7
"Yazoo County, Mississippi",15.50%,15.5
"Yell County, Arkansas",13.80%,13.8
"Yellow Medicine County, Minnesota",5.20%,5.2
"Yellowstone County, Montana",3.30%,3.3
"Yoakum County, Texas",12.30%,12.3
"Yolo County, California",5.10%,5.1
"York County, Maine",3.80%,3.8
"York County, Nebraska",4.20%,4.2
"York County, Pennsylvania",6.30%,6.3
"York County, South Carolina",5.30%,5.3
"York County, Virginia",2.90%,2.9
"Young County, Texas",6.70%,6.7
"Yuba County, California",9.30%,9.3
"Yukon-Koyukuk Census Area, Alaska",8.60%,8.6
"Yuma County, Arizona",11.40%,11.4
"Yuma County, Colorado",6.40%,6.4
"Zapata County, Texas",14.70%,14.7
"Zavala County, Texas",11%,11
"Ziebach County, South Dakota",9.30%,9.3
