Geographic Area,Nursing facilities/Skilled-nursing facilities ,Total,Nurs Hom
"Pontotoc County, Mississippi",84,"31,184",0.27
"Pontotoc County, Oklahoma",328,"38,065",0.86
"Pope County, Arkansas",303,"63,381",0.48
"Pope County, Illinois",0,"3,763",0
"Pope County, Minnesota",115,"11,308",1.02
"Poquoson city, Virginia",90,"12,460",0.72
"Portage County, Ohio",732,"161,791",0.45
"Portage County, Wisconsin",87,"70,377",0.12
"Porter County, Indiana","1,200","173,215",0.69
"Portsmouth city, Virginia",408,"97,915",0.42
"Posey County, Indiana",115,"25,222",0.46
"Pottawatomie County, Kansas",204,"25,348",0.8
"Pottawatomie County, Oklahoma",426,"72,454",0.59
"Pottawattamie County, Iowa",463,"93,667",0.49
"Potter County, Pennsylvania",163,"16,396",0.99
"Potter County, South Dakota",44,"2,472",1.78
"Potter County, Texas","1,229","118,525",1.04
"Powder River County, Montana",23,"1,694",1.36
"Powell County, Kentucky",78,"13,129",0.59
"Powell County, Montana",40,"6,946",0.58
"Power County, Idaho",48,"7,878",0.61
"Poweshiek County, Iowa",247,"18,662",1.32
"Powhatan County, Virginia",0,"30,333",0
"Prairie County, Arkansas",92,"8,282",1.11
"Prairie County, Montana",13,"1,088",1.19
"Pratt County, Kansas",151,"9,157",1.65
"Preble County, Ohio",176,"40,999",0.43
"Prentiss County, Mississippi",122,"25,008",0.49
"Presidio County, Texas",0,"6,131",0
"Presque Isle County, Michigan",57,"12,982",0.44
"Preston County, West Virginia",175,"34,216",0.51
"Price County, Wisconsin",115,"14,054",0.82
"Prince Edward County, Virginia",282,"21,849",1.29
"Prince George County, Virginia",0,"43,010",0
"Prince George's County, Maryland","3,384","967,201",0.35
"Prince of Wales-Hyder Census Area, Alaska",0,"5,753",0
"Prince William County, Virginia",777,"482,204",0.16
"Providence County, Rhode Island","5,639","660,741",0.85
"Prowers County, Colorado",82,"11,999",0.68
"Pueblo County, Colorado","1,178","168,162",0.7
"Pulaski County, Arkansas","2,110","399,125",0.53
"Pulaski County, Georgia",90,"9,855",0.91
"Pulaski County, Illinois",5,"5,193",0.1
"Pulaski County, Indiana",123,"12,514",0.98
"Pulaski County, Kentucky",486,"65,034",0.75
"Pulaski County, Missouri",165,"53,955",0.31
"Pulaski County, Virginia",166,"33,800",0.49
"Pushmataha County, Oklahoma",65,"10,812",0.6
"Putnam County, Florida",363,"73,321",0.5
"Putnam County, Georgia",126,"22,047",0.57
"Putnam County, Illinois",0,"5,637",0
"Putnam County, Indiana",231,"36,726",0.63
"Putnam County, Missouri",58,"4,681",1.24
"Putnam County, New York",308,"97,668",0.32
"Putnam County, Ohio",245,"34,451",0.71
"Putnam County, Tennessee",278,"79,854",0.35
"Putnam County, West Virginia",293,"57,440",0.51
"Quay County, New Mexico",10,"8,746",0.11
"Quebradillas Municipio, Puerto Rico",73,"23,638",0.31
"Queen Anne's County, Maryland",87,"49,874",0.17
"Queens County, New York","11,329","2,405,464",0.47
"Quitman County, Georgia",0,"2,235",0
"Quitman County, Mississippi",52,"6,176",0.84
"Rabun County, Georgia",40,"16,883",0.24
"Racine County, Wisconsin","1,207","197,727",0.61
"Radford city, Virginia",103,"16,070",0.64
"Rains County, Texas",38,"12,164",0.31
"Raleigh County, West Virginia",451,"74,591",0.6
"Ralls County, Missouri",66,"10,355",0.64
"Ramsey County, Minnesota","3,761","552,352",0.68
"Ramsey County, North Dakota",172,"11,605",1.48
"Randall County, Texas",292,"140,753",0.21
"Randolph County, Alabama",166,"21,967",0.76
"Randolph County, Arkansas",233,"18,571",1.25
"Randolph County, Georgia",47,"6,425",0.73
"Randolph County, Illinois",288,"30,163",0.95
"Randolph County, Indiana",193,"24,502",0.79
"Randolph County, Missouri",350,"24,716",1.42
"Randolph County, North Carolina",691,"144,171",0.48
"Randolph County, West Virginia",247,"27,932",0.88
"Rankin County, Mississippi",838,"157,031",0.53
"Ransom County, North Dakota",190,"5,703",3.33
"Rapides Parish, Louisiana",696,"130,023",0.54
"Rappahannock County, Virginia",20,"7,348",0.27
"Ravalli County, Montana",137,"44,174",0.31
"Rawlins County, Kansas",37,"2,561",1.44
"Ray County, Missouri",163,"23,158",0.7
"Reagan County, Texas",0,"3,385",0
"Real County, Texas",51,"2,758",1.85
"Red Lake County, Minnesota",15,"3,935",0.38
"Red River County, Texas",110,"11,587",0.95
"Red River Parish, Louisiana",94,"7,620",1.23
"Red Willow County, Nebraska",90,"10,702",0.84
"Redwood County, Minnesota",173,"15,425",1.12
"Reeves County, Texas",39,"14,748",0.26
"Refugio County, Texas",51,"6,741",0.76
"Reno County, Kansas",518,"61,898",0.84
"Rensselaer County, New York","1,246","161,130",0.77
"Renville County, Minnesota",209,"14,723",1.42
"Renville County, North Dakota",40,"2,282",1.75
"Republic County, Kansas",56,"4,674",1.2
"Reynolds County, Missouri",94,"6,096",1.54
"Rhea County, Tennessee",196,"32,870",0.6
"Rice County, Kansas",95,"9,427",1.01
"Rice County, Minnesota",363,"67,097",0.54
"Rich County, Utah",0,"2,510",0
"Richardson County, Nebraska",132,"7,871",1.68
"Richland County, Illinois",192,"15,813",1.21
"Richland County, Montana",55,"11,491",0.48
"Richland County, North Dakota",142,"16,529",0.86
"Richland County, Ohio",852,"124,936",0.68
"Richland County, South Carolina","1,852","416,147",0.45
"Richland County, Wisconsin",97,"17,304",0.56
"Richland Parish, Louisiana",169,"20,043",0.84
"Richmond city, Virginia","1,004","226,610",0.44
"Richmond County, Georgia","1,034","206,607",0.5
"Richmond County, New York","2,458","495,747",0.5
"Richmond County, North Carolina",151,"42,946",0.35
"Richmond County, Virginia",110,"8,923",1.23
"Riley County, Kansas",357,"71,959",0.5
"Rincón Municipio, Puerto Rico",39,"15,187",0.26
"Ringgold County, Iowa",107,"4,663",2.29
"Rio Arriba County, New Mexico",0,"40,363",0
"Rio Blanco County, Colorado",0,"6,529",0
"Rio Grande County, Colorado",120,"11,539",1.04
"Río Grande Municipio, Puerto Rico",166,"47,060",0.35
"Ripley County, Indiana",379,"28,995",1.31
"Ripley County, Missouri",0,"10,679",0
"Ritchie County, West Virginia",28,"8,444",0.33
"Riverside County, California","6,207","2,418,185",0.26
"Roane County, Tennessee",313,"53,404",0.59
"Roane County, West Virginia",91,"14,028",0.65
"Roanoke city, Virginia","1,161","100,011",1.16
"Roanoke County, Virginia",536,"96,929",0.55
"Roberts County, South Dakota",127,"10,280",1.24
"Roberts County, Texas",0,827,0
"Robertson County, Kentucky",55,"2,193",2.51
"Robertson County, Tennessee",213,"72,803",0.29
"Robertson County, Texas",134,"16,757",0.8
"Robeson County, North Carolina",623,"116,530",0.53
"Rock County, Minnesota",171,"9,704",1.76
"Rock County, Nebraska",14,"1,262",1.11
"Rock County, Wisconsin",746,"163,687",0.46
"Rock Island County, Illinois",976,"144,672",0.67
"Rockbridge County, Virginia",80,"22,650",0.35
"Rockcastle County, Kentucky",228,"16,037",1.42
"Rockdale County, Georgia",445,"93,570",0.48
"Rockingham County, New Hampshire","1,529","314,176",0.49
"Rockingham County, North Carolina",608,"91,096",0.67
"Rockingham County, Virginia",565,"83,757",0.67
"Rockland County, New York","1,650","338,329",0.49
"Rockwall County, Texas",459,"107,819",0.43
"Roger Mills County, Oklahoma",0,"3,442",0
"Rogers County, Oklahoma",720,"95,240",0.76
"Rolette County, North Dakota",111,"12,187",0.91
"Rooks County, Kansas",60,"4,919",1.22
"Roosevelt County, Montana",124,"10,794",1.15
"Roosevelt County, New Mexico",49,"19,191",0.26
"Roscommon County, Michigan",77,"23,459",0.33
"Roseau County, Minnesota",134,"15,331",0.87
"Rosebud County, Montana",42,"8,329",0.5
"Ross County, Ohio",474,"77,093",0.61
"Routt County, Colorado",114,"24,829",0.46
"Rowan County, Kentucky",120,"24,662",0.49
"Rowan County, North Carolina",939,"146,875",0.64
"Runnels County, Texas",141,"9,900",1.42
"Rush County, Indiana",112,"16,752",0.67
"Rush County, Kansas",66,"2,956",2.23
"Rusk County, Texas",309,"52,214",0.59
"Rusk County, Wisconsin",148,"14,188",1.04
"Russell County, Alabama",317,"59,183",0.54
"Russell County, Kansas",64,"6,691",0.96
"Russell County, Kentucky",120,"17,991",0.67
"Russell County, Virginia",49,"25,781",0.19
"Rutherford County, North Carolina",443,"64,444",0.69
"Rutherford County, Tennessee",955,"341,486",0.28
"Rutland County, Vermont",469,"60,572",0.77
"Sabana Grande Municipio, Puerto Rico",2,"22,729",0.01
"Sabine County, Texas",114,"9,894",1.15
"Sabine Parish, Louisiana",184,"22,155",0.83
"Sac County, Iowa",130,"9,814",1.32
"Sacramento County, California","4,531","1,585,055",0.29
"Sagadahoc County, Maine",282,"36,699",0.77
"Saginaw County, Michigan","1,076","190,124",0.57
"Saguache County, Colorado",0,"6,368",0
"Salem city, Virginia",418,"25,346",1.65
"Salem County, New Jersey",480,"64,837",0.74
"Salinas Municipio, Puerto Rico",21,"25,789",0.08
"Saline County, Arkansas",673,"123,416",0.55
"Saline County, Illinois",335,"23,768",1.41
"Saline County, Kansas",525,"54,303",0.97
"Saline County, Missouri",244,"23,333",1.05
"Saline County, Nebraska",144,"14,292",1.01
"Salt Lake County, Utah","2,809","1,185,238",0.24
"Saluda County, South Carolina",176,"18,862",0.93
"Sampson County, North Carolina",174,"59,036",0.29
"San Augustine County, Texas",190,"7,918",2.4
"San Benito County, California",80,"64,209",0.12
"San Bernardino County, California","5,261","2,181,654",0.24
"San Diego County, California","11,800","3,298,634",0.36
"San Francisco County, California","2,648","873,965",0.3
"San Germán Municipio, Puerto Rico",191,"31,879",0.6
"San Jacinto County, Texas",68,"27,402",0.25
"San Joaquin County, California","3,130","779,233",0.4
"San Juan County, Colorado",0,705,0
"San Juan County, New Mexico",376,"121,661",0.31
"San Juan County, Utah",44,"14,518",0.3
"San Juan County, Washington",0,"17,788",0
"San Juan Municipio, Puerto Rico","1,469","342,259",0.43
"San Lorenzo Municipio, Puerto Rico",62,"37,693",0.16
"San Luis Obispo County, California",910,"282,424",0.32
"San Mateo County, California","1,839","764,442",0.24
"San Miguel County, Colorado",0,"8,072",0
"San Miguel County, New Mexico",89,"27,201",0.33
"San Patricio County, Texas",114,"68,755",0.17
"San Saba County, Texas",0,"5,730",0
"San Sebastián Municipio, Puerto Rico",138,"39,345",0.35
"Sanborn County, South Dakota",45,"2,330",1.93
"Sanders County, Montana",57,"12,400",0.46
"Sandoval County, New Mexico",432,"148,834",0.29
"Sandusky County, Ohio",639,"58,896",1.08
"Sangamon County, Illinois","1,008","196,343",0.51
"Sanilac County, Michigan",215,"40,611",0.53
"Sanpete County, Utah",54,"28,437",0.19
"Santa Barbara County, California","2,126","448,229",0.47
"Santa Clara County, California","5,767","1,936,259",0.3
"Santa Cruz County, Arizona",0,"47,669",0
"Santa Cruz County, California",588,"270,861",0.22
"Santa Fe County, New Mexico",300,"154,823",0.19
"Santa Isabel Municipio, Puerto Rico",47,"20,281",0.23
"Santa Rosa County, Florida",462,"188,000",0.25
"Sarasota County, Florida","5,203","434,006",1.2
"Saratoga County, New York",584,"235,509",0.25
"Sargent County, North Dakota",49,"3,862",1.27
"Sarpy County, Nebraska",553,"190,604",0.29
"Sauk County, Wisconsin",391,"65,763",0.59
"Saunders County, Nebraska",188,"22,278",0.84
"Sawyer County, Wisconsin",142,"18,074",0.79
"Schenectady County, New York","1,303","158,061",0.82
"Schleicher County, Texas",22,"2,451",0.9
"Schley County, Georgia",0,"4,547",0
"Schoharie County, New York",0,"29,714",0
"Schoolcraft County, Michigan",67,"8,047",0.83
"Schuyler County, Illinois",77,"6,902",1.12
"Schuyler County, Missouri",46,"4,032",1.14
"Schuyler County, New York",119,"17,898",0.66
"Schuylkill County, Pennsylvania","1,549","143,049",1.08
"Scioto County, Ohio",713,"74,008",0.96
"Scotland County, Missouri",62,"4,716",1.31
"Scotland County, North Carolina",243,"34,174",0.71
"Scott County, Arkansas",102,"9,836",1.04
"Scott County, Illinois",45,"4,949",0.91
"Scott County, Indiana",240,"24,384",0.98
"Scott County, Iowa","1,000","174,669",0.57
"Scott County, Kansas",59,"5,151",1.15
"Scott County, Kentucky",133,"57,155",0.23
"Scott County, Minnesota",532,"150,928",0.35
"Scott County, Mississippi",142,"27,990",0.51
"Scott County, Missouri",300,"38,059",0.79
"Scott County, Tennessee",100,"21,850",0.46
"Scott County, Virginia",179,"21,576",0.83
"Scotts Bluff County, Nebraska",453,"36,084",1.26
"Screven County, Georgia",73,"14,067",0.52
"Scurry County, Texas",67,"16,932",0.4
"Searcy County, Arkansas",42,"7,828",0.54
"Sebastian County, Arkansas",842,"127,799",0.66
"Sedgwick County, Colorado",29,"2,404",1.21
"Sedgwick County, Kansas","2,825","523,824",0.54
"Seminole County, Florida","2,095","470,856",0.44
"Seminole County, Georgia",66,"9,147",0.72
"Seminole County, Oklahoma",302,"23,556",1.28
"Seneca County, New York",248,"33,814",0.73
"Seneca County, Ohio",454,"55,069",0.82
"Sequatchie County, Tennessee",96,"15,826",0.61
"Sequoyah County, Oklahoma",264,"39,281",0.67
"Sevier County, Arkansas",50,"15,839",0.32
"Sevier County, Tennessee",235,"98,380",0.24
"Sevier County, Utah",72,"21,522",0.33
"Seward County, Kansas",83,"21,964",0.38
"Seward County, Nebraska",149,"17,609",0.85
"Shackelford County, Texas",0,"3,105",0
"Shannon County, Missouri",45,"7,031",0.64
"Sharkey County, Mississippi",46,"3,800",1.21
"Sharp County, Arkansas",149,"17,271",0.86
"Shasta County, California","1,035","182,155",0.57
"Shawano County, Wisconsin",212,"40,881",0.52
"Shawnee County, Kansas","1,291","178,909",0.72
"Sheboygan County, Wisconsin",768,"118,034",0.65
"Shelby County, Alabama",720,"223,024",0.32
"Shelby County, Illinois",142,"20,990",0.68
"Shelby County, Indiana",543,"45,055",1.21
"Shelby County, Iowa",167,"11,746",1.42
"Shelby County, Kentucky",230,"48,065",0.48
"Shelby County, Missouri",97,"6,103",1.59
"Shelby County, Ohio",280,"48,230",0.58
"Shelby County, Tennessee","3,642","929,744",0.39
"Shelby County, Texas",107,"24,022",0.45
"Shenandoah County, Virginia",269,"44,186",0.61
"Sherburne County, Minnesota",322,"97,183",0.33
"Sheridan County, Kansas",38,"2,447",1.55
"Sheridan County, Montana",37,"3,539",1.05
"Sheridan County, Nebraska",100,"5,127",1.95
"Sheridan County, North Dakota",9,"1,265",0.71
"Sheridan County, Wyoming",217,"30,921",0.7
"Sherman County, Kansas",48,"5,927",0.81
"Sherman County, Nebraska",55,"2,959",1.86
"Sherman County, Oregon",0,"1,870",0
"Sherman County, Texas",23,"2,782",0.83
"Shiawassee County, Michigan",225,"68,094",0.33
"Shoshone County, Idaho",120,"13,169",0.91
"Sibley County, Minnesota",157,"14,836",1.06
"Sierra County, California",32,"3,236",0.99
"Sierra County, New Mexico",162,"11,576",1.4
"Silver Bow County, Montana",261,"35,133",0.74
"Simpson County, Kentucky",95,"19,594",0.48
"Simpson County, Mississippi",105,"25,949",0.4
"Sioux County, Iowa",359,"35,872",1
"Sioux County, Nebraska",0,"1,135",0
"Sioux County, North Dakota",0,"3,898",0
"Siskiyou County, California",89,"44,076",0.2
"Sitka City and Borough, Alaska",76,"8,458",0.9
"Skagit County, Washington",440,"129,523",0.34
"Skagway Municipality, Alaska",0,"1,240",0
"Skamania County, Washington",0,"12,036",0
"Slope County, North Dakota",0,706,0
"Smith County, Kansas",46,"3,570",1.29
"Smith County, Mississippi",98,"14,209",0.69
"Smith County, Tennessee",79,"19,904",0.4
"Smith County, Texas","1,539","233,479",0.66
"Smyth County, Virginia",265,"29,800",0.89
"Snohomish County, Washington","2,154","827,957",0.26
"Snyder County, Pennsylvania",141,"39,736",0.35
"Socorro County, New Mexico",52,"16,595",0.31
"Solano County, California",888,"453,491",0.2
"Somerset County, Maine",320,"50,477",0.63
"Somerset County, Maryland",185,"24,620",0.75
"Somerset County, New Jersey","2,163","345,361",0.63
"Somerset County, Pennsylvania",681,"74,129",0.92
"Somervell County, Texas",143,"9,205",1.55
"Sonoma County, California","1,234","488,863",0.25
"Southampton County, Virginia",69,"17,996",0.38
"Southeast Fairbanks Census Area, Alaska",0,"6,808",0
"Spalding County, Georgia",289,"67,306",0.43
"Spartanburg County, South Carolina","1,696","327,997",0.52
"Spencer County, Indiana",75,"19,810",0.38
"Spencer County, Kentucky",88,"19,490",0.45
"Spink County, South Dakota",187,"6,361",2.94
"Spokane County, Washington","3,238","539,339",0.6
"Spotsylvania County, Virginia",241,"140,032",0.17
"St. Bernard Parish, Louisiana",27,"43,764",0.06
"St. Charles County, Missouri","1,876","405,262",0.46
"St. Charles Parish, Louisiana",88,"52,549",0.17
"St. Clair County, Alabama",692,"91,103",0.76
"St. Clair County, Illinois","1,430","257,400",0.56
"St. Clair County, Michigan",659,"160,383",0.41
"St. Clair County, Missouri",69,"9,284",0.74
"St. Croix County, Wisconsin",455,"93,536",0.49
"St. Francis County, Arkansas",106,"23,090",0.46
"St. Francois County, Missouri",651,"66,922",0.97
"St. Helena Parish, Louisiana",51,"10,920",0.47
"St. James Parish, Louisiana",92,"20,192",0.46
"St. John the Baptist Parish, Louisiana",93,"42,477",0.22
"St. Johns County, Florida","1,838","273,425",0.67
"St. Joseph County, Indiana","2,176","272,912",0.8
"St. Joseph County, Michigan",251,"60,939",0.41
"St. Landry Parish, Louisiana",580,"82,540",0.7
"St. Lawrence County, New York",751,"108,505",0.69
"St. Louis city, Missouri","1,353","301,578",0.45
"St. Louis County, Minnesota","2,001","200,231",1
"St. Louis County, Missouri","8,143","1,004,125",0.81
"St. Lucie County, Florida","1,047","329,226",0.32
"St. Martin Parish, Louisiana",236,"51,767",0.46
"St. Mary Parish, Louisiana",317,"49,406",0.64
"St. Mary's County, Maryland",685,"113,777",0.6
"St. Tammany Parish, Louisiana","1,227","264,570",0.46
"Stafford County, Kansas",88,"4,072",2.16
"Stafford County, Virginia",271,"156,927",0.17
"Stanislaus County, California","2,037","552,878",0.37
"Stanley County, South Dakota",0,"2,980",0
"Stanly County, North Carolina",412,"62,504",0.66
"Stanton County, Kansas",24,"2,084",1.15
"Stanton County, Nebraska",69,"5,842",1.18
"Stark County, Illinois",94,"5,400",1.74
"Stark County, North Dakota",355,"33,646",1.06
"Stark County, Ohio","3,148","374,853",0.84
"Starke County, Indiana",79,"23,371",0.34
"Starr County, Texas",155,"65,920",0.24
"Staunton city, Virginia",334,"25,750",1.3
"Ste. Genevieve County, Missouri",238,"18,479",1.29
"Stearns County, Minnesota",768,"158,292",0.49
"Steele County, Minnesota",313,"37,406",0.84
"Steele County, North Dakota",0,"1,798",0
"Stephens County, Georgia",254,"26,784",0.95
"Stephens County, Oklahoma",403,"42,848",0.94
"Stephens County, Texas",29,"9,101",0.32
"Stephenson County, Illinois",618,"44,630",1.38
"Sterling County, Texas",38,"1,372",2.77
"Steuben County, Indiana",131,"34,435",0.38
"Steuben County, New York",684,"93,584",0.73
"Stevens County, Kansas",63,"5,250",1.2
"Stevens County, Minnesota",66,"9,671",0.68
"Stevens County, Washington",142,"46,445",0.31
"Stewart County, Georgia",70,"5,314",1.32
"Stewart County, Tennessee",68,"13,657",0.5
"Stillwater County, Montana",52,"8,963",0.58
"Stoddard County, Missouri",302,"28,672",1.05
"Stokes County, North Carolina",461,"44,520",1.04
"Stone County, Arkansas",68,"12,359",0.55
"Stone County, Mississippi",106,"18,333",0.58
"Stone County, Missouri",132,"31,076",0.42
"Stonewall County, Texas",36,"1,245",2.89
"Storey County, Nevada",0,"4,104",0
"Story County, Iowa",451,"98,537",0.46
"Strafford County, New Hampshire","1,076","130,889",0.82
"Stutsman County, North Dakota",373,"21,593",1.73
"Sublette County, Wyoming",25,"8,728",0.29
"Suffolk city, Virginia",325,"94,324",0.34
"Suffolk County, Massachusetts","3,834","797,936",0.48
"Suffolk County, New York","8,860","1,525,920",0.58
"Sullivan County, Indiana",139,"20,817",0.67
"Sullivan County, Missouri",90,"5,999",1.5
"Sullivan County, New Hampshire",288,"43,063",0.67
"Sullivan County, New York",350,"78,624",0.45
"Sullivan County, Pennsylvania",141,"5,840",2.41
"Sullivan County, Tennessee",667,"158,163",0.42
"Sully County, South Dakota",0,"1,446",0
"Summers County, West Virginia",120,"11,959",1
"Summit County, Colorado",0,"31,055",0
"Summit County, Ohio","4,021","540,428",0.74
"Summit County, Utah",45,"42,357",0.11
"Sumner County, Kansas",246,"22,382",1.1
"Sumner County, Tennessee",780,"196,281",0.4
"Sumter County, Alabama",84,"12,345",0.68
"Sumter County, Florida",329,"129,752",0.25
"Sumter County, Georgia",251,"29,616",0.85
"Sumter County, South Carolina",607,"105,556",0.58
"Sunflower County, Mississippi",318,"25,971",1.22
"Surry County, North Carolina",507,"71,359",0.71
"Surry County, Virginia",0,"6,561",0
"Susquehanna County, Pennsylvania",202,"38,434",0.53
"Sussex County, Delaware","1,074","237,378",0.45
"Sussex County, New Jersey",896,"144,221",0.62
"Sussex County, Virginia",72,"10,829",0.66
"Sutter County, California",402,"99,633",0.4
"Sutton County, Texas",0,"3,372",0
"Suwannee County, Florida",410,"43,474",0.94
"Swain County, North Carolina",182,"14,117",1.29
"Sweet Grass County, Montana",32,"3,678",0.87
"Sweetwater County, Wyoming",164,"42,272",0.39
"Swift County, Minnesota",243,"9,838",2.47
"Swisher County, Texas",29,"6,971",0.42
"Switzerland County, Indiana",53,"9,737",0.54
"Talbot County, Georgia",0,"5,733",0
"Talbot County, Maryland",263,"37,526",0.7
"Taliaferro County, Georgia",19,"1,559",1.22
"Talladega County, Alabama",455,"82,149",0.55
"Tallahatchie County, Mississippi",103,"12,715",0.81
"Tallapoosa County, Alabama",501,"41,311",1.21
"Tama County, Iowa",194,"17,135",1.13
"Taney County, Missouri",274,"56,066",0.49
"Tangipahoa Parish, Louisiana",537,"133,157",0.4
"Taos County, New Mexico",109,"34,489",0.32
"Tarrant County, Texas","6,728","2,110,640",0.32
"Tate County, Mississippi",0,"28,064",0
"Tattnall County, Georgia",204,"22,842",0.89
"Taylor County, Florida",107,"21,796",0.49
"Taylor County, Georgia",75,"7,816",0.96
"Taylor County, Iowa",56,"5,896",0.95
"Taylor County, Kentucky",184,"26,023",0.71
"Taylor County, Texas",999,"143,208",0.7
"Taylor County, West Virginia",110,"16,705",0.66
"Taylor County, Wisconsin",110,"19,913",0.55
"Tazewell County, Illinois",824,"131,343",0.63
"Tazewell County, Virginia",237,"40,429",0.59
"Tehama County, California",84,"65,829",0.13
"Telfair County, Georgia",166,"12,477",1.33
"Teller County, Colorado",60,"24,710",0.24
"Tensas Parish, Louisiana",0,"4,147",0
"Terrebonne Parish, Louisiana",433,"109,580",0.4
"Terrell County, Georgia",73,"9,185",0.79
"Terrell County, Texas",0,760,0
"Terry County, Texas",125,"11,831",1.06
"Teton County, Idaho",19,"11,630",0.16
"Teton County, Montana",53,"6,226",0.85
"Teton County, Wyoming",66,"23,331",0.28
"Texas County, Missouri",186,"24,487",0.76
"Texas County, Oklahoma",69,"21,384",0.32
"Thayer County, Nebraska",72,"5,034",1.43
"Thomas County, Georgia",214,"45,798",0.47
"Thomas County, Kansas",82,"7,930",1.03
"Thomas County, Nebraska",0,669,0
"Throckmorton County, Texas",0,"1,440",0
"Thurston County, Nebraska",67,"6,773",0.99
"Thurston County, Washington",838,"294,793",0.28
"Tift County, Georgia",263,"41,344",0.64
"Tillamook County, Oregon",63,"27,390",0.23
"Tillman County, Oklahoma",25,"6,968",0.36
"Tioga County, New York",253,"48,455",0.52
"Tioga County, Pennsylvania",244,"41,045",0.59
"Tippah County, Mississippi",193,"21,815",0.88
"Tippecanoe County, Indiana",997,"186,251",0.54
"Tipton County, Indiana",174,"15,359",1.13
"Tipton County, Tennessee",209,"60,970",0.34
"Tishomingo County, Mississippi",220,"18,850",1.17
"Titus County, Texas",200,"31,247",0.64
"Toa Alta Municipio, Puerto Rico",244,"66,852",0.36
"Toa Baja Municipio, Puerto Rico",210,"75,293",0.28
"Todd County, Kentucky",46,"12,243",0.38
"Todd County, Minnesota",149,"25,262",0.59
"Todd County, South Dakota",0,"9,319",0
"Tolland County, Connecticut",570,"149,788",0.38
"Tom Green County, Texas",546,"120,003",0.45
"Tompkins County, New York",647,"105,740",0.61
"Tooele County, Utah",126,"72,698",0.17
"Toole County, Montana",49,"4,971",0.99
"Toombs County, Georgia",297,"27,030",1.1
"Torrance County, New Mexico",0,"15,045",0
"Towner County, North Dakota",32,"2,162",1.48
"Towns County, Georgia",141,"12,493",1.13
"Traill County, North Dakota",162,"7,997",2.03
"Transylvania County, North Carolina",216,"32,986",0.65
"Traverse County, Minnesota",86,"3,360",2.56
"Travis County, Texas","3,538","1,290,188",0.27
"Treasure County, Montana",0,762,0
"Trego County, Kansas",41,"2,808",1.46
"Trempealeau County, Wisconsin",353,"30,760",1.15
"Treutlen County, Georgia",59,"6,406",0.92
"Trigg County, Kentucky",30,"14,061",0.21
"Trimble County, Kentucky",46,"8,474",0.54
"Trinity County, California",12,"16,112",0.07
"Trinity County, Texas",98,"13,602",0.72
"Tripp County, South Dakota",132,"5,624",2.35
"Troup County, Georgia",539,"69,426",0.78
"Trousdale County, Tennessee",44,"11,615",0.38
"Trujillo Alto Municipio, Puerto Rico",230,"67,740",0.34
"Trumbull County, Ohio","1,446","201,977",0.72
"Tucker County, West Virginia",76,"6,762",1.12
"Tulare County, California","1,341","473,117",0.28
"Tulsa County, Oklahoma","3,599","669,279",0.54
"Tunica County, Mississippi",51,"9,782",0.52
"Tuolumne County, California",219,"55,620",0.39
"Turner County, Georgia",24,"9,006",0.27
"Turner County, South Dakota",132,"8,673",1.52
"Tuscaloosa County, Alabama","1,022","227,036",0.45
"Tuscarawas County, Ohio",756,"93,263",0.81
"Tuscola County, Michigan",240,"53,323",0.45
"Twiggs County, Georgia",95,"8,022",1.18
"Twin Falls County, Idaho",753,"90,046",0.84
"Tyler County, Texas",134,"19,798",0.68
"Tyler County, West Virginia",69,"8,313",0.83
"Tyrrell County, North Carolina",0,"3,245",0
"Uinta County, Wyoming",62,"20,450",0.3
"Uintah County, Utah",71,"35,620",0.2
"Ulster County, New York","1,185","181,851",0.65
"Umatilla County, Oregon",352,"80,075",0.44
"Unicoi County, Tennessee",219,"17,928",1.22
"Union County, Arkansas",395,"39,054",1.01
"Union County, Florida",0,"16,147",0
"Union County, Georgia",211,"24,632",0.86
"Union County, Illinois",151,"17,244",0.88
"Union County, Indiana",37,"7,087",0.52
"Union County, Iowa",96,"12,138",0.79
"Union County, Kentucky",92,"13,668",0.67
"Union County, Mississippi",140,"27,777",0.5
"Union County, New Jersey","2,005","575,345",0.35
"Union County, New Mexico",45,"4,079",1.1
"Union County, North Carolina",798,"238,267",0.33
"Union County, Ohio",244,"62,784",0.39
"Union County, Oregon",126,"26,196",0.48
"Union County, Pennsylvania",342,"42,681",0.8
"Union County, South Carolina",170,"27,244",0.62
"Union County, South Dakota",65,"16,811",0.39
"Union County, Tennessee",60,"19,802",0.3
"Union Parish, Louisiana",262,"21,107",1.24
"Upshur County, Texas",319,"40,892",0.78
"Upshur County, West Virginia",116,"23,816",0.49
"Upson County, Georgia",251,"27,700",0.91
"Upton County, Texas",22,"3,308",0.67
"Utah County, Utah",777,"659,399",0.12
"Utuado Municipio, Puerto Rico",42,"28,287",0.15
"Uvalde County, Texas",252,"24,564",1.03
"Val Verde County, Texas",164,"47,586",0.34
"Valencia County, New Mexico",127,"76,205",0.17
"Valley County, Idaho",29,"11,746",0.25
"Valley County, Montana",97,"7,578",1.28
"Valley County, Nebraska",34,"4,059",0.84
"Van Buren County, Arkansas",29,"15,796",0.18
"Van Buren County, Iowa",51,"7,203",0.71
"Van Buren County, Michigan",265,"75,587",0.35
"Van Buren County, Tennessee",71,"6,168",1.15
"Van Wert County, Ohio",218,"28,931",0.75
