Geographic Area,Service occupations,Service job
"Sebastian County, Arkansas",16.20%,16.2
"Sedgwick County, Colorado",18.10%,18.1
"Sedgwick County, Kansas",16.20%,16.2
"Seminole County, Florida",15.10%,15.1
"Seminole County, Georgia",17.40%,17.4
"Seminole County, Oklahoma",20.20%,20.2
"Seneca County, New York",18.90%,18.9
"Seneca County, Ohio",16.10%,16.1
"Sequatchie County, Tennessee",21.60%,21.6
"Sequoyah County, Oklahoma",20.10%,20.1
"Sevier County, Arkansas",14.10%,14.1
"Sevier County, Tennessee",22.30%,22.3
"Sevier County, Utah",17.30%,17.3
"Seward County, Kansas",14.30%,14.3
"Seward County, Nebraska",15.10%,15.1
"Shackelford County, Texas",15.30%,15.3
"Shannon County, Missouri",17%,17
"Sharkey County, Mississippi",19%,19
"Sharp County, Arkansas",20%,20
"Shasta County, California",21.60%,21.6
"Shawano County, Wisconsin",15.60%,15.6
"Shawnee County, Kansas",17%,17
"Sheboygan County, Wisconsin",15.80%,15.8
"Shelby County, Alabama",13.30%,13.3
"Shelby County, Illinois",20.40%,20.4
"Shelby County, Indiana",18.50%,18.5
"Shelby County, Iowa",10.80%,10.8
"Shelby County, Kentucky",14.60%,14.6
"Shelby County, Missouri",20.30%,20.3
"Shelby County, Ohio",13.10%,13.1
"Shelby County, Tennessee",16.40%,16.4
"Shelby County, Texas",18.80%,18.8
"Shenandoah County, Virginia",19.70%,19.7
"Sherburne County, Minnesota",14.90%,14.9
"Sheridan County, Kansas",16.20%,16.2
"Sheridan County, Montana",21.40%,21.4
"Sheridan County, Nebraska",16.90%,16.9
"Sheridan County, North Dakota",11.60%,11.6
"Sheridan County, Wyoming",18.40%,18.4
"Sherman County, Kansas",11.60%,11.6
"Sherman County, Nebraska",20.20%,20.2
"Sherman County, Oregon",16%,16
"Sherman County, Texas",13.50%,13.5
"Shiawassee County, Michigan",18.30%,18.3
"Shoshone County, Idaho",21.90%,21.9
"Sibley County, Minnesota",14.40%,14.4
"Sierra County, California",11.70%,11.7
"Sierra County, New Mexico",22.70%,22.7
"Silver Bow County, Montana",20.20%,20.2
"Simpson County, Kentucky",15.40%,15.4
"Simpson County, Mississippi",21.80%,21.8
"Sioux County, Iowa",14.10%,14.1
"Sioux County, Nebraska",11.80%,11.8
"Sioux County, North Dakota",28.90%,28.9
"Siskiyou County, California",24.50%,24.5
"Sitka City and Borough, Alaska",15.90%,15.9
"Skagit County, Washington",17%,17
"Skagway Municipality, Alaska",25.90%,25.9
"Skamania County, Washington",16.30%,16.3
"Slope County, North Dakota",8.80%,8.8
"Smith County, Kansas",14.20%,14.2
"Smith County, Mississippi",13.40%,13.4
"Smith County, Tennessee",14.40%,14.4
"Smith County, Texas",17.80%,17.8
"Smyth County, Virginia",17.80%,17.8
"Snohomish County, Washington",15%,15
"Snyder County, Pennsylvania",14.40%,14.4
"Socorro County, New Mexico",20%,20
"Solano County, California",19.40%,19.4
"Somerset County, Maine",16.90%,16.9
"Somerset County, Maryland",21.60%,21.6
"Somerset County, New Jersey",11.10%,11.1
"Somerset County, Pennsylvania",17.40%,17.4
"Somervell County, Texas",13.40%,13.4
"Sonoma County, California",18.70%,18.7
"South Central Connecticut Planning Region, Connecticut",17.10%,17.1
"Southampton County, Virginia",18.10%,18.1
"Southeast Fairbanks Census Area, Alaska",23.90%,23.9
"Southeastern Connecticut Planning Region, Connecticut",21.40%,21.4
"Spalding County, Georgia",15%,15
"Spartanburg County, South Carolina",16.30%,16.3
"Spencer County, Indiana",14.10%,14.1
"Spencer County, Kentucky",14.10%,14.1
"Spink County, South Dakota",18%,18
"Spokane County, Washington",18.30%,18.3
"Spotsylvania County, Virginia",16.10%,16.1
"St. Bernard Parish, Louisiana",21%,21
"St. Charles County, Missouri",12.60%,12.6
"St. Charles Parish, Louisiana",13.10%,13.1
"St. Clair County, Alabama",15.30%,15.3
"St. Clair County, Illinois",18.50%,18.5
"St. Clair County, Michigan",17.90%,17.9
"St. Clair County, Missouri",19.50%,19.5
"St. Croix County, Wisconsin",14.20%,14.2
"St. Francis County, Arkansas",20.20%,20.2
"St. Francois County, Missouri",22.70%,22.7
"St. Helena Parish, Louisiana",24%,24
"St. James Parish, Louisiana",16%,16
"St. John the Baptist Parish, Louisiana",21.20%,21.2
"St. Johns County, Florida",14%,14
"St. Joseph County, Indiana",15.50%,15.5
"St. Joseph County, Michigan",13.70%,13.7
"St. Landry Parish, Louisiana",20.50%,20.5
"St. Lawrence County, New York",23%,23
"St. Louis city, Missouri",19.50%,19.5
"St. Louis County, Minnesota",19.60%,19.6
"St. Louis County, Missouri",14.50%,14.5
"St. Lucie County, Florida",20.30%,20.3
"St. Martin Parish, Louisiana",16.50%,16.5
"St. Mary Parish, Louisiana",17.20%,17.2
"St. Mary's County, Maryland",14.10%,14.1
"St. Tammany Parish, Louisiana",15.90%,15.9
"Stafford County, Kansas",16.30%,16.3
"Stafford County, Virginia",16.80%,16.8
"Stanislaus County, California",18.30%,18.3
"Stanley County, South Dakota",11.40%,11.4
"Stanly County, North Carolina",16.90%,16.9
"Stanton County, Kansas",12.70%,12.7
"Stanton County, Nebraska",9.30%,9.3
"Stark County, Illinois",14%,14
"Stark County, North Dakota",13.50%,13.5
"Stark County, Ohio",17.10%,17.1
"Starke County, Indiana",14.30%,14.3
"Starr County, Texas",27.70%,27.7
"Staunton city, Virginia",22.60%,22.6
"Ste. Genevieve County, Missouri",19.50%,19.5
"Stearns County, Minnesota",17.20%,17.2
"Steele County, Minnesota",13.60%,13.6
"Steele County, North Dakota",8.30%,8.3
"Stephens County, Georgia",18.40%,18.4
"Stephens County, Oklahoma",14%,14
"Stephens County, Texas",18.90%,18.9
"Stephenson County, Illinois",16.40%,16.4
"Sterling County, Texas",8.90%,8.9
"Steuben County, Indiana",15.20%,15.2
"Steuben County, New York",16.50%,16.5
"Stevens County, Kansas",10.80%,10.8
"Stevens County, Minnesota",18.80%,18.8
"Stevens County, Washington",19.80%,19.8
"Stewart County, Georgia",15%,15
"Stewart County, Tennessee",18.30%,18.3
"Stillwater County, Montana",15.20%,15.2
"Stoddard County, Missouri",16.80%,16.8
"Stokes County, North Carolina",17.90%,17.9
"Stone County, Arkansas",19.10%,19.1
"Stone County, Mississippi",22.60%,22.6
"Stone County, Missouri",16.60%,16.6
"Stonewall County, Texas",18.90%,18.9
"Storey County, Nevada",16.20%,16.2
"Story County, Iowa",18%,18
"Strafford County, New Hampshire",16.40%,16.4
"Stutsman County, North Dakota",20.40%,20.4
"Sublette County, Wyoming",11.10%,11.1
"Suffolk city, Virginia",15.40%,15.4
"Suffolk County, Massachusetts",18.50%,18.5
"Suffolk County, New York",16.60%,16.6
"Sullivan County, Indiana",20.40%,20.4
"Sullivan County, Missouri",15.90%,15.9
"Sullivan County, New Hampshire",16.30%,16.3
"Sullivan County, New York",24%,24
"Sullivan County, Pennsylvania",20.50%,20.5
"Sullivan County, Tennessee",16.30%,16.3
"Sully County, South Dakota",8.30%,8.3
"Summers County, West Virginia",20.10%,20.1
"Summit County, Colorado",22.80%,22.8
"Summit County, Ohio",16.80%,16.8
"Summit County, Utah",16.10%,16.1
"Sumner County, Kansas",17.20%,17.2
"Sumner County, Tennessee",14.30%,14.3
"Sumter County, Alabama",20.10%,20.1
"Sumter County, Florida",17.80%,17.8
"Sumter County, Georgia",17.10%,17.1
"Sumter County, South Carolina",18.20%,18.2
"Sunflower County, Mississippi",22.60%,22.6
"Surry County, North Carolina",16.20%,16.2
"Surry County, Virginia",22.40%,22.4
"Susquehanna County, Pennsylvania",15.10%,15.1
"Sussex County, Delaware",20.30%,20.3
"Sussex County, New Jersey",14.10%,14.1
"Sussex County, Virginia",19.60%,19.6
"Sutter County, California",19.80%,19.8
"Sutton County, Texas",15.20%,15.2
"Suwannee County, Florida",21.40%,21.4
"Swain County, North Carolina",32.10%,32.1
"Sweet Grass County, Montana",14.10%,14.1
"Sweetwater County, Wyoming",15.50%,15.5
"Swift County, Minnesota",15.60%,15.6
"Swisher County, Texas",24%,24
"Switzerland County, Indiana",22.10%,22.1
"Talbot County, Georgia",19.30%,19.3
"Talbot County, Maryland",17.60%,17.6
"Taliaferro County, Georgia",27.70%,27.7
"Talladega County, Alabama",15.20%,15.2
"Tallahatchie County, Mississippi",19.20%,19.2
"Tallapoosa County, Alabama",16.40%,16.4
"Tama County, Iowa",16.90%,16.9
"Taney County, Missouri",19.30%,19.3
"Tangipahoa Parish, Louisiana",21.20%,21.2
"Taos County, New Mexico",22.30%,22.3
"Tarrant County, Texas",15%,15
"Tate County, Mississippi",15.60%,15.6
"Tattnall County, Georgia",17.60%,17.6
"Taylor County, Florida",22.10%,22.1
"Taylor County, Georgia",14.50%,14.5
"Taylor County, Iowa",16.80%,16.8
"Taylor County, Kentucky",14.10%,14.1
"Taylor County, Texas",19.60%,19.6
"Taylor County, West Virginia",17.10%,17.1
"Taylor County, Wisconsin",13.90%,13.9
"Tazewell County, Illinois",16.90%,16.9
"Tazewell County, Virginia",19.60%,19.6
"Tehama County, California",19.30%,19.3
"Telfair County, Georgia",17.20%,17.2
"Teller County, Colorado",13.80%,13.8
"Tensas Parish, Louisiana",21.60%,21.6
"Terrebonne Parish, Louisiana",16.90%,16.9
"Terrell County, Georgia",19.90%,19.9
"Terrell County, Texas",15.40%,15.4
"Terry County, Texas",22.50%,22.5
"Teton County, Idaho",18.30%,18.3
"Teton County, Montana",18.40%,18.4
"Teton County, Wyoming",23.70%,23.7
"Texas County, Missouri",17.40%,17.4
"Texas County, Oklahoma",15.60%,15.6
"Thayer County, Nebraska",15.30%,15.3
"Thomas County, Georgia",16.80%,16.8
"Thomas County, Kansas",16.30%,16.3
"Thomas County, Nebraska",16.20%,16.2
"Throckmorton County, Texas",15.50%,15.5
"Thurston County, Nebraska",19.80%,19.8
"Thurston County, Washington",16.90%,16.9
"Tift County, Georgia",16.30%,16.3
"Tillamook County, Oregon",23.40%,23.4
"Tillman County, Oklahoma",15.40%,15.4
"Tioga County, New York",15.50%,15.5
"Tioga County, Pennsylvania",18.10%,18.1
"Tippah County, Mississippi",10.30%,10.3
"Tippecanoe County, Indiana",17%,17
"Tipton County, Indiana",14.20%,14.2
"Tipton County, Tennessee",14.80%,14.8
"Tishomingo County, Mississippi",12.10%,12.1
"Titus County, Texas",18.30%,18.3
"Toa Alta Municipio, Puerto Rico",19.50%,19.5
"Toa Baja Municipio, Puerto Rico",20.40%,20.4
"Todd County, Kentucky",10.80%,10.8
"Todd County, Minnesota",14.60%,14.6
"Todd County, South Dakota",22.10%,22.1
"Tom Green County, Texas",17.50%,17.5
"Tompkins County, New York",14.90%,14.9
"Tooele County, Utah",13.30%,13.3
"Toole County, Montana",20.10%,20.1
"Toombs County, Georgia",15.20%,15.2
"Torrance County, New Mexico",27.70%,27.7
"Towner County, North Dakota",14.70%,14.7
"Towns County, Georgia",23%,23
"Traill County, North Dakota",15.90%,15.9
"Transylvania County, North Carolina",21%,21
"Traverse County, Minnesota",16.40%,16.4
"Travis County, Texas",13.10%,13.1
"Treasure County, Montana",9.90%,9.9
"Trego County, Kansas",14.70%,14.7
"Trempealeau County, Wisconsin",14.90%,14.9
"Treutlen County, Georgia",19.20%,19.2
"Trigg County, Kentucky",15.30%,15.3
"Trimble County, Kentucky",16.60%,16.6
"Trinity County, California",25.80%,25.8
"Trinity County, Texas",19.50%,19.5
"Tripp County, South Dakota",17.20%,17.2
"Troup County, Georgia",16.40%,16.4
"Trousdale County, Tennessee",16.40%,16.4
"Trujillo Alto Municipio, Puerto Rico",17.80%,17.8
"Trumbull County, Ohio",18.60%,18.6
"Tucker County, West Virginia",19.40%,19.4
"Tulare County, California",18.80%,18.8
"Tulsa County, Oklahoma",16.20%,16.2
"Tunica County, Mississippi",35.40%,35.4
"Tuolumne County, California",25.40%,25.4
"Turner County, Georgia",18.90%,18.9
"Turner County, South Dakota",15.70%,15.7
"Tuscaloosa County, Alabama",15.50%,15.5
"Tuscarawas County, Ohio",17.10%,17.1
"Tuscola County, Michigan",18.20%,18.2
"Twiggs County, Georgia",20.80%,20.8
"Twin Falls County, Idaho",16.60%,16.6
"Tyler County, Texas",18.30%,18.3
"Tyler County, West Virginia",18%,18
"Tyrrell County, North Carolina",25.30%,25.3
"Uinta County, Wyoming",17.90%,17.9
"Uintah County, Utah",19.30%,19.3
"Ulster County, New York",19.60%,19.6
"Umatilla County, Oregon",20.40%,20.4
"Unicoi County, Tennessee",14.30%,14.3
"Union County, Arkansas",18.30%,18.3
"Union County, Florida",24.80%,24.8
"Union County, Georgia",16.40%,16.4
"Union County, Illinois",26%,26
"Union County, Indiana",16.70%,16.7
"Union County, Iowa",16.50%,16.5
"Union County, Kentucky",16.30%,16.3
"Union County, Mississippi",12.40%,12.4
"Union County, New Jersey",15.40%,15.4
"Union County, New Mexico",22.80%,22.8
"Union County, North Carolina",12.80%,12.8
"Union County, Ohio",11.60%,11.6
"Union County, Oregon",22.20%,22.2
"Union County, Pennsylvania",15%,15
"Union County, South Carolina",17.80%,17.8
"Union County, South Dakota",12.60%,12.6
"Union County, Tennessee",15.70%,15.7
"Union Parish, Louisiana",12.10%,12.1
"Upshur County, Texas",14.20%,14.2
"Upshur County, West Virginia",17.90%,17.9
"Upson County, Georgia",20.20%,20.2
"Upton County, Texas",16.20%,16.2
"Utah County, Utah",14.60%,14.6
"Utuado Municipio, Puerto Rico",22.50%,22.5
"Uvalde County, Texas",23.90%,23.9
"Val Verde County, Texas",23.70%,23.7
"Valencia County, New Mexico",21.60%,21.6
"Valley County, Idaho",18.60%,18.6
"Valley County, Montana",19.20%,19.2
"Valley County, Nebraska",13.90%,13.9
"Van Buren County, Arkansas",20.80%,20.8
"Van Buren County, Iowa",12%,12
"Van Buren County, Michigan",18%,18
"Van Buren County, Tennessee",23.90%,23.9
"Van Wert County, Ohio",12.90%,12.9
"Van Zandt County, Texas",17.50%,17.5
"Vance County, North Carolina",20.70%,20.7
"Vanderburgh County, Indiana",19%,19
"Vega Alta Municipio, Puerto Rico",23.70%,23.7
"Vega Baja Municipio, Puerto Rico",20.70%,20.7
"Venango County, Pennsylvania",19.40%,19.4
"Ventura County, California",17.50%,17.5
"Vermilion County, Illinois",19.20%,19.2
"Vermilion Parish, Louisiana",15.60%,15.6
"Vermillion County, Indiana",17.60%,17.6
"Vernon County, Missouri",16%,16
"Vernon County, Wisconsin",15.70%,15.7
"Vernon Parish, Louisiana",18.80%,18.8
"Victoria County, Texas",18.90%,18.9
"Vieques Municipio, Puerto Rico",24%,24
"Vigo County, Indiana",20.10%,20.1
"Vilas County, Wisconsin",21.40%,21.4
"Villalba Municipio, Puerto Rico",23%,23
"Vinton County, Ohio",11%,11
"Virginia Beach city, Virginia",17%,17
"Volusia County, Florida",19.60%,19.6
"Wabash County, Illinois",20.50%,20.5
"Wabash County, Indiana",17.60%,17.6
"Wabasha County, Minnesota",16.30%,16.3
"Wabaunsee County, Kansas",13.30%,13.3
"Wadena County, Minnesota",18.20%,18.2
"Wagoner County, Oklahoma",14.20%,14.2
"Wahkiakum County, Washington",24.80%,24.8
"Wake County, North Carolina",12.20%,12.2
"Wakulla County, Florida",18.70%,18.7
"Waldo County, Maine",15.30%,15.3
"Walker County, Alabama",17.50%,17.5
"Walker County, Georgia",15.30%,15.3
"Walker County, Texas",28.60%,28.6
"Walla Walla County, Washington",21.80%,21.8
"Wallace County, Kansas",16.70%,16.7
"Waller County, Texas",17.10%,17.1
"Wallowa County, Oregon",17.50%,17.5
"Walsh County, North Dakota",15.90%,15.9
"Walthall County, Mississippi",8.60%,8.6
"Walton County, Florida",18.80%,18.8
"Walton County, Georgia",14.70%,14.7
"Walworth County, South Dakota",13.20%,13.2
"Walworth County, Wisconsin",17.80%,17.8
"Wapello County, Iowa",15%,15
"Ward County, North Dakota",16.50%,16.5
"Ward County, Texas",15.50%,15.5
"Ware County, Georgia",16%,16
"Warren County, Georgia",21.70%,21.7
"Warren County, Illinois",17.80%,17.8
"Warren County, Indiana",11.40%,11.4
"Warren County, Iowa",14.20%,14.2
"Warren County, Kentucky",17.70%,17.7
"Warren County, Mississippi",21.70%,21.7
"Warren County, Missouri",12.90%,12.9
"Warren County, New Jersey",17.60%,17.6
"Warren County, New York",18.40%,18.4
"Warren County, North Carolina",18.70%,18.7
"Warren County, Ohio",12.50%,12.5
"Warren County, Pennsylvania",19.50%,19.5
"Warren County, Tennessee",16.40%,16.4
"Warren County, Virginia",17.20%,17.2
"Warrick County, Indiana",13.60%,13.6
"Wasatch County, Utah",17.60%,17.6
"Wasco County, Oregon",17.20%,17.2
"Waseca County, Minnesota",15.90%,15.9
"Washakie County, Wyoming",17%,17
"Washburn County, Wisconsin",18%,18
"Washington County, Alabama",16.90%,16.9
"Washington County, Arkansas",15.80%,15.8
"Washington County, Colorado",16.50%,16.5
"Washington County, Florida",20%,20
"Washington County, Georgia",18.60%,18.6
"Washington County, Idaho",18.90%,18.9
"Washington County, Illinois",14.40%,14.4
"Washington County, Indiana",13.70%,13.7
"Washington County, Iowa",18.10%,18.1
"Washington County, Kansas",15.60%,15.6
"Washington County, Kentucky",13.90%,13.9
"Washington County, Maine",18.60%,18.6
"Washington County, Maryland",16.80%,16.8
"Washington County, Minnesota",13.60%,13.6
"Washington County, Mississippi",18.90%,18.9
"Washington County, Missouri",17.30%,17.3
"Washington County, Nebraska",13.20%,13.2
"Washington County, New York",18%,18
"Washington County, North Carolina",15.70%,15.7
"Washington County, Ohio",18.10%,18.1
"Washington County, Oklahoma",17.50%,17.5
"Washington County, Oregon",14.20%,14.2
"Washington County, Pennsylvania",16.10%,16.1
"Washington County, Rhode Island",15.80%,15.8
"Washington County, Tennessee",16%,16
"Washington County, Texas",17.10%,17.1
"Washington County, Utah",17%,17
"Washington County, Vermont",14.70%,14.7
"Washington County, Virginia",16%,16
"Washington County, Wisconsin",12%,12
"Washington Parish, Louisiana",23.50%,23.5
"Washita County, Oklahoma",12.10%,12.1
"Washoe County, Nevada",18.20%,18.2
"Washtenaw County, Michigan",14.60%,14.6
"Watauga County, North Carolina",21.90%,21.9
"Watonwan County, Minnesota",13.20%,13.2
"Waukesha County, Wisconsin",12.30%,12.3
"Waupaca County, Wisconsin",15.60%,15.6
"Waushara County, Wisconsin",18.80%,18.8
"Wayne County, Georgia",21.40%,21.4
"Wayne County, Illinois",16%,16
"Wayne County, Indiana",18%,18
"Wayne County, Iowa",13%,13
"Wayne County, Kentucky",14.70%,14.7
"Wayne County, Michigan",18.40%,18.4
"Wayne County, Mississippi",17.50%,17.5
"Wayne County, Missouri",16.60%,16.6
"Wayne County, Nebraska",22.20%,22.2
"Wayne County, New York",15.80%,15.8
"Wayne County, North Carolina",17.90%,17.9
"Wayne County, Ohio",14.80%,14.8
"Wayne County, Pennsylvania",18.60%,18.6
"Wayne County, Tennessee",19.50%,19.5
"Wayne County, Utah",11.60%,11.6
"Wayne County, West Virginia",19.50%,19.5
"Waynesboro city, Virginia",18.30%,18.3
"Weakley County, Tennessee",16.20%,16.2
"Webb County, Texas",22.40%,22.4
"Weber County, Utah",14.70%,14.7
"Webster County, Georgia",19.30%,19.3
"Webster County, Iowa",18.30%,18.3
"Webster County, Kentucky",13.70%,13.7
"Webster County, Mississippi",19.50%,19.5
"Webster County, Missouri",15.70%,15.7
"Webster County, Nebraska",12.50%,12.5
"Webster County, West Virginia",22.20%,22.2
"Webster Parish, Louisiana",16.80%,16.8
"Weld County, Colorado",15.30%,15.3
"Wells County, Indiana",13.30%,13.3
"Wells County, North Dakota",19.50%,19.5
"West Baton Rouge Parish, Louisiana",15.30%,15.3
"West Carroll Parish, Louisiana",20%,20
"West Feliciana Parish, Louisiana",22.60%,22.6
"Westchester County, New York",16%,16
"Western Connecticut Planning Region, Connecticut",15.20%,15.2
"Westmoreland County, Pennsylvania",15.30%,15.3
"Westmoreland County, Virginia",19.20%,19.2
"Weston County, Wyoming",16.30%,16.3
"Wetzel County, West Virginia",16.80%,16.8
"Wexford County, Michigan",15.40%,15.4
"Wharton County, Texas",18.40%,18.4
"Whatcom County, Washington",18.40%,18.4
"Wheatland County, Montana",14.50%,14.5
"Wheeler County, Georgia",19%,19
"Wheeler County, Nebraska",12.70%,12.7
"Wheeler County, Oregon",24.90%,24.9
"Wheeler County, Texas",22.80%,22.8
"White County, Arkansas",17.40%,17.4
"White County, Georgia",18.20%,18.2
"White County, Illinois",18.50%,18.5
"White County, Indiana",15.30%,15.3
"White County, Tennessee",17.60%,17.6
"White Pine County, Nevada",16.10%,16.1
"Whiteside County, Illinois",16.80%,16.8
"Whitfield County, Georgia",12.40%,12.4
"Whitley County, Indiana",13.90%,13.9
"Whitley County, Kentucky",21.20%,21.2
"Whitman County, Washington",18.30%,18.3
"Wibaux County, Montana",13.10%,13.1
"Wichita County, Kansas",8.30%,8.3
"Wichita County, Texas",20.40%,20.4
"Wicomico County, Maryland",22.10%,22.1
"Wilbarger County, Texas",27.20%,27.2
"Wilcox County, Alabama",15.30%,15.3
"Wilcox County, Georgia",15.90%,15.9
"Wilkes County, Georgia",20.40%,20.4
"Wilkes County, North Carolina",18.90%,18.9
"Wilkin County, Minnesota",14.50%,14.5
"Wilkinson County, Georgia",20%,20
"Wilkinson County, Mississippi",27.20%,27.2
"Will County, Illinois",14.60%,14.6
"Willacy County, Texas",26.30%,26.3
"Williams County, North Dakota",15.10%,15.1
"Williams County, Ohio",15.60%,15.6
"Williamsburg city, Virginia",22.20%,22.2
"Williamsburg County, South Carolina",17.60%,17.6
"Williamson County, Illinois",20.40%,20.4
"Williamson County, Tennessee",11.40%,11.4
"Williamson County, Texas",12.80%,12.8
"Wilson County, Kansas",13.20%,13.2
"Wilson County, North Carolina",15.40%,15.4
"Wilson County, Tennessee",13%,13
"Wilson County, Texas",14.70%,14.7
"Winchester city, Virginia",18.40%,18.4
"Windham County, Vermont",16.90%,16.9
"Windsor County, Vermont",18.80%,18.8
"Winkler County, Texas",16.40%,16.4
"Winn Parish, Louisiana",22.90%,22.9
"Winnebago County, Illinois",16.90%,16.9
"Winnebago County, Iowa",13.90%,13.9
"Winnebago County, Wisconsin",16.20%,16.2
"Winneshiek County, Iowa",18.30%,18.3
"Winona County, Minnesota",17.20%,17.2
"Winston County, Alabama",11.10%,11.1
"Winston County, Mississippi",17.30%,17.3
"Wirt County, West Virginia",14.70%,14.7
"Wise County, Texas",16.40%,16.4
"Wise County, Virginia",18.70%,18.7
"Wolfe County, Kentucky",32.70%,32.7
"Wood County, Ohio",15.50%,15.5
"Wood County, Texas",13.40%,13.4
"Wood County, West Virginia",16.80%,16.8
"Wood County, Wisconsin",17.30%,17.3
"Woodbury County, Iowa",16.40%,16.4
"Woodford County, Illinois",14.70%,14.7
"Woodford County, Kentucky",14.90%,14.9
"Woodruff County, Arkansas",19.70%,19.7
"Woods County, Oklahoma",15.70%,15.7
"Woodson County, Kansas",18.10%,18.1
"Woodward County, Oklahoma",18.40%,18.4
"Worcester County, Maryland",22.80%,22.8
"Worcester County, Massachusetts",16.30%,16.3
"Worth County, Georgia",13.30%,13.3
"Worth County, Iowa",14.80%,14.8
"Worth County, Missouri",22.50%,22.5
"Wrangell City and Borough, Alaska",15.80%,15.8
"Wright County, Iowa",14.50%,14.5
"Wright County, Minnesota",11.90%,11.9
"Wright County, Missouri",17.60%,17.6
"Wyandot County, Ohio",15.70%,15.7
"Wyandotte County, Kansas",18.30%,18.3
"Wyoming County, New York",19.80%,19.8
"Wyoming County, Pennsylvania",17.60%,17.6
"Wyoming County, West Virginia",16.60%,16.6
"Wythe County, Virginia",18.60%,18.6
"Yabucoa Municipio, Puerto Rico",27.90%,27.9
"Yadkin County, North Carolina",16.50%,16.5
"Yakima County, Washington",17.80%,17.8
"Yakutat City and Borough, Alaska",19.90%,19.9
"Yalobusha County, Mississippi",20.30%,20.3
"Yamhill County, Oregon",19.10%,19.1
"Yancey County, North Carolina",21.80%,21.8
"Yankton County, South Dakota",16.20%,16.2
"Yates County, New York",19.10%,19.1
"Yauco Municipio, Puerto Rico",18.30%,18.3
"Yavapai County, Arizona",20.90%,20.9
"Yazoo County, Mississippi",21.70%,21.7
"Yell County, Arkansas",19.60%,19.6
"Yellow Medicine County, Minnesota",16.80%,16.8
"Yellowstone County, Montana",17.40%,17.4
"Yoakum County, Texas",12.70%,12.7
"Yolo County, California",17.20%,17.2
"York County, Maine",16.50%,16.5
"York County, Nebraska",13.10%,13.1
"York County, Pennsylvania",15.30%,15.3
"York County, South Carolina",14%,14
"York County, Virginia",12.80%,12.8
"Young County, Texas",20.30%,20.3
"Yuba County, California",19.90%,19.9
"Yukon-Koyukuk Census Area, Alaska",15.40%,15.4
"Yuma County, Arizona",21.40%,21.4
"Yuma County, Colorado",14.40%,14.4
"Zapata County, Texas",19.40%,19.4
"Zavala County, Texas",17.10%,17.1
"Ziebach County, South Dakota",16%,16
