Geographic Area,"Production, transportation, and material moving occupations",Production job
"Scotts Bluff County, Nebraska",15.50%,15.5
"Screven County, Georgia",18.50%,18.5
"Scurry County, Texas",14.60%,14.6
"Searcy County, Arkansas",21.40%,21.4
"Sebastian County, Arkansas",20.20%,20.2
"Sedgwick County, Colorado",10%,10
"Sedgwick County, Kansas",15.70%,15.7
"Seminole County, Florida",8.20%,8.2
"Seminole County, Georgia",17.90%,17.9
"Seminole County, Oklahoma",19%,19
"Seneca County, New York",13.70%,13.7
"Seneca County, Ohio",28.40%,28.4
"Sequatchie County, Tennessee",19%,19
"Sequoyah County, Oklahoma",17.10%,17.1
"Sevier County, Arkansas",32.50%,32.5
"Sevier County, Tennessee",12.70%,12.7
"Sevier County, Utah",14%,14
"Seward County, Kansas",28.80%,28.8
"Seward County, Nebraska",15.40%,15.4
"Shackelford County, Texas",9.90%,9.9
"Shannon County, Missouri",18.50%,18.5
"Sharkey County, Mississippi",20.30%,20.3
"Sharp County, Arkansas",17.90%,17.9
"Shasta County, California",10.40%,10.4
"Shawano County, Wisconsin",21.20%,21.2
"Shawnee County, Kansas",13.90%,13.9
"Sheboygan County, Wisconsin",24.70%,24.7
"Shelby County, Alabama",10%,10
"Shelby County, Illinois",19.10%,19.1
"Shelby County, Indiana",21.40%,21.4
"Shelby County, Iowa",19.60%,19.6
"Shelby County, Kentucky",20.50%,20.5
"Shelby County, Missouri",18.30%,18.3
"Shelby County, Ohio",29.40%,29.4
"Shelby County, Tennessee",18.60%,18.6
"Shelby County, Texas",21.40%,21.4
"Shenandoah County, Virginia",17.80%,17.8
"Sherburne County, Minnesota",18.30%,18.3
"Sheridan County, Kansas",10.70%,10.7
"Sheridan County, Montana",6.90%,6.9
"Sheridan County, Nebraska",11.70%,11.7
"Sheridan County, North Dakota",7.90%,7.9
"Sheridan County, Wyoming",10.90%,10.9
"Sherman County, Kansas",15.50%,15.5
"Sherman County, Nebraska",14.40%,14.4
"Sherman County, Oregon",16.40%,16.4
"Sherman County, Texas",15%,15
"Shiawassee County, Michigan",19.90%,19.9
"Shoshone County, Idaho",13.20%,13.2
"Sibley County, Minnesota",21.70%,21.7
"Sierra County, California",9.30%,9.3
"Sierra County, New Mexico",9%,9
"Silver Bow County, Montana",11.40%,11.4
"Simpson County, Kentucky",29.10%,29.1
"Simpson County, Mississippi",14.40%,14.4
"Sioux County, Iowa",16.10%,16.1
"Sioux County, Nebraska",18.30%,18.3
"Sioux County, North Dakota",9.20%,9.2
"Siskiyou County, California",11.40%,11.4
"Sitka City and Borough, Alaska",9.70%,9.7
"Skagit County, Washington",15.20%,15.2
"Skagway Municipality, Alaska",12.40%,12.4
"Skamania County, Washington",14.70%,14.7
"Slope County, North Dakota",10.70%,10.7
"Smith County, Kansas",13.70%,13.7
"Smith County, Mississippi",26.30%,26.3
"Smith County, Tennessee",22.90%,22.9
"Smith County, Texas",16.20%,16.2
"Smyth County, Virginia",28.30%,28.3
"Snohomish County, Washington",11.60%,11.6
"Snyder County, Pennsylvania",21.60%,21.6
"Socorro County, New Mexico",10.70%,10.7
"Solano County, California",13.70%,13.7
"Somerset County, Maine",16.90%,16.9
"Somerset County, Maryland",14.20%,14.2
"Somerset County, New Jersey",8.50%,8.5
"Somerset County, Pennsylvania",17.80%,17.8
"Somervell County, Texas",13.60%,13.6
"Sonoma County, California",9.70%,9.7
"South Central Connecticut Planning Region, Connecticut",10.70%,10.7
"Southampton County, Virginia",15.30%,15.3
"Southeast Fairbanks Census Area, Alaska",15%,15
"Southeastern Connecticut Planning Region, Connecticut",10.50%,10.5
"Spalding County, Georgia",25%,25
"Spartanburg County, South Carolina",21.30%,21.3
"Spencer County, Indiana",23.30%,23.3
"Spencer County, Kentucky",17.40%,17.4
"Spink County, South Dakota",10.20%,10.2
"Spokane County, Washington",12.20%,12.2
"Spotsylvania County, Virginia",10.70%,10.7
"St. Bernard Parish, Louisiana",13.20%,13.2
"St. Charles County, Missouri",10.30%,10.3
"St. Charles Parish, Louisiana",15.50%,15.5
"St. Clair County, Alabama",15.50%,15.5
"St. Clair County, Illinois",14.60%,14.6
"St. Clair County, Michigan",19.40%,19.4
"St. Clair County, Missouri",16.70%,16.7
"St. Croix County, Wisconsin",15.30%,15.3
"St. Francis County, Arkansas",20.30%,20.3
"St. Francois County, Missouri",18.20%,18.2
"St. Helena Parish, Louisiana",18.10%,18.1
"St. James Parish, Louisiana",21.50%,21.5
"St. John the Baptist Parish, Louisiana",16.80%,16.8
"St. Johns County, Florida",7.20%,7.2
"St. Joseph County, Indiana",17.10%,17.1
"St. Joseph County, Michigan",33%,33
"St. Landry Parish, Louisiana",17.20%,17.2
"St. Lawrence County, New York",13.20%,13.2
"St. Louis city, Missouri",11.20%,11.2
"St. Louis County, Minnesota",12.40%,12.4
"St. Louis County, Missouri",10.60%,10.6
"St. Lucie County, Florida",12.30%,12.3
"St. Martin Parish, Louisiana",17.30%,17.3
"St. Mary Parish, Louisiana",19%,19
"St. Mary's County, Maryland",9.40%,9.4
"St. Tammany Parish, Louisiana",9.30%,9.3
"Stafford County, Kansas",14.10%,14.1
"Stafford County, Virginia",7.80%,7.8
"Stanislaus County, California",18.90%,18.9
"Stanley County, South Dakota",15.50%,15.5
"Stanly County, North Carolina",19.30%,19.3
"Stanton County, Kansas",10.40%,10.4
"Stanton County, Nebraska",20.10%,20.1
"Stark County, Illinois",17.10%,17.1
"Stark County, North Dakota",17.10%,17.1
"Stark County, Ohio",18.60%,18.6
"Starke County, Indiana",26.10%,26.1
"Starr County, Texas",16%,16
"Staunton city, Virginia",14.60%,14.6
"Ste. Genevieve County, Missouri",16.40%,16.4
"Stearns County, Minnesota",16.60%,16.6
"Steele County, Minnesota",20.70%,20.7
"Steele County, North Dakota",14.70%,14.7
"Stephens County, Georgia",27%,27
"Stephens County, Oklahoma",18.80%,18.8
"Stephens County, Texas",17.90%,17.9
"Stephenson County, Illinois",20.80%,20.8
"Sterling County, Texas",18.60%,18.6
"Steuben County, Indiana",27.60%,27.6
"Steuben County, New York",15.30%,15.3
"Stevens County, Kansas",19.90%,19.9
"Stevens County, Minnesota",14.50%,14.5
"Stevens County, Washington",14.70%,14.7
"Stewart County, Georgia",30.70%,30.7
"Stewart County, Tennessee",14.90%,14.9
"Stillwater County, Montana",13.70%,13.7
"Stoddard County, Missouri",20.30%,20.3
"Stokes County, North Carolina",19.90%,19.9
"Stone County, Arkansas",15.70%,15.7
"Stone County, Mississippi",17%,17
"Stone County, Missouri",15.40%,15.4
"Stonewall County, Texas",25.50%,25.5
"Storey County, Nevada",15.30%,15.3
"Story County, Iowa",10.40%,10.4
"Strafford County, New Hampshire",12.60%,12.6
"Stutsman County, North Dakota",11.20%,11.2
"Sublette County, Wyoming",12.20%,12.2
"Suffolk city, Virginia",14.10%,14.1
"Suffolk County, Massachusetts",7.40%,7.4
"Suffolk County, New York",9.30%,9.3
"Sullivan County, Indiana",20.90%,20.9
"Sullivan County, Missouri",32.10%,32.1
"Sullivan County, New Hampshire",18.40%,18.4
"Sullivan County, New York",11.90%,11.9
"Sullivan County, Pennsylvania",17.70%,17.7
"Sullivan County, Tennessee",15.50%,15.5
"Sully County, South Dakota",9.20%,9.2
"Summers County, West Virginia",10.90%,10.9
"Summit County, Colorado",8.50%,8.5
"Summit County, Ohio",14.60%,14.6
"Summit County, Utah",6.30%,6.3
"Sumner County, Kansas",19%,19
"Sumner County, Tennessee",14.50%,14.5
"Sumter County, Alabama",19.40%,19.4
"Sumter County, Florida",11.20%,11.2
"Sumter County, Georgia",20.10%,20.1
"Sumter County, South Carolina",18.60%,18.6
"Sunflower County, Mississippi",16.90%,16.9
"Surry County, North Carolina",20.40%,20.4
"Surry County, Virginia",18.50%,18.5
"Susquehanna County, Pennsylvania",18.80%,18.8
"Sussex County, Delaware",11.80%,11.8
"Sussex County, New Jersey",9.90%,9.9
"Sussex County, Virginia",23.60%,23.6
"Sutter County, California",14.80%,14.8
"Sutton County, Texas",11.30%,11.3
"Suwannee County, Florida",16.40%,16.4
"Swain County, North Carolina",8.40%,8.4
"Sweet Grass County, Montana",12.90%,12.9
"Sweetwater County, Wyoming",13.90%,13.9
"Swift County, Minnesota",16.50%,16.5
"Swisher County, Texas",10.20%,10.2
"Switzerland County, Indiana",23.40%,23.4
"Talbot County, Georgia",23.60%,23.6
"Talbot County, Maryland",8.80%,8.8
"Taliaferro County, Georgia",28.40%,28.4
"Talladega County, Alabama",25.10%,25.1
"Tallahatchie County, Mississippi",29.20%,29.2
"Tallapoosa County, Alabama",21.90%,21.9
"Tama County, Iowa",22.10%,22.1
"Taney County, Missouri",12.30%,12.3
"Tangipahoa Parish, Louisiana",16.90%,16.9
"Taos County, New Mexico",5.80%,5.8
"Tarrant County, Texas",15.20%,15.2
"Tate County, Mississippi",18.90%,18.9
"Tattnall County, Georgia",17.60%,17.6
"Taylor County, Florida",13.10%,13.1
"Taylor County, Georgia",22.90%,22.9
"Taylor County, Iowa",23.20%,23.2
"Taylor County, Kentucky",22.20%,22.2
"Taylor County, Texas",11.90%,11.9
"Taylor County, West Virginia",14.90%,14.9
"Taylor County, Wisconsin",29%,29
"Tazewell County, Illinois",14.30%,14.3
"Tazewell County, Virginia",16.90%,16.9
"Tehama County, California",16.60%,16.6
"Telfair County, Georgia",25.30%,25.3
"Teller County, Colorado",10.80%,10.8
"Tensas Parish, Louisiana",8.90%,8.9
"Terrebonne Parish, Louisiana",15.70%,15.7
"Terrell County, Georgia",23%,23
"Terrell County, Texas",19.50%,19.5
"Terry County, Texas",14.80%,14.8
"Teton County, Idaho",6.60%,6.6
"Teton County, Montana",10%,10
"Teton County, Wyoming",6.40%,6.4
"Texas County, Missouri",19.90%,19.9
"Texas County, Oklahoma",18.20%,18.2
"Thayer County, Nebraska",15.80%,15.8
"Thomas County, Georgia",15%,15
"Thomas County, Kansas",11.10%,11.1
"Thomas County, Nebraska",6%,6
"Throckmorton County, Texas",16.20%,16.2
"Thurston County, Nebraska",16.20%,16.2
"Thurston County, Washington",10.90%,10.9
"Tift County, Georgia",17.40%,17.4
"Tillamook County, Oregon",12.10%,12.1
"Tillman County, Oklahoma",23.30%,23.3
"Tioga County, New York",15.50%,15.5
"Tioga County, Pennsylvania",21.10%,21.1
"Tippah County, Mississippi",35.50%,35.5
"Tippecanoe County, Indiana",17.20%,17.2
"Tipton County, Indiana",24.30%,24.3
"Tipton County, Tennessee",16.70%,16.7
"Tishomingo County, Mississippi",26.60%,26.6
"Titus County, Texas",27.80%,27.8
"Toa Alta Municipio, Puerto Rico",11.70%,11.7
"Toa Baja Municipio, Puerto Rico",11.80%,11.8
"Todd County, Kentucky",26%,26
"Todd County, Minnesota",25.60%,25.6
"Todd County, South Dakota",10.50%,10.5
"Tom Green County, Texas",12.90%,12.9
"Tompkins County, New York",6.50%,6.5
"Tooele County, Utah",19%,19
"Toole County, Montana",12.30%,12.3
"Toombs County, Georgia",16.90%,16.9
"Torrance County, New Mexico",15.20%,15.2
"Towner County, North Dakota",7.70%,7.7
"Towns County, Georgia",12.90%,12.9
"Traill County, North Dakota",11.90%,11.9
"Transylvania County, North Carolina",9.60%,9.6
"Traverse County, Minnesota",12.50%,12.5
"Travis County, Texas",7.30%,7.3
"Treasure County, Montana",6.60%,6.6
"Trego County, Kansas",16.10%,16.1
"Trempealeau County, Wisconsin",24.60%,24.6
"Treutlen County, Georgia",19.80%,19.8
"Trigg County, Kentucky",23.70%,23.7
"Trimble County, Kentucky",27.50%,27.5
"Trinity County, California",9%,9
"Trinity County, Texas",14.30%,14.3
"Tripp County, South Dakota",9.90%,9.9
"Troup County, Georgia",26.20%,26.2
"Trousdale County, Tennessee",28%,28
"Trujillo Alto Municipio, Puerto Rico",6.90%,6.9
"Trumbull County, Ohio",21.30%,21.3
"Tucker County, West Virginia",15.40%,15.4
"Tulare County, California",15.50%,15.5
"Tulsa County, Oklahoma",13.40%,13.4
"Tunica County, Mississippi",20.50%,20.5
"Tuolumne County, California",10.20%,10.2
"Turner County, Georgia",15%,15
"Turner County, South Dakota",12.10%,12.1
"Tuscaloosa County, Alabama",18.10%,18.1
"Tuscarawas County, Ohio",24.90%,24.9
"Tuscola County, Michigan",21%,21
"Twiggs County, Georgia",25%,25
"Twin Falls County, Idaho",18.20%,18.2
"Tyler County, Texas",15.70%,15.7
"Tyler County, West Virginia",20.30%,20.3
"Tyrrell County, North Carolina",8.40%,8.4
"Uinta County, Wyoming",13.10%,13.1
"Uintah County, Utah",18.30%,18.3
"Ulster County, New York",9.90%,9.9
"Umatilla County, Oregon",16%,16
"Unicoi County, Tennessee",20.80%,20.8
"Union County, Arkansas",18.70%,18.7
"Union County, Florida",15.70%,15.7
"Union County, Georgia",13.50%,13.5
"Union County, Illinois",17.60%,17.6
"Union County, Indiana",21.80%,21.8
"Union County, Iowa",22.30%,22.3
"Union County, Kentucky",21.80%,21.8
"Union County, Mississippi",26.50%,26.5
"Union County, New Jersey",15.60%,15.6
"Union County, New Mexico",17.90%,17.9
"Union County, North Carolina",11.80%,11.8
"Union County, Ohio",14.80%,14.8
"Union County, Oregon",16%,16
"Union County, Pennsylvania",13.20%,13.2
"Union County, South Carolina",30.30%,30.3
"Union County, South Dakota",14.10%,14.1
"Union County, Tennessee",22.20%,22.2
"Union Parish, Louisiana",16%,16
"Upshur County, Texas",15.80%,15.8
"Upshur County, West Virginia",19.20%,19.2
"Upson County, Georgia",20.80%,20.8
"Upton County, Texas",11.80%,11.8
"Utah County, Utah",10.60%,10.6
"Utuado Municipio, Puerto Rico",11.60%,11.6
"Uvalde County, Texas",9.30%,9.3
"Val Verde County, Texas",15.10%,15.1
"Valencia County, New Mexico",13.60%,13.6
"Valley County, Idaho",6.90%,6.9
"Valley County, Montana",10%,10
"Valley County, Nebraska",15.20%,15.2
"Van Buren County, Arkansas",22.70%,22.7
"Van Buren County, Iowa",23%,23
"Van Buren County, Michigan",20.10%,20.1
"Van Buren County, Tennessee",23.20%,23.2
"Van Wert County, Ohio",27.70%,27.7
"Van Zandt County, Texas",13.40%,13.4
"Vance County, North Carolina",20.60%,20.6
"Vanderburgh County, Indiana",18.50%,18.5
"Vega Alta Municipio, Puerto Rico",14.10%,14.1
"Vega Baja Municipio, Puerto Rico",15.50%,15.5
"Venango County, Pennsylvania",21.70%,21.7
"Ventura County, California",10.80%,10.8
"Vermilion County, Illinois",22.60%,22.6
"Vermilion Parish, Louisiana",13%,13
"Vermillion County, Indiana",25.50%,25.5
"Vernon County, Missouri",16.40%,16.4
"Vernon County, Wisconsin",18.30%,18.3
"Vernon Parish, Louisiana",14.70%,14.7
"Victoria County, Texas",15.60%,15.6
"Vieques Municipio, Puerto Rico",9.20%,9.2
"Vigo County, Indiana",17.50%,17.5
"Vilas County, Wisconsin",11.10%,11.1
"Villalba Municipio, Puerto Rico",16.70%,16.7
"Vinton County, Ohio",24.10%,24.1
"Virginia Beach city, Virginia",9.50%,9.5
"Volusia County, Florida",10.40%,10.4
"Wabash County, Illinois",22.40%,22.4
"Wabash County, Indiana",25.40%,25.4
"Wabasha County, Minnesota",14.50%,14.5
"Wabaunsee County, Kansas",15%,15
"Wadena County, Minnesota",20.20%,20.2
"Wagoner County, Oklahoma",14.80%,14.8
"Wahkiakum County, Washington",13.20%,13.2
"Wake County, North Carolina",7.80%,7.8
"Wakulla County, Florida",7%,7
"Waldo County, Maine",12.30%,12.3
"Walker County, Alabama",20.20%,20.2
"Walker County, Georgia",18.50%,18.5
"Walker County, Texas",16.30%,16.3
"Walla Walla County, Washington",12.90%,12.9
"Wallace County, Kansas",11.80%,11.8
"Waller County, Texas",12.60%,12.6
"Wallowa County, Oregon",8%,8
"Walsh County, North Dakota",15.50%,15.5
"Walthall County, Mississippi",25.90%,25.9
"Walton County, Florida",8.40%,8.4
"Walton County, Georgia",15.60%,15.6
"Walworth County, South Dakota",11.20%,11.2
"Walworth County, Wisconsin",18.10%,18.1
"Wapello County, Iowa",28.10%,28.1
"Ward County, North Dakota",13.90%,13.9
"Ward County, Texas",20.60%,20.6
"Ware County, Georgia",18.30%,18.3
"Warren County, Georgia",27.10%,27.1
"Warren County, Illinois",21.30%,21.3
"Warren County, Indiana",24.70%,24.7
"Warren County, Iowa",13.20%,13.2
"Warren County, Kentucky",18.90%,18.9
"Warren County, Mississippi",14.40%,14.4
"Warren County, Missouri",17.10%,17.1
"Warren County, New Jersey",12.70%,12.7
"Warren County, New York",11.50%,11.5
"Warren County, North Carolina",23.40%,23.4
"Warren County, Ohio",10.50%,10.5
"Warren County, Pennsylvania",22.70%,22.7
"Warren County, Tennessee",23.90%,23.9
"Warren County, Virginia",11.50%,11.5
"Warrick County, Indiana",14.90%,14.9
"Wasatch County, Utah",10.10%,10.1
"Wasco County, Oregon",11.70%,11.7
"Waseca County, Minnesota",18.90%,18.9
"Washakie County, Wyoming",14.90%,14.9
"Washburn County, Wisconsin",18.90%,18.9
"Washington County, Alabama",23.10%,23.1
"Washington County, Arkansas",14.40%,14.4
"Washington County, Colorado",10.70%,10.7
"Washington County, Florida",17.40%,17.4
"Washington County, Georgia",19.10%,19.1
"Washington County, Idaho",19.70%,19.7
"Washington County, Illinois",18.70%,18.7
"Washington County, Indiana",28.90%,28.9
"Washington County, Iowa",14.80%,14.8
"Washington County, Kansas",17.50%,17.5
"Washington County, Kentucky",25%,25
"Washington County, Maine",13.90%,13.9
"Washington County, Maryland",14.20%,14.2
"Washington County, Minnesota",10.30%,10.3
"Washington County, Mississippi",21.40%,21.4
"Washington County, Missouri",21.50%,21.5
"Washington County, Nebraska",11.50%,11.5
"Washington County, New York",15.70%,15.7
"Washington County, North Carolina",14.10%,14.1
"Washington County, Ohio",17.60%,17.6
"Washington County, Oklahoma",14.90%,14.9
"Washington County, Oregon",10.50%,10.5
"Washington County, Pennsylvania",12.70%,12.7
"Washington County, Rhode Island",7.50%,7.5
"Washington County, Tennessee",12.30%,12.3
"Washington County, Texas",14.30%,14.3
"Washington County, Utah",12.70%,12.7
"Washington County, Vermont",8.50%,8.5
"Washington County, Virginia",18.10%,18.1
"Washington County, Wisconsin",16.80%,16.8
"Washington Parish, Louisiana",14.10%,14.1
"Washita County, Oklahoma",17.10%,17.1
"Washoe County, Nevada",14.40%,14.4
"Washtenaw County, Michigan",9%,9
"Watauga County, North Carolina",7.90%,7.9
"Watonwan County, Minnesota",18.10%,18.1
"Waukesha County, Wisconsin",10.80%,10.8
"Waupaca County, Wisconsin",25.90%,25.9
"Waushara County, Wisconsin",25.10%,25.1
"Wayne County, Georgia",19.70%,19.7
"Wayne County, Illinois",20.30%,20.3
"Wayne County, Indiana",21.50%,21.5
"Wayne County, Iowa",24.60%,24.6
"Wayne County, Kentucky",27.20%,27.2
"Wayne County, Michigan",19%,19
"Wayne County, Mississippi",19.10%,19.1
"Wayne County, Missouri",27.70%,27.7
"Wayne County, Nebraska",14.80%,14.8
"Wayne County, New York",16.10%,16.1
"Wayne County, North Carolina",19.40%,19.4
"Wayne County, Ohio",22.80%,22.8
"Wayne County, Pennsylvania",16.90%,16.9
"Wayne County, Tennessee",20.10%,20.1
"Wayne County, Utah",12.20%,12.2
"Wayne County, West Virginia",15.40%,15.4
"Waynesboro city, Virginia",16.30%,16.3
"Weakley County, Tennessee",21.80%,21.8
"Webb County, Texas",16%,16
"Weber County, Utah",16.30%,16.3
"Webster County, Georgia",26.20%,26.2
"Webster County, Iowa",18.40%,18.4
"Webster County, Kentucky",34.10%,34.1
"Webster County, Mississippi",17.70%,17.7
"Webster County, Missouri",19.20%,19.2
"Webster County, Nebraska",18.20%,18.2
"Webster County, West Virginia",21.60%,21.6
"Webster Parish, Louisiana",16.90%,16.9
"Weld County, Colorado",14.80%,14.8
"Wells County, Indiana",22.80%,22.8
"Wells County, North Dakota",10.90%,10.9
"West Baton Rouge Parish, Louisiana",13.30%,13.3
"West Carroll Parish, Louisiana",11.20%,11.2
"West Feliciana Parish, Louisiana",11.80%,11.8
"Westchester County, New York",6.50%,6.5
"Western Connecticut Planning Region, Connecticut",6.70%,6.7
"Westmoreland County, Pennsylvania",15.50%,15.5
"Westmoreland County, Virginia",12.30%,12.3
"Weston County, Wyoming",20.20%,20.2
"Wetzel County, West Virginia",23.50%,23.5
"Wexford County, Michigan",25.60%,25.6
"Wharton County, Texas",17.90%,17.9
"Whatcom County, Washington",13%,13
"Wheatland County, Montana",11.20%,11.2
"Wheeler County, Georgia",39.60%,39.6
"Wheeler County, Nebraska",9.10%,9.1
"Wheeler County, Oregon",2.60%,2.6
"Wheeler County, Texas",8.60%,8.6
"White County, Arkansas",18.90%,18.9
"White County, Georgia",13.20%,13.2
"White County, Illinois",20.60%,20.6
"White County, Indiana",28.60%,28.6
"White County, Tennessee",25.40%,25.4
"White Pine County, Nevada",16.30%,16.3
"Whiteside County, Illinois",24.10%,24.1
"Whitfield County, Georgia",31.60%,31.6
"Whitley County, Indiana",24.90%,24.9
"Whitley County, Kentucky",19.20%,19.2
"Whitman County, Washington",8%,8
"Wibaux County, Montana",8.80%,8.8
"Wichita County, Kansas",14.30%,14.3
"Wichita County, Texas",16.20%,16.2
"Wicomico County, Maryland",13.30%,13.3
"Wilbarger County, Texas",18.10%,18.1
"Wilcox County, Alabama",22.10%,22.1
"Wilcox County, Georgia",20.60%,20.6
"Wilkes County, Georgia",21.20%,21.2
"Wilkes County, North Carolina",23.40%,23.4
"Wilkin County, Minnesota",14.70%,14.7
"Wilkinson County, Georgia",24.30%,24.3
"Wilkinson County, Mississippi",12.20%,12.2
"Will County, Illinois",16.50%,16.5
"Willacy County, Texas",15.80%,15.8
"Williams County, North Dakota",18.80%,18.8
"Williams County, Ohio",30%,30
"Williamsburg city, Virginia",8.40%,8.4
"Williamsburg County, South Carolina",21.40%,21.4
"Williamson County, Illinois",12.40%,12.4
"Williamson County, Tennessee",5.70%,5.7
"Williamson County, Texas",8.30%,8.3
"Wilson County, Kansas",20.80%,20.8
"Wilson County, North Carolina",20.80%,20.8
"Wilson County, Tennessee",13.70%,13.7
"Wilson County, Texas",13.50%,13.5
"Winchester city, Virginia",14.50%,14.5
"Windham County, Vermont",12.50%,12.5
"Windsor County, Vermont",10.50%,10.5
"Winkler County, Texas",25.40%,25.4
"Winn Parish, Louisiana",17.30%,17.3
"Winnebago County, Illinois",21.90%,21.9
"Winnebago County, Iowa",22.70%,22.7
"Winnebago County, Wisconsin",21.30%,21.3
"Winneshiek County, Iowa",16.20%,16.2
"Winona County, Minnesota",17.20%,17.2
"Winston County, Alabama",28.70%,28.7
"Winston County, Mississippi",26.30%,26.3
"Wirt County, West Virginia",21.40%,21.4
"Wise County, Texas",17.70%,17.7
"Wise County, Virginia",10.60%,10.6
"Wolfe County, Kentucky",13.60%,13.6
"Wood County, Ohio",17.60%,17.6
"Wood County, Texas",16.70%,16.7
"Wood County, West Virginia",15.50%,15.5
"Wood County, Wisconsin",20.50%,20.5
"Woodbury County, Iowa",22.40%,22.4
"Woodford County, Illinois",12.60%,12.6
"Woodford County, Kentucky",14%,14
"Woodruff County, Arkansas",18.80%,18.8
"Woods County, Oklahoma",16.60%,16.6
"Woodson County, Kansas",17.80%,17.8
"Woodward County, Oklahoma",18.90%,18.9
"Worcester County, Maryland",6.10%,6.1
"Worcester County, Massachusetts",11.50%,11.5
"Worth County, Georgia",27%,27
"Worth County, Iowa",23.60%,23.6
"Worth County, Missouri",10.30%,10.3
"Wrangell City and Borough, Alaska",17.20%,17.2
"Wright County, Iowa",19.80%,19.8
"Wright County, Minnesota",13.20%,13.2
"Wright County, Missouri",22.80%,22.8
"Wyandot County, Ohio",26.30%,26.3
"Wyandotte County, Kansas",23.20%,23.2
"Wyoming County, New York",14.30%,14.3
"Wyoming County, Pennsylvania",20.10%,20.1
"Wyoming County, West Virginia",17.80%,17.8
"Wythe County, Virginia",21%,21
"Yabucoa Municipio, Puerto Rico",18.80%,18.8
"Yadkin County, North Carolina",21.20%,21.2
"Yakima County, Washington",17.20%,17.2
"Yakutat City and Borough, Alaska",28.60%,28.6
"Yalobusha County, Mississippi",23.50%,23.5
"Yamhill County, Oregon",15.50%,15.5
"Yancey County, North Carolina",19.20%,19.2
"Yankton County, South Dakota",21.30%,21.3
"Yates County, New York",16.60%,16.6
"Yauco Municipio, Puerto Rico",15.50%,15.5
"Yavapai County, Arizona",10%,10
"Yazoo County, Mississippi",19.10%,19.1
"Yell County, Arkansas",28.40%,28.4
"Yellow Medicine County, Minnesota",15.80%,15.8
"Yellowstone County, Montana",11.30%,11.3
"Yoakum County, Texas",13.40%,13.4
"Yolo County, California",11.10%,11.1
"York County, Maine",13%,13
"York County, Nebraska",15.20%,15.2
"York County, Pennsylvania",18.30%,18.3
"York County, South Carolina",14.60%,14.6
"York County, Virginia",8.20%,8.2
"Young County, Texas",15.70%,15.7
"Yuba County, California",14.80%,14.8
"Yukon-Koyukuk Census Area, Alaska",16.50%,16.5
"Yuma County, Arizona",15.80%,15.8
"Yuma County, Colorado",13.80%,13.8
"Zapata County, Texas",16.40%,16.4
"Zavala County, Texas",16.20%,16.2
"Ziebach County, South Dakota",7.20%,7.2
