Geographic Area,"Educational instruction, and library occupations",Total,Educ job
"Polk County, Georgia",612,"18,253",3.4
"Polk County, Iowa","15,777","261,682",6
"Polk County, Minnesota",923,"15,268",6
"Polk County, Missouri",818,"13,983",5.8
"Polk County, Nebraska",150,"2,740",5.5
"Polk County, North Carolina",463,"8,553",5.4
"Polk County, Oregon","2,491","40,471",6.2
"Polk County, Tennessee",426,"7,328",5.8
"Polk County, Texas",943,"18,317",5.1
"Polk County, Wisconsin","1,153","22,277",5.2
"Ponce Municipio, Puerto Rico","3,534","37,700",9.4
"Pondera County, Montana",197,"2,641",7.5
"Pontotoc County, Mississippi",817,"13,660",6
"Pontotoc County, Oklahoma","1,374","17,121",8
"Pope County, Arkansas","2,460","27,158",9.1
"Pope County, Illinois",125,"1,284",9.7
"Pope County, Minnesota",326,"5,795",5.6
"Poquoson city, Virginia",408,"6,241",6.5
"Portage County, Ohio","5,775","83,452",6.9
"Portage County, Wisconsin","2,433","37,680",6.5
"Porter County, Indiana","5,319","83,577",6.4
"Portsmouth city, Virginia","2,322","41,764",5.6
"Posey County, Indiana",624,"12,311",5.1
"Pottawatomie County, Kansas",939,"12,356",7.6
"Pottawatomie County, Oklahoma","1,948","29,721",6.6
"Pottawattamie County, Iowa","2,272","45,815",5
"Potter County, Pennsylvania",347,"6,827",5.1
"Potter County, South Dakota",52,"1,229",4.2
"Potter County, Texas","2,668","49,953",5.3
"Powder River County, Montana",84,910,9.2
"Powell County, Kentucky",192,"4,832",4
"Powell County, Montana",155,"2,535",6.1
"Power County, Idaho",274,"3,613",7.6
"Poweshiek County, Iowa",939,"9,220",10.2
"Powhatan County, Virginia",925,"15,352",6
"Prairie County, Arkansas",235,"3,561",6.6
"Prairie County, Montana",5,560,0.9
"Pratt County, Kansas",365,"4,283",8.5
"Preble County, Ohio",891,"19,938",4.5
"Prentiss County, Mississippi",776,"10,477",7.4
"Presidio County, Texas",347,"2,449",14.2
"Presque Isle County, Michigan",207,"4,725",4.4
"Preston County, West Virginia",791,"13,408",5.9
"Price County, Wisconsin",235,"6,172",3.8
"Prince Edward County, Virginia",652,"8,588",7.6
"Prince George County, Virginia","1,206","16,431",7.3
"Prince George's County, Maryland","30,449","500,565",6.1
"Prince of Wales-Hyder Census Area, Alaska",252,"2,745",9.2
"Prince William County, Virginia","14,886","247,709",6
"Providence County, Rhode Island","22,320","329,536",6.8
"Prowers County, Colorado",382,"5,379",7.1
"Pueblo County, Colorado","3,968","70,427",5.6
"Pulaski County, Arkansas","10,693","186,621",5.7
"Pulaski County, Georgia",345,"3,787",9.1
"Pulaski County, Illinois",68,"1,778",3.8
"Pulaski County, Indiana",220,"5,988",3.7
"Pulaski County, Kentucky","1,610","27,268",5.9
"Pulaski County, Missouri","1,262","18,477",6.8
"Pulaski County, Virginia",832,"15,112",5.5
"Pushmataha County, Oklahoma",269,"3,655",7.4
"Putnam County, Florida","1,325","25,898",5.1
"Putnam County, Georgia",480,"9,259",5.2
"Putnam County, Illinois",112,"2,684",4.2
"Putnam County, Indiana","1,035","16,728",6.2
"Putnam County, Missouri",119,"2,069",5.8
"Putnam County, New York","5,284","50,210",10.5
"Putnam County, Ohio","1,026","17,247",5.9
"Putnam County, Tennessee","2,514","38,060",6.6
"Putnam County, West Virginia","1,555","25,765",6
"Quay County, New Mexico",360,"3,482",10.3
"Quebradillas Municipio, Puerto Rico",360,"7,442",4.8
"Queen Anne's County, Maryland","1,542","26,180",5.9
"Queens County, New York","67,660","1,149,568",5.9
"Quitman County, Georgia",0,525,0
"Quitman County, Mississippi",79,"2,187",3.6
"Rabun County, Georgia",360,"6,849",5.3
"Racine County, Wisconsin","5,379","96,247",5.6
"Radford city, Virginia",874,"7,936",11
"Rains County, Texas",390,"5,144",7.6
"Raleigh County, West Virginia","1,726","26,785",6.4
"Ralls County, Missouri",108,"4,637",2.3
"Ramsey County, Minnesota","19,313","283,076",6.8
"Ramsey County, North Dakota",419,"5,851",7.2
"Randall County, Texas","5,271","73,113",7.2
"Randolph County, Alabama",423,"8,613",4.9
"Randolph County, Arkansas",401,"7,144",5.6
"Randolph County, Georgia",196,"2,452",8
"Randolph County, Illinois",680,"12,570",5.4
"Randolph County, Indiana",438,"11,075",4
"Randolph County, Missouri",835,"10,649",7.8
"Randolph County, North Carolina","3,348","67,217",5
"Randolph County, West Virginia",506,"10,621",4.8
"Rankin County, Mississippi","5,683","77,270",7.4
"Ransom County, North Dakota",99,"2,679",3.7
"Rapides Parish, Louisiana","3,856","55,565",6.9
"Rappahannock County, Virginia",189,"3,573",5.3
"Ravalli County, Montana","1,080","20,195",5.3
"Rawlins County, Kansas",80,"1,344",6
"Ray County, Missouri",430,"11,026",3.9
"Reagan County, Texas",125,"1,569",8
"Real County, Texas",32,759,4.2
"Red Lake County, Minnesota",99,"1,967",5
"Red River County, Texas",171,"4,350",3.9
"Red River Parish, Louisiana",110,"2,915",3.8
"Red Willow County, Nebraska",174,"5,377",3.2
"Redwood County, Minnesota",503,"7,354",6.8
"Reeves County, Texas",331,"6,331",5.2
"Refugio County, Texas",145,"2,613",5.5
"Reno County, Kansas","2,044","29,360",7
"Rensselaer County, New York","5,825","81,004",7.2
"Renville County, Minnesota",331,"7,099",4.7
"Renville County, North Dakota",53,"1,122",4.7
"Republic County, Kansas",196,"2,204",8.9
"Reynolds County, Missouri",162,"2,451",6.6
"Rhea County, Tennessee",541,"13,057",4.1
"Rice County, Kansas",376,"4,388",8.6
"Rice County, Minnesota","2,563","33,026",7.8
"Rich County, Utah",84,981,8.6
"Richardson County, Nebraska",267,"3,768",7.1
"Richland County, Illinois",303,"7,585",4
"Richland County, Montana",360,"5,625",6.4
"Richland County, North Dakota",439,"8,509",5.2
"Richland County, Ohio","3,007","54,564",5.5
"Richland County, South Carolina","15,280","196,460",7.8
"Richland County, Wisconsin",331,"8,037",4.1
"Richland Parish, Louisiana",446,"7,566",5.9
"Richmond city, Virginia","8,675","121,796",7.1
"Richmond County, Georgia","4,725","86,632",5.5
"Richmond County, New York","19,421","226,190",8.6
"Richmond County, North Carolina","1,567","17,862",8.8
"Richmond County, Virginia",226,"3,238",7
"Riley County, Kansas","4,730","35,149",13.5
"Rincón Municipio, Puerto Rico",339,"5,207",6.5
"Ringgold County, Iowa",115,"2,276",5.1
"Rio Arriba County, New Mexico","1,082","15,542",7
"Rio Blanco County, Colorado",251,"2,900",8.7
"Rio Grande County, Colorado",485,"5,301",9.1
"Río Grande Municipio, Puerto Rico",859,"17,327",5
"Ripley County, Indiana",775,"14,628",5.3
"Ripley County, Missouri",288,"4,257",6.8
"Ritchie County, West Virginia",124,"2,886",4.3
"Riverside County, California","55,255","1,073,342",5.1
"Roane County, Tennessee","1,223","23,668",5.2
"Roane County, West Virginia",241,"4,169",5.8
"Roanoke city, Virginia","2,123","46,998",4.5
"Roanoke County, Virginia","3,121","47,051",6.6
"Roberts County, South Dakota",349,"4,346",8
"Roberts County, Texas",30,398,7.5
"Robertson County, Kentucky",36,832,4.3
"Robertson County, Tennessee","1,904","35,880",5.3
"Robertson County, Texas",382,"6,690",5.7
"Robeson County, North Carolina","2,669","43,618",6.1
"Rock County, Minnesota",321,"4,997",6.4
"Rock County, Nebraska",48,659,7.3
"Rock County, Wisconsin","4,495","82,453",5.5
"Rock Island County, Illinois","4,008","66,895",6
"Rockbridge County, Virginia",728,"10,181",7.2
"Rockcastle County, Kentucky",476,"6,066",7.8
"Rockdale County, Georgia","2,777","43,301",6.4
"Rockingham County, New Hampshire","10,580","174,668",6.1
"Rockingham County, North Carolina","1,933","39,418",4.9
"Rockingham County, Virginia","2,994","41,862",7.2
"Rockland County, New York","16,541","148,349",11.2
"Rockwall County, Texas","3,501","57,189",6.1
"Roger Mills County, Oklahoma",55,"1,480",3.7
"Rogers County, Oklahoma","2,640","46,422",5.7
"Rolette County, North Dakota",500,"4,504",11.1
"Rooks County, Kansas",218,"2,463",8.9
"Roosevelt County, Montana",372,"3,675",10.1
"Roosevelt County, New Mexico",621,"8,526",7.3
"Roscommon County, Michigan",314,"8,120",3.9
"Roseau County, Minnesota",377,"7,875",4.8
"Rosebud County, Montana",263,"3,271",8
"Ross County, Ohio","1,978","31,793",6.2
"Routt County, Colorado",745,"13,819",5.4
"Rowan County, Kentucky","1,295","10,932",11.8
"Rowan County, North Carolina","3,363","66,742",5
"Runnels County, Texas",356,"4,455",8
"Rush County, Indiana",256,"7,593",3.4
"Rush County, Kansas",89,"1,482",6
"Rusk County, Texas","1,249","21,454",5.8
"Rusk County, Wisconsin",343,"6,370",5.4
"Russell County, Alabama",947,"22,595",4.2
"Russell County, Kansas",116,"3,213",3.6
"Russell County, Kentucky",495,"7,414",6.7
"Russell County, Virginia",679,"8,781",7.7
"Rutherford County, North Carolina","1,651","26,708",6.2
"Rutherford County, Tennessee","11,454","184,020",6.2
"Rutland County, Vermont","1,977","29,244",6.8
"Sabana Grande Municipio, Puerto Rico",543,"6,399",8.5
"Sabine County, Texas",221,"3,193",6.9
"Sabine Parish, Louisiana",341,"7,309",4.7
"Sac County, Iowa",264,"4,955",5.3
"Sacramento County, California","39,352","745,145",5.3
"Sagadahoc County, Maine","1,565","19,067",8.2
"Saginaw County, Michigan","3,904","81,523",4.8
"Saguache County, Colorado",245,"2,691",9.1
"Salem city, Virginia",986,"12,483",7.9
"Salem County, New Jersey","2,525","29,292",8.6
"Salinas Municipio, Puerto Rico",432,"7,846",5.5
"Saline County, Arkansas","3,334","59,136",5.6
"Saline County, Illinois",775,"10,167",7.6
"Saline County, Kansas","2,331","27,649",8.4
"Saline County, Missouri",924,"10,467",8.8
"Saline County, Nebraska",460,"7,196",6.4
"Salt Lake County, Utah","34,439","629,317",5.5
"Saluda County, South Carolina",327,"8,043",4.1
"Sampson County, North Carolina","1,536","24,799",6.2
"San Augustine County, Texas",97,"2,599",3.7
"San Benito County, California","1,775","31,928",5.6
"San Bernardino County, California","51,202","955,659",5.4
"San Diego County, California","87,565","1,574,825",5.6
"San Francisco County, California","25,451","497,881",5.1
"San Germán Municipio, Puerto Rico",764,"7,798",9.8
"San Jacinto County, Texas",644,"10,810",6
"San Joaquin County, California","17,292","338,625",5.1
"San Juan County, Colorado",47,381,12.3
"San Juan County, New Mexico","3,342","45,652",7.3
"San Juan County, Utah",534,"5,224",10.2
"San Juan County, Washington",541,"8,230",6.6
"San Juan Municipio, Puerto Rico","8,036","128,713",6.2
"San Lorenzo Municipio, Puerto Rico",687,"11,723",5.9
"San Luis Obispo County, California","8,003","131,506",6.1
"San Mateo County, California","20,113","402,467",5
"San Miguel County, Colorado",375,"4,939",7.6
"San Miguel County, New Mexico",954,"10,959",8.7
"San Patricio County, Texas","2,098","28,685",7.3
"San Saba County, Texas",101,"2,325",4.3
"San Sebastián Municipio, Puerto Rico",668,"10,895",6.1
"Sanborn County, South Dakota",57,"1,255",4.5
"Sanders County, Montana",337,"4,119",8.2
"Sandoval County, New Mexico","4,347","66,950",6.5
"Sandusky County, Ohio","1,429","27,732",5.2
"Sangamon County, Illinois","5,439","92,721",5.9
"Sanilac County, Michigan",572,"17,349",3.3
"Sanpete County, Utah","1,327","12,239",10.8
"Santa Barbara County, California","14,470","208,588",6.9
"Santa Clara County, California","55,107","1,002,047",5.5
"Santa Cruz County, Arizona","1,145","18,990",6
"Santa Cruz County, California","9,828","134,104",7.3
"Santa Fe County, New Mexico","4,879","71,477",6.8
"Santa Isabel Municipio, Puerto Rico",490,"7,287",6.7
"Santa Rosa County, Florida","4,206","80,950",5.2
"Sarasota County, Florida","8,864","182,485",4.9
"Saratoga County, New York","9,663","124,959",7.7
"Sargent County, North Dakota",89,"2,081",4.3
"Sarpy County, Nebraska","6,747","100,375",6.7
"Sauk County, Wisconsin","1,754","34,221",5.1
"Saunders County, Nebraska",770,"11,791",6.5
"Sawyer County, Wisconsin",485,"7,819",6.2
"Schenectady County, New York","5,246","76,367",6.9
"Schleicher County, Texas",39,"1,032",3.8
"Schley County, Georgia",140,"1,880",7.4
"Schoharie County, New York",997,"13,925",7.2
"Schoolcraft County, Michigan",159,"3,186",5
"Schuyler County, Illinois",245,"2,985",8.2
"Schuyler County, Missouri",93,"1,606",5.8
"Schuyler County, New York",624,"8,190",7.6
"Schuylkill County, Pennsylvania","3,368","64,570",5.2
"Scioto County, Ohio","1,695","26,689",6.4
"Scotland County, Missouri",174,"1,936",9
"Scotland County, North Carolina",858,"12,673",6.8
"Scott County, Arkansas",182,"4,079",4.5
"Scott County, Illinois",220,"2,249",9.8
"Scott County, Indiana",468,"10,866",4.3
"Scott County, Iowa","5,645","87,296",6.5
"Scott County, Kansas",115,"2,743",4.2
"Scott County, Kentucky","1,710","29,395",5.8
"Scott County, Minnesota","4,651","84,503",5.5
"Scott County, Mississippi",499,"11,341",4.4
"Scott County, Missouri",972,"17,367",5.6
"Scott County, Tennessee",551,"7,930",6.9
"Scott County, Virginia",464,"7,886",5.9
"Scotts Bluff County, Nebraska","1,099","17,418",6.3
"Screven County, Georgia",183,"5,894",3.1
"Scurry County, Texas",288,"6,913",4.2
"Searcy County, Arkansas",318,"2,906",10.9
"Sebastian County, Arkansas","3,707","57,689",6.4
"Sedgwick County, Colorado",44,"1,075",4.1
"Sedgwick County, Kansas","16,085","251,132",6.4
"Seminole County, Florida","14,921","247,988",6
"Seminole County, Georgia",176,"3,304",5.3
"Seminole County, Oklahoma",450,"8,503",5.3
"Seneca County, New York","1,108","14,920",7.4
"Seneca County, Ohio","1,226","26,878",4.6
"Sequatchie County, Tennessee",394,"6,391",6.2
"Sequoyah County, Oklahoma","1,019","15,183",6.7
"Sevier County, Arkansas",242,"6,865",3.5
"Sevier County, Tennessee","1,981","46,821",4.2
"Sevier County, Utah",534,"9,356",5.7
"Seward County, Kansas",614,"10,717",5.7
"Seward County, Nebraska",905,"9,342",9.7
"Shackelford County, Texas",77,"1,501",5.1
"Shannon County, Missouri",149,"2,689",5.5
"Sharkey County, Mississippi",65,"1,523",4.3
"Sharp County, Arkansas",404,"6,268",6.4
"Shasta County, California","4,213","76,314",5.5
"Shawano County, Wisconsin","1,033","19,861",5.2
"Shawnee County, Kansas","5,318","84,663",6.3
"Sheboygan County, Wisconsin","2,750","61,062",4.5
"Shelby County, Alabama","7,416","113,542",6.5
"Shelby County, Illinois",419,"10,199",4.1
"Shelby County, Indiana",939,"22,045",4.3
"Shelby County, Iowa",303,"5,964",5.1
"Shelby County, Kentucky","1,181","24,238",4.9
"Shelby County, Missouri",174,"2,725",6.4
"Shelby County, Ohio","1,241","24,054",5.2
"Shelby County, Tennessee","24,693","429,064",5.8
"Shelby County, Texas",542,"10,110",5.4
"Shenandoah County, Virginia",983,"20,670",4.8
"Sherburne County, Minnesota","2,967","53,627",5.5
"Sheridan County, Kansas",88,"1,367",6.4
"Sheridan County, Montana",80,"1,786",4.5
"Sheridan County, Nebraska",241,"2,403",10
"Sheridan County, North Dakota",33,629,5.2
"Sheridan County, Wyoming","1,017","15,579",6.5
"Sherman County, Kansas",239,"3,053",7.8
"Sherman County, Nebraska",77,"1,488",5.2
"Sherman County, Oregon",26,811,3.2
"Sherman County, Texas",68,"1,161",5.9
"Shiawassee County, Michigan","1,193","31,932",3.7
"Shoshone County, Idaho",177,"5,588",3.2
"Sibley County, Minnesota",377,"7,870",4.8
"Sierra County, California",77,"1,243",6.2
"Sierra County, New Mexico",333,"3,554",9.4
"Silver Bow County, Montana",627,"16,448",3.8
"Simpson County, Kentucky",502,"8,926",5.6
"Simpson County, Mississippi",472,"10,289",4.6
"Sioux County, Iowa","1,530","19,081",8
"Sioux County, Nebraska",28,515,5.4
"Sioux County, North Dakota",59,"1,065",5.5
"Siskiyou County, California","1,096","16,623",6.6
"Sitka City and Borough, Alaska",195,"4,387",4.4
"Skagit County, Washington","3,117","57,758",5.4
"Skagway Municipality, Alaska",20,777,2.6
"Skamania County, Washington",247,"5,639",4.4
"Slope County, North Dakota",22,420,5.2
"Smith County, Kansas",128,"1,735",7.4
"Smith County, Mississippi",245,"5,342",4.6
"Smith County, Tennessee",417,"9,192",4.5
"Smith County, Texas","6,686","109,280",6.1
"Smyth County, Virginia",563,"11,921",4.7
"Snohomish County, Washington","21,540","425,167",5.1
"Snyder County, Pennsylvania","1,596","19,430",8.2
"Socorro County, New Mexico",695,"5,119",13.6
"Solano County, California","9,218","212,158",4.3
"Somerset County, Maine","1,477","22,575",6.5
"Somerset County, Maryland",665,"9,661",6.9
"Somerset County, New Jersey","12,833","184,886",6.9
"Somerset County, Pennsylvania","1,366","32,749",4.2
"Somervell County, Texas",217,"4,565",4.8
"Sonoma County, California","14,501","247,915",5.8
"South Central Connecticut Planning Region, Connecticut","25,776","288,553",8.9
"Southampton County, Virginia",606,"7,838",7.7
"Southeast Fairbanks Census Area, Alaska",198,"2,756",7.2
"Southeastern Connecticut Planning Region, Connecticut","9,906","136,582",7.3
"Spalding County, Georgia","1,894","28,392",6.7
"Spartanburg County, South Carolina","9,139","154,712",5.9
"Spencer County, Indiana",445,"9,762",4.6
"Spencer County, Kentucky",374,"9,917",3.8
"Spink County, South Dakota",191,"2,997",6.4
"Spokane County, Washington","15,187","249,238",6.1
"Spotsylvania County, Virginia","4,136","70,327",5.9
"St. Bernard Parish, Louisiana","1,105","18,853",5.9
"St. Charles County, Missouri","13,889","217,856",6.4
"St. Charles Parish, Louisiana","1,722","24,399",7.1
"St. Clair County, Alabama","2,456","41,814",5.9
"St. Clair County, Illinois","6,988","120,199",5.8
"St. Clair County, Michigan","3,344","73,964",4.5
"St. Clair County, Missouri",202,"3,776",5.3
"St. Croix County, Wisconsin","2,888","51,067",5.7
"St. Francis County, Arkansas",472,"7,948",5.9
"St. Francois County, Missouri","1,473","26,816",5.5
"St. Helena Parish, Louisiana",220,"3,886",5.7
"St. James Parish, Louisiana",523,"9,015",5.8
"St. John the Baptist Parish, Louisiana",814,"18,090",4.5
"St. Johns County, Florida","6,294","129,898",4.8
"St. Joseph County, Indiana","10,969","131,170",8.4
"St. Joseph County, Michigan",935,"27,936",3.3
"St. Landry Parish, Louisiana","1,563","30,717",5.1
"St. Lawrence County, New York","4,669","44,742",10.4
"St. Louis city, Missouri","10,506","154,689",6.8
"St. Louis County, Minnesota","6,224","96,728",6.4
"St. Louis County, Missouri","31,473","499,992",6.3
"St. Lucie County, Florida","6,530","145,080",4.5
"St. Martin Parish, Louisiana","1,199","21,952",5.5
"St. Mary Parish, Louisiana","1,127","19,359",5.8
"St. Mary's County, Maryland","3,219","57,306",5.6
"St. Tammany Parish, Louisiana","7,792","123,509",6.3
"Stafford County, Kansas",130,"1,971",6.6
"Stafford County, Virginia","5,343","76,554",7
"Stanislaus County, California","13,541","237,110",5.7
"Stanley County, South Dakota",98,"1,714",5.7
"Stanly County, North Carolina","1,526","28,739",5.3
"Stanton County, Kansas",36,994,3.6
"Stanton County, Nebraska",178,"3,111",5.7
"Stark County, Illinois",116,"2,438",4.8
"Stark County, North Dakota",738,"16,757",4.4
"Stark County, Ohio","9,163","179,639",5.1
"Starke County, Indiana",438,"9,562",4.6
"Starr County, Texas","2,490","24,109",10.3
"Staunton city, Virginia",839,"12,367",6.8
"Ste. Genevieve County, Missouri",243,"8,539",2.8
"Stearns County, Minnesota","5,393","84,473",6.4
"Steele County, Minnesota","1,175","19,136",6.1
"Steele County, North Dakota",47,836,5.6
"Stephens County, Georgia",970,"11,303",8.6
"Stephens County, Oklahoma",874,"17,605",5
"Stephens County, Texas",266,"3,857",6.9
"Stephenson County, Illinois","1,403","20,221",6.9
"Sterling County, Texas",27,575,4.7
"Steuben County, Indiana",978,"16,567",5.9
"Steuben County, New York","3,358","42,149",8
"Stevens County, Kansas",79,"2,410",3.3
"Stevens County, Minnesota",353,"5,134",6.9
"Stevens County, Washington","1,143","17,962",6.4
"Stewart County, Georgia",85,"1,480",5.7
"Stewart County, Tennessee",351,"5,613",6.3
"Stillwater County, Montana",262,"4,269",6.1
"Stoddard County, Missouri",634,"12,022",5.3
"Stokes County, North Carolina",919,"19,662",4.7
"Stone County, Arkansas",196,"3,907",5
"Stone County, Mississippi",460,"6,802",6.8
"Stone County, Missouri",802,"12,003",6.7
"Stonewall County, Texas",13,667,1.9
"Storey County, Nevada",76,"1,344",5.7
"Story County, Iowa","7,085","53,259",13.3
"Strafford County, New Hampshire","5,015","71,642",7
"Stutsman County, North Dakota",555,"10,800",5.1
"Sublette County, Wyoming",116,"4,489",2.6
"Suffolk city, Virginia","2,403","44,358",5.4
"Suffolk County, Massachusetts","30,768","434,911",7.1
"Suffolk County, New York","67,212","781,818",8.6
"Sullivan County, Indiana",362,"8,938",4.1
"Sullivan County, Missouri",168,"2,636",6.4
"Sullivan County, New Hampshire","1,319","20,190",6.5
"Sullivan County, New York","2,731","34,474",7.9
"Sullivan County, Pennsylvania",111,"2,548",4.4
"Sullivan County, Tennessee","3,763","69,206",5.4
"Sully County, South Dakota",50,785,6.4
"Summers County, West Virginia",170,"3,543",4.8
"Summit County, Colorado","1,140","19,419",5.9
"Summit County, Ohio","15,110","270,271",5.6
"Summit County, Utah","1,234","22,962",5.4
"Sumner County, Kansas",893,"9,954",9
"Sumner County, Tennessee","6,200","99,744",6.2
"Sumter County, Alabama",244,"4,299",5.7
"Sumter County, Florida","1,262","28,658",4.4
"Sumter County, Georgia",795,"12,148",6.5
"Sumter County, South Carolina","2,358","42,030",5.6
"Sunflower County, Mississippi",849,"8,739",9.7
"Surry County, North Carolina","2,084","31,768",6.6
"Surry County, Virginia",235,"3,147",7.5
"Susquehanna County, Pennsylvania",883,"16,812",5.3
"Sussex County, Delaware","6,110","103,861",5.9
"Sussex County, New Jersey","6,551","77,810",8.4
"Sussex County, Virginia",175,"4,382",4
"Sutter County, California","2,248","42,251",5.3
"Sutton County, Texas",122,"1,430",8.5
"Suwannee County, Florida",728,"17,198",4.2
"Swain County, North Carolina",272,"5,754",4.7
"Sweet Grass County, Montana",123,"1,848",6.7
"Sweetwater County, Wyoming","1,458","20,950",7
"Swift County, Minnesota",280,"4,658",6
"Swisher County, Texas",438,"2,668",16.4
"Switzerland County, Indiana",225,"4,397",5.1
"Talbot County, Georgia",303,"2,455",12.3
"Talbot County, Maryland",948,"17,056",5.6
"Taliaferro County, Georgia",35,668,5.2
"Talladega County, Alabama","1,803","32,093",5.6
"Tallahatchie County, Mississippi",351,"4,468",7.9
"Tallapoosa County, Alabama",663,"15,600",4.3
"Tama County, Iowa",441,"8,165",5.4
"Taney County, Missouri","1,384","25,499",5.4
"Tangipahoa Parish, Louisiana","4,167","57,432",7.3
"Taos County, New Mexico",828,"14,083",5.9
"Tarrant County, Texas","63,508","1,065,717",6
"Tate County, Mississippi",901,"11,953",7.5
"Tattnall County, Georgia",897,"7,916",11.3
"Taylor County, Florida",432,"6,747",6.4
"Taylor County, Georgia",232,"3,011",7.7
"Taylor County, Iowa",141,"2,951",4.8
"Taylor County, Kentucky",908,"12,119",7.5
"Taylor County, Texas","5,046","66,180",7.6
"Taylor County, West Virginia",293,"6,664",4.4
"Taylor County, Wisconsin",453,"9,903",4.6
"Tazewell County, Illinois","3,609","62,163",5.8
"Tazewell County, Virginia",854,"14,328",6
"Tehama County, California","1,504","25,597",5.9
"Telfair County, Georgia",322,"3,698",8.7
"Teller County, Colorado",814,"11,519",7.1
"Tensas Parish, Louisiana",57,"1,174",4.9
"Terrebonne Parish, Louisiana","2,592","47,126",5.5
"Terrell County, Georgia",217,"3,305",6.6
"Terrell County, Texas",33,364,9.1
"Terry County, Texas",242,"4,992",4.8
"Teton County, Idaho",232,"6,875",3.4
"Teton County, Montana",238,"2,862",8.3
"Teton County, Wyoming",772,"15,156",5.1
"Texas County, Missouri",454,"9,137",5
"Texas County, Oklahoma",880,"10,267",8.6
"Thayer County, Nebraska",171,"2,439",7
"Thomas County, Georgia",739,"21,032",3.5
"Thomas County, Kansas",273,"4,152",6.6
"Thomas County, Nebraska",24,352,6.8
"Throckmorton County, Texas",44,734,6
"Thurston County, Nebraska",225,"2,698",8.3
"Thurston County, Washington","8,081","134,622",6
"Tift County, Georgia","1,171","17,809",6.6
"Tillamook County, Oregon",545,"10,896",5
"Tillman County, Oklahoma",153,"2,793",5.5
"Tioga County, New York","1,747","22,722",7.7
"Tioga County, Pennsylvania","1,245","18,529",6.7
"Tippah County, Mississippi",655,"9,229",7.1
"Tippecanoe County, Indiana","11,370","91,808",12.4
"Tipton County, Indiana",569,"7,470",7.6
"Tipton County, Tennessee","1,812","27,734",6.5
"Tishomingo County, Mississippi",350,"7,514",4.7
"Titus County, Texas",786,"13,364",5.9
"Toa Alta Municipio, Puerto Rico","1,632","26,426",6.2
"Toa Baja Municipio, Puerto Rico","1,238","29,433",4.2
"Todd County, Kentucky",407,"5,048",8.1
"Todd County, Minnesota",611,"11,299",5.4
"Todd County, South Dakota",432,"2,296",18.8
"Tom Green County, Texas","3,266","55,687",5.9
"Tompkins County, New York","8,846","49,415",17.9
"Tooele County, Utah","2,454","36,843",6.7
"Toole County, Montana",97,"2,128",4.6
"Toombs County, Georgia",692,"10,157",6.8
"Torrance County, New Mexico",92,"5,544",1.7
"Towner County, North Dakota",65,"1,059",6.1
"Towns County, Georgia",338,"4,631",7.3
"Traill County, North Dakota",324,"4,135",7.8
"Transylvania County, North Carolina",887,"14,196",6.2
"Traverse County, Minnesota",76,"1,605",4.7
"Travis County, Texas","44,508","736,834",6
"Treasure County, Montana",15,364,4.1
"Trego County, Kansas",77,"1,405",5.5
"Trempealeau County, Wisconsin",887,"15,521",5.7
"Treutlen County, Georgia",149,"2,223",6.7
"Trigg County, Kentucky",455,"5,743",7.9
"Trimble County, Kentucky",147,"3,631",4
"Trinity County, California",215,"5,200",4.1
"Trinity County, Texas",256,"4,990",5.1
"Tripp County, South Dakota",237,"2,639",9
"Troup County, Georgia","2,206","31,000",7.1
"Trousdale County, Tennessee",127,"5,122",2.5
"Trujillo Alto Municipio, Puerto Rico","2,070","28,494",7.3
"Trumbull County, Ohio","4,748","86,468",5.5
"Tucker County, West Virginia",144,"3,000",4.8
"Tulare County, California","11,216","190,883",5.9
"Tulsa County, Oklahoma","18,098","323,969",5.6
"Tunica County, Mississippi",270,"4,117",6.6
"Tuolumne County, California","1,419","20,829",6.8
"Turner County, Georgia",64,"3,341",1.9
"Turner County, South Dakota",204,"4,460",4.6
"Tuscaloosa County, Alabama","9,246","109,994",8.4
"Tuscarawas County, Ohio","2,246","43,237",5.2
"Tuscola County, Michigan",883,"22,892",3.9
"Twiggs County, Georgia",109,"2,760",3.9
"Twin Falls County, Idaho","2,401","42,256",5.7
"Tyler County, Texas",281,"6,324",4.4
"Tyler County, West Virginia",299,"3,008",9.9
"Tyrrell County, North Carolina",97,"1,180",8.2
"Uinta County, Wyoming",803,"9,562",8.4
"Uintah County, Utah","1,050","14,591",7.2
"Ulster County, New York","7,388","86,493",8.5
"Umatilla County, Oregon","1,920","33,979",5.7
"Unicoi County, Tennessee",473,"7,626",6.2
"Union County, Arkansas","1,330","16,232",8.2
"Union County, Florida",230,"4,229",5.4
"Union County, Georgia",530,"9,721",5.5
"Union County, Illinois",392,"6,787",5.8
"Union County, Indiana",235,"3,569",6.6
"Union County, Iowa",269,"5,604",4.8
"Union County, Kentucky",141,"5,686",2.5
"Union County, Mississippi",800,"12,173",6.6
"Union County, New Jersey","19,002","292,493",6.5
"Union County, New Mexico",87,"1,358",6.4
"Union County, North Carolina","7,693","120,938",6.4
"Union County, Ohio","1,549","32,749",4.7
"Union County, Oregon",711,"11,508",6.2
"Union County, Pennsylvania","1,806","16,876",10.7
"Union County, South Carolina",430,"10,913",3.9
"Union County, South Dakota",479,"8,507",5.6
"Union County, Tennessee",333,"8,181",4.1
"Union Parish, Louisiana",220,"8,016",2.7
"Upshur County, Texas",954,"17,269",5.5
