Geographic Area,Healthcare practitioners and technical occupations,Total,Health job
"Polk County, Georgia","1,130","18,253",6.2
"Polk County, Iowa","14,674","261,682",5.6
"Polk County, Minnesota",918,"15,268",6
"Polk County, Missouri","1,021","13,983",7.3
"Polk County, Nebraska",195,"2,740",7.1
"Polk County, North Carolina",646,"8,553",7.6
"Polk County, Oregon","2,620","40,471",6.5
"Polk County, Tennessee",504,"7,328",6.9
"Polk County, Texas",933,"18,317",5.1
"Polk County, Wisconsin","1,096","22,277",4.9
"Ponce Municipio, Puerto Rico","3,176","37,700",8.4
"Pondera County, Montana",140,"2,641",5.3
"Pontotoc County, Mississippi",856,"13,660",6.3
"Pontotoc County, Oklahoma","1,441","17,121",8.4
"Pope County, Arkansas","1,607","27,158",5.9
"Pope County, Illinois",142,"1,284",11.1
"Pope County, Minnesota",328,"5,795",5.7
"Poquoson city, Virginia",532,"6,241",8.5
"Portage County, Ohio","4,649","83,452",5.6
"Portage County, Wisconsin","2,182","37,680",5.8
"Porter County, Indiana","6,069","83,577",7.3
"Portsmouth city, Virginia","1,916","41,764",4.6
"Posey County, Indiana",891,"12,311",7.2
"Pottawatomie County, Kansas","1,007","12,356",8.1
"Pottawatomie County, Oklahoma","1,705","29,721",5.7
"Pottawattamie County, Iowa","2,715","45,815",5.9
"Potter County, Pennsylvania",428,"6,827",6.3
"Potter County, South Dakota",63,"1,229",5.1
"Potter County, Texas","2,725","49,953",5.5
"Powder River County, Montana",34,910,3.7
"Powell County, Kentucky",257,"4,832",5.3
"Powell County, Montana",141,"2,535",5.6
"Power County, Idaho",118,"3,613",3.3
"Poweshiek County, Iowa",345,"9,220",3.7
"Powhatan County, Virginia","1,074","15,352",7
"Prairie County, Arkansas",238,"3,561",6.7
"Prairie County, Montana",3,560,0.5
"Pratt County, Kansas",541,"4,283",12.6
"Preble County, Ohio","1,460","19,938",7.3
"Prentiss County, Mississippi",750,"10,477",7.2
"Presidio County, Texas",55,"2,449",2.2
"Presque Isle County, Michigan",382,"4,725",8.1
"Preston County, West Virginia",656,"13,408",4.9
"Price County, Wisconsin",258,"6,172",4.2
"Prince Edward County, Virginia",510,"8,588",5.9
"Prince George County, Virginia","1,177","16,431",7.2
"Prince George's County, Maryland","24,954","500,565",5
"Prince of Wales-Hyder Census Area, Alaska",82,"2,745",3
"Prince William County, Virginia","11,398","247,709",4.6
"Providence County, Rhode Island","20,523","329,536",6.2
"Prowers County, Colorado",322,"5,379",6
"Pueblo County, Colorado","5,391","70,427",7.7
"Pulaski County, Arkansas","17,389","186,621",9.3
"Pulaski County, Georgia",449,"3,787",11.9
"Pulaski County, Illinois",139,"1,778",7.8
"Pulaski County, Indiana",371,"5,988",6.2
"Pulaski County, Kentucky","2,010","27,268",7.4
"Pulaski County, Missouri","1,372","18,477",7.4
"Pulaski County, Virginia",792,"15,112",5.2
"Pushmataha County, Oklahoma",145,"3,655",4
"Putnam County, Florida","1,161","25,898",4.5
"Putnam County, Georgia",477,"9,259",5.2
"Putnam County, Illinois",236,"2,684",8.8
"Putnam County, Indiana",947,"16,728",5.7
"Putnam County, Missouri",190,"2,069",9.2
"Putnam County, New York","3,036","50,210",6
"Putnam County, Ohio","1,651","17,247",9.6
"Putnam County, Tennessee","2,676","38,060",7
"Putnam County, West Virginia","2,461","25,765",9.6
"Quay County, New Mexico",30,"3,482",0.9
"Quebradillas Municipio, Puerto Rico",352,"7,442",4.7
"Queen Anne's County, Maryland","1,846","26,180",7.1
"Queens County, New York","67,902","1,149,568",5.9
"Quitman County, Georgia",20,525,3.8
"Quitman County, Mississippi",141,"2,187",6.4
"Rabun County, Georgia",277,"6,849",4
"Racine County, Wisconsin","5,631","96,247",5.9
"Radford city, Virginia",412,"7,936",5.2
"Rains County, Texas",491,"5,144",9.5
"Raleigh County, West Virginia","2,700","26,785",10.1
"Ralls County, Missouri",406,"4,637",8.8
"Ramsey County, Minnesota","17,301","283,076",6.1
"Ramsey County, North Dakota",444,"5,851",7.6
"Randall County, Texas","5,918","73,113",8.1
"Randolph County, Alabama",638,"8,613",7.4
"Randolph County, Arkansas",634,"7,144",8.9
"Randolph County, Georgia",225,"2,452",9.2
"Randolph County, Illinois",867,"12,570",6.9
"Randolph County, Indiana",881,"11,075",8
"Randolph County, Missouri",491,"10,649",4.6
"Randolph County, North Carolina","3,042","67,217",4.5
"Randolph County, West Virginia","1,028","10,621",9.7
"Rankin County, Mississippi","7,690","77,270",10
"Ransom County, North Dakota",130,"2,679",4.9
"Rapides Parish, Louisiana","4,819","55,565",8.7
"Rappahannock County, Virginia",88,"3,573",2.5
"Ravalli County, Montana","1,022","20,195",5.1
"Rawlins County, Kansas",93,"1,344",6.9
"Ray County, Missouri",653,"11,026",5.9
"Reagan County, Texas",66,"1,569",4.2
"Real County, Texas",9,759,1.2
"Red Lake County, Minnesota",79,"1,967",4
"Red River County, Texas",247,"4,350",5.7
"Red River Parish, Louisiana",239,"2,915",8.2
"Red Willow County, Nebraska",565,"5,377",10.5
"Redwood County, Minnesota",388,"7,354",5.3
"Reeves County, Texas",68,"6,331",1.1
"Refugio County, Texas",97,"2,613",3.7
"Reno County, Kansas","1,503","29,360",5.1
"Rensselaer County, New York","5,647","81,004",7
"Renville County, Minnesota",339,"7,099",4.8
"Renville County, North Dakota",34,"1,122",3
"Republic County, Kansas",215,"2,204",9.8
"Reynolds County, Missouri",65,"2,451",2.7
"Rhea County, Tennessee",561,"13,057",4.3
"Rice County, Kansas",208,"4,388",4.7
"Rice County, Minnesota","1,602","33,026",4.9
"Rich County, Utah",25,981,2.5
"Richardson County, Nebraska",284,"3,768",7.5
"Richland County, Illinois",483,"7,585",6.4
"Richland County, Montana",220,"5,625",3.9
"Richland County, North Dakota",480,"8,509",5.6
"Richland County, Ohio","3,631","54,564",6.7
"Richland County, South Carolina","13,962","196,460",7.1
"Richland County, Wisconsin",477,"8,037",5.9
"Richland Parish, Louisiana",461,"7,566",6.1
"Richmond city, Virginia","7,154","121,796",5.9
"Richmond County, Georgia","6,146","86,632",7.1
"Richmond County, New York","19,055","226,190",8.4
"Richmond County, North Carolina",814,"17,862",4.6
"Richmond County, Virginia",168,"3,238",5.2
"Riley County, Kansas","1,541","35,149",4.4
"Rincón Municipio, Puerto Rico",448,"5,207",8.6
"Ringgold County, Iowa",213,"2,276",9.4
"Rio Arriba County, New Mexico",494,"15,542",3.2
"Rio Blanco County, Colorado",106,"2,900",3.7
"Rio Grande County, Colorado",356,"5,301",6.7
"Río Grande Municipio, Puerto Rico",975,"17,327",5.6
"Ripley County, Indiana",917,"14,628",6.3
"Ripley County, Missouri",219,"4,257",5.1
"Ritchie County, West Virginia",96,"2,886",3.3
"Riverside County, California","56,258","1,073,342",5.2
"Roane County, Tennessee","1,798","23,668",7.6
"Roane County, West Virginia",419,"4,169",10.1
"Roanoke city, Virginia","3,701","46,998",7.9
"Roanoke County, Virginia","4,343","47,051",9.2
"Roberts County, South Dakota",217,"4,346",5
"Roberts County, Texas",23,398,5.8
"Robertson County, Kentucky",49,832,5.9
"Robertson County, Tennessee","2,637","35,880",7.3
"Robertson County, Texas",258,"6,690",3.9
"Robeson County, North Carolina","2,926","43,618",6.7
"Rock County, Minnesota",471,"4,997",9.4
"Rock County, Nebraska",36,659,5.5
"Rock County, Wisconsin","4,697","82,453",5.7
"Rock Island County, Illinois","3,352","66,895",5
"Rockbridge County, Virginia",676,"10,181",6.6
"Rockcastle County, Kentucky",358,"6,066",5.9
"Rockdale County, Georgia","2,352","43,301",5.4
"Rockingham County, New Hampshire","12,185","174,668",7
"Rockingham County, North Carolina","2,405","39,418",6.1
"Rockingham County, Virginia","2,255","41,862",5.4
"Rockland County, New York","11,020","148,349",7.4
"Rockwall County, Texas","4,328","57,189",7.6
"Roger Mills County, Oklahoma",70,"1,480",4.7
"Rogers County, Oklahoma","2,732","46,422",5.9
"Rolette County, North Dakota",183,"4,504",4.1
"Rooks County, Kansas",204,"2,463",8.3
"Roosevelt County, Montana",134,"3,675",3.6
"Roosevelt County, New Mexico",318,"8,526",3.7
"Roscommon County, Michigan",589,"8,120",7.3
"Roseau County, Minnesota",331,"7,875",4.2
"Rosebud County, Montana",117,"3,271",3.6
"Ross County, Ohio","2,262","31,793",7.1
"Routt County, Colorado",732,"13,819",5.3
"Rowan County, Kentucky","1,015","10,932",9.3
"Rowan County, North Carolina","3,667","66,742",5.5
"Runnels County, Texas",272,"4,455",6.1
"Rush County, Indiana",337,"7,593",4.4
"Rush County, Kansas",57,"1,482",3.8
"Rusk County, Texas","1,238","21,454",5.8
"Rusk County, Wisconsin",259,"6,370",4.1
"Russell County, Alabama","1,238","22,595",5.5
"Russell County, Kansas",226,"3,213",7
"Russell County, Kentucky",652,"7,414",8.8
"Russell County, Virginia",705,"8,781",8
"Rutherford County, North Carolina","1,520","26,708",5.7
"Rutherford County, Tennessee","11,168","184,020",6.1
"Rutland County, Vermont","2,244","29,244",7.7
"Sabana Grande Municipio, Puerto Rico",255,"6,399",4
"Sabine County, Texas",240,"3,193",7.5
"Sabine Parish, Louisiana",460,"7,309",6.3
"Sac County, Iowa",287,"4,955",5.8
"Sacramento County, California","42,954","745,145",5.8
"Sagadahoc County, Maine","1,104","19,067",5.8
"Saginaw County, Michigan","5,883","81,523",7.2
"Saguache County, Colorado",29,"2,691",1.1
"Salem city, Virginia","1,007","12,483",8.1
"Salem County, New Jersey","1,783","29,292",6.1
"Salinas Municipio, Puerto Rico",552,"7,846",7
"Saline County, Arkansas","6,252","59,136",10.6
"Saline County, Illinois",860,"10,167",8.5
"Saline County, Kansas","1,835","27,649",6.6
"Saline County, Missouri",695,"10,467",6.6
"Saline County, Nebraska",219,"7,196",3
"Salt Lake County, Utah","34,669","629,317",5.5
"Saluda County, South Carolina",469,"8,043",5.8
"Sampson County, North Carolina","1,525","24,799",6.1
"San Augustine County, Texas",100,"2,599",3.8
"San Benito County, California","1,278","31,928",4
"San Bernardino County, California","54,240","955,659",5.7
"San Diego County, California","91,075","1,574,825",5.8
"San Francisco County, California","27,953","497,881",5.6
"San Germán Municipio, Puerto Rico",391,"7,798",5
"San Jacinto County, Texas",434,"10,810",4
"San Joaquin County, California","17,305","338,625",5.1
"San Juan County, Colorado",18,381,4.7
"San Juan County, New Mexico","2,166","45,652",4.7
"San Juan County, Utah",333,"5,224",6.4
"San Juan County, Washington",292,"8,230",3.5
"San Juan Municipio, Puerto Rico","9,599","128,713",7.5
"San Lorenzo Municipio, Puerto Rico",979,"11,723",8.4
"San Luis Obispo County, California","7,720","131,506",5.9
"San Mateo County, California","23,961","402,467",6
"San Miguel County, Colorado",153,"4,939",3.1
"San Miguel County, New Mexico",592,"10,959",5.4
"San Patricio County, Texas","1,366","28,685",4.8
"San Saba County, Texas",112,"2,325",4.8
"San Sebastián Municipio, Puerto Rico",790,"10,895",7.3
"Sanborn County, South Dakota",82,"1,255",6.5
"Sanders County, Montana",187,"4,119",4.5
"Sandoval County, New Mexico","4,570","66,950",6.8
"Sandusky County, Ohio","1,552","27,732",5.6
"Sangamon County, Illinois","8,551","92,721",9.2
"Sanilac County, Michigan",868,"17,349",5
"Sanpete County, Utah",719,"12,239",5.9
"Santa Barbara County, California","9,414","208,588",4.5
"Santa Clara County, California","44,375","1,002,047",4.4
"Santa Cruz County, Arizona",642,"18,990",3.4
"Santa Cruz County, California","6,917","134,104",5.2
"Santa Fe County, New Mexico","3,771","71,477",5.3
"Santa Isabel Municipio, Puerto Rico",336,"7,287",4.6
"Santa Rosa County, Florida","7,126","80,950",8.8
"Sarasota County, Florida","13,789","182,485",7.6
"Saratoga County, New York","8,125","124,959",6.5
"Sargent County, North Dakota",68,"2,081",3.3
"Sarpy County, Nebraska","6,536","100,375",6.5
"Sauk County, Wisconsin","2,342","34,221",6.8
"Saunders County, Nebraska",654,"11,791",5.5
"Sawyer County, Wisconsin",316,"7,819",4
"Schenectady County, New York","5,434","76,367",7.1
"Schleicher County, Texas",39,"1,032",3.8
"Schley County, Georgia",138,"1,880",7.3
"Schoharie County, New York",809,"13,925",5.8
"Schoolcraft County, Michigan",233,"3,186",7.3
"Schuyler County, Illinois",205,"2,985",6.9
"Schuyler County, Missouri",167,"1,606",10.4
"Schuyler County, New York",476,"8,190",5.8
"Schuylkill County, Pennsylvania","4,671","64,570",7.2
"Scioto County, Ohio","2,767","26,689",10.4
"Scotland County, Missouri",191,"1,936",9.9
"Scotland County, North Carolina",525,"12,673",4.1
"Scott County, Arkansas",342,"4,079",8.4
"Scott County, Illinois",135,"2,249",6
"Scott County, Indiana",349,"10,866",3.2
"Scott County, Iowa","5,641","87,296",6.5
"Scott County, Kansas",85,"2,743",3.1
"Scott County, Kentucky","1,866","29,395",6.3
"Scott County, Minnesota","5,491","84,503",6.5
"Scott County, Mississippi",363,"11,341",3.2
"Scott County, Missouri","1,441","17,367",8.3
"Scott County, Tennessee",684,"7,930",8.6
"Scott County, Virginia",538,"7,886",6.8
"Scotts Bluff County, Nebraska","1,060","17,418",6.1
"Screven County, Georgia",361,"5,894",6.1
"Scurry County, Texas",210,"6,913",3
"Searcy County, Arkansas",136,"2,906",4.7
"Sebastian County, Arkansas","3,558","57,689",6.2
"Sedgwick County, Colorado",52,"1,075",4.8
"Sedgwick County, Kansas","16,849","251,132",6.7
"Seminole County, Florida","15,852","247,988",6.4
"Seminole County, Georgia",356,"3,304",10.8
"Seminole County, Oklahoma",435,"8,503",5.1
"Seneca County, New York",643,"14,920",4.3
"Seneca County, Ohio","1,486","26,878",5.5
"Sequatchie County, Tennessee",332,"6,391",5.2
"Sequoyah County, Oklahoma",804,"15,183",5.3
"Sevier County, Arkansas",386,"6,865",5.6
"Sevier County, Tennessee","2,222","46,821",4.7
"Sevier County, Utah",407,"9,356",4.4
"Seward County, Kansas",257,"10,717",2.4
"Seward County, Nebraska",450,"9,342",4.8
"Shackelford County, Texas",22,"1,501",1.5
"Shannon County, Missouri",113,"2,689",4.2
"Sharkey County, Mississippi",55,"1,523",3.6
"Sharp County, Arkansas",349,"6,268",5.6
"Shasta County, California","5,495","76,314",7.2
"Shawano County, Wisconsin",934,"19,861",4.7
"Shawnee County, Kansas","6,506","84,663",7.7
"Sheboygan County, Wisconsin","3,187","61,062",5.2
"Shelby County, Alabama","8,178","113,542",7.2
"Shelby County, Illinois",613,"10,199",6
"Shelby County, Indiana","1,162","22,045",5.3
"Shelby County, Iowa",585,"5,964",9.8
"Shelby County, Kentucky","1,499","24,238",6.2
"Shelby County, Missouri",149,"2,725",5.5
"Shelby County, Ohio","1,198","24,054",5
"Shelby County, Tennessee","27,794","429,064",6.5
"Shelby County, Texas",533,"10,110",5.3
"Shenandoah County, Virginia","1,128","20,670",5.5
"Sherburne County, Minnesota","2,937","53,627",5.5
"Sheridan County, Kansas",106,"1,367",7.8
"Sheridan County, Montana",82,"1,786",4.6
"Sheridan County, Nebraska",139,"2,403",5.8
"Sheridan County, North Dakota",28,629,4.5
"Sheridan County, Wyoming","1,073","15,579",6.9
"Sherman County, Kansas",207,"3,053",6.8
"Sherman County, Nebraska",76,"1,488",5.1
"Sherman County, Oregon",32,811,3.9
"Sherman County, Texas",3,"1,161",0.3
"Shiawassee County, Michigan","2,091","31,932",6.5
"Shoshone County, Idaho",276,"5,588",4.9
"Sibley County, Minnesota",449,"7,870",5.7
"Sierra County, California",15,"1,243",1.2
"Sierra County, New Mexico",160,"3,554",4.5
"Silver Bow County, Montana","1,352","16,448",8.2
"Simpson County, Kentucky",363,"8,926",4.1
"Simpson County, Mississippi",691,"10,289",6.7
"Sioux County, Iowa","1,186","19,081",6.2
"Sioux County, Nebraska",11,515,2.1
"Sioux County, North Dakota",24,"1,065",2.3
"Siskiyou County, California","1,158","16,623",7
"Sitka City and Borough, Alaska",319,"4,387",7.3
"Skagit County, Washington","2,860","57,758",5
"Skagway Municipality, Alaska",8,777,1
"Skamania County, Washington",463,"5,639",8.2
"Slope County, North Dakota",19,420,4.5
"Smith County, Kansas",131,"1,735",7.6
"Smith County, Mississippi",365,"5,342",6.8
"Smith County, Tennessee",562,"9,192",6.1
"Smith County, Texas","9,204","109,280",8.4
"Smyth County, Virginia",871,"11,921",7.3
"Snohomish County, Washington","21,502","425,167",5.1
"Snyder County, Pennsylvania","1,180","19,430",6.1
"Socorro County, New Mexico",235,"5,119",4.6
"Solano County, California","14,084","212,158",6.6
"Somerset County, Maine","1,156","22,575",5.1
"Somerset County, Maryland",764,"9,661",7.9
"Somerset County, New Jersey","11,698","184,886",6.3
"Somerset County, Pennsylvania","2,859","32,749",8.7
"Somervell County, Texas",305,"4,565",6.7
"Sonoma County, California","13,638","247,915",5.5
"South Central Connecticut Planning Region, Connecticut","23,166","288,553",8
"Southampton County, Virginia",510,"7,838",6.5
"Southeast Fairbanks Census Area, Alaska",29,"2,756",1.1
"Southeastern Connecticut Planning Region, Connecticut","7,772","136,582",5.7
"Spalding County, Georgia","1,742","28,392",6.1
"Spartanburg County, South Carolina","9,312","154,712",6
"Spencer County, Indiana",704,"9,762",7.2
"Spencer County, Kentucky",826,"9,917",8.3
"Spink County, South Dakota",164,"2,997",5.5
"Spokane County, Washington","17,709","249,238",7.1
"Spotsylvania County, Virginia","3,624","70,327",5.2
"St. Bernard Parish, Louisiana","1,204","18,853",6.4
"St. Charles County, Missouri","15,380","217,856",7.1
"St. Charles Parish, Louisiana","1,987","24,399",8.1
"St. Clair County, Alabama","2,722","41,814",6.5
"St. Clair County, Illinois","7,437","120,199",6.2
"St. Clair County, Michigan","5,144","73,964",7
"St. Clair County, Missouri",265,"3,776",7
"St. Croix County, Wisconsin","3,007","51,067",5.9
"St. Francis County, Arkansas",361,"7,948",4.5
"St. Francois County, Missouri","2,518","26,816",9.4
"St. Helena Parish, Louisiana",242,"3,886",6.2
"St. James Parish, Louisiana",785,"9,015",8.7
"St. John the Baptist Parish, Louisiana","1,382","18,090",7.6
"St. Johns County, Florida","9,964","129,898",7.7
"St. Joseph County, Indiana","8,384","131,170",6.4
"St. Joseph County, Michigan","1,277","27,936",4.6
"St. Landry Parish, Louisiana","1,733","30,717",5.6
"St. Lawrence County, New York","2,766","44,742",6.2
"St. Louis city, Missouri","13,000","154,689",8.4
"St. Louis County, Minnesota","8,384","96,728",8.7
"St. Louis County, Missouri","38,693","499,992",7.7
"St. Lucie County, Florida","9,982","145,080",6.9
"St. Martin Parish, Louisiana","1,279","21,952",5.8
"St. Mary Parish, Louisiana",671,"19,359",3.5
"St. Mary's County, Maryland","2,116","57,306",3.7
"St. Tammany Parish, Louisiana","9,806","123,509",7.9
"Stafford County, Kansas",106,"1,971",5.4
"Stafford County, Virginia","4,152","76,554",5.4
"Stanislaus County, California","11,710","237,110",4.9
"Stanley County, South Dakota",73,"1,714",4.3
"Stanly County, North Carolina","1,968","28,739",6.8
"Stanton County, Kansas",11,994,1.1
"Stanton County, Nebraska",180,"3,111",5.8
"Stark County, Illinois",173,"2,438",7.1
"Stark County, North Dakota",657,"16,757",3.9
"Stark County, Ohio","12,395","179,639",6.9
"Starke County, Indiana",622,"9,562",6.5
"Starr County, Texas",866,"24,109",3.6
"Staunton city, Virginia",880,"12,367",7.1
"Ste. Genevieve County, Missouri",522,"8,539",6.1
"Stearns County, Minnesota","6,010","84,473",7.1
"Steele County, Minnesota","1,054","19,136",5.5
"Steele County, North Dakota",31,836,3.7
"Stephens County, Georgia",399,"11,303",3.5
"Stephens County, Oklahoma","1,051","17,605",6
"Stephens County, Texas",88,"3,857",2.3
"Stephenson County, Illinois","1,231","20,221",6.1
"Sterling County, Texas",0,575,0
"Steuben County, Indiana",663,"16,567",4
"Steuben County, New York","2,469","42,149",5.9
"Stevens County, Kansas",48,"2,410",2
"Stevens County, Minnesota",254,"5,134",4.9
"Stevens County, Washington","1,022","17,962",5.7
"Stewart County, Georgia",81,"1,480",5.5
"Stewart County, Tennessee",251,"5,613",4.5
"Stillwater County, Montana",157,"4,269",3.7
"Stoddard County, Missouri",882,"12,022",7.3
"Stokes County, North Carolina","1,249","19,662",6.4
"Stone County, Arkansas",316,"3,907",8.1
"Stone County, Mississippi",522,"6,802",7.7
"Stone County, Missouri",508,"12,003",4.2
"Stonewall County, Texas",21,667,3.1
"Storey County, Nevada",73,"1,344",5.4
"Story County, Iowa","2,371","53,259",4.5
"Strafford County, New Hampshire","4,094","71,642",5.7
"Stutsman County, North Dakota",547,"10,800",5.1
"Sublette County, Wyoming",204,"4,489",4.5
"Suffolk city, Virginia","3,195","44,358",7.2
"Suffolk County, Massachusetts","29,564","434,911",6.8
"Suffolk County, New York","56,078","781,818",7.2
"Sullivan County, Indiana",785,"8,938",8.8
"Sullivan County, Missouri",105,"2,636",4
"Sullivan County, New Hampshire","1,801","20,190",8.9
"Sullivan County, New York","2,182","34,474",6.3
"Sullivan County, Pennsylvania",167,"2,548",6.6
"Sullivan County, Tennessee","6,016","69,206",8.7
"Sully County, South Dakota",23,785,2.9
"Summers County, West Virginia",235,"3,543",6.6
"Summit County, Colorado",905,"19,419",4.7
"Summit County, Ohio","17,912","270,271",6.6
"Summit County, Utah","1,511","22,962",6.6
"Sumner County, Kansas",428,"9,954",4.3
"Sumner County, Tennessee","6,872","99,744",6.9
"Sumter County, Alabama",63,"4,299",1.5
"Sumter County, Florida","1,781","28,658",6.2
"Sumter County, Georgia","1,009","12,148",8.3
"Sumter County, South Carolina","3,294","42,030",7.8
"Sunflower County, Mississippi",625,"8,739",7.2
"Surry County, North Carolina","1,906","31,768",6
"Surry County, Virginia",167,"3,147",5.3
"Susquehanna County, Pennsylvania",976,"16,812",5.8
"Sussex County, Delaware","7,106","103,861",6.8
"Sussex County, New Jersey","4,824","77,810",6.2
"Sussex County, Virginia",197,"4,382",4.5
"Sutter County, California","1,970","42,251",4.7
"Sutton County, Texas",56,"1,430",3.9
"Suwannee County, Florida","1,161","17,198",6.8
"Swain County, North Carolina",431,"5,754",7.5
"Sweet Grass County, Montana",99,"1,848",5.4
"Sweetwater County, Wyoming",964,"20,950",4.6
"Swift County, Minnesota",304,"4,658",6.5
"Swisher County, Texas",168,"2,668",6.3
"Switzerland County, Indiana",103,"4,397",2.3
"Talbot County, Georgia",86,"2,455",3.5
"Talbot County, Maryland","1,472","17,056",8.6
"Taliaferro County, Georgia",21,668,3.1
"Talladega County, Alabama","1,589","32,093",5
"Tallahatchie County, Mississippi",182,"4,468",4.1
"Tallapoosa County, Alabama",938,"15,600",6
"Tama County, Iowa",397,"8,165",4.9
"Taney County, Missouri","1,209","25,499",4.7
"Tangipahoa Parish, Louisiana","3,771","57,432",6.6
"Taos County, New Mexico",972,"14,083",6.9
"Tarrant County, Texas","53,885","1,065,717",5.1
"Tate County, Mississippi",734,"11,953",6.1
"Tattnall County, Georgia",411,"7,916",5.2
"Taylor County, Florida",404,"6,747",6
"Taylor County, Georgia",124,"3,011",4.1
"Taylor County, Iowa",242,"2,951",8.2
"Taylor County, Kentucky",703,"12,119",5.8
"Taylor County, Texas","5,101","66,180",7.7
"Taylor County, West Virginia",413,"6,664",6.2
"Taylor County, Wisconsin",568,"9,903",5.7
"Tazewell County, Illinois","4,767","62,163",7.7
"Tazewell County, Virginia","1,127","14,328",7.9
"Tehama County, California","1,166","25,597",4.6
"Telfair County, Georgia",222,"3,698",6
"Teller County, Colorado",695,"11,519",6
"Tensas Parish, Louisiana",51,"1,174",4.3
"Terrebonne Parish, Louisiana","3,559","47,126",7.6
"Terrell County, Georgia",83,"3,305",2.5
"Terrell County, Texas",3,364,0.8
"Terry County, Texas",209,"4,992",4.2
"Teton County, Idaho",385,"6,875",5.6
"Teton County, Montana",107,"2,862",3.7
"Teton County, Wyoming",461,"15,156",3
"Texas County, Missouri",620,"9,137",6.8
"Texas County, Oklahoma",257,"10,267",2.5
"Thayer County, Nebraska",131,"2,439",5.4
"Thomas County, Georgia","2,015","21,032",9.6
"Thomas County, Kansas",352,"4,152",8.5
"Thomas County, Nebraska",8,352,2.3
"Throckmorton County, Texas",44,734,6
"Thurston County, Nebraska",130,"2,698",4.8
"Thurston County, Washington","8,064","134,622",6
"Tift County, Georgia","1,254","17,809",7
"Tillamook County, Oregon",599,"10,896",5.5
"Tillman County, Oklahoma",92,"2,793",3.3
"Tioga County, New York","1,210","22,722",5.3
"Tioga County, Pennsylvania",925,"18,529",5
"Tippah County, Mississippi",664,"9,229",7.2
"Tippecanoe County, Indiana","5,172","91,808",5.6
"Tipton County, Indiana",368,"7,470",4.9
"Tipton County, Tennessee","2,065","27,734",7.4
"Tishomingo County, Mississippi",858,"7,514",11.4
"Titus County, Texas",434,"13,364",3.2
"Toa Alta Municipio, Puerto Rico","1,891","26,426",7.2
"Toa Baja Municipio, Puerto Rico","1,398","29,433",4.7
"Todd County, Kentucky",304,"5,048",6
"Todd County, Minnesota",638,"11,299",5.6
"Todd County, South Dakota",117,"2,296",5.1
"Tom Green County, Texas","3,558","55,687",6.4
"Tompkins County, New York","2,878","49,415",5.8
"Tooele County, Utah","1,399","36,843",3.8
"Toole County, Montana",188,"2,128",8.8
"Toombs County, Georgia",781,"10,157",7.7
"Torrance County, New Mexico",91,"5,544",1.6
"Towner County, North Dakota",67,"1,059",6.3
"Towns County, Georgia",292,"4,631",6.3
"Traill County, North Dakota",304,"4,135",7.4
"Transylvania County, North Carolina",811,"14,196",5.7
"Traverse County, Minnesota",95,"1,605",5.9
"Travis County, Texas","35,898","736,834",4.9
"Treasure County, Montana",9,364,2.5
"Trego County, Kansas",60,"1,405",4.3
"Trempealeau County, Wisconsin",687,"15,521",4.4
"Treutlen County, Georgia",268,"2,223",12.1
"Trigg County, Kentucky",379,"5,743",6.6
"Trimble County, Kentucky",298,"3,631",8.2
"Trinity County, California",187,"5,200",3.6
"Trinity County, Texas",255,"4,990",5.1
"Tripp County, South Dakota",295,"2,639",11.2
"Troup County, Georgia","1,269","31,000",4.1
"Trousdale County, Tennessee",338,"5,122",6.6
"Trujillo Alto Municipio, Puerto Rico","1,479","28,494",5.2
"Trumbull County, Ohio","6,265","86,468",7.2
"Tucker County, West Virginia",286,"3,000",9.5
"Tulare County, California","8,057","190,883",4.2
"Tulsa County, Oklahoma","22,001","323,969",6.8
"Tunica County, Mississippi",53,"4,117",1.3
"Tuolumne County, California","1,262","20,829",6.1
"Turner County, Georgia",387,"3,341",11.6
"Turner County, South Dakota",306,"4,460",6.9
"Tuscaloosa County, Alabama","8,341","109,994",7.6
"Tuscarawas County, Ohio","2,677","43,237",6.2
"Tuscola County, Michigan","1,370","22,892",6
"Twiggs County, Georgia",152,"2,760",5.5
"Twin Falls County, Idaho","2,190","42,256",5.2
"Tyler County, Texas",245,"6,324",3.9
"Tyler County, West Virginia",274,"3,008",9.1
"Tyrrell County, North Carolina",11,"1,180",0.9
"Uinta County, Wyoming",535,"9,562",5.6
"Uintah County, Utah",381,"14,591",2.6
"Ulster County, New York","5,239","86,493",6.1
"Umatilla County, Oregon","1,209","33,979",3.6
"Unicoi County, Tennessee",586,"7,626",7.7
"Union County, Arkansas","1,251","16,232",7.7
"Union County, Florida",250,"4,229",5.9
"Union County, Georgia",624,"9,721",6.4
"Union County, Illinois",652,"6,787",9.6
"Union County, Indiana",302,"3,569",8.5
"Union County, Iowa",335,"5,604",6
"Union County, Kentucky",472,"5,686",8.3
"Union County, Mississippi",719,"12,173",5.9
"Union County, New Jersey","14,938","292,493",5.1
"Union County, New Mexico",74,"1,358",5.4
"Union County, North Carolina","6,328","120,938",5.2
"Union County, Ohio","2,606","32,749",8
"Union County, Oregon",623,"11,508",5.4
"Union County, Pennsylvania","1,375","16,876",8.1
"Union County, South Carolina",775,"10,913",7.1
"Union County, South Dakota",761,"8,507",8.9
"Union County, Tennessee",538,"8,181",6.6
"Union Parish, Louisiana",643,"8,016",8
"Upshur County, Texas","1,171","17,269",6.8
