Geographic Area,Percent—Total population—AGE—Under 5 years—Estimate,Under 5 yrs
"Scott County, Missouri",6.40%,6.4
"Scott County, Tennessee",6%,6
"Scott County, Virginia",3.80%,3.8
"Scotts Bluff County, Nebraska",6.10%,6.1
"Screven County, Georgia",5.40%,5.4
"Scurry County, Texas",6.30%,6.3
"Searcy County, Arkansas",4.80%,4.8
"Sebastian County, Arkansas",6.30%,6.3
"Sedgwick County, Colorado",7.90%,7.9
"Sedgwick County, Kansas",6.50%,6.5
"Seminole County, Florida",5%,5
"Seminole County, Georgia",4.30%,4.3
"Seminole County, Oklahoma",6.10%,6.1
"Seneca County, New York",5.40%,5.4
"Seneca County, Ohio",5.40%,5.4
"Sequatchie County, Tennessee",5.20%,5.2
"Sequoyah County, Oklahoma",6.20%,6.2
"Sevier County, Arkansas",7.30%,7.3
"Sevier County, Tennessee",5.30%,5.3
"Sevier County, Utah",6.70%,6.7
"Seward County, Kansas",8.50%,8.5
"Seward County, Nebraska",5.50%,5.5
"Shackelford County, Texas",4.60%,4.6
"Shannon County, Missouri",5.50%,5.5
"Sharkey County, Mississippi",6.20%,6.2
"Sharp County, Arkansas",5.10%,5.1
"Shasta County, California",5.60%,5.6
"Shawano County, Wisconsin",5.30%,5.3
"Shawnee County, Kansas",5.90%,5.9
"Sheboygan County, Wisconsin",5.30%,5.3
"Shelby County, Alabama",5.30%,5.3
"Shelby County, Illinois",5.40%,5.4
"Shelby County, Indiana",5.90%,5.9
"Shelby County, Iowa",5.30%,5.3
"Shelby County, Kentucky",5.90%,5.9
"Shelby County, Missouri",6.20%,6.2
"Shelby County, Ohio",6.30%,6.3
"Shelby County, Tennessee",6.80%,6.8
"Shelby County, Texas",6.90%,6.9
"Shenandoah County, Virginia",5.70%,5.7
"Sherburne County, Minnesota",6.50%,6.5
"Sheridan County, Kansas",5.80%,5.8
"Sheridan County, Montana",6.40%,6.4
"Sheridan County, Nebraska",6.70%,6.7
"Sheridan County, North Dakota",3.80%,3.8
"Sheridan County, Wyoming",4.60%,4.6
"Sherman County, Kansas",6.80%,6.8
"Sherman County, Nebraska",5.40%,5.4
"Sherman County, Oregon",5.40%,5.4
"Sherman County, Texas",5.80%,5.8
"Shiawassee County, Michigan",5.20%,5.2
"Shoshone County, Idaho",6.20%,6.2
"Sibley County, Minnesota",5.80%,5.8
"Sierra County, California",0%,0
"Sierra County, New Mexico",4.20%,4.2
"Silver Bow County, Montana",5.70%,5.7
"Simpson County, Kentucky",5.80%,5.8
"Simpson County, Mississippi",5.90%,5.9
"Sioux County, Iowa",7.10%,7.1
"Sioux County, Nebraska",9.10%,9.1
"Sioux County, North Dakota",8.90%,8.9
"Siskiyou County, California",4.90%,4.9
"Sitka City and Borough, Alaska",4.70%,4.7
"Skagit County, Washington",5.50%,5.5
"Skagway Municipality, Alaska",6.10%,6.1
"Skamania County, Washington",4.20%,4.2
"Slope County, North Dakota",1.60%,1.6
"Smith County, Kansas",4.90%,4.9
"Smith County, Mississippi",6.10%,6.1
"Smith County, Tennessee",5.80%,5.8
"Smith County, Texas",6.40%,6.4
"Smyth County, Virginia",4.50%,4.5
"Snohomish County, Washington",6.10%,6.1
"Snyder County, Pennsylvania",5.20%,5.2
"Socorro County, New Mexico",4.90%,4.9
"Solano County, California",5.80%,5.8
"Somerset County, Maine",4.80%,4.8
"Somerset County, Maryland",4.40%,4.4
"Somerset County, New Jersey",4.90%,4.9
"Somerset County, Pennsylvania",4.60%,4.6
"Somervell County, Texas",3.90%,3.9
"Sonoma County, California",4.70%,4.7
"South Central Connecticut Planning Region, Connecticut",5%,5
"Southampton County, Virginia",4.80%,4.8
"Southeast Fairbanks Census Area, Alaska",7%,7
"Southeastern Connecticut Planning Region, Connecticut",4.80%,4.8
"Spalding County, Georgia",6.20%,6.2
"Spartanburg County, South Carolina",6%,6
"Spencer County, Indiana",5.20%,5.2
"Spencer County, Kentucky",5.30%,5.3
"Spink County, South Dakota",6.10%,6.1
"Spokane County, Washington",5.70%,5.7
"Spotsylvania County, Virginia",5.90%,5.9
"St. Bernard Parish, Louisiana",6.60%,6.6
"St. Charles County, Missouri",5.60%,5.6
"St. Charles Parish, Louisiana",5.40%,5.4
"St. Clair County, Alabama",5.40%,5.4
"St. Clair County, Illinois",6%,6
"St. Clair County, Michigan",4.90%,4.9
"St. Clair County, Missouri",5.40%,5.4
"St. Croix County, Wisconsin",5.70%,5.7
"St. Francis County, Arkansas",6.10%,6.1
"St. Francois County, Missouri",5.30%,5.3
"St. Helena Parish, Louisiana",5.40%,5.4
"St. James Parish, Louisiana",5.80%,5.8
"St. John the Baptist Parish, Louisiana",5.90%,5.9
"St. Johns County, Florida",4.70%,4.7
"St. Joseph County, Indiana",6.20%,6.2
"St. Joseph County, Michigan",6.30%,6.3
"St. Landry Parish, Louisiana",7.10%,7.1
"St. Lawrence County, New York",4.90%,4.9
"St. Louis city, Missouri",5.90%,5.9
"St. Louis County, Minnesota",4.80%,4.8
"St. Louis County, Missouri",5.70%,5.7
"St. Lucie County, Florida",4.90%,4.9
"St. Martin Parish, Louisiana",6.30%,6.3
"St. Mary Parish, Louisiana",6.50%,6.5
"St. Mary's County, Maryland",6.10%,6.1
"St. Tammany Parish, Louisiana",5.70%,5.7
"Stafford County, Kansas",5.80%,5.8
"Stafford County, Virginia",6.20%,6.2
"Stanislaus County, California",6.90%,6.9
"Stanley County, South Dakota",4.30%,4.3
"Stanly County, North Carolina",5.60%,5.6
"Stanton County, Kansas",5.70%,5.7
"Stanton County, Nebraska",5.50%,5.5
"Stark County, Illinois",5.30%,5.3
"Stark County, North Dakota",8.30%,8.3
"Stark County, Ohio",5.50%,5.5
"Starke County, Indiana",5.70%,5.7
"Starr County, Texas",9.30%,9.3
"Staunton city, Virginia",5.90%,5.9
"Ste. Genevieve County, Missouri",5.50%,5.5
"Stearns County, Minnesota",6.40%,6.4
"Steele County, Minnesota",5.80%,5.8
"Steele County, North Dakota",5.90%,5.9
"Stephens County, Georgia",6.20%,6.2
"Stephens County, Oklahoma",5.60%,5.6
"Stephens County, Texas",5.80%,5.8
"Stephenson County, Illinois",5.50%,5.5
"Sterling County, Texas",9.10%,9.1
"Steuben County, Indiana",5%,5
"Steuben County, New York",5.40%,5.4
"Stevens County, Kansas",7.10%,7.1
"Stevens County, Minnesota",6%,6
"Stevens County, Washington",5%,5
"Stewart County, Georgia",1.60%,1.6
"Stewart County, Tennessee",6%,6
"Stillwater County, Montana",4.10%,4.1
"Stoddard County, Missouri",5.70%,5.7
"Stokes County, North Carolina",4.20%,4.2
"Stone County, Arkansas",5.10%,5.1
"Stone County, Mississippi",6%,6
"Stone County, Missouri",3.80%,3.8
"Stonewall County, Texas",10.60%,10.6
"Storey County, Nevada",4%,4
"Story County, Iowa",4.20%,4.2
"Strafford County, New Hampshire",4.50%,4.5
"Stutsman County, North Dakota",5.60%,5.6
"Sublette County, Wyoming",5.10%,5.1
"Suffolk city, Virginia",6.30%,6.3
"Suffolk County, Massachusetts",5%,5
"Suffolk County, New York",5.20%,5.2
"Sullivan County, Indiana",5.30%,5.3
"Sullivan County, Missouri",6.30%,6.3
"Sullivan County, New Hampshire",4.40%,4.4
"Sullivan County, New York",5.70%,5.7
"Sullivan County, Pennsylvania",2.90%,2.9
"Sullivan County, Tennessee",4.70%,4.7
"Sully County, South Dakota",4.40%,4.4
"Summers County, West Virginia",3.80%,3.8
"Summit County, Colorado",3.30%,3.3
"Summit County, Ohio",5.40%,5.4
"Summit County, Utah",5.10%,5.1
"Sumner County, Kansas",5.90%,5.9
"Sumner County, Tennessee",5.80%,5.8
"Sumter County, Alabama",5.40%,5.4
"Sumter County, Florida",1.80%,1.8
"Sumter County, Georgia",5.90%,5.9
"Sumter County, South Carolina",6.60%,6.6
"Sunflower County, Mississippi",5.40%,5.4
"Surry County, North Carolina",5.20%,5.2
"Surry County, Virginia",4.90%,4.9
"Susquehanna County, Pennsylvania",4.70%,4.7
"Sussex County, Delaware",4.80%,4.8
"Sussex County, New Jersey",4.60%,4.6
"Sussex County, Virginia",4.10%,4.1
"Sutter County, California",6.40%,6.4
"Sutton County, Texas",5.50%,5.5
"Suwannee County, Florida",5.10%,5.1
"Swain County, North Carolina",5%,5
"Sweet Grass County, Montana",5.70%,5.7
"Sweetwater County, Wyoming",5.90%,5.9
"Swift County, Minnesota",5.80%,5.8
"Swisher County, Texas",5.90%,5.9
"Switzerland County, Indiana",5.50%,5.5
"Talbot County, Georgia",3.80%,3.8
"Talbot County, Maryland",4.20%,4.2
"Taliaferro County, Georgia",4.10%,4.1
"Talladega County, Alabama",5.30%,5.3
"Tallahatchie County, Mississippi",5.80%,5.8
"Tallapoosa County, Alabama",5.40%,5.4
"Tama County, Iowa",6%,6
"Taney County, Missouri",5.10%,5.1
"Tangipahoa Parish, Louisiana",6.80%,6.8
"Taos County, New Mexico",3.60%,3.6
"Tarrant County, Texas",6.50%,6.5
"Tate County, Mississippi",5.90%,5.9
"Tattnall County, Georgia",4.50%,4.5
"Taylor County, Florida",4.30%,4.3
"Taylor County, Georgia",5%,5
"Taylor County, Iowa",5.20%,5.2
"Taylor County, Kentucky",5.70%,5.7
"Taylor County, Texas",6.90%,6.9
"Taylor County, West Virginia",4.80%,4.8
"Taylor County, Wisconsin",5.50%,5.5
"Tazewell County, Illinois",5.30%,5.3
"Tazewell County, Virginia",4.80%,4.8
"Tehama County, California",5.80%,5.8
"Telfair County, Georgia",4.10%,4.1
"Teller County, Colorado",3.80%,3.8
"Tensas Parish, Louisiana",5.10%,5.1
"Terrebonne Parish, Louisiana",6.60%,6.6
"Terrell County, Georgia",5.50%,5.5
"Terrell County, Texas",1.30%,1.3
"Terry County, Texas",7.20%,7.2
"Teton County, Idaho",6.70%,6.7
"Teton County, Montana",6.90%,6.9
"Teton County, Wyoming",4.10%,4.1
"Texas County, Missouri",5.60%,5.6
"Texas County, Oklahoma",7.80%,7.8
"Thayer County, Nebraska",5.60%,5.6
"Thomas County, Georgia",6%,6
"Thomas County, Kansas",6.70%,6.7
"Thomas County, Nebraska",3.40%,3.4
"Throckmorton County, Texas",8.10%,8.1
"Thurston County, Nebraska",9.40%,9.4
"Thurston County, Washington",5.50%,5.5
"Tift County, Georgia",6.70%,6.7
"Tillamook County, Oregon",4.20%,4.2
"Tillman County, Oklahoma",5.80%,5.8
"Tioga County, New York",5.10%,5.1
"Tioga County, Pennsylvania",5%,5
"Tippah County, Mississippi",5.20%,5.2
"Tippecanoe County, Indiana",5.50%,5.5
"Tipton County, Indiana",6.10%,6.1
"Tipton County, Tennessee",5.60%,5.6
"Tishomingo County, Mississippi",5.30%,5.3
"Titus County, Texas",7.30%,7.3
"Toa Alta Municipio, Puerto Rico",3.20%,3.2
"Toa Baja Municipio, Puerto Rico",3.40%,3.4
"Todd County, Kentucky",6.90%,6.9
"Todd County, Minnesota",6.60%,6.6
"Todd County, South Dakota",11.40%,11.4
"Tom Green County, Texas",6.40%,6.4
"Tompkins County, New York",3.60%,3.6
"Tooele County, Utah",7.60%,7.6
"Toole County, Montana",5.90%,5.9
"Toombs County, Georgia",6.90%,6.9
"Torrance County, New Mexico",4.80%,4.8
"Towner County, North Dakota",6.70%,6.7
"Towns County, Georgia",3.30%,3.3
"Traill County, North Dakota",6%,6
"Transylvania County, North Carolina",3.90%,3.9
"Traverse County, Minnesota",6.60%,6.6
"Travis County, Texas",5.70%,5.7
"Treasure County, Montana",4.30%,4.3
"Trego County, Kansas",5.60%,5.6
"Trempealeau County, Wisconsin",7%,7
"Treutlen County, Georgia",5.10%,5.1
"Trigg County, Kentucky",5.60%,5.6
"Trimble County, Kentucky",5%,5
"Trinity County, California",3.60%,3.6
"Trinity County, Texas",4.80%,4.8
"Tripp County, South Dakota",6.90%,6.9
"Troup County, Georgia",6.30%,6.3
"Trousdale County, Tennessee",5.30%,5.3
"Trujillo Alto Municipio, Puerto Rico",3.10%,3.1
"Trumbull County, Ohio",5.20%,5.2
"Tucker County, West Virginia",3.90%,3.9
"Tulare County, California",7.50%,7.5
"Tulsa County, Oklahoma",6.70%,6.7
"Tunica County, Mississippi",8.90%,8.9
"Tuolumne County, California",4.30%,4.3
"Turner County, Georgia",6.80%,6.8
"Turner County, South Dakota",5.80%,5.8
"Tuscaloosa County, Alabama",5.60%,5.6
"Tuscarawas County, Ohio",6.20%,6.2
"Tuscola County, Michigan",5%,5
"Twiggs County, Georgia",5.20%,5.2
"Twin Falls County, Idaho",6.60%,6.6
"Tyler County, Texas",3.90%,3.9
"Tyler County, West Virginia",4.70%,4.7
"Tyrrell County, North Carolina",5.30%,5.3
"Uinta County, Wyoming",6.50%,6.5
"Uintah County, Utah",7.90%,7.9
"Ulster County, New York",4.30%,4.3
"Umatilla County, Oregon",6.30%,6.3
"Unicoi County, Tennessee",4.50%,4.5
"Union County, Arkansas",6%,6
"Union County, Florida",5.50%,5.5
"Union County, Georgia",3.80%,3.8
"Union County, Illinois",5.40%,5.4
"Union County, Indiana",5.60%,5.6
"Union County, Iowa",5.50%,5.5
"Union County, Kentucky",5.10%,5.1
"Union County, Mississippi",6.40%,6.4
"Union County, New Jersey",6.10%,6.1
"Union County, New Mexico",6.50%,6.5
"Union County, North Carolina",5.40%,5.4
"Union County, Ohio",6.10%,6.1
"Union County, Oregon",5%,5
"Union County, Pennsylvania",4.40%,4.4
"Union County, South Carolina",5.50%,5.5
"Union County, South Dakota",5.40%,5.4
"Union County, Tennessee",5.10%,5.1
"Union Parish, Louisiana",5.70%,5.7
"Upshur County, Texas",5.70%,5.7
"Upshur County, West Virginia",5%,5
"Upson County, Georgia",5.10%,5.1
"Upton County, Texas",3.20%,3.2
"Utah County, Utah",8.70%,8.7
"Utuado Municipio, Puerto Rico",3.40%,3.4
"Uvalde County, Texas",7%,7
"Val Verde County, Texas",7.90%,7.9
"Valencia County, New Mexico",5.30%,5.3
"Valley County, Idaho",4.30%,4.3
"Valley County, Montana",5.60%,5.6
"Valley County, Nebraska",5.50%,5.5
"Van Buren County, Arkansas",4.40%,4.4
"Van Buren County, Iowa",6.10%,6.1
"Van Buren County, Michigan",5.80%,5.8
"Van Buren County, Tennessee",5.50%,5.5
"Van Wert County, Ohio",6.30%,6.3
"Van Zandt County, Texas",5.80%,5.8
"Vance County, North Carolina",6.50%,6.5
"Vanderburgh County, Indiana",5.80%,5.8
"Vega Alta Municipio, Puerto Rico",3.60%,3.6
"Vega Baja Municipio, Puerto Rico",3.80%,3.8
"Venango County, Pennsylvania",4.90%,4.9
"Ventura County, California",5.40%,5.4
"Vermilion County, Illinois",6.10%,6.1
"Vermilion Parish, Louisiana",6.30%,6.3
"Vermillion County, Indiana",5%,5
"Vernon County, Missouri",5.90%,5.9
"Vernon County, Wisconsin",6.80%,6.8
"Vernon Parish, Louisiana",8%,8
"Victoria County, Texas",6.60%,6.6
"Vieques Municipio, Puerto Rico",3.90%,3.9
"Vigo County, Indiana",5.40%,5.4
"Vilas County, Wisconsin",3.90%,3.9
"Villalba Municipio, Puerto Rico",4.20%,4.2
"Vinton County, Ohio",5.70%,5.7
"Virginia Beach city, Virginia",6%,6
"Volusia County, Florida",4.50%,4.5
"Wabash County, Illinois",5.60%,5.6
"Wabash County, Indiana",5.10%,5.1
"Wabasha County, Minnesota",5.30%,5.3
"Wabaunsee County, Kansas",5.40%,5.4
"Wadena County, Minnesota",6.60%,6.6
"Wagoner County, Oklahoma",5.60%,5.6
"Wahkiakum County, Washington",3.30%,3.3
"Wake County, North Carolina",5.80%,5.8
"Wakulla County, Florida",4.80%,4.8
"Waldo County, Maine",4.40%,4.4
"Walker County, Alabama",5.70%,5.7
"Walker County, Georgia",5.30%,5.3
"Walker County, Texas",3.90%,3.9
"Walla Walla County, Washington",5%,5
"Wallace County, Kansas",7.80%,7.8
"Waller County, Texas",6.20%,6.2
"Wallowa County, Oregon",5%,5
"Walsh County, North Dakota",6%,6
"Walthall County, Mississippi",5.50%,5.5
"Walton County, Florida",5.70%,5.7
"Walton County, Georgia",5.80%,5.8
"Walworth County, South Dakota",6.80%,6.8
"Walworth County, Wisconsin",4.60%,4.6
"Wapello County, Iowa",6.20%,6.2
"Ward County, North Dakota",7.20%,7.2
"Ward County, Texas",7.60%,7.6
"Ware County, Georgia",6.50%,6.5
"Warren County, Georgia",5.30%,5.3
"Warren County, Illinois",5.20%,5.2
"Warren County, Indiana",5%,5
"Warren County, Iowa",5.70%,5.7
"Warren County, Kentucky",6.30%,6.3
"Warren County, Mississippi",6.10%,6.1
"Warren County, Missouri",5.70%,5.7
"Warren County, New Jersey",4.60%,4.6
"Warren County, New York",4.20%,4.2
"Warren County, North Carolina",4.20%,4.2
"Warren County, Ohio",5.50%,5.5
"Warren County, Pennsylvania",5.20%,5.2
"Warren County, Tennessee",5.80%,5.8
"Warren County, Virginia",5.50%,5.5
"Warrick County, Indiana",5.70%,5.7
"Wasatch County, Utah",7.10%,7.1
"Wasco County, Oregon",5.60%,5.6
"Waseca County, Minnesota",5.80%,5.8
"Washakie County, Wyoming",4.30%,4.3
"Washburn County, Wisconsin",4%,4
"Washington County, Alabama",5.50%,5.5
"Washington County, Arkansas",6.30%,6.3
"Washington County, Colorado",4.50%,4.5
"Washington County, Florida",4.10%,4.1
"Washington County, Georgia",5.40%,5.4
"Washington County, Idaho",5.30%,5.3
"Washington County, Illinois",5.10%,5.1
"Washington County, Indiana",5.60%,5.6
"Washington County, Iowa",6.30%,6.3
"Washington County, Kansas",6.80%,6.8
"Washington County, Kentucky",6%,6
"Washington County, Maine",4.70%,4.7
"Washington County, Maryland",5.50%,5.5
"Washington County, Minnesota",5.70%,5.7
"Washington County, Mississippi",6.80%,6.8
"Washington County, Missouri",5.50%,5.5
"Washington County, Nebraska",5.50%,5.5
"Washington County, New York",4.50%,4.5
"Washington County, North Carolina",2.80%,2.8
"Washington County, Ohio",4.90%,4.9
"Washington County, Oklahoma",6%,6
"Washington County, Oregon",5.50%,5.5
"Washington County, Pennsylvania",4.90%,4.9
"Washington County, Rhode Island",3.50%,3.5
"Washington County, Tennessee",4.70%,4.7
"Washington County, Texas",5.30%,5.3
"Washington County, Utah",6%,6
"Washington County, Vermont",4.30%,4.3
"Washington County, Virginia",3.90%,3.9
"Washington County, Wisconsin",4.90%,4.9
"Washington Parish, Louisiana",6.20%,6.2
"Washita County, Oklahoma",6%,6
"Washoe County, Nevada",5.50%,5.5
"Washtenaw County, Michigan",4.70%,4.7
"Watauga County, North Carolina",3%,3
"Watonwan County, Minnesota",7.20%,7.2
"Waukesha County, Wisconsin",5%,5
"Waupaca County, Wisconsin",5%,5
"Waushara County, Wisconsin",4.50%,4.5
"Wayne County, Georgia",5.60%,5.6
"Wayne County, Illinois",5.80%,5.8
"Wayne County, Indiana",6.10%,6.1
"Wayne County, Iowa",7%,7
"Wayne County, Kentucky",5.40%,5.4
"Wayne County, Michigan",6.40%,6.4
"Wayne County, Mississippi",6.60%,6.6
"Wayne County, Missouri",4.50%,4.5
"Wayne County, Nebraska",4.80%,4.8
"Wayne County, New York",5.40%,5.4
"Wayne County, North Carolina",6.30%,6.3
"Wayne County, Ohio",6.30%,6.3
"Wayne County, Pennsylvania",4.10%,4.1
"Wayne County, Tennessee",4.70%,4.7
"Wayne County, Utah",6.10%,6.1
"Wayne County, West Virginia",4.90%,4.9
"Waynesboro city, Virginia",6.30%,6.3
"Weakley County, Tennessee",4.70%,4.7
"Webb County, Texas",8.50%,8.5
"Weber County, Utah",7%,7
"Webster County, Georgia",2.40%,2.4
"Webster County, Iowa",5.70%,5.7
"Webster County, Kentucky",6%,6
"Webster County, Mississippi",6.30%,6.3
"Webster County, Missouri",7.20%,7.2
"Webster County, Nebraska",5.40%,5.4
"Webster County, West Virginia",4.50%,4.5
"Webster Parish, Louisiana",5.80%,5.8
"Weld County, Colorado",6.90%,6.9
"Wells County, Indiana",6.20%,6.2
"Wells County, North Dakota",5.60%,5.6
"West Baton Rouge Parish, Louisiana",6.50%,6.5
"West Carroll Parish, Louisiana",5.40%,5.4
"West Feliciana Parish, Louisiana",3.90%,3.9
"Westchester County, New York",5.30%,5.3
"Western Connecticut Planning Region, Connecticut",5.30%,5.3
"Westmoreland County, Pennsylvania",4.30%,4.3
"Westmoreland County, Virginia",4.80%,4.8
"Weston County, Wyoming",3.90%,3.9
"Wetzel County, West Virginia",5.90%,5.9
"Wexford County, Michigan",5.80%,5.8
"Wharton County, Texas",6.80%,6.8
"Whatcom County, Washington",4.80%,4.8
"Wheatland County, Montana",2.90%,2.9
"Wheeler County, Georgia",2.90%,2.9
"Wheeler County, Nebraska",11%,11
"Wheeler County, Oregon",6.60%,6.6
"Wheeler County, Texas",6%,6
"White County, Arkansas",5.70%,5.7
"White County, Georgia",4.90%,4.9
"White County, Illinois",5%,5
"White County, Indiana",5.90%,5.9
"White County, Tennessee",5.80%,5.8
"White Pine County, Nevada",4.60%,4.6
"Whiteside County, Illinois",5.40%,5.4
"Whitfield County, Georgia",6.30%,6.3
"Whitley County, Indiana",5.90%,5.9
"Whitley County, Kentucky",7.10%,7.1
"Whitman County, Washington",4.10%,4.1
"Wibaux County, Montana",8.20%,8.2
"Wichita County, Kansas",8.40%,8.4
"Wichita County, Texas",6.10%,6.1
"Wicomico County, Maryland",6%,6
"Wilbarger County, Texas",6.60%,6.6
"Wilcox County, Alabama",6.30%,6.3
"Wilcox County, Georgia",4.60%,4.6
"Wilkes County, Georgia",5.40%,5.4
"Wilkes County, North Carolina",4.90%,4.9
"Wilkin County, Minnesota",5.80%,5.8
"Wilkinson County, Georgia",5.60%,5.6
"Wilkinson County, Mississippi",5%,5
"Will County, Illinois",5.50%,5.5
"Willacy County, Texas",6.10%,6.1
"Williams County, North Dakota",8.90%,8.9
"Williams County, Ohio",5.70%,5.7
"Williamsburg city, Virginia",2.30%,2.3
"Williamsburg County, South Carolina",4.70%,4.7
"Williamson County, Illinois",5.60%,5.6
"Williamson County, Tennessee",5.50%,5.5
"Williamson County, Texas",6.10%,6.1
"Wilson County, Kansas",5.90%,5.9
"Wilson County, North Carolina",5.80%,5.8
"Wilson County, Tennessee",5.80%,5.8
"Wilson County, Texas",5.60%,5.6
"Winchester city, Virginia",5.90%,5.9
"Windham County, Vermont",4%,4
"Windsor County, Vermont",4.20%,4.2
"Winkler County, Texas",6.80%,6.8
"Winn Parish, Louisiana",5.30%,5.3
"Winnebago County, Illinois",6.20%,6.2
"Winnebago County, Iowa",4.90%,4.9
"Winnebago County, Wisconsin",5.20%,5.2
"Winneshiek County, Iowa",4.70%,4.7
"Winona County, Minnesota",4.60%,4.6
"Winston County, Alabama",5.20%,5.2
"Winston County, Mississippi",5.30%,5.3
"Wirt County, West Virginia",4.80%,4.8
"Wise County, Texas",5.90%,5.9
"Wise County, Virginia",4.50%,4.5
"Wolfe County, Kentucky",6.30%,6.3
"Wood County, Ohio",5.10%,5.1
"Wood County, Texas",4.60%,4.6
"Wood County, West Virginia",5.30%,5.3
"Wood County, Wisconsin",5.50%,5.5
"Woodbury County, Iowa",6.80%,6.8
"Woodford County, Illinois",5.80%,5.8
"Woodford County, Kentucky",6.10%,6.1
"Woodruff County, Arkansas",5.80%,5.8
"Woods County, Oklahoma",5.40%,5.4
"Woodson County, Kansas",5.70%,5.7
"Woodward County, Oklahoma",6.30%,6.3
"Worcester County, Maryland",4%,4
"Worcester County, Massachusetts",5.20%,5.2
"Worth County, Georgia",5.80%,5.8
"Worth County, Iowa",5.40%,5.4
"Worth County, Missouri",5.40%,5.4
"Wrangell City and Borough, Alaska",6.40%,6.4
"Wright County, Iowa",6.20%,6.2
"Wright County, Minnesota",6.70%,6.7
"Wright County, Missouri",6.90%,6.9
"Wyandot County, Ohio",5.20%,5.2
"Wyandotte County, Kansas",7.50%,7.5
"Wyoming County, New York",4.80%,4.8
"Wyoming County, Pennsylvania",4.60%,4.6
"Wyoming County, West Virginia",4.80%,4.8
"Wythe County, Virginia",4.90%,4.9
"Yabucoa Municipio, Puerto Rico",3.20%,3.2
"Yadkin County, North Carolina",4.90%,4.9
"Yakima County, Washington",7.50%,7.5
"Yakutat City and Borough, Alaska",7.60%,7.6
"Yalobusha County, Mississippi",6%,6
"Yamhill County, Oregon",5.20%,5.2
"Yancey County, North Carolina",5%,5
"Yankton County, South Dakota",5.50%,5.5
"Yates County, New York",6%,6
"Yauco Municipio, Puerto Rico",3.30%,3.3
"Yavapai County, Arizona",3.80%,3.8
"Yazoo County, Mississippi",5.40%,5.4
"Yell County, Arkansas",6.20%,6.2
"Yellow Medicine County, Minnesota",6%,6
"Yellowstone County, Montana",5.80%,5.8
"Yoakum County, Texas",8.80%,8.8
"Yolo County, California",5.10%,5.1
"York County, Maine",4.50%,4.5
"York County, Nebraska",6.50%,6.5
"York County, Pennsylvania",5.40%,5.4
"York County, South Carolina",5.60%,5.6
"York County, Virginia",5.30%,5.3
"Young County, Texas",5.50%,5.5
"Yuba County, California",7.40%,7.4
"Yukon-Koyukuk Census Area, Alaska",7.30%,7.3
"Yuma County, Arizona",6.90%,6.9
"Yuma County, Colorado",6.90%,6.9
"Zapata County, Texas",8.20%,8.2
"Zavala County, Texas",7.20%,7.2
"Ziebach County, South Dakota",7.90%,7.9
